id,name__en,name__gu,name__te,name__hi,name__mr,name__ne,name__sa,name__de,name__nl,name__fr,name,wikipedia__en,wikipedia__hi,gender,birth_date,given_name,original_wikiname,name__ta,wikipedia__mr,wikipedia__ta,image,website,name__nb,name__da,name__nn,name__sv,name__or,name__it,name__id,wikipedia__id,name__ru,name__es,wikipedia__ru,name__bn,wikipedia__bn,wikipedia__commons,wikipedia__es,identifier__IMDB,name__ml,wikipedia__ml,wikipedia__te,identifier__VIAF,name__pa,wikipedia__pa,wikipedia__enwikiquote,wikipedia__hiwikiquote,name__ur,name__zh,wikipedia__fr,wikipedia__sa,wikipedia__sv,wikipedia__ur,wikipedia__zh,identifier__freebase,identifier__FAST,name__pl,name__kn,wikipedia__kn,wikipedia__ne,wikipedia__pl,death_date,family_name,identifier__ISNI,identifier__BNF,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__jv,name__eu,name__ms,name__hu,name__et,name__my,name__ar,name__pt,name__eo,name__tr,name__fi,name__uk,name__be_tarask,name__tl,name__nan,name__be,name__he,name__ko,name__ja,name__vi,name__ca,name__la,name__cy,name__os,name__fa,name__bg,name__ka,name__arz,name__oc,name__el,name__yue,name__mai,wikipedia__ar,wikipedia__arz,wikipedia__be_x_old,wikipedia__be,wikipedia__bg,wikipedia__ca,wikipedia__cy,wikipedia__da,wikipedia__de,wikipedia__el,wikipedia__eo,wikipedia__et,wikipedia__eu,wikipedia__fa,wikipedia__fi,wikipedia__gu,wikipedia__he,wikipedia__hu,wikipedia__it,wikipedia__ja,wikipedia__jv,wikipedia__ka,wikipedia__ko,wikipedia__la,wikipedia__mai,wikipedia__ms,wikipedia__my,wikipedia__nl,wikipedia__no,wikipedia__or,wikipedia__os,wikipedia__plwikiquote,wikipedia__pt,wikipedia__ruwikinews,wikipedia__simple,wikipedia__tl,wikipedia__tr,wikipedia__uk,wikipedia__vi,wikipedia__zh_min_nan,wikipedia__zh_yue,identifier__GND,identifier__LCAuth,identifier__SUDOC,identifier__OLID,identifier__NKC,identifier__NTA,identifier__Munzinger,identifier__GTAA,name__en_ca,name__en_gb,name__as,wikipedia__as,name__de_ch,name__si,name__hif,name__gl,name__sh,name__sco,name__pnb,name__th,name__cs,name__lb,name__pt_br,name__lt,name__sr,name__bh,name__bcl,name__lv,name__yi,name__mk,name__br,name__ckb,name__xmf,name__hy,name__ks,name__uz,name__ga,name__af,wikipedia__af,wikipedia__bcl,wikipedia__bh,wikipedia__br,wikipedia__ckb,wikipedia__cs,wikipedia__cswikiquote,wikipedia__ga,wikipedia__gl,wikipedia__hif,wikipedia__hy,wikipedia__ks,wikipedia__lb,wikipedia__lt,wikipedia__lv,wikipedia__nn,wikipedia__oc,wikipedia__pnb,wikipedia__sco,wikipedia__sh,wikipedia__si,wikipedia__sr,wikipedia__tewikiquote,wikipedia__th,wikipedia__uz,wikipedia__xmf,wikipedia__yi,identifier__Britannica,twitter,identifier__AlloCine,identifier__allmovie,identifier__MusicBrainz,identifier__NNDB,identifier__CANTIC,name__ro,name__yo,name__sq,wikipedia__ro,wikipedia__yo,name__dv,name__ps,name__az,name__kk,name__mg,name__ce,wikipedia__az,wikipedia__ce,wikipedia__dv,wikipedia__kk,wikipedia__mg,wikipedia__ps,facebook,name__bho,wikipedia__bgwikiquote,name__an,name__bs,name__ceb,name__hr,name__is,name__lmo,name__nds,name__nds_nl,name__pms,name__sk,name__sl,name__vec,name__wa,name__gsw,electoral_district,identifier__CSPAN,identifier__TED,identifier__elonet,identifier__PORT,identifier__KLfG,last_seen,identifier__kinopoisk,identifier__CSFD,identifier__filmportal_de,identifier__DNF,identifier__NLA,wikipedia__tawikiquote,identifier__NUKAT,wikipedia__enwikisource,identifier__SFDb,name__sd,identifier__SCOPE,wikipedia__tcy,name__tcy,identifier__BNE,identifier__guardian_topic,wikipedia__itwikiquote,occupation,wikipedia__gom,name__gom,identifier__flickr,identifier__nyt_topic,identifier__quora,identifier__ne_se,identifier__BBC_things,wikipedia__ie,name__ie,name__ast,name__ext,wikipedia__vep,wikipedia__dty,name__dty,name__vep,identifier__BIBSYS,identifier__NSK,identifier__goodreads,wikipedia__sd,instagram,wikipedia__is,identifier__SELIBR,name__anp,identifier__EGAXA,wikipedia__azb,name__azb,identifier__NLP,wikipedia__wuu,identifier__bigenc_ru,identifier__GNC,wikipedia__an,name__wuu,wikipedia__io,wikipedia__war,name__war,name__io,identifier__discogs,wikipedia__ast,name__ace,name__min,name__su,name__map_bms,name__bug,name__bjn,name__tet,name__gor,identifier__prsindia,wikipedia__sat,name__sat,identifier__CONOR
Q10218,Rahul Gandhi,રાહુલ ગાંધી,రాహుల్ గాంధీ,राहुल गाँधी,राहुल गांधी,राहुल गान्धी,राहुल् गान्धी,Rahul Gandhi,Rahul Gandhi,Rahul Gandhi,Rahul Gandhi,Rahul Gandhi,राहुल गांधी,male,1970-06-19,Rahul,,ராகுல் காந்தி,राहुल गांधी,ராகுல் காந்தி,https://upload.wikimedia.org/wikipedia/commons/2/2a/Rahul_Gandhi_Crop.jpg,http://www.rahulgandhi.us,Rahul Gandhi,Rahul Gandhi,Rahul Gandhi,Rahul Gandhi,ରାହୁଳ ଗାନ୍ଧୀ,Rahul Gandhi,Rahul Gandhi,Rahul Gandhi,Рахул Ганди,Rahul Gandhi,"Ганди, Рахул",রাহুল গান্ধী,রাহুল গান্ধী,Category:Rahul Gandhi,,,രാഹുൽ ഗാന്ധി,രാഹുൽ ഗാന്ധി,రాహుల్ గాంధీ,84246298,ਰਾਹੁਲ ਗਾਂਧੀ,ਰਾਹੁਲ ਗਾਂਧੀ,Rahul Gandhi,राहुल गांधी,راہُل گاندھی,拉胡爾·甘地,Rahul Gandhi,राहुल गान्धी,Rahul Gandhi,راہل گاندھی,拉胡爾·甘地,/m/01sd6z,1674869,Rahul Gandhi,ರಾಹುಲ್ ಗಾಂಧಿ,ರಾಹುಲ್ ಗಾಂಧಿ,राहुल गान्धी,Rahul Gandhi,,Gandhi,0000 0001 1462 0874,,,,,,,,Rahul Gandhi,,,Rahul Gandhi,,,,Rahul Gandhi,Rahul Gandhi,Rahul Gandhi,Rahul Gandhi,,,,,,רהול גנדי,라훌 간디,ラーフル・ガンディー,Rahul Gandhi,Rahul Gandhi,,,,راهول گاندی,Рахул Ганди,,,Rahul Gandhi,Ραούλ Γκάντι,,राहुल गान्धी,,,,,Рахул Ганди,,,,Rahul Gandhi,Ραούλ Γκάντι,,,,راهول گاندی,Rahul Gandhi,રાહુલ ગાંધી,רהול גנדי,,Rahul Gandhi,ラーフル・ガンディー,Rahul Gandhi,,라훌 간디,,राहुल गान्धी,,,Rahul Gandhi,Rahul Gandhi,,,Rahul Gandhi,Rahul Gandhi,,,,Rahul Gandhi,,Rahul Gandhi,,,133737314,n2006172695,,,,,00000029615,100798,Rahul Gandhi,Rahul Gandhi,,,Rahul Gandhi,,,Rahul Gandhi,,,راہُل گاندھی,ราหุล คานธี,Rahul Gándhí,,,,,,,,,,,,,,,,,,,,राहुल गांधी,,,,,,,,,,,,,Rahul Gandhi,,راہُل گاندھی,,,,,,ราหุล คานธี,,,,,,,,,,,,,,,,,,,,,,,,,,,,,राहुल गान्धी,Рахул Ганди,Rahul Gandhi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,person/rahul-gandhi,Rahul-Gandhi-politician,,,,,Rahul Gandhi,Rahul Gandhi,,राहुल गान्धी,राहुल गान्धी,,,,,,rahulgandhi,,,,,,,,,,,,,,,,,,,,,,,,,,,rahulgandhi,,,
Q1058,Narendra Modi,નરેન્દ્ર મોદી,నరేంద్ర మోడి,नरेन्द्र मोदी,नरेंद्र मोदी,नरेन्द्र मोदी,नरेन्द्र मोदी,Narendra Modi,Narendra Modi,Narendra Modi,Narendra Modi,Narendra Modi,नरेन्द्र मोदी,male,1950-09-17,Narendra,,நரேந்திர மோடி,नरेंद्र मोदी,நரேந்திர மோதி,https://upload.wikimedia.org/wikipedia/commons/9/90/PM_Modi_2015.jpg,http://www.narendramodi.in,Narendra Modi,Narendra Modi,Narendra Modi,Narendra Modi,ନରେନ୍ଦ୍ର ମୋଦୀ,Narendra Modi,Narendra Modi,Narendra Modi,Нарендра Моди,Narendra Modi,"Моди, Нарендра",নরেন্দ্র মোদী,নরেন্দ্র মোদী,Narendra Modi,Narendra Modi,,നരേന്ദ്ര മോദി,നരേന്ദ്ര മോദി,నరేంద్ర మోదీ,95532763,ਨਰਿੰਦਰ ਮੋਦੀ,ਨਰਿੰਦਰ ਮੋਦੀ,Narendra Modi,नरेन्द्र मोदी,نریندر مودی,纳伦德拉·莫迪,Narendra Modi,नरेन्द्र मोदी,Narendra Modi,نریندر مودی,纳伦德拉·莫迪,/m/0296q2,1570188,Narendra Modi,ನರೇಂದ್ರ ಮೋದಿ,ನರೇಂದ್ರ ಮೋದಿ,नरेन्द्र मोदी,Narendra Modi,,Modi,0000 0000 7887 7372,,,,,,,,,Narendra Modi,Narendra Modi,Narendra Modi,Narendra Modi,,ناريندرا مودي,Narendra Modi,Narendra Modi,Narendra Modi,Narendra Modi,Нарендра Моді,,,Narendra Modi,Нарэндра Модзі,נרנדרה מודי,나렌드라 모디,ナレンドラ・モディ,Narendra Modi,Narendra Modi,Narendra Modi,,,نریندر مودی,Нарендра Моди,ნარენდრა მოდი,,Narendra Modi,Ναρέντρα Μόντι,莫迪,नरेन्द्र मोदी,ناريندرا مودي,,,Нарэндра Модзі,Нарендра Моди,Narendra Modi,,Narendra Modi,Narendra Modi,Ναρέντρα Μόντι,Narendra Modi,Narendra Modi,Narendra Modi,نارندرا مودی,Narendra Modi,નરેન્દ્ર મોદી,נרנדרה מודי,Narendra Modi,Narendra Modi,ナレンドラ・モディ,,ნარენდრა მოდი,나렌드라 모디,Narendra Modi,नरेन्द्र मोदी,Narendra Modi,,Narendra Modi,Narendra Modi,ନରେନ୍ଦ୍ର ମୋଦୀ,,,Narendra Modi,Категория:Нарендра Моди,Narendra Modi,,Narendra Modi,Нарендра Моді,Narendra Modi,Narendra Modi,莫迪,138922926,no2002016337,144692430,,,393581837,00000029614,235396,Narendra Modi,Narendra Modi,নৰেন্দ্ৰ মোডী,নৰেন্দ্ৰ মোদী,Narendra Modi,නරේන්ද්‍ර මෝඩි,Narendra Modi,Narendra Modi,Narendra Modi,Narendra Modi,نریندر مودی,นเรนทระ โมที,Naréndra Módí,Narendra Modi,Narendra Modi,Narendra Modi,Нарендра Моди,,Narendra Modi,Narēndra Modi,נארענדרא מאדי,Нарендра Моди,Narendra Modi,نارێندرا مۆدی,ნარენდრა მოდი,Նարենդրա Մոդի,نَریندرٖ مودی,Narendra Modi,Narendra Modi,Narendra Modi,Narendra Modi,Narendra Modi,नरेंद्र मोदी,Narendra Modi,نارێندرا مۆدی,Naréndra Módí,Nárendra Módí,Narendra Modi,Narendra Modi,Narendra Modi,Նարենդրա Մոդի,نَریندرٖ مودی,Narendra Modi,Narendra Modi,Narēndra Modi,Narendra Modi,Narendra Modi,نریندر مودی,Narendra Modi,Narendra Modi,නරේන්ද්‍ර මෝදි,Нарендра Моди,నరేంద్రమోడి,นเรนทระ โมที,Narendra Modi,ნარენდრა მოდი,נארענדרא מאדי,biography/Narendra-Modi,narendramodi,,,,,,,,,,,,نريندرا مودي,Narendra Modi,,,,Narendra Modi,,,,,نريندرا مودي,268475866502370,नरेंद्र मोदी,,Narendra Modi,,,,Narendra Modi,,,,,,,,,,,narendamodi,,,,,,,,,,,நரேந்திர மோடி,,Author:Narendra Modi,,,,ನರೇಂದ್ರ ಮೋದಿ,ನರೇಂದ್ರ ಮೋದಿ,,,,politician,Narendra Modi,ನರೇಂದ್ರ ಮೋದಿ,narendramodiofficial,person/narendra-modi,Narendra-Modi,narendra-modi,103fc7e4-3a8d-491c-9a75-3c37c299d48f,Narendra Modi,Narendra Modi,Narendra Modi,Narendra Modi,Modi Narendra,नरेन्द्र मोदी,नरेन्द्र मोदी,Modi Narendra,,,,,,Narendra Modi,,,,,,,纳伦德拉·莫迪,3990419,,Narendra Modi,纳伦德拉·莫迪,Narendra Modi,Narendra Modi,Narendra Modi,Narendra Modi,,Narendra Modi,,,,,,,,,narendramodi,ᱱᱚᱨᱮᱱᱫᱨᱚ ᱢᱚᱫᱤ,ᱱᱚᱨᱮᱱᱫᱨᱚ ᱢᱚᱫᱤ,
Q1151446,D. V. Sadananda Gowda,ડી૰ વી૰ સદાનંદ ગૌડ઼ા,డి.వి.సదానంద గౌడ,डी॰ वी॰ सदानंद गौड़ा,सदानंद गौडा,डी. वी. सदानन्द गौडः,डी. वी. सदानन्द गौडः,D. V. Sadananda Gowda,D. V. Sadananda Gowda,D. V. Sadananda Gowda,D. V. Sadananda Gowda,D. V. Sadananda Gowda,डी॰ वी॰ सदानन्द गौड़ा,male,1953-03-19,D.,,டி. வி. சதானந்த கௌடா,सदानंद गौडा,டி. வி. சதானந்த கௌடா,https://upload.wikimedia.org/wikipedia/commons/f/f1/Sadananda_Gowda.jpg,http://sadanandagowda.com/,D. V. Sadananda Gowda,D. V. Sadananda Gowda,D. V. Sadananda Gowda,D. V. Sadananda Gowda,ଡି. ଭି. ସଦାନନ୍ଦ ଗୌଡ଼,,D. V. Sadananda Gowda,D. V. Sadananda Gowda,,D. V. Sadananda Gowda,,ডি. ভি. সদানন্দ গৌড়া,,Category:D. V. Sadananda Gowda,,,ഡി.വി. സദാനന്ദ ഗൗഡ,ഡി.വി. സദാനന്ദ ഗൗഡ,డి.వి.సదానంద గౌడ,,,,,,,,,डी वी सदानन्द गौड,,,,/m/0h5bf_,,,ಡಿ. ವಿ. ಸದಾನಂದ ಗೌಡ,ಡಿ. ವಿ. ಸದಾನಂದ ಗೌಡ,,,,,,,,,,,,,,,,D. V. Sadananda Gowda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D. V. Sadananda Gowda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ಡಿ.ವಿ.ಸದಾನಂದ ಗೌಡ,ಡಿ.ವಿ.ಸದಾನಂದ ಗೌಡ,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12438034,P. C. Mohan,પી૰સી૰ મોહન,పీ.సీ. మోహన్,पी. सी. मोहन,पी. सी. मोहन,पी. सी. मोहन,पी. सी. मोहन,,P. C. Mohan,P. C. Mohan,P. C. Mohan,P. C. Mohan,पी॰सी॰ मोहन,male,1963-07-24,P.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ಪಿ. ಸಿ. ಮೋಹನ್,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pcmohan,,,
Q12457057,Gowdar Mallikarjunappa Siddeswara,જી૰એમ૰ સિદ્ધેશ્વર,జీ.ఎం. సిద్ధేశ్వర,जी॰एम॰ सिद्धेश्वर,जी.एम. सिद्देश्वर,जी.एम. सिद्देश्वर,जी.एम. सिद्देश्वर,Gowdar Mallikarjunappa Siddeswara,G. M. Siddeshwara,Gowdar Mallikarjunappa Siddeswara,Gowdar Mallikarjunappa Siddeswara,G. M. Siddeshwara,जी॰एम॰ सिद्धेश्वर,male,1952-07-05,,,மல்லிகார்ஜுனப்பா சித்தேஸ்வர கவுடர்,जी.एम. सिद्देश्वर,மல்லிகார்ஜுனப்பா சித்தேஸ்வர கவுடர்,,http://www.gmsiddeshwara.com/,,,,,,,,,,Gowdar Mallikarjunappa Siddeswara,,,,,,,ജി.എം. സിദ്ധേശ്വര,ജി.എം. സിദ്ധേശ്വര,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gowdar Mallikarjunappa Siddeswara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gowdarmallikarjunappasiddeswara,,,
Q1287413,Kamal Nath,કમલનાથ,కమల్ నాథ్,कमलनाथ,कमल नाथ,कमलनाथ,कमल नाथ,Kamal Nath,Kamal Nath,Kamal Nath,Kamal Nath,Kamal Nath,कमल नाथ,male,1946-11-18,Kamal,,கமல் நாத்,कमल नाथ,கமல் நாத்,https://upload.wikimedia.org/wikipedia/commons/8/86/Kamal_Nath_-_World_Economic_Forum_Annual_Meeting_Davos_2008.jpg,,Kamal Nath,Kamal Nath,Kamal Nath,Kamal Nath,କମଳ ନାଥ,,,,,Kamal Nath,,কমল নাথ,,Category:Kamal Nath,,,കമൽ നാഥ്,കമൽ നാഥ്,,220331936,ਕਮਲਨਾਥ,ਕਮਲਨਾਥ,,,,,Kamal Nath,,Kamal Nath,,,/m/05sv1w,,Kamal Nath,,,,,,Nath,0000 0003 5962 1189,,,,,,,,,,Kamal Nath,Kamal Nath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kamal Nath,,,,,,,,,,,,,,,,,Kamal Nath,,,,,,Kamal Nath,,,,,,,,,,,no2007152678,130861553,,,,,135721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,077/000098780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,10014465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kamalnath,,,
Q13110635,M. I. Shanavas,એમ૰આઈ૰ શાનવાસ,ఎం.ఐ. షానవాస్,एम॰आई॰ शानवास,एम॰आई॰ शानवास,एम॰आई॰ शानवास,एम॰आई॰ शानवास,,M. I. Shanavas,M. I. Shanavas,M. I. Shanavas,M. I. Shanavas,एम॰आई॰ शानवास,male,1952-09-22,M.,,எம். ஐ. ஷா நவாஸ்,,எம். ஐ. ஷா நவாஸ்,https://upload.wikimedia.org/wikipedia/commons/5/56/MI_Shanavas.MP.jpg,,,,,,,M.I. Shanavas,,,,M. I. Shanavas,,,,Category:M. I. Shanavas,,,എം.ഐ. ഷാനവാസ്,എം.ഐ. ഷാനവാസ്,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M. I. Shanavas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mishanavas,,,
Q13111517,K. C. Venugopal,કે૰સી૰ વેણુગોપાલ,కే.సీ. వేణుగోపాల్,के॰सी॰ वेणुगोपाल,के॰सी॰ वेणुगोपाल,के॰सी॰ वेणुगोपाल,के॰सी॰ वेणुगोपाल,,K. C. Venugopal,K. C. Venugopal,K. C. Venugopal,K. C. Venugopal,के॰सी॰ वेणुगोपाल,male,1963-02-04,,,கே. சி. வேணுகோபால்,,கே. சி. வேணுகோபால்,https://upload.wikimedia.org/wikipedia/commons/0/01/K.C._Venugopal.JPG,,,,,,,,,,,,,,,Category:K. C. Venugopal,,,കെ.സി. വേണുഗോപാൽ,കെ.സി. വേണുഗോപാൽ,,,,,,,,,,,,,,,,,,,,,,Venugopal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kcvenugopal,,,
Q13564443,N. K. Premachandran,એન૰કે૰ પ્રેમચન્દ્રન,ఎన్. కె. ప్రేమచంద్రన్,एन॰के॰ प्रेमचन्द्रन,एन॰के॰ प्रेमचन्द्रन,एन॰के॰ प्रेमचन्द्रन,एन॰के॰ प्रेमचन्द्रन,,N.K. Premachandran,N. K. Premachandran,N. K. Premachandran,N. K. Premachandran,एन॰के॰ प्रेमचन्द्रन,male,1960-05-25,N.,,என். கே. பிரேமசந்திரன்,,என். கே. பிரேமசந்திரன்,https://upload.wikimedia.org/wikipedia/commons/f/f0/NK_PREMACHANDRAN.rotated.rotated.jpg,,,,,,,,,,,,,,,,,,എൻ.കെ. പ്രേമചന്ദ്രൻ,എൻ.കെ. പ്രേമചന്ദ്രൻ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1428118,Anbumani Ramadoss,અંબુમણિ રામદૉસ,అన్బుమణి రామదాస్,अंबुमणि रामदॉस,अंबुमणि रामदॉस,अंबुमणि रामदॉस,अंबुमणि रामदॉस,Anbumani Ramadoss,Anbumani Ramadoss,Anbumani Ramadoss,Anbumani Ramadoss,Anbumani Ramadoss,अंबुमणि रामदॉस,male,1968-10-09,,,அன்புமணி ராமதாஸ்,,அன்புமணி ராமதாஸ்,https://upload.wikimedia.org/wikipedia/commons/4/4c/Dr_Anbumani_Ramadoss_(2456738711).jpg,,Anbumani Ramadoss,Anbumani Ramadoss,Anbumani Ramadoss,Anbumani Ramdoss,,,,,,Anbumani Ramadoss,,,,Category:Anbumani Ramadoss,,,അൻപുമണി രാമദാസ്,അൻപുമണി രാമദാസ്,అన్బుమణి రామదాస్,,,,Anbumani Ramadoss,,,,,,Anbumani Ramdoss,,,/m/026t24t,,,,,,,,,,,,,,,,,,,,Anbumani Ramadoss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,Anbumani-Ramadoss-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anbumaniramadoss,,,
