id,name,birth_date,image,email,party,start_date,end_date,area,area_id,source,term
ada-marshania,Ada Marshania,1967-07-01,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5353.jpg?itok=3xAYLNs0,amarshania@parliament.ge,Patriots of Georgia,2016-11-18,,Party List,,http://www.chemiparlamenti.ge/en/parliamentarian/ada-marshania,9
akaki-bobokhidze,Akaki Bobokhidze,1964-09-14,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-03/bobo.jpg?itok=VsErkzCj,abobokhidze@parliament.ge,მოძრაობა თავისუფლებისთვის - რეგიონები,2016-11-18,,Party List,,http://www.chemiparlamenti.ge/en/parliamentarian/akaki-bobokhidze,9
akaki-zoidze,Akaki Zoidze,1968-06-03,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5618.jpg?itok=2Mo4BStH,azoidze@parliament.ge,The Georgian Dream,2016-11-18,,Party List,,http://www.chemiparlamenti.ge/en/parliamentarian/akaki-zoidze,9
aleksandre-erkvania,Aleksandre Erkvania,1975-12-24,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-01/5633.jpg?itok=ValU2dfu,aerqvania@parliament.ge,The Georgian Dream,2016-11-18,,Party List,,http://www.chemiparlamenti.ge/en/parliamentarian/aleksandre-erkvania,9
aleksandre-kantaria,Aleksandre Kantaria,1959-10-07,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/2139.jpg?itok=TyY2UFR5,akantaria@parliament.ge,The Georgian Dream,2016-11-18,,Party List,,http://www.chemiparlamenti.ge/en/parliamentarian/aleksandre-kantaria,9
anri-okhanashvili,Anri Okhanashvili,1985-06-10,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5881.jpg?itok=rK9XVw0j,aokhanashvili@parliament.ge,The Georgian Dream,2017-02-10,,Party List,,http://www.chemiparlamenti.ge/en/parliamentarian/anri-okhanashvili,9
anzor-bolkvadze,Anzor Bolkvadze,1960-09-09,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-01/2431.jpg?itok=6xA5p1D5,abolkvadze@parliament.ge,The Georgian Dream,2016-11-18,,#73 Khulo,73,http://www.chemiparlamenti.ge/en/parliamentarian/anzor-bolkvadze,9
archil-khabadze,Archil Khabadze,1981-03-11,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5624.jpg?itok=xV-0XSEN,akhabadze@parliament.ge,The Georgian Dream,2016-11-18,,Party List,,http://www.chemiparlamenti.ge/en/parliamentarian/archil-khabadze,9
archil-talakvadze,Archil Talakvadze,1983-01-16,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/5693.jpg?itok=Lw-hIomB,atalakvadze@parliament.ge,The Georgian Dream,2016-11-18,,#59 Ozurgeti,59,http://www.chemiparlamenti.ge/en/parliamentarian/archil-talakvadze,9
azer-suleimanovi,Azer Suleimanovi,1967-07-23,http://www.chemiparlamenti.ge/sites/default/files/styles/parliamentarian_thumbnail/public/2017-02/2269.jpg?itok=qZYhLoGz,asuleimanovi@parliament.ge,The United National Movement,2016-11-18,,,,http://www.chemiparlamenti.ge/en/parliamentarian/azer-suleimanovi,9
