id,name,sort_name,district,start_date,end_date,party,source,image,phone,email,term
aabraham,Alejandro Abraham,"Abraham, Alejandro",Mendoza,2013-12-10,2017-12-09,FRENTE PARA LA VICTORIA - PJ,http://www.hcdn.gob.ar/diputados/aabraham/,,,,133
aargumedo,Alcira Susana Argumedo,"Argumedo, Alcira Susana",Ciudad De Buenos Aires,2013-12-10,2017-12-09,PROYECTO SUR - UNEN,http://www.hcdn.gob.ar/diputados/aargumedo/,,,,133
aarregui,ANDRES ROBERTO ARREGUI,"ARREGUI, ANDRES ROBERTO",BUENOS AIRES,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ,http://www.hcdn.gob.ar/diputados/aarregui/,http://www4.hcdn.gob.ar/fotos/aarregui.jpg,4127-7100,aarregui@diputados.gob.ar,133
aasseff,ALBERTO EMILIO ASSEFF,"ASSEFF, ALBERTO EMILIO",BUENOS AIRES,2011-12-10,2015-12-09,UNIR,http://www.hcdn.gob.ar/diputados/aasseff/,http://www4.hcdn.gob.ar/fotos/aasseff.jpg,4127-7100,aasseff@diputados.gob.ar,133
abesada,Alicia Irma Besada,"Besada, Alicia Irma",Ciudad De Buenos Aires,2013-12-10,2017-12-09,UNION PRO,http://www.hcdn.gob.ar/diputados/abesada/,,,,133
acalleri,Agustin Santiago Calleri,"Calleri, Agustin Santiago",Cordoba,2013-12-10,2017-12-09,UNIDOS POR UNA NUEVA ARGENTINA,http://www.hcdn.gob.ar/diputados/acalleri/,,,,133
acarol,Analuz Ailen Carol,"Carol, Analuz Ailen",Tierra Del Fuego,2015-12-10,2019-12-09,FRENTE PARA LA VICTORIA - PJ,http://www.hcdn.gob.ar/diputados/acarol/,,,,133
aciampini,Jose Alberto Ciampini,"Ciampini, Jose Alberto",Neuquen,2015-12-10,2019-12-09,FRENTE PARA LA VICTORIA - PJ,http://www.hcdn.gob.ar/diputados/aciampini/,,,,133
aciciliani,Alicia Mabel Ciciliani,"Ciciliani, Alicia Mabel",Santa Fe,2013-12-10,2017-12-09,PARTIDO SOCIALISTA,http://www.hcdn.gob.ar/diputados/aciciliani/,,,,133
acomelli,ALICIA MARCELA COMELLI,"COMELLI, ALICIA MARCELA",NEUQUEN,2011-12-10,2015-12-09,MOV POP NEUQUINO,http://www.hcdn.gob.ar/diputados/acomelli/,http://www4.hcdn.gob.ar/fotos/acomelli.jpg,4127-7100,acomelli@diputados.gob.ar,133
acopes,Ana Isabel Copes,"Copes, Ana Isabel",Santa Fe,2013-12-10,2017-12-09,DEMOCRATA PROGRESISTA,http://www.hcdn.gob.ar/diputados/acopes/,,,,133
adato,ALFREDO CARLOS DATO,"DATO, ALFREDO CARLOS",TUCUMAN,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ,http://www.hcdn.gob.ar/diputados/adato/,http://www4.hcdn.gob.ar/fotos/adato.jpg,4127-7100,adato@diputados.gob.ar,133
aechegaray,Alejandro Carlos Augusto Echegaray,"Echegaray, Alejandro Carlos Augusto",Buenos Aires,2015-12-10,2019-12-09,UCR,http://www.hcdn.gob.ar/diputados/aechegaray/,,,,133
afernandezs,ANABEL FERNANDEZ SAGASTI,"FERNANDEZ SAGASTI, ANABEL",MENDOZA,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ,http://www.hcdn.gob.ar/diputados/afernandezs/,http://www4.hcdn.gob.ar/fotos/afernandezs.jpg,4127-7100,afernandezs@diputados.gob.ar,133
aferreyra,Araceli Ferreyra,"Ferreyra, Araceli",Corrientes,2015-12-10,2019-12-09,PERONISMO PARA LA VICTORIA,http://www.hcdn.gob.ar/diputados/aferreyra/,,,,133
agaillard,Ana Carolina Gaillard,"Gaillard, Ana Carolina",Entre Rios,2013-12-10,2017-12-09,FRENTE PARA LA VICTORIA - PJ,http://www.hcdn.gob.ar/diputados/agaillard/,,,,133
agarcia,ANDREA FABIANA GARCIA,"GARCIA, ANDREA FABIANA",BUENOS AIRES,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ,http://www.hcdn.gob.ar/diputados/agarcia/,http://www4.hcdn.gob.ar/fotos/agarcia.jpg,4127-7100,agarcia@diputados.gob.ar,133
agonzalez,Alvaro Gustavo Gonzalez,"Gonzalez, Alvaro Gustavo",Ciudad De Buenos Aires,2015-12-10,2019-12-09,UNION PRO,http://www.hcdn.gob.ar/diputados/agonzalez/,,,,133
agrana,Adrian Eduardo Grana,"Grana, Adrian Eduardo",Buenos Aires,2015-12-10,2019-12-09,FRENTE PARA LA VICTORIA - PJ,http://www.hcdn.gob.ar/diputados/agrana/,,,,133
agrandinetti,Alejandro Ariel Grandinetti,"Grandinetti, Alejandro Ariel",Santa Fe,2015-12-10,2019-12-09,FEDERAL UNIDOS POR UNA NUEVA ARGENTINA,http://www.hcdn.gob.ar/diputados/agrandinetti/,,,,133
aguzman,Andres Ernesto Guzman,"Guzman, Andres Ernesto",Cordoba,2013-12-10,2017-12-09,BRIGADIER GENERAL JUAN BAUTISTA BUSTOS,http://www.hcdn.gob.ar/diputados/aguzman/,,,,133
ahers,Anabella Ruth Hers Cabral,"Hers Cabral, Anabella Ruth",Ciudad De Buenos Aires,2015-12-10,2019-12-09,UNION PRO,http://www.hcdn.gob.ar/diputados/ahers/,,,,133
aianni,ANA MARIA IANNI,"IANNI, ANA MARIA",SANTA CRUZ,2011-12-10,2015-12-09,FRENTE PARA LA VICTORIA - PJ,http://www.hcdn.gob.ar/diputados/aianni/,http://www4.hcdn.gob.ar/fotos/aianni.jpg,4127-7100,aianni@diputados.gob.ar,133
akicillof,Axel Kicillof,"Kicillof, Axel",Ciudad De Buenos Aires,2015-12-10,2019-12-09,FRENTE PARA LA VICTORIA - PJ,http://www.hcdn.gob.ar/diputados/akicillof/,,,,133
alarroque,Andres Larroque,"Larroque, Andres",Ciudad De Buenos Aires,2015-12-10,2019-12-09,FRENTE PARA LA VICTORIA - PJ,http://www.hcdn.gob.ar/diputados/alarroque/,,,,133
allanosm,Ana Llanos,"Llanos, Ana",Chubut,2015-12-10,2019-12-09,FRENTE PARA LA VICTORIA - PJ,http://www.hcdn.gob.ar/diputados/allanosm/,,,,133
