id,name,sort_name,district,start_date,end_date,party,source,image,phone,email,term
aabraham,Alejandro Abraham,"Abraham, Alejandro",Mendoza,2013-12-10,2017-12-09,FRENTE PARA LA VICTORIA - PJ,http://www.hcdn.gob.ar/diputados/aabraham/,,,,134
aargumedo,Alcira Susana Argumedo,"Argumedo, Alcira Susana",Ciudad De Buenos Aires,2013-12-10,2017-12-09,PROYECTO SUR - UNEN,http://www.hcdn.gob.ar/diputados/aargumedo/,,,,134
abesada,Alicia Irma Besada,"Besada, Alicia Irma",Ciudad De Buenos Aires,2013-12-10,2017-12-09,UNION PRO,http://www.hcdn.gob.ar/diputados/abesada/,,,,134
acalleri,Agustin Santiago Calleri,"Calleri, Agustin Santiago",Cordoba,2013-12-10,2017-12-09,UNIDOS POR UNA NUEVA ARGENTINA,http://www.hcdn.gob.ar/diputados/acalleri/,,,,134
acarol,Analuz Ailen Carol,"Carol, Analuz Ailen",Tierra Del Fuego,2015-12-10,2019-12-09,FRENTE PARA LA VICTORIA - PJ,http://www.hcdn.gob.ar/diputados/acarol/,,,,134
aciampini,Jose Alberto Ciampini,"Ciampini, Jose Alberto",Neuquen,2015-12-10,2019-12-09,FRENTE PARA LA VICTORIA - PJ,http://www.hcdn.gob.ar/diputados/aciampini/,,,,134
aciciliani,Alicia Mabel Ciciliani,"Ciciliani, Alicia Mabel",Santa Fe,2013-12-10,2017-12-09,PARTIDO SOCIALISTA,http://www.hcdn.gob.ar/diputados/aciciliani/,,,,134
acopes,Ana Isabel Copes,"Copes, Ana Isabel",Santa Fe,2013-12-10,2017-12-09,DEMOCRATA PROGRESISTA,http://www.hcdn.gob.ar/diputados/acopes/,,,,134
aechegaray,Alejandro Carlos Augusto Echegaray,"Echegaray, Alejandro Carlos Augusto",Buenos Aires,2015-12-10,2019-12-09,UCR,http://www.hcdn.gob.ar/diputados/aechegaray/,,,,134
aferreyra,Araceli Ferreyra,"Ferreyra, Araceli",Corrientes,2015-12-10,2019-12-09,PERONISMO PARA LA VICTORIA,http://www.hcdn.gob.ar/diputados/aferreyra/,,,,134
agaillard,Ana Carolina Gaillard,"Gaillard, Ana Carolina",Entre Rios,2013-12-10,2017-12-09,FRENTE PARA LA VICTORIA - PJ,http://www.hcdn.gob.ar/diputados/agaillard/,,,,134
agonzalez,Alvaro Gustavo Gonzalez,"Gonzalez, Alvaro Gustavo",Ciudad De Buenos Aires,2015-12-10,2019-12-09,UNION PRO,http://www.hcdn.gob.ar/diputados/agonzalez/,,,,134
agrana,Adrian Eduardo Grana,"Grana, Adrian Eduardo",Buenos Aires,2015-12-10,2019-12-09,FRENTE PARA LA VICTORIA - PJ,http://www.hcdn.gob.ar/diputados/agrana/,,,,134
agrandinetti,Alejandro Ariel Grandinetti,"Grandinetti, Alejandro Ariel",Santa Fe,2015-12-10,2019-12-09,FEDERAL UNIDOS POR UNA NUEVA ARGENTINA,http://www.hcdn.gob.ar/diputados/agrandinetti/,,,,134
aguzman,Andres Ernesto Guzman,"Guzman, Andres Ernesto",Cordoba,2013-12-10,2017-12-09,BRIGADIER GENERAL JUAN BAUTISTA BUSTOS,http://www.hcdn.gob.ar/diputados/aguzman/,,,,134
ahers,Anabella Ruth Hers Cabral,"Hers Cabral, Anabella Ruth",Ciudad De Buenos Aires,2015-12-10,2019-12-09,UNION PRO,http://www.hcdn.gob.ar/diputados/ahers/,,,,134
akicillof,Axel Kicillof,"Kicillof, Axel",Ciudad De Buenos Aires,2015-12-10,2019-12-09,FRENTE PARA LA VICTORIA - PJ,http://www.hcdn.gob.ar/diputados/akicillof/,,,,134
alarroque,Andres Larroque,"Larroque, Andres",Ciudad De Buenos Aires,2015-12-10,2019-12-09,FRENTE PARA LA VICTORIA - PJ,http://www.hcdn.gob.ar/diputados/alarroque/,,,,134
allanosm,Ana Llanos,"Llanos, Ana",Chubut,2015-12-10,2019-12-09,FRENTE PARA LA VICTORIA - PJ,http://www.hcdn.gob.ar/diputados/allanosm/,,,,134
amartinez,Ana Laura Martinez,"Martinez, Ana Laura",Santa Fe,2015-12-10,2019-12-09,UNION PRO,http://www.hcdn.gob.ar/diputados/amartinez/,,,,134
