id,name,sort_name,district,start_date,end_date,party,source,image,phone,email,term
aquintar,Amado Quintar,"Quintar, Amado",Catamarca,2015-12-10,2019-12-09,FRENTE CIVICO Y SOCIAL DE CATAMARCA,http://www.hcdn.gob.ar/diputados/aquintar/,,,,135
ccaserio,CARLOS ALBERTO CASERIO,"CASERIO, CARLOS ALBERTO",CORDOBA,2013-12-10,2017-12-09,UNION POR CORDOBA,http://www.hcdn.gob.ar/diputados/ccaserio/,http://www4.hcdn.gob.ar/fotos/ccaserio.jpg,4127-7100,ccaserio@diputados.gob.ar,135
cgribaudo,CHRISTIAN ALEJANDRO GRIBAUDO,"GRIBAUDO, CHRISTIAN ALEJANDRO",BUENOS AIRES,2013-12-10,2017-12-09,UNION PRO,http://www.hcdn.gob.ar/diputados/cgribaudo/,http://www4.hcdn.gob.ar/fotos/cgribaudo.jpg,4127-7100,cgribaudo@diputados.gob.ar,135
diputados,Nathalia Gonzalez Seligra,"Gonzalez Seligra, Nathalia",Buenos Aires,2015-12-10,2019-12-09,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,http://www.hcdn.gob.ar/diputados/,,,,135
ecastrom,ENRIQUE ROBERTO CASTRO MOLINA,"CASTRO MOLINA, ENRIQUE ROBERTO",SAN JUAN,2015-12-10,2019-12-09,COMPROMISO CON SAN JUAN,http://www.hcdn.gob.ar/diputados/ecastrom/,http://www4.hcdn.gob.ar/fotos/ecastrom.jpg,4127-7100,ecastrom@diputados.gob.ar,135
fsalino,FERNANDO ALDO SALINO,"SALINO, FERNANDO ALDO",SAN LUIS,2013-12-10,2017-12-09,COMPROMISO FEDERAL,http://www.hcdn.gob.ar/diputados/fsalino/,http://www4.hcdn.gob.ar/fotos/fsalino.jpg,4127-7100,fsalino@diputados.gob.ar,135
gbellocq,GERARDO ALBERTO BELLOCQ,"BELLOCQ, GERARDO ALBERTO",CORDOBA,2013-12-10,2017-12-09,UCR,http://www.hcdn.gob.ar/diputados/gbellocq/,http://www4.hcdn.gob.ar/fotos/gbellocq.jpg,4127-7100,gbellocq@diputados.gob.ar,135
ggonzalez,Gladys Esther Gonzalez,"Gonzalez, Gladys Esther",Buenos Aires,2013-12-10,2017-12-09,UNION PRO,http://www.hcdn.gob.ar/diputados/ggonzalez/,,,,135
htomas,Hector Daniel Tomas,"Tomas, Hector Daniel",San Juan,2013-12-10,2017-12-09,FRENTE PARA LA VICTORIA - PJ,http://www.hcdn.gob.ar/diputados/htomas/,,,,135
jcano,JOSE MANUEL CANO,"CANO, JOSE MANUEL",TUCUMAN,2013-12-10,2017-12-09,UCR,http://www.hcdn.gob.ar/diputados/jcano/,http://www4.hcdn.gob.ar/fotos/jcano.jpg,4127-7100,jcano@diputados.gob.ar,135
jmartinez,JULIO CESAR MARTINEZ,"MARTINEZ, JULIO CESAR",LA RIOJA,2013-12-10,2017-12-09,UCR,http://www.hcdn.gob.ar/diputados/jmartinez/,http://www4.hcdn.gob.ar/fotos/jmartinez.jpg,4127-7100,jmartinez@diputados.gob.ar,135
lalonso,LAURA ALONSO,"ALONSO, LAURA",CIUDAD de BUENOS AIRES,2013-12-10,2017-12-09,UNION PRO,http://www.hcdn.gob.ar/diputados/lalonso/,http://www4.hcdn.gob.ar/fotos/lalonso.jpg,4127-7100,lalonso@diputados.gob.ar,135
llusquinos,Luis Bernardo Lusquiños,"Lusquiños, Luis Bernardo",San Luis,2013-12-10,2017-12-09,COMPROMISO FEDERAL,http://www.hcdn.gob.ar/diputados/llusquinos/,,,,135
mfiad,MARIO RAYMUNDO FIAD,"FIAD, MARIO RAYMUNDO",JUJUY,2013-12-10,2017-12-09,UCR,http://www.hcdn.gob.ar/diputados/mfiad/,http://www4.hcdn.gob.ar/fotos/mfiad.jpg,4127-7100,mfiad@diputados.gob.ar,135
mgill,MARTIN RODRIGO GILL,"GILL, MARTIN RODRIGO",CORDOBA,2013-12-10,2017-12-09,FRENTE PARA LA VICTORIA - PJ,http://www.hcdn.gob.ar/diputados/mgill/,http://www4.hcdn.gob.ar/fotos/mgill.jpg,4127-7100,mgill@diputados.gob.ar,135
mlousteau,MARTIN LOUSTEAU,"LOUSTEAU, MARTIN",CIUDAD de BUENOS AIRES,2013-12-10,2017-12-09,SUMA + UNEN,http://www.hcdn.gob.ar/diputados/mlousteau/,http://www4.hcdn.gob.ar/fotos/mlousteau.jpg,4127-7100,mlousteau@diputados.gob.ar,135
nparrilli,NANCI MARIA AGUSTINA PARRILLI,"PARRILLI, NANCI MARIA AGUSTINA",NEUQUEN,2013-12-10,2017-12-09,FRENTE PARA LA VICTORIA - PJ,http://www.hcdn.gob.ar/diputados/nparrilli/,http://www4.hcdn.gob.ar/fotos/nparrilli.jpg,4127-7100,nparrilli@diputados.gob.ar,135
npitrola,Nestor Antonio Pitrola,"Pitrola, Nestor Antonio",Buenos Aires,2015-12-10,2019-12-09,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,http://www.hcdn.gob.ar/diputados/npitrola/,,,,135
rburyaile,RICARDO BURYAILE,"BURYAILE, RICARDO",FORMOSA,2013-12-10,2017-12-09,UCR,http://www.hcdn.gob.ar/diputados/rburyaile/,http://www4.hcdn.gob.ar/fotos/rburyaile.jpg,4127-7100,rburyaile@diputados.gob.ar,135
rgiustozzi,RUBEN DARIO GIUSTOZZI,"GIUSTOZZI, RUBEN DARIO",BUENOS AIRES,2013-12-10,2017-12-09,BLOQUE SOCIAL CRISTIANO,http://www.hcdn.gob.ar/diputados/rgiustozzi/,http://www4.hcdn.gob.ar/fotos/rgiustozzi.jpg,4127-7100,rgiustozzi@diputados.gob.ar,135
vsosacapurro,SOLEDAD SOSA,"SOSA, SOLEDAD",MENDOZA,2013-12-10,2017-12-09,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,http://www.hcdn.gob.ar/diputados/vsosacapurro/,http://www4.hcdn.gob.ar/fotos/vsosacapurro.jpg,4127-7100,vsosacapurro@diputados.gob.ar,135
