id,identifier__parldata,name,family_name,birth_date,honorific_prefix,email,image,source,term,party,party_id,start_date,end_date,sort_name
v050,550303bc273a39033bab34ed,Vágó Sebestyén,"","","",vago.sebestyen@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303bc273a39033bab34ed/image.80.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=v050,40,Jobbik,Jobbik,2014-05-06,,
s769,550303bc273a39033bab34ef,Schmuck Erzsébet,"","","",schmuck.erzsebet@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303bc273a39033bab34ef/image.80.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=s769,40,LMP,LMP,2014-05-06,,
s769,550303bc273a39033bab34ef,Schmuck Erzsébet,"","","",schmuck.erzsebet@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303bc273a39033bab34ef/image.80.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=s769,40,LMP,LMP,2014-10-20,2014-10-20,
s051,550303bd273a39033bab34f1,Soltész Miklós,"","","",miklos.soltesz@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303bd273a39033bab34f1/image.81.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=s051,40,KDNP,KDNP,2014-05-06,,
v018,550303bd273a39033bab34f3,Varju László,"","","",laszlo.varju@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303bd273a39033bab34f3/image.81.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=v018,40,Unknown,_unknown,,,
m038,550303bd273a39033bab34f5,Dr. Molnár Csaba,Molnár,"",Dr.,"",http://files.parldata.eu/hu/orszaggyules/people/550303bd273a39033bab34f5/image.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=m038,40,Unknown,_unknown,,,"Molnár, Csaba"
b063,550303bd273a39033bab34f7,Bajnai Gordon,Bajnai,"","","",http://files.parldata.eu/hu/orszaggyules/people/550303bd273a39033bab34f7/image.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=b063,40,Unknown,_unknown,,,"Bajnai, Gordon"
b022,550303be273a39033bab34f9,Balczó Zoltán,Balczó,"","","",http://files.parldata.eu/hu/orszaggyules/people/550303be273a39033bab34f9/image.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=b022,40,Jobbik,Jobbik,2014-05-06,2014-06-20,"Balczó, Zoltán"
z004,550303c8273a39033bab3559,Zsigó Róbert,"","","",robert.zsigo@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303c8273a39033bab3559/image.80.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=z004,40,Fidesz,Fidesz,2014-05-06,2014-07-03,
v041,550303c8273a39033bab355b,Velez Árpád,"","","",velez.arpad@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303c8273a39033bab355b/image.80.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=v041,40,MSZP,MSZP,2014-05-06,,
b164,550303c9273a39033bab355d,Dr. Botka László,Botka,"",Dr.,"",http://files.parldata.eu/hu/orszaggyules/people/550303c9273a39033bab355d/image.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=b164,40,MSZP,MSZP,2014-05-06,2014-10-16,"Botka, László"
r015,550303c9273a39033bab355f,Rácz Róbert,Rácz,"","","",http://files.parldata.eu/hu/orszaggyules/people/550303c9273a39033bab355f/image.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=r015,40,Fidesz,Fidesz,2014-05-06,2014-07-23,"Rácz, Róbert"
k382,550303c9273a39033bab3561,Kiss Péter,Kiss,"","","",http://files.parldata.eu/hu/orszaggyules/people/550303c9273a39033bab3561/image.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=k382,40,MSZP,MSZP,2014-05-06,2014-07-29,"Kiss, Péter"
n026,550303c9273a39033bab3563,Dr. Navracsics Tibor,Navracsics,"",Dr.,"",http://files.parldata.eu/hu/orszaggyules/people/550303c9273a39033bab3563/image.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=n026,40,Fidesz,Fidesz,2014-05-06,2014-10-30,"Navracsics, Tibor"
l008,550303c9273a39033bab3565,Lasztovicza Jenő,Lasztovicza,"","","",http://files.parldata.eu/hu/orszaggyules/people/550303c9273a39033bab3565/image.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=l008,40,Fidesz,Fidesz,2014-05-06,2014-07-03,"Lasztovicza, Jenő"
l008,550303c9273a39033bab3565,Lasztovicza Jenő,Lasztovicza,"","","",http://files.parldata.eu/hu/orszaggyules/people/550303c9273a39033bab3565/image.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=l008,40,Fidesz,Fidesz,2014-07-04,2015-01-08,"Lasztovicza, Jenő"
z008,550303ca273a39033bab3567,Dr. Zombor Gábor,"","","",gabor.zombor@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303ca273a39033bab3567/image.80.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=z008,40,Fidesz,Fidesz,2014-05-06,,
v008,550303ca273a39033bab3569,Dr. Vitányi István,"","","",istvan.vitanyi@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303ca273a39033bab3569/image.80.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=v008,40,Fidesz,Fidesz,2014-05-06,,
w704,550303ca273a39033bab356b,Witzmann Mihály,"","","",witzmann.mihaly@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303ca273a39033bab356b/image.80.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=w704,40,Fidesz,Fidesz,2014-05-06,,
v056,550303ca273a39033bab356d,Dr. Vinnai Győző,"","","",gyozo.vinnai@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303ca273a39033bab356d/image.80.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=v056,40,Fidesz,Fidesz,2014-05-06,,
v038,550303cb273a39033bab3571,Vigh László,"","","",laszlo.vigh@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303cb273a39033bab3571/image.80.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=v038,40,Fidesz,Fidesz,2014-05-06,2014-07-03,
v045,550303cb273a39033bab3573,Vargha Tamás,"","","",tamas.vargha@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303cb273a39033bab3573/image.80.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=v045,40,Fidesz,Fidesz,2014-05-06,,
v046,550303cb273a39033bab3575,Dr. Völner Pál,"","","",pal.volner@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303cb273a39033bab3575/image.80.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=v046,40,Fidesz,Fidesz,2014-05-06,,
t687,550303cb273a39033bab3577,Tuzson Bence,"","","",tuzson.bence@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303cb273a39033bab3577/image.79.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=t687,40,Fidesz,Fidesz,2014-05-06,,
t036,550303cb273a39033bab3579,Törő Gábor,"","","",gabor.toro@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303cb273a39033bab3579/image.80.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=t036,40,Fidesz,Fidesz,2014-05-06,,
v044,550303cc273a39033bab357b,Vécsey László,"","","",laszlo.vecsey@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303cc273a39033bab357b/image.80.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=v044,40,Fidesz,Fidesz,2014-05-06,,
v048,550303cc273a39033bab357d,Varga Gábor,"","","",gabor.varga@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303cc273a39033bab357d/image.80.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=v048,40,Fidesz,Fidesz,2014-05-06,2014-07-03,
v054,550303cc273a39033bab357f,Dr. Vas Imre,"","","",imre.vas@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303cc273a39033bab357f/image.80.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=v054,40,Fidesz,Fidesz,2014-05-06,,
v331,550303cc273a39033bab3581,Varga Mihály,"","","",mihaly.varga@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303cc273a39033bab3581/image.80.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=v331,40,Fidesz,Fidesz,2014-05-06,,
t023,550303cd273a39033bab3583,Dr. Tilki Attila,"","","",attila.tilki@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303cd273a39033bab3583/image.79.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=t023,40,Fidesz,Fidesz,2014-05-06,,
v043,550303cd273a39033bab3585,Vantara Gyula,"","","",gyula.vantara@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303cd273a39033bab3585/image.80.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=v043,40,Fidesz,Fidesz,2014-05-06,,
v021,550303cd273a39033bab3587,Varga József,"","","",Jozsef.Varga@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303cd273a39033bab3587/image.80.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=v021,40,Fidesz,Fidesz,2014-05-06,2014-07-03,
n004,550303cd273a39033bab3589,V. Németh Zsolt,"","","",zsolt.vnemeth@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303cd273a39033bab3589/image.80.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=n004,40,Fidesz,Fidesz,2014-05-06,,
t037,550303ce273a39033bab358b,Tiffán Zsolt,"","","",zsolt.tiffan@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303ce273a39033bab358b/image.79.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=t037,40,Fidesz,Fidesz,2014-05-06,,
t021,550303ce273a39033bab358d,Tasó László,"","","",laszlo.taso@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303ce273a39033bab358d/image.79.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=t021,40,Fidesz,Fidesz,2014-05-06,2014-07-03,
t044,550303ce273a39033bab358f,Dr. Tapolczai Gergely,"","","",gergely.tapolczai@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303ce273a39033bab358f/image.80.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=t044,40,Fidesz,Fidesz,2014-05-06,,
s770,550303ce273a39033bab3591,Szabolcs Attila,"","","",szabolcs.attila@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303ce273a39033bab3591/image.80.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=s770,40,Fidesz,Fidesz,2014-05-06,,
s124,550303ce273a39033bab3593,Szabó Zsolt,"","","",zsolt.szabo@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303ce273a39033bab3593/image.79.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=s124,40,Fidesz,Fidesz,2014-05-06,,
t017,550303cf273a39033bab3595,Dr. Tiba István,"","","",istvan.tiba@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303cf273a39033bab3595/image.79.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=t017,40,Fidesz,Fidesz,2014-05-06,2014-07-03,
t038,550303cf273a39033bab3597,Tessely Zoltán,"","","",zoltan.tessely@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303cf273a39033bab3597/image.79.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=t038,40,Fidesz,Fidesz,2014-05-06,,
t002,550303cf273a39033bab3599,Tállai András,"","","",andras.tallai@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303cf273a39033bab3599/image.80.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=t002,40,Fidesz,Fidesz,2014-05-06,,
s054,550303cf273a39033bab359b,Szijjártó Péter,"","","",peter.szijjarto@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303cf273a39033bab359b/image.80.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=s054,40,Fidesz,Fidesz,2014-05-06,,
s106,550303d0273a39033bab359d,Simonka György,"","","",simonka.gyorgy@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303d0273a39033bab359d/image.79.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=s106,40,Fidesz,Fidesz,2014-05-06,2014-07-03,
s774,550303d0273a39033bab359f,Simon Róbert Balázs,"","","",simon.robert@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303d0273a39033bab359f/image.79.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=s774,40,Fidesz,Fidesz,2014-05-06,,
r027,550303d0273a39033bab35a1,Riz Gábor,"","","",riz.gabor@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303d0273a39033bab35a1/image.78.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=r027,40,Fidesz,Fidesz,2014-05-06,,
r005,550303d0273a39033bab35a3,Révész Máriusz,"","","",mariusz.revesz@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303d0273a39033bab35a3/image.78.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=r005,40,Fidesz,Fidesz,2014-09-15,,
p032,550303d0273a39033bab35a5,Dr. Pesti Imre,"","","",imre.pesti@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303d0273a39033bab35a5/image.78.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=p032,40,Fidesz,Fidesz,2014-05-06,,
p009,550303d1273a39033bab35a7,Potápi Árpád János,"","","",arpad.potapi@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303d1273a39033bab35a7/image.78.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=p009,40,Fidesz,Fidesz,2014-05-06,,
p041,550303d1273a39033bab35a9,Pócs János,"","","",janos.pocs@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303d1273a39033bab35a9/image.78.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=p041,40,Fidesz,Fidesz,2014-05-06,,
n018,550303d1273a39033bab35ab,Nyitrai Zsolt,"","","",zsolt.nyitrai@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303d1273a39033bab35ab/image.78.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=n018,40,Fidesz,Fidesz,2014-05-06,,
n031,550303d1273a39033bab35ad,Dr. Nagy István,"","","",istvan.nagydr@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303d1273a39033bab35ad/image.78.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=n031,40,Fidesz,Fidesz,2014-05-06,,
s772,550303d2273a39033bab35af,Dr. Salacz László,"","","",salacz.laszlo@parlament.hu,http://files.parldata.eu/hu/orszaggyules/people/550303d2273a39033bab35af/image.79.jpeg,http://www.parlament.hu/internet/cplsql/ogy_kpv.kepv_adat?p_azon=s772,40,Fidesz,Fidesz,2014-05-06,,
