id,name__de,name__fr,name__en,name__hu,name__nl,name__es,name__eo,name__pl,name,wikipedia__commons,wikipedia__de,wikipedia__en,wikipedia__eo,wikipedia__fr,wikipedia__hu,wikipedia__pl,image,gender,birth_date,identifier__freebase,given_name,original_wikiname,last_seen,name__br,identifier__VIAF,identifier__LCAuth,identifier__EuroparlMEP,name__la,name__uk,name__cs,name__ie,name__et,wikipedia__cs,wikipedia__et,wikipedia__huwikiquote,wikipedia__ie,wikipedia__la,wikipedia__nl,wikipedia__uk,name__ru,name__zh,wikipedia__es,wikipedia__ru,wikipedia__zh,name__lb,name__ko,name__he,name__oc,name__yo,name__it,name__gl,name__id,name__ja,name__el,name__vi,name__sh,name__sv,name__pt,name__sk,name__mn,name__sr,name__ro,name__fi,name__nn,name__da,name__ca,name__nb,name__mk,wikipedia__ca,wikipedia__da,wikipedia__el,wikipedia__fi,wikipedia__gl,wikipedia__he,wikipedia__id,wikipedia__it,wikipedia__ja,wikipedia__ko,wikipedia__lb,wikipedia__mn,wikipedia__nn,wikipedia__no,wikipedia__oc,wikipedia__pt,wikipedia__ro,wikipedia__sh,wikipedia__sk,wikipedia__sr,wikipedia__sv,wikipedia__vi,wikipedia__yo,identifier__GND,name__tr,wikipedia__tr,identifier__SUDOC,identifier__GTAA,identifier__parlement,identifier__ISNI,name__be,name__lv,name__ar,name__io,name__bg,name__hr,name__tpi,name__pt_br,name__kk,name__sco,name__en_ca,name__en_gb,name__ms,name__bn,name__fa,name__eu,wikipedia__ar,wikipedia__be,wikipedia__bg,wikipedia__bn,wikipedia__br,wikipedia__cswikiquote,wikipedia__enwikinews,wikipedia__eswikiquote,wikipedia__eu,wikipedia__fa,wikipedia__hr,wikipedia__io,wikipedia__itwikiquote,wikipedia__kk,wikipedia__lv,wikipedia__ms,wikipedia__plwikiquote,wikipedia__ruwikinews,wikipedia__sco,wikipedia__simple,wikipedia__tpi,identifier__BNF,family_name,website,identifier__FAST,name__cy,death_date,wikipedia__fiwikiquote,name__az,wikipedia__az,name__mg,wikipedia__mg,name__ka,wikipedia__ka,identifier__MTMT,identifier__IMDB,identifier__PORT,name__af,name__an,name__ast,name__bar,name__co,name__de_at,name__de_ch,name__frp,name__fur,name__ga,name__gd,name__gsw,name__ia,name__is,name__kg,name__li,name__lij,name__min,name__nap,name__nds,name__nds_nl,name__nrm,name__pcd,name__pms,name__rm,name__sc,name__scn,name__sl,name__sr_el,name__sw,name__vec,name__vls,name__vo,name__wa,name__wo,name__zu,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__bs,name__sr_ec,wikipedia__bs,wikipedia__skwikiquote,wikipedia__slwikiquote,identifier__Munzinger,wikipedia__scn,identifier__NSZL,identifier__Britannica,wikipedia__enwikiquote,identifier__NNDB,identifier__PACE,wikipedia__hsb,name__hsb,identifier__NKC,identifier__NTA,identifier__NUKAT,occupation,identifier__nyt_topic,wikipedia__srwikinews,facebook,wikipedia__frwikiquote,identifier__quora,name__bm,name__frc,name__jam,name__kab,name__lt,name__pap,name__prg,name__rgn,name__vmf,name__ceb,name__dsb,name__eml,name__fo,name__frr,name__fy,name__mt,name__sq,name__tl,identifier__NLP,instagram,email,identifier__google_knowledge,wikipedia__lmo,name__lmo,name__aa,name__ak,name__aln,name__ang,name__arn,name__ay,name__bcl,name__bi,name__bjn,name__brh,name__cbk_zam,name__cdo,name__ch,name__cho,name__chr,name__chy,name__cr,name__crh_latn,name__csb,name__diq,name__dtp,name__ee,name__ext,name__ff,name__fit,name__fj,name__gag,name__gn,name__got,name__ha,name__hak,name__haw,name__hif_latn,name__ho,name__ht,name__hz,name__ig,name__ik,name__ike_latn,name__ilo,name__iu,name__jbo,name__jv,name__kaa,name__ki,name__kj,name__kk_latn,name__kk_tr,name__kl,name__kr,name__krj,name__ksh,name__ku,name__lad,name__lg,name__ln,name__loz,name__ltg,name__lus,name__lzz,name__map_bms,name__mi,name__mus,name__mwl,name__na,name__nah,name__ng,name__nov,name__nso,name__nv,name__ny,name__om,name__pag,name__pam,name__pdc,name__pdt,name__pfl,name__pih,name__qu,name__qug,name__rif,name__rmy,name__rn,name__roa_tara,name__rup,name__ruq_latn,name__rw,name__sat,name__sdc,name__se,name__sei,name__sg,name__sgs,name__shi_latn,name__sli,name__sm,name__sma,name__sn,name__so,name__srn,name__st,name__stq,name__szl,name__tet,name__tg_latn,name__tk,name__tn,name__to,name__tru,name__ts,name__tt_latn,name__tum,name__ty,name__ug_latn,name__uz,name__ve,name__vep,name__vot,name__war,name__xh,name__za,name__zea,wikipedia__ga,identifier__bigenc_ru,identifier__GNC,identifier__CONOR,wikipedia__cy,wikipedia__be_x_old,wikipedia__li,wikipedia__af,name__mr,wikipedia__mr,wikipedia__hi,electoral_district,wikipedia__ast,identifier__youtube,wikipedia__bewikiquote,wikipedia__sl,identifier__NLI,wikipedia__is,name__be_tarask,name__hi,identifier__ioc_athlete,identifier__orszaggyules,identifier__BNE,wikipedia__mk,wikipedia__mzn,weblog,name__mzn
Q1001652,Mátyás Firtl,Mátyás Firtl,Mátyás Firtl,Firtl Mátyás,Mátyás Firtl,,,,Firtl Mátyás,,,Mátyás Firtl,,,Firtl Mátyás,,https://upload.wikimedia.org/wikipedia/commons/9/9a/Firtl_Mátyás_2011-11.jpg,male,1949-10-30,,Mátyás,Mátyás Firtl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mátyás Firtl,Mátyás Firtl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mátyás Firtl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,engineer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f019,,,,,
Q1002295,Gábor Fodor,Gábor Fodor,Gábor Fodor,Fodor Gábor,Gábor Fodor,Gábor Fodor,Gábor Fodor,Gábor Fodor,Fodor Gábor,Category:Gábor Fodor (politician),,Gábor Fodor (politician),Gábor Fodor,Gábor Fodor,Fodor Gábor (politikus),Gábor Fodor,https://upload.wikimedia.org/wikipedia/commons/3/3c/Gabor_Fodor.jpg,male,1962-09-27,/m/05zzs6g,Gábor,Gábor Fodor (politician),,,49560808,,,,Габор Фодор,,,,,,,,,,Габор Фодор,"Фодор, Габор",,,"Фодор, Габор",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000 0000 7851 1311,,,غابور فودور,,,,,,,,,,,,,,غابور فودور,,,,,,,,,,,,,,,,,,,,,15887517p,Fodor,,,,,,,,,,,,,,,,,,Gábor Fodor,,,,,,,,,,,,,,,,,,,,,,,,Gábor Fodor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f319,,,,,
Q1030572,,Csaba Gyüre,Csaba Gyüre,Gyüre Csaba,Csaba Gyüre,,,,Gyüre Csaba,,,,,Csaba Gyüre,Gyüre Csaba,,https://upload.wikimedia.org/wikipedia/commons/a/a5/Gyüre_Csaba.jpg,male,1965-05-19,,Csaba,Gyüre Csaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Csaba Gyüre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g060,,,,,
Q1031324,,György Gémesi,György Gémesi,Gémesi György,György Gémesi,,,Gémesi György,Gémesi György,Category:György Gémesi,,György Gémesi,,,Gémesi György,,https://upload.wikimedia.org/wikipedia/commons/5/51/Gémesi_György_portré.jpg,male,1956-01-03,,György,,,,,,,,,György Gémesi,,,György Gémesi,,,,,,,Дьёрдь Гемеши,,,,,,,,,,,,,,,,,,,,,,,,,György Gémesi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,György Gémesi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g015,,,,,
Q1033823,Tamás Harangozó,Tamás Harangozó,Tamás Harangozó,Harangozó Tamás,Tamás Harangozó,,,,Harangozó Tamás,Category:Tamás Harangozó,,Tamás Harangozó,,Tamás Harangozó,Harangozó Tamás,,https://upload.wikimedia.org/wikipedia/commons/0/0c/Harangozó_Tamás_2013-03.JPG,male,1979-06-27,,Tamás,Tamás Harangozó,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tamás Harangozó,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h056,,,,,
Q1034272,Zoltán Kovács,Zoltán Kovács,Zoltán Kovács,Kovács Zoltán,Zoltán Kovács,Zoltán Kovács,,,Kovács Zoltán,"Category:Zoltán Kovács (politician, 1957)",Zoltán Kovács (Politiker),"Zoltán Kovács (politician, 1957)",,,"Kovács Zoltán (politikus, 1957)",,https://upload.wikimedia.org/wikipedia/commons/0/04/Dr._Kovács_Zoltán_cropped.jpg,male,1957-12-01,,Zoltán,"Zoltán Kovács (politician, 1957)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kovács,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zoltán Kovács,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k018,,,,,
Q1036797,Ferenc Hirt,Ferenc Hirt,Ferenc Hirt,Hirt Ferenc,Ferenc Hirt,,,,Hirt Ferenc,,,Ferenc Hirt,,,Hirt Ferenc,,,male,1967-09-29,/m/0n5w531,Ferenc,Ferenc Hirt,,,,,,,,Ferenc Hirt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hirt,,,,2018-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ferenc Hirt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h038,,,,,
Q1105049,Gergely Karácsony,Gergely Karácsony,Gergely Karácsony,Karácsony Gergely,Gergely Karácsony,,,Gergely Karácsony,Karácsony Gergely,Category:Gergely Karácsony,Gergely Karácsony,Gergely Karácsony,,Gergely Karácsony,Karácsony Gergely,Gergely Karácsony,https://upload.wikimedia.org/wikipedia/commons/a/a5/Műegyetem_rakpart_október_23_294.jpg,male,1975-06-11,,Gergely,,,,3139147665816360670001,,,,Гергель Корачонь,Gergely Karácsony,,,Gergely Karácsony,,,,,,Гергель Корачонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,گرگی کاراچونی,,,,,,,,,,,گرگی کاراچونی,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gergely Karácsony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k104,,,,,
Q1106808,Károly Kontrát,Károly Kontrát,Károly Kontrát,Kontrát Károly,Károly Kontrát,,,,Kontrát Károly,Category:Károly Kontrát,,Károly Kontrát,,,Kontrát Károly,,https://upload.wikimedia.org/wikipedia/commons/6/67/Kontrát_Károly_cropped.jpg,male,1956-04-12,,Károly,Károly Kontrát,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Károly Kontrát,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k029,,,,,
Q1109835,Bernadett Szél,Bernadett Szél,Bernadett Szél,Szél Bernadett,Bernadett Szél,Bernadett Szél,,Bernadett Szél,Szél Bernadett,Category:Bernadett Szél,Bernadett Szél,Bernadett Szél,,Bernadett Szél,Szél Bernadett,Bernadett Szél,https://upload.wikimedia.org/wikipedia/commons/5/5a/Szél_Bernadett.jpg,female,1977-03-09,,Bernadett,Bernadett Szél,,,,,,,,Bernadett Szél,,Bernadett Szél,Bernadett Szél,,,,,,,"Сель, Бернадетт",,,"Сель, Бернадетт",,,,,,,,Bernadett Szél,,,,,,,,,,,Bernadett Szél,,,,Bernadett Szél,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bernadett Szél,Bernadett Szél,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bernadett Szél,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bernadett Szél,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,economist,,,szelbernadett,,,,,,,,,,,,,,,,,,,Bernadett Szél,,,bernadettszel,mailto:szel.bernadett@lehetmas.hu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bernadett Szél,,,,,,,,,,,,,,,,,s136,,,,,
