id,name__hu,name__da,name__fo,name__is,name__sv,name__nb,name__en,name__fr,name__de,name__nds,name__nl,name,wikipedia__commons,wikipedia__da,wikipedia__de,wikipedia__en,wikipedia__fo,wikipedia__fr,wikipedia__hu,wikipedia__is,wikipedia__no,wikipedia__sv,image,gender,birth_date,original_wikiname,given_name,name__pl,name__es,name__zh_hant,name__zh_cn,wikipedia__es,wikipedia__pl,identifier__freebase,website,name__no,death_date,name__ja,wikipedia__ja,identifier__VIAF,name__nn,wikipedia__nn,identifier__GND,identifier__LCAuth,name__it,name__zh,name__eo,name__ru,name__fi,name__id,name__cs,name__el,name__gv,wikipedia__cs,wikipedia__el,wikipedia__eo,wikipedia__fi,wikipedia__gv,wikipedia__id,wikipedia__it,wikipedia__nl,wikipedia__ru,wikipedia__zh,name__tr,name__os,name__sh,name__az,name__ca,name__lt,name__mg,wikipedia__az,wikipedia__ca,wikipedia__lt,wikipedia__mg,wikipedia__os,wikipedia__sh,wikipedia__tr,identifier__ISNI,identifier__BNF,name__cy,identifier__SUDOC,name__gl,wikipedia__ia,name__ia,name__af,name__an,name__ast,name__bar,name__bm,name__br,name__co,name__de_at,name__de_ch,name__en_ca,name__en_gb,name__et,name__eu,name__frc,name__frp,name__fur,name__ga,name__gd,name__gsw,name__hr,name__ie,name__io,name__jam,name__kab,name__kg,name__lb,name__li,name__lij,name__lv,name__min,name__ms,name__nap,name__nds_nl,name__nrm,name__oc,name__pap,name__pcd,name__pms,name__prg,name__pt,name__pt_br,name__rgn,name__rm,name__ro,name__sc,name__scn,name__sco,name__sk,name__sr_el,name__sw,name__vec,name__vi,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu,wikipedia__et,wikipedia__nowikiquote,wikipedia__ar,name__ar,identifier__google_knowledge,occupation,facebook,name__he,family_name,wikipedia__gl,name__ko,wikipedia__ko,name__sl,wikipedia__pt,identifier__NTA,name__aa,name__ak,name__aln,name__ang,name__arn,name__ay,name__bcl,name__bi,name__bjn,name__brh,name__bs,name__cbk_zam,name__cdo,name__ceb,name__ch,name__cho,name__chr,name__chy,name__cr,name__crh_latn,name__csb,name__diq,name__dsb,name__dtp,name__ee,name__eml,name__ext,name__ff,name__fit,name__fj,name__frr,name__fy,name__gag,name__gn,name__got,name__ha,name__hak,name__haw,name__hif_latn,name__ho,name__hsb,name__ht,name__hz,name__ig,name__ik,name__ike_latn,name__ilo,name__iu,name__jbo,name__jv,name__kaa,name__ki,name__kj,name__kk_latn,name__kk_tr,name__kl,name__kr,name__krj,name__ksh,name__ku,name__la,name__lad,name__lg,name__lmo,name__ln,name__loz,name__ltg,name__lus,name__lzz,name__map_bms,name__mi,name__mt,name__mus,name__mwl,name__na,name__nah,name__ng,name__nov,name__nso,name__nv,name__ny,name__om,name__pag,name__pam,name__pdc,name__pdt,name__pfl,name__pih,name__qu,name__qug,name__rif,name__rmy,name__rn,name__roa_tara,name__rup,name__ruq_latn,name__rw,name__sat,name__sdc,name__se,name__sei,name__sg,name__sgs,name__shi_latn,name__sli,name__sm,name__sma,name__sn,name__so,name__sq,name__srn,name__st,name__stq,name__szl,name__tet,name__tg_latn,name__tk,name__tl,name__tn,name__to,name__tpi,name__tru,name__ts,name__tt_latn,name__tum,name__ty,name__ug_latn,name__uz,name__ve,name__vep,name__vot,name__war,name__xh,name__yo,name__za,name__zea,name__ace,name__cu,name__hif,name__ku_latn,name__kw,name__lo,name__mh,name__mo,name__my,name__ss,name__su,name__tt,name__tw,identifier__GTAA,wikipedia__ast,wikipedia__hy,name__hy,twitter,linkedin,identifier__NKC
Q1001510,Finnbogi Arge,Finnbogi Arge,Finnbogi Arge,,,Finnbogi Arge,Finnbogi Arge,Finnbogi Arge,,,Finnbogi Arge,Finnbogi Arge,,Finnbogi Arge,,,Finnbogi Arge,,Finnbogi Arge,,Finnbogi Arge,,,male,1955-09-06,Finnbogi Arge,Finnbogi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,Finnbogi Arge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1009810,Gerhard Lognberg,Gerhard Lognberg,Gerhard Lognberg,,,Gerhard Lognberg,,,,,Gerhard Lognberg,Gerhard Lognberg,,Gerhard Lognberg,,,Gerhard Lognberg,,Gerhard Lognberg,,Gerhard Lognberg,,https://upload.wikimedia.org/wikipedia/commons/e/ee/Gerhard_Lognberg_2012.jpg,male,1950-11-01,Gerhard Lognberg,Gerhard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,artisan,,,,,,,Gerhard Lognberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1035008,Heini O. Heinesen,Heini O. Heinesen,Heini O. Heinesen,,Heini Heinesen,Heini O. Heinesen,Heini Heinesen,Heini Heinesen,Heini Heinesen,,Heini Heinesen,Heini O. Heinesen,,Heini O. Heinesen,,,Heini O. Heinesen,,Heini O. Heinesen,,Heini O. Heinesen,Heini Heinesen,,male,1938-08-06,Heini O. Heinesen,Heini,,,,,,,,,,2018-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heini Heinesen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,Heinesen,,,,Heini Heinesen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1035514,Hergeir Nielsen,Hergeir Nielsen,Hergeir Nielsen,,,Hergeir Nielsen,Hergeir Nielsen,,,,Hergeir Nielsen,Hergeir Nielsen,Category:Hergeir Nielsen,Hergeir Nielsen,,,Hergeir Nielsen,,Hergeir Nielsen,,Hergeir Nielsen,,https://upload.wikimedia.org/wikipedia/commons/c/ce/Hergeir_Nielsen_2012.jpg,male,1949-08-27,Hergeir Nielsen,Hergeir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,teacher,,,Nielsen,,,,Hergeir Nielsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1036083,Heðin Zachariasen,Heðin Zachariasen,Heðin Zachariasen,,,Heðin Zachariasen,Heðin Zachariasen,,,,Heðin Zachariasen,Heðin Zachariasen,,Heðin Zachariasen,,,Heðin Zachariasen,,Heðin Zachariasen,,Heðin Zachariasen,,,male,1959-09-13,Heðin Zachariasen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1062961,Kári P. Højgaard,Kári P. Højgaard,Kári P. Højgaard,,Kári P. Højgaard,Kári P. Højgaard,Kári P. Højgaard,Kári P. Højgaard,Kári P. Højgaard,,Kári P. Højgaard,Kári P. Højgaard,Category:Kári P. Højgaard,Kári P. Højgaard,Kári P. Højgaard,Kári P. Højgaard,Kári P. Højgaard,,Kári P. Højgaard,,Kári P. Højgaard,Kári P. Højgaard,https://upload.wikimedia.org/wikipedia/commons/8/88/Kari_P_Hojgaard.jpg,male,1951-07-21,Kári P. Højgaard,Kári,,Kári P. Højgaard,,,,,/m/02q_qv7,,,,,,,,,,,,,,,,,Kári P. Højgaard,,,Kári P. Højgaard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,קארי .פ. הויגארד,,,,,Kári P. Højgaard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10963463,,Asbjørn Joensen,Asbjørn Joensen,,,Asbjørn Joensen,Asbjørn Joensen,,,,,Asbjørn Joensen,,Asbjørn Joensen,,,Asbjørn Joensen,,,,Asbjørn Joensen,,,male,1927-07-11,Asbjørn Joensen,Asbjørn,,,,,,,,,,1993-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10974089,,Jacob Lindenskov,Jacob Lindenskov,,,Jacob Lindenskov,Jacob Lindenskov,Jacob Lindenskov,Jacob Lindenskov,,,Jacob Lindenskov,,Jacob Lindenskov,Jacob Lindenskov,,Jacob Lindenskov,,,,Jacob Lindenskov,,,male,1933-06-10,Jacob Lindenskov,Jacob,,,,,,,,,,2018-08-18,,,6583204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000 0000 4260 1403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,Jacob Lindenskov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10975495,,,Flemming Mikkelsen,,,Flemming Mikkelsen,,,,,,Flemming Mikkelsen,,,,,Flemming Mikkelsen,,,,Flemming Mikkelsen,,,male,1930-11-21,Flemming Mikkelsen,Flemming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blacksmith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10978976,,,Mikkjal Sørensen,,,Mikkjal Sørensen,,,,,,Mikkjal Sørensen,Category:Mikkjal Sørensen,,,,Mikkjal Sørensen,,,,Mikkjal Sørensen,,"https://upload.wikimedia.org/wikipedia/commons/e/e8/Mikkjal_Sørensen_a_Faroese_politician,_the_Mayor_of_Porkeri_Municipality.jpg",male,1956-06-18,Mikkjal Sørensen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
