id,name__ta,name__en,name,wikipedia__en,wikipedia__ta,gender,original_wikiname,given_name,name__nl,name__de,name__fr,name__si,wikipedia__si,birth_date,name__it,name__hi,name__es,wikipedia__hi,identifier__VIAF,image,identifier__ISNI,identifier__BNF,identifier__SUDOC,name__ru,wikipedia__de,wikipedia__fr,name__mr,name__te,name__bn,name__kn,wikipedia__bn,wikipedia__kn,wikipedia__mr,wikipedia__te,name__lb,name__zh,name__jv,name__pl,name__he,name__ko,name__oc,name__yo,name__ms,name__gl,name__et,name__id,name__ml,name__ja,name__el,name__sv,name__pt,name__eo,name__tr,name__ca,name__fi,name__mg,name__nn,name__cs,name__bg,name__io,name__fa,name__ka,name__lt,name__da,name__nb,name__eu,name__pam,name__ar,name__uk,name__be,name__ne,wikipedia__ar,wikipedia__be,wikipedia__bg,wikipedia__ca,wikipedia__cs,wikipedia__da,wikipedia__el,wikipedia__enwikinews,wikipedia__enwikiquote,wikipedia__enwikisource,wikipedia__eo,wikipedia__es,wikipedia__et,wikipedia__eu,wikipedia__fa,wikipedia__fi,wikipedia__gl,wikipedia__he,wikipedia__id,wikipedia__io,wikipedia__it,wikipedia__ja,wikipedia__jv,wikipedia__ka,wikipedia__ko,wikipedia__lb,wikipedia__lt,wikipedia__mg,wikipedia__ml,wikipedia__ms,wikipedia__ne,wikipedia__nl,wikipedia__nn,wikipedia__no,wikipedia__oc,wikipedia__pam,wikipedia__pl,wikipedia__pt,wikipedia__ru,wikipedia__simple,wikipedia__sv,wikipedia__tr,wikipedia__uk,wikipedia__yo,wikipedia__zh,identifier__GND,identifier__LCAuth,identifier__freebase,name__hif,wikipedia__hif,name__zh_hans,name__zh_hant,name__zh_hk,name__mk,name__la,wikipedia__la,wikipedia__vi,name__vi,website,wikipedia__pa,identifier__GNC,name__pa,wikipedia__commons,death_date,name__hu,identifier__FAST,last_seen,identifier__GTAA,name__zh_cn,wikipedia__plwikiquote,family_name,occupation,identifier__nyt_topic,wikipedia__trwikinews,identifier__quora,identifier__persee,identifier__NNDB
Q10969775,மஹிந்தானந்த அலுத்கமகே,Mahindananda Aluthgamage,Mahindananda Aluthgamage,Mahindananda Aluthgamage,மஹிந்தானந்த அலுத்கமகே,male,Mahindananda Aluthgamage,,Mahindananda Aluthgamage,Mahindananda Aluthgamage,,,,,,,Mahindananda Aluthgamage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mahindananda Aluthgamage,,,,,,,politician,,,,,
Q10992668,,Thilanga Sumathipala,Thilanga Sumathipala,Thilanga Sumathipala,,male,Thilanga Sumathipala,,Thilanga Sumathipala,Thilanga Sumathipala,Thilanga Sumathipala,තිලංග සුමතිපාල,තිලංග සුමතිපාල,1964-05-03,,,Thilanga Sumathipala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,迪郎格·薩姆迪帕拉,,,,,,,,,,,,,Thilanga Sumathipala,,,,迪郎格·萨姆迪帕拉,,,politician,,,,,
Q11057149,பந்துல குணவர்தன,Bandula Gunawardane,Bandula Gunawardane,Bandula Gunawardane,பந்துல குணவர்தன,male,Bandula Gunawardena,,Bandula Gunawardane,Bandula Gunawardane,Bandula Gunawardane,,,1953-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,
Q12975542,எம். எல். ஏ. எம். ஹிஸ்புல்லா,Alim Mohamed Hisbulla,Alim Mohamed Hisbulla,M. L. A. M. Hizbullah,எம். எல். ஏ. எம். ஹிஸ்புல்லா,male,M. L. A. M. Hizbullah,Alim,M. L. A. M. Hizbullah,,Alim Mohamed Hisbulla,,,1963-02-02,Alim Mohamed Hisbulla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,
Q12975565,எம். கே. ஏ .டி. எஸ். குணவர்தன,M. K. A. D. S. Gunawardana,M. K. A. D. S. Gunawardana,M. K. A. D. S. Gunawardana,எம். கே. ஏ. டி. எஸ். குணவர்தனா,male,M. K. A. D. S. Gunawardana,M.,M. K. A. D. S. Gunawardana,,,,,1947-03-06,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/ed/M._K._D._S._Gunawardena.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M. K. A. D. S. Gunawardana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M. K. A. D. S. Gunawardana,,M. K. A. D. S. Gunawardana,,,,,,,,,,,,,,,,,,,,,,2016-01-19,,,,,,,,,,,,,
Q12978845,அசோக் அபேசிங்க,Ashoka Abeysinghe,Ashoka Abeysinghe,Ashoka Abeysinghe,அசோக் அபேசிங்க,male,Ashoka Abeysinghe,,Ashoka Abeysinghe,Ashoka Abeysinghe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,
Q12980909,சுசந்த புஞ்சிநிலமே,Susantha Punchinilame,Susantha Punchinilame,Susantha Punchinilame,சுசந்த புஞ்சிநிலமே,male,Susantha Punchinilame,,Susantha Punchinilame,Susantha Punchinilame,Susantha Punchinilame,,,1961-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,
Q12984402,துமிந்த திசாநாயக்க,Duminda Dissanayake,Duminda Dissanayake,Duminda Dissanayake,துமிந்த திசாநாயக்க,male,Duminda Dissanayake,,Duminda Dissanayake,Duminda Dissanayake,Duminda Dissanayake,දුමින්ද දිසානායක,දුමින්ද දිසානායක,1979-03-28,,,Duminda Dissanayake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Duminda Dissanayake,,,,,,,politician,,,,,
Q12986215,பிரேமலால் ஜயசேகர,Premalal Jayasekara,Premalal Jayasekara,Premalal Jayasekara,பிரேமலால் ஜயசேகர,male,Premalal Jayasekara,,Premalal Jayasekara,Premalal Jayasekara,Premalal Jayasekara,,,1974-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,
Q12988543,லசந்த அழகியவன்ன,Lasantha Alagiyawanna,Lasantha Alagiyawanna,Lasantha Alagiyawanna,லசந்த அழகியவன்ன,male,Lasantha Alagiyawanna,,Lasantha Alagiyawanna,Lasantha Alagiyawanna,Lasantha Alagiyawanna,,,1967-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,
Q12989537,ஸ்ரீபால கமலாத்,Siripala Gamalath,Siripala Gamalath,Siripala Gamalath,ஸ்ரீபால கமலாத்,male,Siripala Gamalath,,Siripala Gamalath,Siripala Gamalath,Siripala Gamalath,,,1952-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,
Q13642662,லக்ஷ்மன் கிரியெல்ல,Lakshman Kiriella,Lakshman Kiriella,Lakshman Kiriella,லக்சுமன் கிரியெல்ல,male,Lakshman Kiriella,,Lakshman Kiriella,Lakshman Kiriella,Lakshman Kiriella,ලක්ෂ්මන් කිරිඇල්ල,ලක්ෂ්මන් කිරිඇල්ල,1948-02-02,,,Lakshman Kiriella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lakshman Kiriella,,,,,,,politician,,,,,
Q13644992,லொஹான் ரத்துவத்த,Lohan Ratwatte,Lohan Ratwatte,Lohan Ratwatte,லொஹான் ரத்துவத்த,male,Lohan Ratwatte,,Lohan Ratwatte,Lohan Ratwatte,Lohan Ratwatte,,,1968-06-22,,,Lohan Ratwatte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lohan Ratwatte,,,,,,,politician,,,,,
Q13645979,மகிந்த சமரசிங்க,Mahinda Samarasinghe,Mahinda Samarasinghe,Mahinda Samarasinghe,மகிந்த சமரசிங்க,male,Mahinda Samarasinghe,,Mahinda Samarasinghe,Mahinda Samarasinghe,Mahinda Samarasinghe,,,1956-01-30,,,Mahinda Samarasinghe,,,https://upload.wikimedia.org/wikipedia/commons/9/98/Mahinda-Samarasinghe_HRC_CI.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mahinda Samarasinghe,,,,,,,diplomat,,,,,
Q13652295,நவீன் திசாநாயக்க,Navin Dissanayake,Navin Dissanayake,Navin Dissanayake,நவீன் திசாநாயக்க,male,Navin Dissanayake,Navin,Navin Dissanayake,Navin Dissanayake,Navin Dissanayake,,,1969-09-09,,,Navin Dissanayake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Navin Dissanayake,,,,,,,politician,,,,,
Q1395772,சரத் பொன்சேகா,Sarath Fonseka,Sarath Fonseka,Sarath Fonseka,சரத் பொன்சேகா,male,Sarath Fonseka,,Sarath Fonseka,Sarath Fonseka,Sarath Fonseka,සරත් ෆොන්සේකා,සරත් ෆොන්සේකා,1950-12-18,,,Sarath Fonseka,,107918470,https://upload.wikimedia.org/wikipedia/commons/b/b6/Sarath_Fonseka_at_Ananda.jpg,,,,"Фонсека, Саратх",Sarath Fonseka,,,,,,,,,,,塞拉特·豐塞卡,,Sarath Fonseka,,,,,,,,,,サラス・フォンセカ,,,Sarath Fonseka,,,,,,,,,,,,,,Sarath Fonseka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sarath Fonseka,,,Sarath Fonseka,Sarath Fonseka,"Фонсека, Саратх",,,,,,,,n2009218001,/m/026h3cy,,,,,,,,,,,,,,,Category:Sarath Fonseka,,Sarath Fonseka,,,,,,,politician,,,,,
Q140651,பி. அரிசன்,P. Harrison,P. Harrison,P. Harrison,பி. அரிசன்,male,P. Harrison,P.,P. Harrison,,,,,1964-07-24,,,,,7053490,https://upload.wikimedia.org/wikipedia/commons/d/dc/P._Harrison.jpg,,159552602,123061520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/m/06w4yy8,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,
