source,name,area,area_id,wikiname,party,term,id
,Adrian Bertrand Monk,East Falkland,ocd-division/country:fk/constituency:east-falkland,,Independent,1977,adrian_bertrand_monk
,Andrea Clausen,Stanley,ocd-division/country:fk/constituency:stanley,Andrea Patricia Clausen,Independent,2005,andrea_clausen
,Anthony Thomas Blake,Camp,ocd-division/country:fk/constituency:camp,,Independent,1981,anthony_thomas_blake
,Anthony Thomas Blake,Camp,ocd-division/country:fk/constituency:camp,,Independent,1985,anthony_thomas_blake
,Barry Elsby,Stanley,ocd-division/country:fk/constituency:stanley,Barry Elsby,Independent,2013,barry_elsby
,Bill Luxton,Camp,ocd-division/country:fk/constituency:camp,Bill Luxton,Independent,1989,bill_luxton
,Bill Luxton,Camp,ocd-division/country:fk/constituency:camp,Bill Luxton,Independent,1993,bill_luxton
,Bill Luxton,Camp,ocd-division/country:fk/constituency:camp,Bill Luxton,Independent,1997,bill_luxton
,Bill Luxton,Camp,ocd-division/country:fk/constituency:camp,Bill Luxton,Independent,2009,bill_luxton
,"Charles Desmond Keenleyside, Jr",Stanley,ocd-division/country:fk/constituency:stanley,,Independent,1985,"charles_desmond_keenleyside,_jr"
,Charles Keenleyside,Stanley,ocd-division/country:fk/constituency:stanley,,Independent,1993,charles_keenleyside
,Darwin Lewis Clifton,Stanley,ocd-division/country:fk/constituency:stanley,,Independent,1985,darwin_lewis_clifton
,Derek Stanley Evans,West Falkland,ocd-division/country:fk/constituency:west-falkland,,Independent,1977,derek_stanley_evans
,Emma Edwards,Stanley,ocd-division/country:fk/constituency:stanley,Emma Edwards,Independent,2009,emma_edwards
,Eric Goss,Camp,ocd-division/country:fk/constituency:camp,,Independent,1993,eric_goss
,Gavin Short,Stanley,ocd-division/country:fk/constituency:stanley,Gavin Short,Independent,1989,gavin_short
,Gavin Short,Stanley,ocd-division/country:fk/constituency:stanley,Gavin Short,Independent,2009,gavin_short
,Gavin Short,Stanley,ocd-division/country:fk/constituency:stanley,Gavin Short,Independent,2013,gavin_short
,"Gerrard ""Fred"" Robson",Stanley,ocd-division/country:fk/constituency:stanley,,Independent,1989,"gerrard_""fred""_robson"
,Glenn Ross,Stanley,ocd-division/country:fk/constituency:stanley,Glenn Ross (politician),Independent,2009,glenn_ross
,Harold Rowlands,Stanley,ocd-division/country:fk/constituency:stanley,,Independent,1989,harold_rowlands
,Ian Hansen,Camp,ocd-division/country:fk/constituency:camp,Ian Hansen,Independent,2005,ian_hansen
,Ian Hansen,Camp,ocd-division/country:fk/constituency:camp,Ian Hansen,Independent,2013,ian_hansen
,Jan Cheek,Stanley,ocd-division/country:fk/constituency:stanley,Jan Cheek,Independent,1997,jan_cheek
,Jan Cheek,Stanley,ocd-division/country:fk/constituency:stanley,Jan Cheek,Independent,2001,jan_cheek
,Jan Cheek,Stanley,ocd-division/country:fk/constituency:stanley,Jan Cheek,Independent,2009,jan_cheek
,Jan Cheek,Stanley,ocd-division/country:fk/constituency:stanley,Jan Cheek,Independent,2013,jan_cheek
,Janet Robertson,Stanley,ocd-division/country:fk/constituency:stanley,Janet Robertson,Independent,2005,janet_robertson
,John Birmingham,Stanley,ocd-division/country:fk/constituency:stanley,John Birmingham (politician),Independent,1997,john_birmingham
,John Birmingham,Stanley,ocd-division/country:fk/constituency:stanley,John Birmingham (politician),Independent,2001,john_birmingham
,John Cheek,Stanley,ocd-division/country:fk/constituency:stanley,,Independent,1993,john_cheek
,John Edward Cheek,West Stanley,ocd-division/country:fk/constituency:west-stanley,,Independent,1981,john_edward_cheek
,John Edward Cheek,Stanley,ocd-division/country:fk/constituency:stanley,,Independent,1985,john_edward_cheek
,Kevin Kilmartin,Camp,ocd-division/country:fk/constituency:camp,,Independent,1989,kevin_kilmartin
,Lewis Clifton,Stanley,ocd-division/country:fk/constituency:stanley,,Independent,1997,lewis_clifton
,Lionel Geoffrey Blake,West Falkland,ocd-division/country:fk/constituency:west-falkland,,Independent,1981,lionel_geoffrey_blake
,Lionel Geoffrey Blake,Camp,ocd-division/country:fk/constituency:camp,,Independent,1985,lionel_geoffrey_blake
,Michael Poole,Stanley,ocd-division/country:fk/constituency:stanley,Michael Poole (politician),Independent,2013,michael_poole
,Michael Rendell,Camp,ocd-division/country:fk/constituency:camp,Michael Rendell,Independent,2005,michael_rendell
,Michael Summers,Stanley,ocd-division/country:fk/constituency:stanley,Mike Summers,Independent,2001,michael_summers
,Mike Summers,Stanley,ocd-division/country:fk/constituency:stanley,Mike Summers,Independent,1997,mike_summers
,Mike Summers,Stanley,ocd-division/country:fk/constituency:stanley,Mike Summers,Independent,2005,mike_summers
,Mike Summers,Stanley,ocd-division/country:fk/constituency:stanley,Mike Summers,Independent,2013,mike_summers
,Nonpartisan,West Stanley,ocd-division/country:fk/constituency:west-stanley,Nonpartisan,Independent,1977,nonpartisan
,Nonpartisan,West Stanley,ocd-division/country:fk/constituency:west-stanley,Nonpartisan,Independent,1981,nonpartisan
,Nonpartisan,Stanley,ocd-division/country:fk/constituency:stanley,Nonpartisan,Independent,1985,nonpartisan
,Nonpartisan,Stanley,ocd-division/country:fk/constituency:stanley,Nonpartisan,Independent,1989,nonpartisan
,Nonpartisan,Stanley,ocd-division/country:fk/constituency:stanley,Nonpartisan,Independent,1993,nonpartisan
,Nonpartisan,Camp,ocd-division/country:fk/constituency:camp,Nonpartisan,Independent,1997,nonpartisan
