id,name__en,name,wikipedia__en,gender,birth_date,given_name,twitter,image,identifier__VIAF,death_date,name__es,name__nl,name__de,name__nb,name__da,name__nn,name__sv,wikipedia__es,name__fr,name__fa,name__ru,name__vi,name__cy,name__eu,name__ca,name__gd,name__br,name__id,name__ga,name__gl,identifier__CLARA,name__sco,name__pt,name__pcd,name__eo,name__hu,name__oc,original_wikiname,last_seen,wikipedia__ar,name__ar,name__ja,wikipedia__commons,identifier__freebase,occupation,wikipedia__enwikisource
Q15729594,Michael Poole,Michael Poole,Michael Poole (politician),male,1984-10-04,Michael,,https://upload.wikimedia.org/wikipedia/commons/6/64/Michael_Poole_(cropped).jpg,,,Michael Poole,Michael Poole,,,,,,Michael Poole,Michael Poole,,Майкл Пул,,,,,,,,,,,,,,,Michael Poole,,Michael Poole (politician),,,,,,,Member of the Legislative Assembly,
Q15729606,Mike Summers,Mike Summers,Mike Summers,male,1952,Mike,,https://upload.wikimedia.org/wikipedia/commons/8/80/Mike-Summers.jpg,,,Mike Summers,,Mike Summers,,,,,Mike Summers,Mike Summers,,,,,,,,,,,,,,,,,Mike Summers,,Mike Summers,,,,,,,,
Q15729963,Roger Edwards,Roger Edwards,Roger Edwards (politician),male,1946,Roger,,"https://upload.wikimedia.org/wikipedia/commons/0/07/Roger_Edwards,_Foreign_and_Commonwealth_Office.jpg",,,Roger Edwards,Roger Edwards,Roger Edwards,,,,,Roger Edwards,Roger Edwards,راجر ادواردز,,,,,,,,,,,,,,,,Roger Edwards,,Roger Anthony Edwards,,روجر إدواردز,روجر إدواردز,ロジャー・エドワーズ,,,politician,
Q15730161,Phyl Rendell,Phyl Rendell,Phyl Rendell,female,,,,https://upload.wikimedia.org/wikipedia/commons/7/7c/Phyl_Rendell_(cropped).jpg,,,Phyl Rendell,,Phyl Rendell,,,,,Phyl Rendell,Phyl Rendell,,,,,,,,,,,,,,,,,Phyl Rendell,,Phyllis Rendell,,,,,,,,
Q4755019,Andrea Clausen,Andrea Clausen,Andrea Clausen (politician),female,1971,Andrea,,,,,Andrea Clausen,Andrea Clausen,Andrea Clausen,Andrea Clausen,Andrea Clausen,Andrea Clausen,Andrea Clausen,Andrea Clausen (política),Andrea Clausen,,,,,,,,,,,,,,,,,Andrea Clausen,,Andrea Patricia Clausen,,,,,,,,
Q4864199,Barry Elsby,Barry Elsby,Barry Elsby,male,1962,Barry,,https://upload.wikimedia.org/wikipedia/commons/1/1c/Barry_Elsby_(cropped).jpg,,,Barry Elsby,Barry Elsby,Barry Elsby,Barry Elsby,Barry Elsby,Barry Elsby,Barry Elsby,Barry Elsby,Barry Elsby,,,Barry Elsby,Barry Elsby,Barry Elsby,Barry Elsby,Barry Elsby,Barry Elsby,Barry Elsby,Barry Elsby,Barry Elsby,,Barry Elsby,Barry Elsby,Barry Elsby,Barry Elsby,Barry Elsby,Barry Elsby,Barry Elsby,,,,,,,physician,
Q4909978,Bill Luxton,Bill Luxton,Bill Luxton,male,1940,Bill,,,,,Bill Luxton,,Bill Luxton,Bill Luxton,Bill Luxton,Bill Luxton,Bill Luxton,Bill Luxton,Bill Luxton,,,,,,,,,,,,,,,,,Bill Luxton,,Bill Luxton,,,,,,,,
Q5273340,Dick Sawle,Dick Sawle,Dick Sawle,male,1954,Dick,,https://upload.wikimedia.org/wikipedia/commons/e/e4/Dick_Sawle.jpg,,,Dick Sawle,,Dick Sawle,Dick Sawle,Dick Sawle,Dick Sawle,Dick Sawle,Dick Sawle,Dick Sawle,,,,,,,,,,,,,,,,,Dick Sawle,,Richard Sawle,,,,,,,,
Q5372789,Emma Edwards,Emma Edwards,Emma Edwards,female,1971,Emma,,,,,Emma Edwards,Emma Edwards,Emma Edwards,Emma Edwards,Emma Edwards,Emma Edwards,Emma Edwards,Emma Edwards,Emma Edwards,,,,,,,,,,,,,,,,,Emma Edwards,,Emma Edwards,,,,,,,,
Q5528273,Gavin Short,Gavin Short,Gavin Short,male,1962,Gavin,gav424,https://upload.wikimedia.org/wikipedia/commons/d/dd/Gavin_Short_(cropped).jpg,,,Gavin Short,,Gavin Short,Gavin Short,Gavin Short,Gavin Short,Gavin Short,Gavin Short,Gavin Short,,,,,,,,,,,,,,,,,Gavin Short,,Gavin Short,,,,,,/m/0gkxrx_,,
