name,wikiname,area,group,term,source,id,name__en,wikipedia__en,gender,birth_date,given_name,family_name,image,identifier__freebase
Bernard Nottage,"",Bain & Grants Town,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012",,,,,,,,,
Renward Wells,Renward Wells,Bamboo Town,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012",Q7313601,Renward Wells,Renward Wells,male,1970-02-23,Renward,,,
Daniel Johnson,"",Carmichael,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012",,,,,,,,,
"Philip ""Brave"" Davis","Philip ""Brave"" Davis","Cat Island, Rum Cay & San Salvador",PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012",Q7183082,"Philip ""Brave"" Davis","Philip ""Brave"" Davis",male,1951-07-07,Philip,,,
Edison Key,"",Central & South Abaco,FNM,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012",,,,,,,,,
Damian Gomez,"",Central & South Eleuthera,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012",,,,,,,,,
Neko Grant,"",Central Grand Bahama,FNM,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012",,,,,,,,,
Perry Christie,Perry Christie,Centreville,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012",Q57705,Perry Christie,Perry Christie,male,1943-08-21,Perry,Christie,https://upload.wikimedia.org/wikipedia/commons/1/11/2006_0322_rice_600.jpg,/m/0230mv
Peter Turnquest,"",East Grand Bahama,FNM,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012",,,,,,,,,
Ryan Pinder,Ryan Pinder,Elizabeth,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012",Q7384427,Ryan Pinder,Ryan Pinder,male,1947-09-13,Ryan,,,
Glenys Hanna Martin,Glenys Hanna Martin,Englerston,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012",Q19561395,Glenys Hanna Martin,Glenys Hanna Martin,female,,Glenys,Martin,,
Anthony Moss,"",Exumas & Ragged Island,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012",,,,,,,,,
Andre Rollins,"",Fort Charlotte,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012",,,,,,,,,
Fred Mitchell,Fred Mitchell (Bahamas),Fox Hill,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012",Q3086904,Fred Mitchell,Fred Mitchell (Bahamas),male,1953-10-05,Fred,,,
Kendal Major,"",Garden Hills,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012",,,,,,,,,
Shane Gibson,Shane Gibson (politician),Golden Gates,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012",Q7488076,Shane Gibson,Shane Gibson (politician),male,1961-09-07,Shane,,,
Michael Halkitis,"",Golden Isles,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012",,,,,,,,,
Hubert Minnis,Hubert Minnis,Killarney,FNM,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012",Q16732648,Hubert Minnis,Hubert Minnis,male,,Hubert,,,
Loretta Butler-Turner,"",Long Island,FNM,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012",,,,,,,,,
Picewell Forbes,"",Mangrove Cay & South Andros,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012",,,,,,,,,
Jerome Fitzgerald,"",Marathon,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012",,,,,,,,,
Gregory Moss,"",Marco City,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012",,,,,,,,,
V. Alfred Gray,"","Mayaguana, Inagua, Crooked Island, Acklins and Long Cay",PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012",,,,,,,,,
Richard Lightbourn,"",Montagu,FNM,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012",,,,,,,,,
Arnold Forbes,"",Mount Moriah,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012",,,,,,,,,
Dion Smith,"",Nassau Village,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012",,,,,,,,,
Hubert Ingraham,Hubert Ingraham,North Abaco,FNM,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012",Q317664,Hubert Ingraham,Hubert Ingraham,male,1947-08-04,Hubert,,https://upload.wikimedia.org/wikipedia/commons/5/58/Hubert_Ingraham.jpg,/m/0367n9
Perry Gomez,Perry Gomez,North Andros & Berry Islands,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012",Q7169784,Perry Gomez,Perry Gomez,male,1947-01-18,Perry,,,
Theo Neilly,"",North Eleuthera,FNM,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012",,,,,,,,,
Michael Darville,"",Pineridge,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012",,,,,,,,,
Khaalis Rolle,"",Pinewood,PLP,2012,"https://en.wikipedia.org/wiki/Bahamian_general_election,_2012",,,,,,,,,
