id,name__en,name,wikipedia__en,image,gender,birth_date,identifier__freebase,given_name,death_date,name__pt,name__pl,name__ru,name__fr,name__es,name__ca,name__oc,name__yo,name__fi,name__hu,name__it,name__gl,name__de,name__id,name__ja,name__io,name__el,name__sh,name__tpi,name__nl,name__nb,name__da,name__nn,name__sv,wikipedia__ca,wikipedia__de,wikipedia__el,wikipedia__es,wikipedia__fi,wikipedia__fr,wikipedia__gl,wikipedia__hu,wikipedia__id,wikipedia__io,wikipedia__it,wikipedia__ja,wikipedia__nl,wikipedia__no,wikipedia__oc,wikipedia__pl,wikipedia__pt,wikipedia__ru,wikipedia__sh,wikipedia__tpi,wikipedia__yo,name__zh,name__ar,name__ms,name__pam,name__tr,name__et,wikipedia__ar,wikipedia__et,wikipedia__ms,wikipedia__pam,wikipedia__tr,wikipedia__zh,wikipedia__da,name__lb,wikipedia__lb,original_wikiname,name__cy,wikipedia__commons,last_seen,name__zh_hant,name__zh_cn,occupation,name__la,wikipedia__la,wikipedia__uk,name__uk,name__fo,name__is,name__se,name__sje,name__sma,name__smj,name__sw,family_name,wikipedia__hi,name__th,name__hi
Q15968283,Elisala Pita,Elisala Pita,Elisala Pita,,male,,,,,,,,,,,,,,,Elisala Pita,,Elisala Pita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elisala Pita,,,,,,,,,,,,,,,,,,,,,
Q15972515,Fauoa Maani,Fauoa Maani,Fauoa Maani,,male,,,,,,,,,,,,,,,Fauoa Maani,,Fauoa Maani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fauoa Maani,,,,,,politician,,,,,,,,,,,,,,,
Q17048835,Leneuoti Matusi,Leneuoti Matusi,Leneuoti Matusi,,male,,,Leneuoti,,,,,Leneuoti Matusi,,,,,,,,,,,,,,,,Leneuoti Matusi,Leneuoti Matusi,Leneuoti Matusi,Leneuoti Matusi,Leneuoti Matusi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leneuoti Maatusi,,,,,,politician,,,,,Leneuoti Matusi,Leneuoti Matusi,Leneuoti Matusi,Leneuoti Matusi,Leneuoti Matusi,Leneuoti Matusi,Leneuoti Matusi,Matusi,,,
Q18355480,Satini Manuella,Satini Manuella,Satini Manuella,,male,1958-08-21,,,,,,,,,,,,,,Satini Manuella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Satini Manuella,,,,,,politician,,,,,,,,,,,,,,,
Q19795263,Puakena Boreham,Puakena Boreham,Puakena Boreham,https://upload.wikimedia.org/wikipedia/commons/e/e5/Puakena_Boreham.jpg,female,1970-12-18,,,,,,,Puakena Boreham,,,,,,,,,,,,,,,,Puakena Boreham,,,,,,,,,,Puakena Boreham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Puakena Boreham,,,,,,,,,,,,,,,,,,,,,
Q21062794,Samuelu Teo,Samuelu Teo,Samuelu Teo,,male,,,,,,,,,,,,,,,,,,,,,,,,Samuelu Teo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Samuelu Teo,,,,,,,,,,,,,,,,,,,,,
Q21062795,Mackenzie Kiritome,Mackenzie Kiritome,Mackenzie Kiritome,,male,,,Mackenzie,,,,,,,,,,,,,,,,,,,,,Mackenzie Kiritome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mackenzie Kiritome,,,,,,,,,,,,,,,,,,,,,
Q21062847,Alesana Seluka,Alesana Seluka,Alesana Seluka,,male,,,,,,,,,,,,,,,,,,,,,,,,Alesana Seluka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alesana Seluka,,,,,,,,,,,,,,,,,,,,,
Q2377016,Falesa Pitoi,Falesa Pitoi,Falesa Pitoi,,male,,,,,,,,Falesa Pitoi,,,,,,,,,Falesa Pitoi,,,,,,,Falesa Pitoi,,,,,,,,,,Falesa Pitoi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Falesa Pitoi,,,,,,politician,,,,,,,,,,,,,,,
Q2378838,Lotoala Metia,Lotoala Metia,Lotoala Metia,,male,,,Lotoala,2012-12-21,,,,Lotoala Metia,,,,,,,,,Lotoala Metia,,,,,,,Lotoala Metia,Lotoala Metia,Lotoala Metia,Lotoala Metia,Lotoala Metia,,,,,,Lotoala Metia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lotoala Metia,Lotoala Metia,,,,,politician,,,,,Lotoala Metia,Lotoala Metia,Lotoala Metia,Lotoala Metia,Lotoala Metia,Lotoala Metia,Lotoala Metia,Metia,,,
