id,name,group,party_wikipedia,area,term,identifier__wikipedia_fo,source,name__fo,wikipedia__fo,name__da,wikipedia__da,name__en,wikipedia__en,gender,birth_date,given_name,image,identifier__freebase,death_date,identifier__viaf,identifier__gnd,identifier__lcauth,identifier__isni,identifier__bnf,website
finnbogi_arge,Finnbogi Arge,Sambandsflokkurin,Sambandsflokkurin,Suðurstreymoy,1990,Finnbogi Arge,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1990-94,Finnbogi Arge,Finnbogi Arge,,"",,"",male,1955-09-06,,,,,,,,,,
thomas_arabo,Thomas Arabo,Javnaðarflokkurin,Javnaðarflokkurin,Norðurstreymoy,1990,Thomas Arabo,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1990-94,Thomas Arabo,Thomas Arabo,,"",,"",male,1940-11-20,Thomas,,,,,,,,,
Óli_breckmann,Óli Breckmann,Fólkaflokkurin,Fólkaflokkurin,Suðurstreymoy,1990,Óli Breckmann,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1990-94,Óli Breckmann,Óli Breckmann,Óli Breckmann,Óli Breckmann,Óli Breckmann,"",male,1948-03-30,,,,,,,,,,
signar_á_brúnni,Signar á Brúnni,Tjóðveldisflokkurin,Tjóðveldisflokkurin,Eysturoy,1990,Signar á Brúnni,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1990-94,Signar á Brúnni,Signar á Brúnni,Signar á Brúnni,Signar á Brúnni,,"",male,1945-02-10,,,,,,,,,,
atli_dam,Atli Dam,Javnaðarflokkurin,Javnaðarflokkurin,Suðurstreymoy,1990,Atli Dam,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1990-94,,,,,,,,,,,,,,,,,,
birgir_danielsen,Birgir Danielsen,Fólkaflokkurin,Fólkaflokkurin,Suðurstreymoy,1990,Birgir Danielsen,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1990-94,,,,,,,,,,,,,,,,,,
niels_pauli_danielsen,Niels Pauli Danielsen,Kristiligi Fólkaflokkurin,Kristiligi Fólkaflokkurin,Norðoyar,1990,Niels Pauli Danielsen,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1990-94,Niels Pauli Danielsen,Niels Pauli Danielsen,,"",,"",male,1938-12-06,Niels,,,,,,,,,
frank_davidsen,Frank Davidsen,Javnaðarflokkurin,Javnaðarflokkurin,Vágar,1990,Frank Davidsen,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1990-94,Frank Davidsen,Frank Davidsen,,"",,"",male,1941-09-26,Frank,,,,,,,,,
terje_davidsen,Terje Davidsen,Sambandsflokkurin,Sambandsflokkurin,Norðurstreymoy,1990,Terje Davidsen,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1990-94,,,,,,,,,,,,,,,,,,
jóannes_eidesgaard,Jóannes Eidesgaard,Javnaðarflokkurin,Javnaðarflokkurin,Suðuroy,1990,Jóannes Eidesgaard,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1990-94,Jóannes Eidesgaard,Jóannes Eidesgaard,Jóannes Eidesgaard,Jóannes Eidesgaard,Jóannes Eidesgaard,Jóannes Eidesgaard,male,1951-04-19,,https://upload.wikimedia.org/wikipedia/commons/0/0a/Joannes_Eidesgaard_in_Gjogv.jpg,/m/037lqt,,,,,,,
svend_aage_ellefsen,Svend Aage Ellefsen,Fólkaflokkurin,Fólkaflokkurin,Vágar,1990,Svend Aage Ellefsen,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1990-94,Svend Aage Ellefsen,Svend Aage Ellefsen,,"",,"",male,1941-09-13,Svend,,,,,,,,,
heini_o._heinesen,Heini O. Heinesen,Tjóðveldisflokkurin,Tjóðveldisflokkurin,Norðoyar,1990,Heini O. Heinesen,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1990-94,,,,,,,,,,,,,,,,,,
finnbogi_Ísakson,Finnbogi Ísakson,Tjóðveldisflokkurin,Tjóðveldisflokkurin,Suðurstreymoy,1990,Finnbogi Ísakson,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1990-94,Finnbogi Ísakson,Finnbogi Ísakson,,"",Finnbogi Ísakson,"",male,1943-02-07,,,,2005-09-07,308740562,1051917034,,,,
asbjørn_joensen,Asbjørn Joensen,Sjálvstýrisflokkurin,Sjálvstýrisflokkurin,Norðoyar,1990,Asbjørn Joensen,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1990-94,Asbjørn Joensen,Asbjørn Joensen,,"",,"",male,1927-07-11,Asbjørn,,,1993-10-21,,,,,,
edmund_joensen,Edmund Joensen,Sambandsflokkurin,Sambandsflokkurin,Eysturoy,1990,Edmund Joensen,https://fo.wikipedia.org/wiki/L%C3%B8gtingslimir_%C3%AD_F%C3%B8royum_1990-94,Edmund Joensen,Edmund Joensen,Edmund Joensen,Edmund Joensen,Edmund Joensen,Edmund Joensen,male,1944-09-19,Edmund,https://upload.wikimedia.org/wikipedia/commons/6/63/Edmund_Joensen.JPG,/m/04n5gw7,,,,,,,
