id,name,email,image,birth_date,birth_place,website,identifier__kuvendi
13390,Alfred Peza,alfred.peza@parlament.al,https://www.parlament.al/wp-content/uploads/2016/01/Alfred-Peza-PS.jpg,,,https://www.parlament.al/deputet/alfred-peza/,13390
13400,Anduel Xhindi,anduel.xhindi@parlament.al,https://www.parlament.al/wp-content/uploads/2016/01/Anduel-Xhindi-PS.jpg,,,https://www.parlament.al/deputet/anduel-xhindi/,13400
9554,Anastas Angjeli,anastas.angjeli@parlament.al,https://www.parlament.al/wp-content/uploads/2015/12/Anastas-Angjeli-PS.jpg,1956-05-06,06.05.1956Vendlindja: Sarandë,https://www.parlament.al/deputet/anastas-angjeli/,9554
9590,Aldo Bumçi,aldo.bumci@parlament.al,https://www.parlament.al/wp-content/uploads/2015/12/Aldo-Bumci-PD.jpg,1974-06-11,11.6.1974 Vendlindja: Tiranë,https://www.parlament.al/deputet/aldo-bumci/,9590
9616,Agron Çela,agron.cela@parlament.al,https://www.parlament.al/wp-content/uploads/2015/12/Agron-Cela-LSI-1.jpg,1969-02-05,5. 2. 1969 Vendlindja: Shkodër,https://www.parlament.al/deputet/agron-cela/,9616
9626,Albina Deda,albina.deda@parlament.al,https://www.parlament.al/wp-content/uploads/2015/12/Albina-Deda-PD-1.jpg,1969-12-20,20.12.1969 Vendlindja: Rrëshen,https://www.parlament.al/deputet/albina-deda/,9626
9649,Agron Duka,agron.duka@parlament.al,https://www.parlament.al/wp-content/uploads/2015/12/Agron-Duka-PR.jpg,1958-01-22,22.01.1958 Vendlindja: Shijak,https://www.parlament.al/deputet/agron-duka-2/,9649
9741,Andrea Marto,andrea.marto@parlament.al,https://www.parlament.al/wp-content/uploads/2015/12/Andrea-Marto-PS.jpg,,05.09.1957Vendlindja:,https://www.parlament.al/deputet/andrea-marto/,9741
9777,Adelina Rista,adelina.rista@parlament.al,https://www.parlament.al/wp-content/uploads/2015/12/Adelina-Rista-PS.jpg,1957-12-10,10.12.1957. Vendlindja: Durrës,https://www.parlament.al/deputet/adelina-rista/,9777
9827,Albana Vokshi,albana.vokshi@parlament.al,https://www.parlament.al/wp-content/uploads/2015/12/Albana-Vokshi-PD.jpg,1971-02-24,"",https://www.parlament.al/deputet/albana-vokshi-2/,9827
9838,Alban Zeneli,alban.zeneli@parlament.al,https://www.parlament.al/wp-content/uploads/2015/12/Alban-Zeneli-PD.jpg,1969-05-04,04.05.1969 Vendlindja: Kukës,https://www.parlament.al/deputet/alban-zeneli/,9838
