id,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__pl,name__ko,name__fr,name__es,name__en,name__de,name__el,name__pap,name__sh,name__lt,name__nl,name__nb,name__zh,name__hr,name__hu,name,wikipedia__de,wikipedia__el,wikipedia__en,wikipedia__es,wikipedia__fr,wikipedia__hr,wikipedia__ko,wikipedia__lt,wikipedia__nl,wikipedia__no,wikipedia__pap,wikipedia__pl,wikipedia__sh,wikipedia__zh,image,gender,occupation,birth_date,identifier__freebase,given_name,original_wikiname,name__oc,name__it,name__en_ca,name__en_gb,name__ca,wikipedia__ca,identifier__GTAA,death_date,identifier__VIAF,identifier__BPN,identifier__parlement,name__cy,wikipedia__enwikiquote,name__ja
Q13422184,,伊瓦爾·艾斯傑斯,,伊瓦尔·艾斯杰斯,,,Ivar Asjes,,Ivar Asjes,Ivar Asjes,Ivar Asjes,Ivar Asjes,Ιβάρ Ασιές,,,,Ivar Asjes,,,,Ivar Asjes,Ivar Asjes,,Ιβάρ Ασιές,Ivar Asjes,,,,,,Ivar Asjes,Ivar Asjes,,Ivar Asjes,,,https://upload.wikimedia.org/wikipedia/commons/f/fd/IvarAsjes.jpg,male,politician,1970-09-16,,Ivar,Ivar Asjes,Ivar Asjes,Ivar Asjes,Ivar Asjes,Ivar Asjes,Ivar Asjes,Ivar Asjes,235929,,,,,,,
Q2001095,,,,,,,,,Sheldry Osepa,,Sheldry Osepa,Sheldry Osepa,,,,,Sheldry Osepa,,,,,Sheldry Osepa,,,Sheldry Osepa,,,,,,Sheldry Osepa,,,,,,,male,politician,1974,,,Sheldry Osepa,,,,,,,,,,,,,,
Q21547562,,,,,,,,,,,E. Jonckheer,Efraïn Jonckheer,,,,,E. Jonckheer,,,,,E. Jonckheer,Efraïn Jonckheer,,,,,,,,Efraïn Jonckheer,,,,,,,male,politician,1917-10-20,,,Efraïn Jonckheer,,,,,,,,1987-03-30,,56683319,vg09llzeaiq6,,,
Q22001748,,,,,,,,,Melvin Cijntje,,Melvin Cijntje,,,,,,Melvin Cijntje,,,,,Melvin Cijntje,,,,,,,,,Melvin Cijntje,,,,,,,male,politician,1962-04-15,,,Melvin Cijntje,,,,,,,,,,,,,,
Q22001842,,,,,,,,,Zita Jesus-Leito,,Zita Jesus-Leito,,,,,,Zita Jesus-Leito,,,,,Zita Jesus-Leito,,,,,,,,,Zita Jesus-Leito,,,,,,,female,politician,1957-04-27,,Zita,Zita Jesus-Leito,,,,,,,,,,,,,,
Q22001886,,,,,,,,,Marilyn Moses,,Marilyn Moses,,,,,,Marilyn Moses,,,,,Marilyn Moses,,,,,,,,,Marilyn Moses,,,,,,,male,politician,1960-12-05,,,Marilyn Moses,,,,,,,,,,,,,,
Q22001932,,,,,,,,,Glenn Sulvaran,,Glenn Sulvaran,,,,,,Glenn Sulvaran,,,,,Glenn Sulvaran,,,,,,,,,Glenn Sulvaran,,,,,,,male,politician,1957-11-13,,Glenn,Glenn Sulvaran,,,,,,,,,,,,,,
Q22003713,,,,,,,,,,,Jaime Córdoba,,,,,,Jaime Córdoba,,,,,Jaime Córdoba,,,Jaime Córdoba (politician),,,,,,,,,,,,,male,,,,Jaime,Jaime Córdoba (politician),,,,,,,,,,,,,,
Q22668674,,,,,,,,,,,,,,,,,Sherwin Leonora,,,,,Sherwin Leonora,,,,,,,,,Sherwin Leonora,,,,,,,male,politician,1964-10-12,,,Sherwin Leonora,,,,,,,,,,,,,,
Q22668713,,,,,,,,,,,,,,,,,Armin Konket,,,,,Armin Konket,,,,,,,,,Armin Konket,,,,,,,male,politician,1961-08-05,,,Armin Konket,,,,,,,,,,,,,,
