id,name,party,party_id,email,facebook,twitter,image,term,source
146,Melvin Cijntje,Pueblo Soberano,PS,melvin.cijntje@parlamento.cw,"","",http://www.parlamento.cw/images/members/146.jpg/images/members_facebook_off.gif/images/members_twitter_off.gif,2,http://www.parlamento.cw/parliament/s11/
161,Eugène Cleopa,Partido pa Adelanto i Inovashon Soshal,PAIS,eugene.cleopa@parlamento.cw,"","",http://www.parlamento.cw/images/members/161.jpg/images/members_facebook_off.gif/images/members_twitter_off.gif,2,http://www.parlamento.cw/parliament/s11/
164,"Ing. Charles Cooper, MSc",Partido MAN,MAN,charles.cooper@parlamento.cw,www.facebook.com/charles.cooper.5876060 ,"",http://www.parlamento.cw/images/members/164.jpg/images/members_facebook.gif/images/members_twitter_off.gif,2,http://www.parlamento.cw/parliament/s11/
148,"Jaime Córdoba , Vise-Presidente",Pueblo Soberano,PS,jaime.cordoba@parlamento.cw,https://www.facebook.com/jaime.cordoba.739,"",http://www.parlamento.cw/images/members/148.jpg/images/members_facebook.gif/images/members_twitter_off.gif,2,http://www.parlamento.cw/parliament/s11/
155,Humphrey Davelaar,Partido Nashonal di Pueblo,PNP,humphrey.davelaar@parlamento.cw,https://www.facebook.com/humphrey.davelaar,"",http://www.parlamento.cw/images/members/155.jpg/images/members_facebook.gif/images/members_twitter_off.gif,2,http://www.parlamento.cw/parliament/s11/
165,"Marcolino C. F. Franco, Presidente",Partido pa Adelanto i Inovashon Soshal,PAIS,marcolino.franco@parlamento.cw,www.facebook.com/marcolino.franco.5 ,"",http://www.parlamento.cw/images/members/165.jpg/images/members_facebook.gif/images/members_twitter_off.gif,2,http://www.parlamento.cw/parliament/s11/
159,"Zita Jesus-Leito, MBA",Partido Alternativa Real,PAR,zita.jesus-leito@parlamento.cw,https://www.facebook.com/zita.jesusleito,"",http://www.parlamento.cw/images/members/159.jpg/images/members_facebook.gif/images/members_twitter_off.gif,2,http://www.parlamento.cw/parliament/s11/
166,Hensley F. Koeiman,Partido MAN,MAN,hensley.koeiman@parlamento.cw,www.facebook.com/hensley.koeiman ,"",http://www.parlamento.cw/images/members/166.jpg/images/members_facebook.gif/images/members_twitter_off.gif,2,http://www.parlamento.cw/parliament/s11/
147,Monique Koeyers-Felida,Movimento Futuro Kòrsou,MFK,monique.koeyers-felida@parlamento.cw,https://www.facebook.com/moniquefelida,"",http://www.parlamento.cw/images/members/147.jpg/images/members_facebook.gif/images/members_twitter_off.gif,2,http://www.parlamento.cw/parliament/s11/
173,drs. ing. Armin Konket,Partido Alternativa Real,PAR,armin.konket@parlamento.cw,https://www.facebook.com/armin.konket,"",http://www.parlamento.cw/images/members/173.jpg/images/members_facebook.gif/images/members_twitter_off.gif,2,http://www.parlamento.cw/parliament/s11/
