id,name,image,party,term,source
c-emmanuel,Christophe T. Emmanuel,http://www.sxmparliament.org/images/c-emmanuel.jpg,National Alliance,2,http://www.sxmparliament.org/organization/members-of-parliament.html
t-heyliger,Theodore E. Heyliger,http://www.sxmparliament.org/images/t-heyliger.jpg,United Peoples Party,2,http://www.sxmparliament.org/organization/members-of-parliament.html
s-jacobs,Silveria E. Jacobs,http://www.sxmparliament.org/images/s-jacobs.jpg,National Alliance,2,http://www.sxmparliament.org/organization/members-of-parliament.html
m-lake,Maurice A. Lake,http://www.sxmparliament.org/images/m-lake.jpg,United Peoples Party,2,http://www.sxmparliament.org/organization/members-of-parliament.html
j-leonard,Johan E. Leonard,http://www.sxmparliament.org/images/j-leonard.jpg,United Peoples Party,2,http://www.sxmparliament.org/organization/members-of-parliament.html
t-leonard,Tamara E. Leonard,http://www.sxmparliament.org/images/t-leonard.jpg,United Peoples Party,2,http://www.sxmparliament.org/organization/members-of-parliament.html
l-marlin,Leona M. Marlin-Romeo,http://www.sxmparliament.org/images/l-marlin.jpg,Independent Member,2,http://www.sxmparliament.org/organization/members-of-parliament.html
w-marlin,William V. Marlin,http://www.sxmparliament.org/images/w-marlin.jpg,National Alliance,2,http://www.sxmparliament.org/organization/members-of-parliament.html
matser,Silvio J. Matser,http://www.sxmparliament.org/images/matser.jpg,United Peoples Party,2,http://www.sxmparliament.org/organization/members-of-parliament.html
fmeyers,Franklin A. Meyers,http://www.sxmparliament.org/images/fmeyers.jpg,United Peoples Party,2,http://www.sxmparliament.org/organization/members-of-parliament.html
g-pantophlet,George C. Pantophlet,http://www.sxmparliament.org/images/g-pantophlet.jpg,National Alliance,2,http://www.sxmparliament.org/organization/members-of-parliament.html
f-richardson,Frans G. Richardson,http://www.sxmparliament.org/images/f-richardson.jpg,United St. Maarten Party,2,http://www.sxmparliament.org/organization/members-of-parliament.html
president2,"Lloyd J. Richardson, MD",http://www.sxmparliament.org/images/president2.jpg,United Peoples Party,2,http://www.sxmparliament.org/organization/members-of-parliament.html
c-deweever,Van Hugh C. de Weever,http://www.sxmparliament.org/images/c-deweever.jpg,Independent Member,2,http://www.sxmparliament.org/organization/members-of-parliament.html
s-williams,Sarah A. Wescot-Williams,http://www.sxmparliament.org/images/s-williams.jpg,Democratic Party,2,http://www.sxmparliament.org/organization/members-of-parliament.html
