id,name__ru,name__en,name,wikipedia__en,wikipedia__ru,original_wikiname,name__hif,name__de,wikipedia__hif,gender,name__hi,name__es,name__nl,wikipedia__hi,given_name,name__it,name__fr,wikipedia__enwikiquote,name__az,wikipedia__az,wikipedia__fr,birth_date,death_date,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__pt,name__pl,name__fj,name__fi,name__gl,name__id,name__ja,name__el,name__sv,name__sco,name__zh,wikipedia__de,wikipedia__el,wikipedia__es,wikipedia__fi,wikipedia__fj,wikipedia__gl,wikipedia__id,wikipedia__ja,wikipedia__pl,wikipedia__pt,wikipedia__sv,wikipedia__zh,identifier__VIAF,identifier__LCAuth,identifier__freebase,name__ta,wikipedia__ta,image,name__cy,name__la,name__oc,name__vi,wikipedia__la,wikipedia__oc,wikipedia__vi,website,wikipedia__tr,identifier__FAST,name__tr,name__hu,last_seen,wikipedia__fa,name__fa,occupation,name__he,name__ko,wikipedia__ko,identifier__ISNI,identifier__quora,name__uk,wikipedia__uk,name__ar,wikipedia__ar
Q11034454,Раджеш Сингх,Rajesh Singh,Rajesh Singh,Rajesh Singh,,Rajesh Singh,Rajesh Singh,Rajesh Singh,Rajesh Singh,male,,,,,Rajesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11142317,,Surendra Lal,Surendra Lal,Surendra Lal,,Surendra Lal,Surendra Lal,Surendra Lal,Surendra Lal,male,,Surendra Lal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surendra Lal,,,,politician,,,,,,,,,
Q16201332,,Mitieli Bulanauca,Mitieli Bulanauca,Mitieli Bulanauca,,Mitieli Bulanauca,,Mitieli Bulanauca,,male,,,Mitieli Bulanauca,,,Mitieli Bulanauca,Mitieli Bulanauca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,
Q16250228,,Simione Kaitani,Simione Kaitani,Simione Kaitani,,Simione Kaitani,,Simione Kaitani,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16731444,,Isireli Leweniqila,Isireli Leweniqila,Isireli Leweniqila,,Isireli Leweniqila,,Isireli Leweniqila,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,
Q16875253,,Losena Salabula,Losena Salabula,Losena Salabula,,Losena Salabula,,Losena Salabula,,female,,,,,,Losena Salabula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,
Q3311718,,Mick Beddoes,Mick Beddoes,Mick Beddoes,,Mick Beddoes,,Mick Beddoes,,male,,Mick Beddoes,Mick Beddoes,,Mick,,Mick Beddoes,,,,Mick Beddoes,1951-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/3/3f/Mick_Beddoes_2015.jpg,,,,,,,,,,,,,,,,businessperson,,,,,,,,,
Q3635897,,Dewan Chand,Dewan Chand,Dewan Chand,,Dewan Chand,Dewan Chand,Dewan Chand,Dewan Chand,male,दिवान चन्द,,Dewan Chand,दिवान चन्द,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,
Q3635907,,Felix Anthony,Felix Anthony,Felix Anthony,,Felix Anthony,Felix Anthony,Felix Anthony,Felix Anthony,male,फ़ीलिक्स एंटनी,Felix Anthony,Felix Anthony,फ़ीलिक्स एंटनी,Felix,,Felix Anthony,,,,Felix Anthony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Felix Anthony,,,,politician,,,,,,,,,
Q3635946,,Amjad Ali,Amjad Ali,Amjad Ali (politician),,Amjad Ali (politician),Amjad Ali,Amjad Ali,Amjad Ali,male,आम्ज़द अली,Amjad Ali,Amjad Ali,आम्ज़द अली,Amjad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amjad Ali,,,,politician,,,,,,,,,
