id,name__de,name__en,name__es,name__nl,name__fr,name__da,name__it,name__sv,name,wikipedia__commons,wikipedia__de,wikipedia__en,image,gender,occupation,birth_date,given_name,original_wikiname,name__pt,wikipedia__pt,name__ka,name__pl,name__ru,name__hu,wikipedia__es,wikipedia__fr,wikipedia__ka,wikipedia__pl,wikipedia__ru,identifier__freebase,name__cy,name__hy,wikipedia__hy,death_date,wikipedia__sv,identifier__VIAF,identifier__SUDOC,name__nb,name__nn,identifier__ISNI,identifier__GND,identifier__LCAuth,identifier__BNF,identifier__SELIBR,identifier__PTBNP,identifier__NTA,identifier__FAST,name__ja,name__diq,wikipedia__it,wikipedia__ja,wikipedia__no,identifier__DBNL,name__id,name__sl,wikipedia__id,wikipedia__sl,name__zh,family_name,name__yo,name__uk,name__et,name__el,name__zh_hant,name__zh_cn,name__fa,wikipedia__el,wikipedia__et,wikipedia__fa,wikipedia__uk,wikipedia__yo,name__de_ch,name__en_ca,name__en_gb,name__pt_br,name__ast,name__vi,name__ko,wikipedia__ast,wikipedia__ko,wikipedia__simple,wikipedia__vi,name__lb,name__zh_hans,name__zh_hk,name__zh_sg,name__zh_tw,name__be,name__he,name__af,name__gl,name__sw,name__br,name__ar,name__sr_el,name__sr_ec,name__tr,name__fi,name__la,name__cs,name__eu,name__sr,name__ss,name__ca,name__sh,wikipedia__af,wikipedia__ar,wikipedia__be,wikipedia__br,wikipedia__ca,wikipedia__cs,wikipedia__da,wikipedia__eu,wikipedia__fi,wikipedia__gl,wikipedia__he,wikipedia__hu,wikipedia__la,wikipedia__lb,wikipedia__nl,wikipedia__ptwikiquote,wikipedia__sh,wikipedia__sr,wikipedia__ss,wikipedia__sw,wikipedia__tr,wikipedia__zh,identifier__Munzinger,identifier__GTAA,name__mg,wikipedia__mg,name__bg,wikipedia__bg,name__eo,name__vep,name__mr,wikipedia__eo,wikipedia__mr,wikipedia__vep,name__kg,wikipedia__kg,identifier__CERL,identifier__CSPAN,name__oc,identifier__google_knowledge,identifier__Britannica,name__ro,wikipedia__ro,identifier__CANTIC,identifier__britishmuseum,identifier__MusicBrainz,identifier__discogs,identifier__quora,name__ms,name__am,name__bcl,name__frp,name__io,name__az,name__hr,name__tg,name__lt,name__bn,name__sco,name__ml,name__lv,name__th,wikipedia__am,wikipedia__az,wikipedia__bcl,wikipedia__frp,wikipedia__hr,wikipedia__io,wikipedia__lt,wikipedia__lv,wikipedia__ml,wikipedia__ms,wikipedia__oc,wikipedia__sco,wikipedia__tg,wikipedia__th,identifier__NNDB,identifier__nyt_topic,identifier__snac,identifier__ne_se,wikipedia__uz,name__uz,name__sk,name__fo,name__kl,identifier__NUKAT,identifier__ioc_athlete,identifier__GNC,identifier__BIBSYS,wikipedia__mzn,wikipedia__tl,name__mzn,name__tl,wikipedia__bn,wikipedia__ht,name__ht,identifier__NKC,name__bar
Q10268087,Domingos Manuel Sambo,Domingos Manuel Sambo,Domingos Manuel Sambo,,Domingos Manuel Sambo,,Domingos Manuel Sambo,,Domingos Manuel Sambo,,,,,male,politician,1953,Domingos,Domingos Manuel Sambo,Domingos Manuel Sambo,Domingos Manuel Sambo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10309412,José Filomeno dos Santos,José Filomeno dos Santos,,,José Filomeno de Sousa dos Santos,,,,José Filomeno dos Santos,,,José Filomeno dos Santos,,male,politician,1978,José,José Filomeno dos Santos,José Filomeno de Sousa dos Santos,José Filomeno de Sousa dos Santos,,,Жозе Филумену душ Сантуш,,,,,,,,,,,,,,,José Filomeno dos Santos,José Filomeno dos Santos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10314781,,Kunduma,Kunduma,,Kunduma,,,,Kunduma,,,,,male,politician,1959-01-13,,Kunduma,Kunduma,Kunduma,,,,,,,,,,,,,,2011-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10323941,Manuel Antonio Rabelais,Manuel Antonio Rabelais,Manuel Antonio Rabelais,Manuel Antonio Rabelais,Manuel Antonio Rabelais,Manuel Antonio Rabelais,Manuel Antonio Rabelais,Manuel Antonio Rabelais,Manuel Antonio Rabelais,,,,,male,politician,,Manuel,Manuel António Rabelais,Manuel Antonio Rabelais,Manuel António Rabelais,,,,,,,,,,,,,,,,,,Manuel Antonio Rabelais,Manuel Antonio Rabelais,,,,,,,,,,,,,,,,Manuel Antonio Rabelais,,,,Rabelais,,,,,,,,,,,,,,,,Manuel Antonio Rabelais,Manuel Antonio Rabelais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10337345,,,,,,,,,Norberto de Castro,,,,,male,journalist,1938,,Norberto de Castro,Norberto de Castro,Norberto de Castro,,,,,,,,,,,,,,2004-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10365296,,Ruy Alberto Vieira Dias Rodrigues Mingas,,,Ruy Alberto Vieira Dias Rodrigues Mingas,,Rui Mingas,,Ruy Alberto Vieira Dias Rodrigues Mingas,,,,,male,politician,1939-05-12,Ruy,Ruy Mingas,Rui Mingas,Ruy Mingas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ruy Alberto Vieira Dias Rodrigues Mingas,,,,,,,,,,,,,,,,,,,,Rui Mingas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rui Mingas,,,,,,Rui Mingas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10387078,Agostinho André Mendes de Carvalho,Uanhenga Xitu,Uanhenga Xitu,Uanhenga Xitu,Uanhenga Xitu,Uanhenga Xitu,,Uanhenga Xitu,Uanhenga Xitu,,Agostinho André Mendes de Carvalho,Uanhenga Xitu,,male,writer,1924-08-29,,Uanhenga Xitu,Uanhenga Xitu,Uanhenga Xitu,,,,,,,,,,,Uanhenga Xitu,,,2014-02-13,,118917428,,Uanhenga Xitu,Uanhenga Xitu,0000 0001 0939 2985,131659073,n78058031,,,78847,163160600,1437972,,,,,,,,Uanhenga Xitu,,,,,,,,,,,,,,,,,,,,Uanhenga Xitu,Uanhenga Xitu,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uanhenga Xitu,,,,,,Uanhenga Xitu,,,,,,,,,,,,,,,,,,,,,,,,Uanhenga Xitu,,,Uanhenga Xitu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n2005012961,,,,,,,,,,,,
Q11082410,Pedro Mutindi,Pedro Mutindi,Pedro Mutindi,Pedro Mutindi,Pedro Mutindi,,Pedro Mutindi,,Pedro Mutindi,,Pedro Mutindi,Pedro Mutindi,https://upload.wikimedia.org/wikipedia/commons/2/2d/Pedro_Mutindi.jpg,male,politician,1954-06-30,Pedro,Pedro Mutindi,Pedro Mutindi,Pedro Mutindi,,Pedro Mutindi,Педро Мутинди,,Pedro Mutindi,Pedro Mutindi,,,"Мутинди, Педро",,,,,,,,,,,,,,,,,,,,,,,,,,Pedro Mutindi,,,,,,,,,,,,,,,,,,,,Pedro Mutindi,Pedro Mutindi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1200650,Desidério da Costa,Desiderio Costa,Desiderio Costa,Desidério Costa,Desiderio Costa,,,,Desiderio Costa,,Desidério Costa,Desidério Costa,,male,politician,1934-04-04,Desiderio,Desidério Costa,Desidério Costa,Desidério Costa,,,,Desiderio Costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Desidério Costa,,,,,,,,,,,,,,,,,,,,Desidério Costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13563288,Palmira Barbosa,Palmira Barbosa,Palmira Barbosa,Palmira Barbosa,Palmira Barbosa,,Palmira Barbosa,,Palmira Barbosa,,,Palmira Barbosa,,female,handball player,1961-11-25,Palmira,Palmira Barbosa,Palmira Barbosa,,,,,,,Palmira Barbosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Palmira Barbosa,,,,Barbosa,,,,,,,,,,,,,,,,Palmira Barbosa,Palmira Barbosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
