name,name__mn,party,wikiname,constituency,term,source,constituency_id
Ganzorigiin Temüülen,Ганзоригийн Тэмүүлэн,Mongolian People's Party,,Arkhangai,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",arkhangai
Yondonperenlein Baatarbileg,Ёндонпэрэнлэйн Баатарбилэг,Mongolian People's Party,,Arkhangai,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",arkhangai
Jamyangiin Mönkhbat,Жамъянгийн Мөнхбат,Mongolian People's Party,Jamyangiin Mönkhbat,Arkhangai,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",arkhangai
Gombojain Soltan,Гомбожайн Солтан,Mongolian People's Party,,Bayan-Ölgii,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",bayan-Ölgii
Khavdislamyn Badyelkhan,Хавдисламын Баделхан,Mongolian People's Party,,Bayan-Ölgii,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",bayan-Ölgii
Dakein Murat,Дакейн Мурат,Mongolian Democratic Party,,Bayan-Ölgii,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",bayan-Ölgii
Gombojavyn Zandanshatar,Гомбожавын Занданшатар,Mongolian People's Party,Gombojavyn Zandanshatar,Bayankhongor,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",bayankhongor
Magvany Bilegt,Магваны Билэгт,Mongolian People's Party,,Bayankhongor,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",bayankhongor
Lkhagvaagiin Eldev-Ochir,Лхагваагийн Элдэв-Очир,Mongolian People's Party,,Bayankhongor,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",bayankhongor
Jadambyn Bat-Erdene,Жадамбын Бат-Эрдэнэ,Mongolian People's Party,,Bulgan,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",bulgan
Shatarbalyn Radnaased,Шатарбалын Раднаасэд,Mongolian People's Party,,Govi-Altai,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",govi-altai
Gompildoogiin Mönkhtsetseg,Гомпилдоогийн Мөнхцэцэг,Mongolian People's Party,,Govisümber•Dornogovi,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",govisümber•dornogovi
Borkhüügiin Delgersaikhan,Борхүүгийн Дэлгэрсайхан,Mongolian People's Party,,Govisümber•Dornogovi,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",govisümber•dornogovi
Khayangaagiin Bolorchuluun,Хаянгаагийн Болорчулуун,Mongolian People's Party,,Dornod,2016,"https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_Mongolian_legislative_election,_2016",dornod
