id,name__en,name__it,name__de,name__nb,name__da,name__nn,name__sv,name__fr,name__nl,name__es,name__fi,name,wikipedia__en,gender,occupation,birth_date,original_wikiname,name__hu,given_name,name__lb,death_date,image,family_name,name__ru,name__ca,name__cy,name__zh,wikipedia__de,wikipedia__fr,wikipedia__ru,name__bs,name__el,name__en_ca,name__en_gb,name__pl,name__zh_hant,name__zh_cn,wikipedia__bs,wikipedia__el,wikipedia__pl,wikipedia__simple,identifier__freebase,identifier__UScongress,identifier__NNDB,identifier__ballotpedia,twitter,facebook,email,linkedin,name__ar,name__pt,name__pt_br,name__cs,name__ro,name__rm,name__tr,name__ja,wikipedia__commons,identifier__VIAF,identifier__GND,identifier__LCAuth,identifier__wikitree,name__sl
Q18739108,Osbert Potter,,,,,,,Osbert Potter,,,,Osbert Potter,Osbert Potter,male,,1956-05-08,Osbert Potter,,Osbert,,,https://upload.wikimedia.org/wikipedia/commons/d/d1/Osbert_Potter.jpg,,,,,奧斯伯特·波特,,,,,Όσμπερτ Πότερ,Osbert Potter,Osbert Potter,,,,,Όσμπερτ Πότερ,,,,,,,,,,,,,,,,,,オスバート・ポッター,Category:Osbert Potter,,,,,
Q20900283,Pedro Encarnacion,,,,,,,Pedro Encarnacion,Pedro Encarnacion,,,Pedro Encarnacion,,male,,,,,Pedro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q20900285,Joseph A. Gomez,,Joseph A. Gomez,,,,,Joseph A. Gomez,Joseph A. Gomez,Joseph A. Gomez,Joseph A. Gomez,Joseph A. Gomez,,male,politician,,,,Joseph,,1965-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph A. Gomez
Q20900293,Athniel C. Ottley,,Athniel C. Ottley,,,,,Athniel C. Ottley,Athniel C. Ottley,Athniel C. Ottley,,Athniel C. Ottley,,male,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Athniel C. Ottley
Q22947729,Ruby M. Rouss,,Ruby M. Rouss,,,,,Ruby M. Rouss,Ruby M. Rouss,Ruby M. Rouss,,Ruby M. Rouss,Ruby M. Rouss,female,politician,1921-12-03,Ruby M. Rouss,,Ruby,Ruby M. Rouss,1988-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rouse-1568,Ruby M. Rouss
Q2819582,Ron de Lugo,Ron de Lugo,Ron de Lugo,,,,,Ron de Lugo,Ron de Lugo,Ron de Lugo,Ron de Lugo,Ron de Lugo,Ron de Lugo,male,politician,1930-08-02,Ron de Lugo,Ron de Lugo,Ron,,,https://upload.wikimedia.org/wikipedia/commons/f/f5/Ron_de_Lugo.jpg,,,,,,Ron de Lugo,,,,,,,,,,,,,Ron de Lugo,/m/01t028,D000209,632/000132236,,,,,,,,,,,,,,,,,,,Ron de Lugo
Q28848657,Lucinda Sewer Millin,,,,,,,Lucinda Sewer Millin,Lucinda Sewer Millin,,,Lucinda Sewer Millin,Lucinda Sewer Millin,female,politician,1892-08-26,Lucinda Sewer Millin,,,,1981-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q28868256,Marvin Allen Blyden,,,,,,,,Marvin Allen Blyden,,,Marvin Allen Blyden,,male,politician,,,,Marvin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q28868260,Dwayne Maurice DeGraff,,,,,,,,Dwayne Maurice DeGraff,,,Dwayne Maurice DeGraff,,male,politician,1961,,,Dwayne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q28868261,Jean A. Forde,,,,,,,,Jean A. Forde,,,Jean A. Forde,,male,politician,,,,Jean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
