id,name,wikipedia__pl,term,group,source,area,area_id,start_date,wikidata,end_date,replaced,name__pl,name__en,gender,birth_date,given_name,image,identifier__viaf,identifier__freebase,identifier__lcauth,identifier__europarlmep,identifier__isni,identifier__bnf,website,identifier__gnd,identifier__sudoc,identifier__nta,identifier__imdb,facebook,family_name,identifier__muzinger,death_date,twitter,identifier__gtaa,identifier__parlement,identifier__ndl,identifier__nla,identifier__nkc,identifier__nukat,identifier__nlp,identifier__ptbnp,identifier__nli,identifier__bne,identifier__bav,identifier__fifa,identifier__catholic_hierarchy
elżbieta-achinger,Elżbieta Achinger,Elżbieta Achinger,7,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo małopolskie 15,15-7,2012-07-11,Q9253080,,,Elżbieta Achinger,,female,1957-06-08,Elżbieta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tadeusz-arkit,Tadeusz Arkit,Tadeusz Arkit,7,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo małopolskie 12,12-7,,Q1726186,,,Tadeusz Arkit,Tadeusz Arkit,male,1955-11-10,Tadeusz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bartosz-arłukowicz,Bartosz Arłukowicz,Bartosz Arłukowicz,7,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo zachodniopomorskie 41,41-7,,Q55703,,,Bartosz Arłukowicz,Bartosz Arłukowicz,male,1971-12-30,Bartosz,https://upload.wikimedia.org/wikipedia/commons/7/70/Bartosz_Arłukowicz_59_posiedzenie_Senatu_02.JPG,308287486,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paweł-arndt,Paweł Arndt,Paweł Arndt,7,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo wielkopolskie 37,37-7,,Q362890,,,Paweł Arndt,Paweł Arndt,male,1954-01-21,Paweł,,,/m/0f6pld,,,,,,,,,,,,,,,,,,,,,,,,,,,
urszula-augustyn,Urszula Augustyn,Urszula Augustyn,7,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo małopolskie 15,15-7,,Q7901327,,,Urszula Augustyn,Urszula Augustyn,female,1964-09-01,Urszula,"https://upload.wikimedia.org/wikipedia/commons/5/5e/Spotkanie_zorganizowane_przez_Urszulę_Augustyn_-_Skrzyszów,_małopolskie_(2012-12-15)_(8360418959).jpg",,/m/0f6pms,,,,,,,,,,,,,,,,,,,,,,,,,,,
tadeusz-aziewicz,Tadeusz Aziewicz,Tadeusz Aziewicz,7,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo pomorskie 26,26-7,,Q363696,,,Tadeusz Aziewicz,Tadeusz Aziewicz,male,1960-10-31,Tadeusz,https://upload.wikimedia.org/wikipedia/commons/4/4f/Tadeusz_Aziewicz.jpg,165180084,/m/0f6pn3,,,,,,,,,,,,,,,,,,,,,,,,,,,
marek-biernacki,Marek Biernacki,Marek Biernacki,7,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo pomorskie 26,26-7,,Q364643,,,Marek Biernacki,Marek Biernacki,male,1959-04-28,Marek,,9214013,/m/0f6prp,n2002117798,,,,,,,,,,,,,,,,,,,,,,,,,,
andrzej-biernat-(polityk),Andrzej Biernat,Andrzej Biernat (polityk),7,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo łódzkie 11,11-7,,Q4759584,,,Andrzej Biernat,Andrzej Biernat,male,1960-08-11,Andrzej,https://upload.wikimedia.org/wikipedia/commons/a/af/Andrzej_Biernat_z_wizytą_w_Lublinie.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
leszek-blanik,Leszek Blanik,Leszek Blanik,7,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo pomorskie 25,25-7,,Q499924,,,Leszek Blanik,Leszek Blanik,male,1977-03-01,Leszek,https://upload.wikimedia.org/wikipedia/commons/a/aa/Leszek_Blanik.jpg,,/m/0405bp7,,,,,,,,,,,,,,,,,,,,,,,,,,,
joanna-bobowska,Joanna Bobowska,Joanna Bobowska,7,Klub Parlamentarny Platforma Obywatelska,https://pl.wikipedia.org/wiki/Pos%C5%82owie_na_Sejm_Rzeczypospolitej_Polskiej_VII_kadencji,Województwo małopolskie 12,12-7,,Q11727385,,,Joanna Bobowska,,female,,Joanna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
