id,name__en,name,wikipedia__en,gender,birth_date,given_name,family_name,image,identifier__freebase,name__fr,name__nl,name__de,wikipedia__fr,name__pt,name__pl,name__ru,name__es,name__tr,name__yo,name__oc,name__fi,name__uk,name__gl,name__et,name__id,name__el,name__io,name__sv,name__ar,name__nb,name__da,name__nn,wikipedia__ar,wikipedia__de,wikipedia__el,wikipedia__es,wikipedia__et,wikipedia__fi,wikipedia__gl,wikipedia__id,wikipedia__io,wikipedia__nl,wikipedia__no,wikipedia__oc,wikipedia__pl,wikipedia__pt,wikipedia__ru,wikipedia__sv,wikipedia__tr,wikipedia__uk,wikipedia__yo,name__it,name__he,name__mr,name__ko,name__ja,name__ca,name__zh_hans,name__de_ch,name__en_ca,name__en_gb,name__pt_br,name__zh,wikipedia__da,wikipedia__he,wikipedia__ja,wikipedia__ko,wikipedia__mr,wikipedia__simple,wikipedia__zh,wikipedia__it,identifier__IIAF,original_wikiname,name__hu,last_seen,wikipedia__fa,name__fa,identifier__Britannica,occupation,name__la,wikipedia__la,wikipedia__ms,name__ms,identifier__NNDB
Q16732648,Hubert Minnis,Hubert Minnis,Hubert Minnis,male,1961,Hubert,,https://upload.wikimedia.org/wikipedia/commons/f/f3/Hubert_Minnis_2016.jpg,,Hubert Minnis,,Hubert Minnis,Hubert Minnis,,Hubert Minnis,Губерт Миннис,Hubert Minnis,,,,,,,,,,,,,,,,,Hubert Minnis,,Hubert Minnis,,,,,,,,,Hubert Minnis,,"Миннис, Хьюберт",,Hubert Minnis,,,Hubert Minnis,,,,ヒューバート・ミニス,,,,,,,,,,,,,Hubert Minnis,,,,Hubert Minnis,,,,,,politician,Hubertus Minnis,Hubertus Minnis,Hubert Minnis,Hubert Minnis,
Q18921815,Melanie Griffin,Melanie Griffin,Melanie Griffin,female,,Melanie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melanie Griffin,,,,,,,,,,,,,,,,,,,,,Melanie Griffin,,,,,,politician,,,,,
Q19561395,Glenys Hanna Martin,Glenys Hanna Martin,Glenys Hanna Martin,female,1958-10-27,Glenys,Martin,https://upload.wikimedia.org/wikipedia/commons/7/73/GlenysHanna-Martin.jpg,,,Glenys Hanna Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Glenys Hanna Martin,,,,,,politician,,,,,
Q19661243,Hope Strachan,Hope Strachan,Hope Strachan,female,,Hope,,,,,Hope Strachan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hope Strachan,,,,,,lawyer,,,,,
Q3086904,Fred Mitchell,Fred Mitchell,Fred Mitchell (Bahamas),male,1953-10-05,Fred,,https://upload.wikimedia.org/wikipedia/commons/9/97/Fred_Mitchell_(Bahamas)(cropped).jpg,,Fred Mitchell,Fred Mitchell,Fred Mitchell,Fred Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fred Mitchell (Bahamas),,,,,,diplomat,,,,,
Q317664,Hubert Ingraham,Hubert Ingraham,Hubert Ingraham,male,1947-08-04,Hubert,,https://upload.wikimedia.org/wikipedia/commons/5/58/Hubert_Ingraham.jpg,/m/0367n9,Hubert Ingraham,Hubert Ingraham,Hubert Ingraham,Hubert Ingraham,Hubert Ingraham,Hubert Ingraham,"Ингрэм, Хьюберт",Hubert Ingraham,Hubert Ingraham,Hubert Ingraham,Hubert Ingraham,Hubert Ingraham,Г'юберт Інгрем,Hubert Ingraham,Hubert Ingraham,Hubert Ingraham,Χιούμπερτ Ίνγκραχαμ,Hubert Ingraham,Hubert Ingraham,هوبرت إنغراهام,Hubert Ingraham,Hubert Ingraham,Hubert Ingraham,هوبرت إنغراهام,Hubert Ingraham,Χιούμπερτ Ίνγκραμ,Hubert Ingraham,Hubert Ingraham,Hubert Ingraham,Hubert Ingraham,Hubert Ingraham,Hubert Ingraham,Hubert Ingraham,Hubert Ingraham,Hubert Ingraham,Hubert Ingraham,Hubert Ingraham,"Ингрэм, Хьюберт",Hubert Ingraham,Hubert Ingraham,Г'юберт Інгрем,Hubert Ingraham,Hubert Ingraham,,,,ヒューバート・イングラハム,,,,,,,休伯特·英格拉哈姆,,,,,,,,Hubert Ingraham,,Hubert Ingraham,Hubert Ingraham,,هوبرت اینگراهام,هوبرت اینگراهام,biography/Hubert-Ingraham,politician,,,,,854/000162368
Q57705,Perry Christie,Perry Christie,Perry Christie,male,1943-08-21,Perry,Christie,https://upload.wikimedia.org/wikipedia/commons/a/a2/Perry_Christie_January_2015.jpg,/m/0230mv,Perry Christie,Perry Christie,Perry Christie,Perry Christie,Perry Christie,Perry Christie,"Кристи, Перри",Perry Christie,Perry Christie,,Perry Christie,Perry Christie,Перрі Крісті,Perry Christie,Perry Christie,Perry Christie,Πέρι Κρίστι,Perry Christie,Perry Christie,,Perry Christie,Perry Christie,Perry Christie,,Perry Christie,Πέρι Κρίστι,Perry Christie,Perry Christie,Perry Christie,Perry Christie,Perry Christie,Perry Christie,Perry Christie,Perry Christie,Perry Christie,Perry Christie,Perry Christie,"Кристи, Перри",Perry Christie,Perry Christie,Перрі Крісті,,Perry Christie,פרי כריסטי,पेरी क्रिस्टी,페리 크리스티,ペリー・クリスティー,Perry Christie,佩里·克里斯蒂,Perry Christie,Perry Christie,Perry Christie,Perry Christie,佩里·克里斯蒂,Perry Christie,פרי כריסטי,ペリー・クリスティー,페리 크리스티,पेरी क्रिस्टी,Perry Christie,佩里·克里斯蒂,Perry Christie,,Perry Christie,Perry Christie,,پری کریستی,پری کریستی,,politician,Perry Christie,Perry Christie,,,
Q7169784,Perry Gomez,Perry Gomez,Perry Gomez,male,1947-01-18,Perry,,,,Perry Gomez,Perry Gomez,Perry Gomez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perry Gomez,,,,,,politician,,,,,
Q7183082,"Philip ""Brave"" Davis","Philip ""Brave"" Davis","Philip ""Brave"" Davis",male,1951-06-07,Philip,,,,"Philip ""Brave"" Davis","Philip ""Brave"" Davis",,,,,,"Philip ""Brave"" Davis",,,,,,,,,,,"Philip ""Brave"" Davis",,"Philip ""Brave"" Davis","Philip ""Brave"" Davis","Philip ""Brave"" Davis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Philip ""Brave"" Davis","Philip ""Brave"" Davis",,,,,politician,,,,,
Q7313601,Renward Wells,Renward Wells,Renward Wells,male,1970-02-23,Renward,,,,Renward Wells,,Renward Wells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9438,Renward Wells,,,,,,sprinter,,,,,
