name,sort_name,family_name,given_name,birth_date,image,group,constituency,island,source,as_of,id
Andre Rollins,"Rollins, Andre",Rollins,Andre,,http://www.bahamas.gov.bs/wps/wcm/connect/cc45a72d-2240-4d5f-878b-e4541357083e/Dr.+Andre+Rollins+Ft.+Charlotte.jpg?MOD=AJPERES&CACHEID=cc45a72d-2240-4d5f-878b-e4541357083e,PLP,Fort Charlotte,New Providence,http://www.bahamas.gov.bs/wps/portal/public/?1dmy&urile=wcm%3apath%3a/mof_content/internet/all+contacts/directory+of+contacts/listed+alphabetically/directory/andre++rollins,2016-08-23,Andre Rollins
Anthony Moss,"Moss, Anthony",Moss,Anthony,,http://www.bahamas.gov.bs/wps/wcm/connect/7472e7ca-7bec-4bbe-9113-d13dd2c227af/Anthony+Moss-Exuma+%26+Ragged+Island4.jpg?MOD=AJPERES&CACHEID=7472e7ca-7bec-4bbe-9113-d13dd2c227af,,,,http://www.bahamas.gov.bs/wps/portal/public/?1dmy&urile=wcm%3apath%3a/mof_content/internet/all+contacts/directory+of+contacts/listed+alphabetically/directory/anthony+moss,2016-08-23,Anthony Moss
Arnold Forbes,"Forbes, Arnold",Forbes,Arnold,1964-09-05,http://www.bahamas.gov.bs/wps/wcm/connect/e4dbca38-5634-4203-ace3-0427e919381c/Arnold+Forbes-Mount+Moriah4.jpg?MOD=AJPERES&CACHEID=e4dbca38-5634-4203-ace3-0427e919381c,PLP,"",(None),http://www.bahamas.gov.bs/wps/portal/public/?1dmy&urile=wcm%3apath%3a/mof_content/internet/all+contacts/directory+of+contacts/listed+alphabetically/directory/arnold+forbes,2016-08-23,Arnold Forbes
Arnold Forbes,"Forbes, Arnold",Forbes,Arnold,1964-09-05,http://www.bahamas.gov.bs/wps/wcm/connect/2e917237-ca64-4bb5-9da3-af786f7e062c/Arnold+Forbes-Mount+Moriah4.jpg?MOD=AJPERES&CACHEID=2e917237-ca64-4bb5-9da3-af786f7e062c,PLP,Mount Moriah,New Providence,http://www.bahamas.gov.bs/wps/portal/public/?1dmy&urile=wcm%3apath%3a/mof_content/internet/all+contacts/directory+of+contacts/listed+alphabetically/directory/arnold++forbes,2016-08-23,Arnold Forbes
Bernard J. Nottage,"Nottage, Bernard J.",Nottage,Bernard J.,1945-10-23,http://www.bahamas.gov.bs/wps/wcm/connect/135a88ef-b5b4-479e-8820-aef3f17d6aca/Dr.+Bernard+J.+Nottage2.jpg?MOD=AJPERES&CACHEID=135a88ef-b5b4-479e-8820-aef3f17d6aca,PLP,Bain & Grants Town,New Providence,http://www.bahamas.gov.bs/wps/portal/public/?1dmy&urile=wcm%3apath%3a/mof_content/internet/all+contacts/directory+of+contacts/listed+alphabetically/directory/the+hon.+dr.+bernard+j.+nottage,2016-08-23,Bernard J. Nottage
Cleola Hamilton,"Hamilton, Cleola",Hamilton,Cleola,,http://www.bahamas.gov.bs/wps/wcm/connect/17c78e03-e03e-479d-bfbe-53623ffe5712/CLEOLA+HAMILTON+South+Beach.jpg?MOD=AJPERES&CACHEID=17c78e03-e03e-479d-bfbe-53623ffe5712,,,,http://www.bahamas.gov.bs/wps/portal/public/?1dmy&urile=wcm%3apath%3a/mof_content/internet/all+contacts/directory+of+contacts/listed+alphabetically/directory/cleola+hamilton,2016-08-23,Cleola Hamilton
D. Shane Gibson,"Gibson, D. Shane",Gibson,D. Shane,1961-09-07,http://www.bahamas.gov.bs/wps/wcm/connect/31e37831-93a3-45de-8497-6d5034ac77bc/Shane+Gibson-Golden+Gates4.jpg?MOD=AJPERES&CACHEID=31e37831-93a3-45de-8497-6d5034ac77bc,PLP,Golden Gates,New Providence,http://www.bahamas.gov.bs/wps/portal/public/?1dmy&urile=wcm%3apath%3a/mof_content/internet/all+contacts/directory+of+contacts/listed+alphabetically/directory/the+hon.+d.+shane+gibson,2016-08-23,D. Shane Gibson
Daniel Johnson,"Johnson, Daniel",Johnson,Daniel,,http://www.bahamas.gov.bs/wps/wcm/connect/999409a5-f974-4cfc-80f2-348b04a251c6/Daniel+Johnson.jpg?MOD=AJPERES&CACHEID=999409a5-f974-4cfc-80f2-348b04a251c6,PLP,Carmichael,New Providence,http://www.bahamas.gov.bs/wps/portal/public/?1dmy&urile=wcm%3apath%3a/mof_content/internet/all+contacts/directory+of+contacts/listed+alphabetically/directory/daniel+johnson,2016-08-23,Daniel Johnson
Edison M Key,"Key, Edison M",Key,Edison M,1938-05,http://www.bahamas.gov.bs/wps/wcm/connect/2e8bbf1c-5064-46a4-8196-7d253c13030e/edison.jpg?MOD=AJPERES&CACHEID=2e8bbf1c-5064-46a4-8196-7d253c13030e,FNM,Central and South Abaco,Abaco,http://www.bahamas.gov.bs/wps/portal/public/?1dmy&urile=wcm%3apath%3a/mof_content/internet/all+contacts/directory+of+contacts/listed+alphabetically/directory/edison+m.+key,2016-08-23,Edison M Key
Frederick Mitchell,"Mitchell, Frederick",Mitchell,Frederick,1953-10-05,http://www.bahamas.gov.bs/wps/wcm/connect/ba579f33-b611-4bab-ac41-218692fb8298/Fred+Mitchell+-+Fox+Hill.jpg?MOD=AJPERES&CACHEID=ba579f33-b611-4bab-ac41-218692fb8298,PLP,Fox Hill,New Providence,http://www.bahamas.gov.bs/wps/portal/public/?1dmy&urile=wcm%3apath%3a/mof_content/internet/all+contacts/directory+of+contacts/listed+alphabetically/directory/the+hon.+frederick+a.+mitchell,2016-08-23,Frederick Mitchell
