id,fullname,birth_date,death_date,img,mandates,source,name,party,area,term
100037,Josué Bengtson,,,http://www.camara.gov.br/internet/deputado/bandep/74351.jpg,"Deputado Federal, 1999-2003, PA, PTB. Dt. Posse: 01/02/1999; Deputado Federal, 2003-2007, PA, PTB. Dt. Posse: 01/02/2003; Deputado Federal, 2011-2015, PA, PTB. Dt. Posse: 01/02/2011; Deputado Federal, 2015-2019, PA, PTB. Dt. Posse: 01/02/2015.",http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=100037&tipo=0,JOSUÉ BENGTSON,PTB,PA,55
100037,Josué Bengtson,,,http://www.camara.gov.br/internet/deputado/bandep/74351.jpg,"Deputado Federal, 1999-2003, PA, PTB. Dt. Posse: 01/02/1999; Deputado Federal, 2003-2007, PA, PTB. Dt. Posse: 01/02/2003; Deputado Federal, 2011-2015, PA, PTB. Dt. Posse: 01/02/2011; Deputado Federal, 2015-2019, PA, PTB. Dt. Posse: 01/02/2015.",http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=100037&tipo=0,JOSUÉ BENGTSON,PTB,PA,54
100046,Nilson Pinto de Oliveira,,,http://www.camara.gov.br/internet/deputado/bandep/74352.jpg,"Deputado Federal, 1999-2003, PA, PSDB. Dt. Posse: 01/02/1999; Deputado Federal, 2003-2007, PA, PSDB. Dt. Posse: 01/02/2003; Deputado Federal, 2007-2011, PA, PSDB. Dt. Posse: 01/02/2007; Deputado Federal, 2011-2015, PA, PSDB. Dt. Posse: 01/02/2011; Deputado Federal, 2015-2019, PA, PSDB. Dt. Posse: 01/02/2015.",http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=100046&tipo=0,NILSON PINTO,PSDB,PA,55
100046,Nilson Pinto de Oliveira,,,http://www.camara.gov.br/internet/deputado/bandep/74352.jpg,"Deputado Federal, 1999-2003, PA, PSDB. Dt. Posse: 01/02/1999; Deputado Federal, 2003-2007, PA, PSDB. Dt. Posse: 01/02/2003; Deputado Federal, 2007-2011, PA, PSDB. Dt. Posse: 01/02/2007; Deputado Federal, 2011-2015, PA, PSDB. Dt. Posse: 01/02/2011; Deputado Federal, 2015-2019, PA, PSDB. Dt. Posse: 01/02/2015.",http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=100046&tipo=0,NILSON PINTO,PSDB,PA,54
100058,Zenaldo Rodrigues Coutinho Júnior,,,http://www.camara.gov.br/internet/deputado/bandep/74354.jpg,"Deputado Federal, 1999-2003, PA, PSDB. Dt. Posse: 01/02/1999; Deputado Federal, 2003-2007, PA, PSDB. Dt. Posse: 01/02/2003; Deputado Federal, 2007-2011, PA, PSDB. Dt. Posse: 01/02/2007; Deputado Federal, 2011-2015, PA, PSDB. Dt. Posse: 01/02/2011.",http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=100058&tipo=0,ZENALDO COUTINHO,PSDB,PA,54
100086,Givaldo de Sá Gouveia,,,http://www.camara.gov.br/internet/deputado/bandep/74558.jpg,"Deputado Federal, 1999-2003, AL, PSB. Dt. Posse: 01/02/1999; Deputado Federal, 2003-2007, AL, PSB. Dt. Posse: 01/02/2003; Deputado Federal, 2007-2011, AL, PSB. Dt. Posse: 01/02/2007; Deputado Federal, 2011-2015, AL, PSB. Dt. Posse: 01/02/2011; Deputado Federal, 2015-2019, AL, PROS. Dt. Posse: 01/02/2015.",http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=100086&tipo=0,GIVALDO CARIMBÃO,PHS,AL,55
100086,Givaldo de Sá Gouveia,,,http://www.camara.gov.br/internet/deputado/bandep/74558.jpg,"Deputado Federal, 1999-2003, AL, PSB. Dt. Posse: 01/02/1999; Deputado Federal, 2003-2007, AL, PSB. Dt. Posse: 01/02/2003; Deputado Federal, 2007-2011, AL, PSB. Dt. Posse: 01/02/2007; Deputado Federal, 2011-2015, AL, PSB. Dt. Posse: 01/02/2011; Deputado Federal, 2015-2019, AL, PROS. Dt. Posse: 01/02/2015.",http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=100086&tipo=0,GIVALDO CARIMBÃO,PROS,AL,54
100092,João Caldas da Silva,,,http://www.camara.gov.br/internet/deputado/bandep/74559.jpg,"Deputado Federal, 1999-2003, AL, PMN. Dt. Posse: 01/02/1999; Deputado Federal, 2003-2007, AL, PL. Dt. Posse: 01/02/2003; Deputado Federal, 2011-2015, AL, PSDB. Dt. Posse: 18/06/2012.",http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=100092&tipo=0,JOÃO CALDAS,SD,AL,54
100150,Marcondes Iran Benevides Gadelha,,,http://www.camara.gov.br/internet/deputado/bandep/74470.jpg,"Deputado Federal, 1971-1975, PB, MDB. Dt. Posse: 01/02/1971; Deputado Federal, 1975-1979, PB, MDB. Dt. Posse: 01/02/1975; Deputado Federal, 1979-1983, PB, MDB. Dt. Posse: 01/02/1979; Deputado Federal, 1999-2003, PB, PFL. Dt. Posse: 01/02/1999; Deputado Federal, 2003-2007, PB, PFL. Dt. Posse: 26/02/2003; Deputado Federal, 2007-2011, PB, PSB. Dt. Posse: 01/02/2007; Deputado Federal, 2015-2019, PB, PSC. Dt. Posse: 01/12/2015.",http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=100150&tipo=0,MARCONDES GADELHA,PSC,PB,55
100168,Damião Feliciano da Silva,,,http://www.camara.gov.br/internet/deputado/bandep/74467.jpg,"Deputado Federal, 1999-2003, PB, PTB. Dt. Posse: 01/02/1999; Deputado Federal, 2004-2004, PB, PMDB. Dt. Posse: 01/07/2004; Deputado Federal, 2007-2011, PB, PL. Dt. Posse: 01/02/2007; Deputado Federal, 2011-2015, PB, PDT. Dt. Posse: 01/02/2011; Deputado Federal, 2015-2019, PB, PDT. Dt. Posse: 01/02/2015.",http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=100168&tipo=0,DAMIÃO FELICIANO,PDT,PB,55
