id,name,fullname,party,party_id,district,phone,legislaturas,image,email,term,source
5830756,ABEL MESQUITA JR.,ABEL SALVADOR MESQUITA JUNIOR,PMB,PMB,RR,(61) 3215-5248 -  3215-2248,15/19,http://www.camara.gov.br/internet/deputado/bandep/178957.jpg,dep.abelmesquitajr@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830756
5830364,ADALBERTO CAVALCANTI,ADALBERTO CAVALCANTI RODRIGUES,PMB,PMB,PE,(61) 3215-5402 -  3215-2402,15/19,http://www.camara.gov.br/internet/deputado/bandep/178914.jpg,dep.adalbertocavalcanti@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830364
5830314,ADELMO CARNEIRO LEÃO,ADELMO CARNEIRO LEAO,PT,PT,MG,(61) 3215-5231 -  3215-2231,15/19,http://www.camara.gov.br/internet/deputado/bandep/178890.jpg,dep.adelmocarneiroleao@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830314
5830370,ADELSON BARRETO,ADELSON BARRETO DOS SANTOS,PTB,PTB,SE,(61) 3215-5937 -  3215-2937,15/19,http://www.camara.gov.br/internet/deputado/bandep/178968.jpg,dep.adelsonbarreto@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830370
5830803,ADEMIR CAMILO,ADEMIR CAMILO PRATES RODRIGUES,PROS,PROS,MG,(61) 3215-5804 -  3215-2804,03/07 07/11 11/15 15/19,http://www.camara.gov.br/internet/deputado/bandep/133374.jpg,dep.ademircamilo@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830803
5830628,ADILTON SACHETTI,ADILTON DOMINGOS SACHETTI,PSB,PSB,MT,(61) 3215-5374 -  3215-2374,15/19,http://www.camara.gov.br/internet/deputado/bandep/178903.jpg,dep.adiltonsachetti@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830628
5830322,AELTON FREITAS,AELTON JOSÉ DE FREITAS,PR,PR,MG,(61) 3215-5204 -  3215-2204,07/11 11/15 15/19,http://www.camara.gov.br/internet/deputado/bandep/141372.jpg,dep.aeltonfreitas@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830322
5830319,AFONSO FLORENCE,AFONSO BANDEIRA FLORENCE,PT,PT,BA,(61) 3215-5305 -  3215-2305,11/15 15/19,http://www.camara.gov.br/internet/deputado/bandep/160508.jpg,dep.afonsoflorence@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830319
5830647,AFONSO HAMM,JOSÉ ALFONSO EBERT HAMM,PP,PP,RS,(61) 3215-5604 -  3215-2604,03/07 07/11 11/15 15/19,http://www.camara.gov.br/internet/deputado/bandep/136811.jpg,dep.afonsohamm@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830647
5830619,AFONSO MOTTA,AFONSO ANTUNES DA MOTTA,PDT,PDT,RS,(61) 3215-5711 -  3215-2711,11/15 15/19,http://www.camara.gov.br/internet/deputado/bandep/178835.jpg,dep.afonsomotta@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830619
5830568,AGUINALDO RIBEIRO,AGUINALDO VELLOSO BORGES RIBEIRO,PP,PP,PB,(61) 3215-5735 -  3215-2735,11/15 15/19,http://www.camara.gov.br/internet/deputado/bandep/160527.jpg,dep.aguinaldoribeiro@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830568
5830326,ALAN RICK,ALAN RICK MIRANDA,PRB,PRB,AC,(61) 3215-5650 -  3215-2650,15/19,http://www.camara.gov.br/internet/deputado/bandep/178836.jpg,dep.alanrick@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830326
5830840,ALBERTO FILHO,JOSÉ ALBERTO OLIVEIRA VELOSO FILHO,PMDB,PMDB,MA,(61) 3215-5350 -  3215-2350,11/15 15/19,http://www.camara.gov.br/internet/deputado/bandep/160582.jpg,dep.albertofilho@camara.leg.br,55,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830840
