id,name,fullname,phone,image,email,source
5830292,ERIVELTON SANTANA,ERIVELTON LIMA SANTANA,(61) 3215-5756 - 3215-2756,http://www.camara.gov.br/internet/deputado/bandep/99654.jpg,dep.eriveltonsantana@camara.leg.br,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830292
5830294,BRUNO ARAÚJO,BRUNO CAVALCANTI DE ARAÚJO,(61) 3215-5718 - 3215-2718,http://www.camara.gov.br/internet/deputado/bandep/141394.jpg,dep.brunoaraujo@camara.leg.br,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830294
5830295,CAPITÃO FÁBIO ABREU,FABIO ABREU COSTA,(61) 3215-5484 - 3215-2484,http://www.camara.gov.br/internet/deputado/bandep/178924.jpg,dep.capitaofabioabreu@camara.leg.br,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830295
5830296,CACÁ LEÃO,CARLOS FELIPE VAZQUEZ DE SOUZA LEÃO,(61) 3215-5320 - 3215-2320,http://www.camara.gov.br/internet/deputado/bandep/93083.jpg,dep.cacaleao@camara.leg.br,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830296
5830297,DIMAS FABIANO,DIMAS FABIANO TOLEDO JÚNIOR,(61) 3215-5325 - 3215-2325,http://www.camara.gov.br/internet/deputado/bandep/160599.jpg,dep.dimasfabiano@camara.leg.br,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830297
5830298,CHICO D'ANGELO,FRANCISCO JOSÉ D'ANGELO PINTO,(61) 3215-5542 - 3215-2542,http://www.camara.gov.br/internet/deputado/bandep/141439.jpg,dep.chicodangelo@camara.leg.br,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830298
5830302,CARLOS GOMES,ANTONIO CARLOS GOMES DA SILVA,(61) 3215-5285 - 3215-2285,http://www.camara.gov.br/internet/deputado/bandep/178962.jpg,dep.carlosgomes@camara.leg.br,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830302
5830309,DR. JORGE SILVA,JORGE SILVA,(61) 3215-5227 - 3215-2227,http://www.camara.gov.br/internet/deputado/bandep/160643.jpg,dep.dr.jorgesilva@camara.leg.br,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830309
5830311,DULCE MIRANDA,DULCE FERREIRA PAGANI MIRANDA,(61) 3215-5530 - 3215-2530,http://www.camara.gov.br/internet/deputado/bandep/178994.jpg,dep.dulcemiranda@camara.leg.br,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830311
5830313,DÉCIO LIMA,DÉCIO NERY DE LIMA,(61) 3215-5218 - 3215-2218,http://www.camara.gov.br/internet/deputado/bandep/141413.jpg,dep.deciolima@camara.leg.br,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830313
5830314,ADELMO CARNEIRO LEÃO,ADELMO CARNEIRO LEAO,(61) 3215-5627 - 3215-2627,http://www.camara.gov.br/internet/deputado/bandep/178890.jpg,dep.adelmocarneiroleao@camara.leg.br,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830314
5830315,EDUARDO BOLSONARO,EDUARDO NANTES BOLSONARO,(61) 3215-5481 - 3215-2481,http://www.camara.gov.br/internet/deputado/bandep/92346.jpg,dep.eduardobolsonaro@camara.leg.br,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830315
5830319,AFONSO FLORENCE,AFONSO BANDEIRA FLORENCE,(61) 3215-5305 - 3215-2305,http://www.camara.gov.br/internet/deputado/bandep/160508.jpg,dep.afonsoflorence@camara.leg.br,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830319
5830321,ARTHUR LIRA,ARTHUR CÉSAR PEREIRA DE LIRA,(61) 3215-5942 - 3215-2942,http://www.camara.gov.br/internet/deputado/bandep/160541.jpg,dep.arthurlira@camara.leg.br,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830321
5830322,AELTON FREITAS,AELTON JOSÉ DE FREITAS,(61) 3215-5204 - 3215-2204,http://www.camara.gov.br/internet/deputado/bandep/141372.jpg,dep.aeltonfreitas@camara.leg.br,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830322
5830325,ELCIONE BARBALHO,ELCIONE THEREZINHA ZAHLUTH BARBALHO,(61) 3215-5919 - 3215-2919,http://www.camara.gov.br/internet/deputado/bandep/74075.jpg,dep.elcionebarbalho@camara.leg.br,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830325
5830326,ALAN RICK,ALAN RICK MIRANDA,(61) 3215-5650 - 3215-2650,http://www.camara.gov.br/internet/deputado/bandep/178836.jpg,dep.alanrick@camara.leg.br,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830326
5830329,ALESSANDRO MOLON,ALESSANDRO LUCCIOLA MOLON,(61) 3215-5652 - 3215-2652,http://www.camara.gov.br/internet/deputado/bandep/160511.jpg,dep.alessandromolon@camara.leg.br,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830329
5830335,DANILO CABRAL,DANILO JORGE DE BARROS CABRAL,(61) 3215-5423 - 3215-2423,http://www.camara.gov.br/internet/deputado/bandep/160528.jpg,dep.danilocabral@camara.leg.br,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830335
5830336,ALIEL MACHADO,ALIEL MACHADO BARK,(61) 3215-5480 - 3215-2480,http://www.camara.gov.br/internet/deputado/bandep/178927.jpg,dep.alielmachado@camara.leg.br,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830336
5830345,DANIEL ALMEIDA,DANIEL GOMES DE ALMEIDA,(61) 3215-5317 - 3215-2317,http://www.camara.gov.br/internet/deputado/bandep/74060.jpg,dep.danielalmeida@camara.leg.br,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830345
5830346,ESPERIDIÃO AMIN,ESPERIDIÃO AMIN HELOU FILHO,(61) 3215-5252 - 3215-2252,http://www.camara.gov.br/internet/deputado/bandep/160649.jpg,dep.esperidiaoamin@camara.leg.br,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830346
5830347,CRISTIANE BRASIL,CRISTIANE BRASIL FRANCISCO,(61) 3215-5644 - 3215-2644,http://www.camara.gov.br/internet/deputado/bandep/93472.jpg,dep.cristianebrasil@camara.leg.br,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830347
5830348,ENIO VERRI,ENIO JOSÉ VERRI,(61) 3215-5472 - 3215-2472,http://www.camara.gov.br/internet/deputado/bandep/132504.jpg,dep.enioverri@camara.leg.br,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830348
5830350,DELEGADO WALDIR,WALDIR SOARES DE OLIVEIRA,(61) 3215-5645 - 3215-2645,http://www.camara.gov.br/internet/deputado/bandep/164359.jpg,dep.delegadowaldir@camara.leg.br,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830350
5830352,ANTONIO BALHMANN,ANTONIO BALHMANN CARDOSO NUNES FILHO,(61) 3215-5522 - 3215-2522,http://www.camara.gov.br/internet/deputado/bandep/74213.jpg,dep.antoniobalhmann@camara.leg.br,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830352
5830359,ASSIS CARVALHO,FRANCISCO DE ASSIS CARVALHO GONÇALVES,(61) 3215-5909 - 3215-2909,http://www.camara.gov.br/internet/deputado/bandep/159237.jpg,dep.assiscarvalho@camara.leg.br,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830359
5830363,DELEGADO EDSON MOREIRA,EDSON MOREIRA DA SILVA,(61) 3215-5933 - 3215-2933,http://www.camara.gov.br/internet/deputado/bandep/178893.jpg,dep.delegadoedsonmoreira@camara.leg.br,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830363
5830364,ADALBERTO CAVALCANTI,ADALBERTO CAVALCANTI RODRIGUES,(61) 3215-5402 - 3215-2402,http://www.camara.gov.br/internet/deputado/bandep/178914.jpg,dep.adalbertocavalcanti@camara.leg.br,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830364
5830368,ARNALDO JARDIM,ARNALDO CALIL PEREIRA JARDIM,(61) 3215-5245 - 3215-2245,http://www.camara.gov.br/internet/deputado/bandep/141391.jpg,dep.arnaldojardim@camara.leg.br,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830368
5830370,ADELSON BARRETO,ADELSON BARRETO DOS SANTOS,(61) 3215-5937 - 3215-2937,http://www.camara.gov.br/internet/deputado/bandep/178968.jpg,dep.adelsonbarreto@camara.leg.br,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830370
5830381,ALEXANDRE LEITE,ALEXANDRE LEITE DA SILVA,(61) 3215-5841 - 3215-2841,http://www.camara.gov.br/internet/deputado/bandep/160545.jpg,dep.alexandreleite@camara.leg.br,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830381
5830383,DELEGADO FRANCISCHINI,FERNANDO DESTITO FRANCISCHINI,(61) 3215-5265 - 3215-2265,http://www.camara.gov.br/internet/deputado/bandep/160646.jpg,dep.delegadofrancischini@camara.leg.br,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830383
5830385,DARCÍSIO PERONDI,DARCÍSIO PAULO PERONDI,(61) 3215-5518 - 3215-2518,http://www.camara.gov.br/internet/deputado/bandep/73891.jpg,dep.darcisioperondi@camara.leg.br,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830385
5830386,ASSIS DO COUTO,ASSIS MIGUEL DO COUTO,(61) 3215-5428 - 3215-2428,http://www.camara.gov.br/internet/deputado/bandep/74378.jpg,dep.assisdocouto@camara.leg.br,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830386
5830390,DANILO FORTE,FRANCISCO DANILO BASTOS FORTE,(61) 3215-5384 - 3215-2384,http://www.camara.gov.br/internet/deputado/bandep/62881.jpg,dep.daniloforte@camara.leg.br,http://www.camara.gov.br/internet/deputado/Dep_Detalhe.asp?id=5830390
