id,gender,date_of_birth,date_of_death,title,legal_name,national_identity,family_name,given_name,additional_name,honorific_prefix,honorific_suffix,email,image,image_source,summary,biography
1,male,1955-03-01,"","",ABARIBE ENYINNAYA HARCOURT,"","","","","","","",http://www.shineyoureye.org/media_root/images/abaribe-enyinnaya-harcourt,http://www.nassnig.org/nass/admin/images/s001.jpg,"
He was elected to represent Abia South Senatorial District in 2007. He became Abia State's deputy governor in 1999 and left office in controversial circumstances. He contested the state's governorship election in 2003 on the ticket of All Nigeria Peoples Party (ANPP) but lost. In 2007, he contested for a seat in the Senate and won on a PDP ticket.

Target Achievement(s): Deepening Democracy Through Strengthening the Legislative arm of Government and Ensuring effective Representation Of My Constituency.

Legistlative Interest(s): Public Finance, Education Human Rights,Minorities,constitutional amendment.

Awards & Honours: Nnadiohanma Ngwa and 23 Other titles from across Nigeria

",""
22,male,1963-02-11,"","",ABIODUN ABUDU-BALOGUN,"","","","","","","",http://www.shineyoureye.org/media_root/images/abiodun-abudu-balogu,http://www.nassnig.org/nass2/admin/images/hr267.jpg,"Target Achievement(s): For Nigeria To attain True & Fiscal Federalism

Legistlative Interest(s): Poverty Eradication, Transportattion, Environmental IssuesEconomic Development

Awards & Honours: Grand Distinguished Member - Estate LANN Tennis Club
Otunba Atunluto Of Abigi
Otunba Fiwagboye Of Efire
Otunba Fiadedara Of Ibiade

",""
2,"",1971-05-05,"","",ABATEMI USMAN NURUDEEN,"","","","","","","",http://www.shineyoureye.org/media_root/images/abatemi-usman-nurudeen,http://www.nassnig.org/nass/admin/images/s065.jpg,"Target Achievement(s): To help Fashion out and establish a system that consistently and constantly churns out new ideas and develops new vibrant leadership and patriots

Legistlative Interest(s): Stimulating Industriation through legislation (i.e Steel development), Water Resources, Local Government Reforms, Education, Youth Empowerment, etc

Awards & Honours: National Youths Council of Nigeria (NYSCN) Achievers Award, June 2010
PDP Kogi Central Women Forum-Merit Award, 2011

",""
3,male,1959-07-11,"","",ABAYOMI DAUDA KAKO ARE,"","","","","","","",http://www.shineyoureye.org/media_root/images/abayomi-dauda-kako-are,http://www.nassnig.org/nass2/admin/images/hr238.jpg,"Target Achievement(s): Improve the Standard of Living of Nigerians

Legistlative Interest(s): Bills towards improving Nigerians' Living Standard

Awards & Honours: Best Legislator of the Year 2010, Lagos Youth Forum

",""
35,male,1960-03-01,"","",ADEOBA AKINTOLA JOHNSON,"","","","","","","",http://www.shineyoureye.org/media_root/images/adeoba-akintola-johns,http://www.nassnig.org/nass2/admin/images/hr274.jpg,"Target Achievement(s): To Satiftry the yean Of My Constituency & Benefit Of Democracy

Legistlative Interest(s): Housing, Power, Water resources, MDGs

Awards & Honours: - Merit Award Youth Forum LOTA
- Leader Awrd Certificate LUJI

",""
5,male,1963-10-01,"","",ABBAS TAJUDEEN,"","","","","","","",http://www.shineyoureye.org/media_root/images/abbas-tajudee,http://www.nassnig.org/nass2/admin/images/hr153.jpg,"Target Achievement(s): To ensure that the Nigerian masses are better provided with the basic and sound
education and their resources better managed to provide essential services
for growth

Legistlative Interest(s): Education, Public Accounts, Appropriation, Finance, Commerce, Federal Character & Water Resources

Awards & Honours: Fellow of the Association of Hospitality Management of Nigeria
Best Head of Department - Kaduna State Polytechnic(1993)
Best Service Manager - Nigerian Institude of Management, Zaria(2009)

",""
23,Male,1970-10-01,"","",ABIODUN DADA AWOLEYE,"","","","","","","",http://www.shineyoureye.org/media_root/images/abiodun-dada-awoleye,http://www.nassnig.org/nass2/admin/images/hr301.jpg,"",""
6,male,1964-06-06,"","",ABDUL EBBO IBRAHIM,"","","","","","","",http://www.shineyoureye.org/media_root/images/abdul-ebbo-ibrahim,http://www.nassnig.org/nass2/admin/images/hr259.jpg,"Target Achievement(s): To Be Able To Contribute To The Sociio - Economic Development Of
Nigeria Through Effective Legislation & Oversight Functions.

Legistlative Interest(s): Education Poverty Allivition Social Development

",""
7,"",1958-08-18,"","",ABDUL - KABIRU ABAYOMI AYEOLA,"","","","","","","",http://www.shineyoureye.org/media_root/images/abdul-kabiru-abayomi-ayeola,http://www.nassnig.org/nass2/admin/images/Hon_otunba%20ayeola.jpg,"Target Achievement(s): TRUE FEDERALISM

Legistlative Interest(s): QUALITY REPRESENTATION, TRUE FEDERALISM

",""
8,Male,1975-09-06,"","",ABDULLAHI IDRIS GARBA,"","","","","","","",http://www.shineyoureye.org/media_root/images/abdullahi-idris-garba,http://www.nassnig.org/nass2/admin/images/hr257.jpg,"Legistlative Interest(s): Education, Transportation and Works

",""
24,"",1954-10-26,"","",ABIOLA ADEBUKOLA AJAJA,"","","","","","","",http://www.shineyoureye.org/media_root/images/abiola-adebukola-ajaja,http://www.nassnig.org/nass2/admin/images/3.jpg,"Legistlative Interest(s): To Achieve Excellence In The Education, & Environmental System In Nigeria

",""
9,"",1955-05-06,"","",ABDULLAHI MOHAMMED DAN-ALKALI,"","","","","","","",http://www.shineyoureye.org/media_root/images/abdullahi-mohammed-dan-alkali,http://www.nassnig.org/nass2/admin/images/hr205.jpg,"Target Achievement(s): Put a smile on the Nigerian's faces as a result of my contribution in the house.

Legistlative Interest(s): To legislate laws that will be realistic to the common man's day to day life.

",""
10,male,1967-01-04,"","",ABDULLAHI MUHAMMED WAMAKKO,"","","","","","","",http://www.shineyoureye.org/media_root/images/abdullahi-muhammed-wamakk,http://www.nassnig.org/nass2/admin/images/hr329.jpg,"",""
11,male,1963-08-15,"","",ABDULLAHI RICCO MOHAMMED,"","","","","","","",http://www.shineyoureye.org/media_root/images/abdullahi-ricco-mohammed,http://www.nassnig.org/nass2/admin/images/hr258.jpg,"",""
25,"",1955-09-07,"","",ABIOSE IFEOLUWA AROWOSOGE,"","","","","","","",http://www.shineyoureye.org/media_root/images/abiose-ifeoluwa-arowosoge,http://www.nassnig.org/nass2/admin/images/hr110.jpg,"Target Achievement(s): ECONOMIC DEVELOPMENT THROUGH FISCAL FEDERALISM

Legistlative Interest(s): ENHANCEMENT OF NATIONAL STABILITY THROUGH FOCUSED ANDDEDICATE LEGISLATION

Awards & Honours: OTUMBA OF ILOWE
BEST LOCAL GOVT. CHAIRMAN OF OLD ONDO STATE (1991-1993)

",""
12,Male,1961-03-05,"","",ABDULLAHI SALAME BALARABE,"","","","","","","",http://www.shineyoureye.org/media_root/images/abdullahi-salame-balarabe,http://www.nassnig.org/nass2/admin/images/hr326.jpg,"Target Achievement(s): Rural Development
Water Supply
Power  constant supply in the country
Uplift of the standard of education in the nation
Improvement of health care
Roads network in the nation

Legistlative Interest(s): Education, Water Resources, Petroleum Resources, MDG, Electricity/Power, Agriculture, State & L.G, House Services, Transportation, Foreign Affairs, Health & Sports

Awards & Honours: August 2010 - Africa Merit Award for Integrity. By lead Time Africa Magazine.
July 2010 - Conferment of Honorary Special Marshal. By The Special Marshal & Partnership Department, Federal Road safety Corps, RS10.1 Sokoto.
August 2008 - Pan African Legacy of Patriotism Award for Excellency in Patriotism & Conflict Resolution. By PAN-MEDIA AFRICA Publishers of African News Magazine.

",""
13,"",1962-12-14,"","",ABDULMALIK DAGACI USMAN CHECHE,"","","","","","","",http://www.shineyoureye.org/media_root/images/abdulmalik-dagaci-usman-cheche,http://www.nassnig.org/nass2/admin/images/hr251.jpg,"",""
36,Male,1961-11-05,"","",ADEPOJU SUNDAY ADEYEMI,"","","","","","","",http://www.shineyoureye.org/media_root/images/adepoju-sunday-adeyemi,http://www.nassnig.org/nass2/admin/images/hr292.jpg,"Legistlative Interest(s): True Fiscal Federalism, Creation Of More New Local Govts, & State

",""
14,male,1976-09-09,"","",ABDULMUMIN JIBRIN,"","","","","","","",http://www.shineyoureye.org/media_root/images/abdulmumin-jibri,http://www.nassnig.org/nass2/admin/images/hon.abdulmumin.jibrin.jpg,"Target Achievement(s): Improvement in the Fight against Corruption; Free and Fairer Elections; and Protection of Fundamentals of Human Rights

Legistlative Interest(s): Anti-Corruption, Electoral Reforms, Human Rights

Awards & Honours: Life Member, University of Abuja Student Union Government, FCT - 2000;
World Peace Ambassador - 2008;
Icon of Hope, Afro Caribbean Society,  University, Reading, UK - 2010;
Balewa Award for Young Achievers - 2010;
Paul Harris Fellow Rotary International Award- 2011

",""
30,male,1959-07-05,"","",ADAMU ABUNABO HASSAN,"","","","","","","",http://www.shineyoureye.org/media_root/images/adamu-abunabo-hassa,http://www.nassnig.org/nass2/admin/images/hr143.jpg,"Target Achievement(s): TO DEVELOP MY AREA AND NIGERIA IN GENERAL

Legistlative Interest(s): EMPOWERMENT ANDUPLIFTMENT OF MY CONSTITUENTS

",""
15,"",1963-10-15,"","",ABDUL MUSA MSHELIZA,"","","","","","","",http://www.shineyoureye.org/media_root/images/abdul-musa-msheliza,http://www.nassnig.org/nass2/admin/images/ABDUL%20MUSA%20MSHELIZA.jpg,"Target Achievement(s): 1. Health
2. Land Matters
3. Fed. Character Com.
4. NDLEA
%

Legistlative Interest(s): Improvement Of Health In Nigeria

Awards & Honours: PSN (Pharmacist Council Of Nigeria) 2003
ACPN  Association Of Comm. Practics Pharm Of Nigeria 2007

",""
16,male,1964-07-21,"","",ABDULRAHAMAN BADAMASUIY,"","","","","","","",http://www.shineyoureye.org/media_root/images/abdulrahaman-badamasuiy,http://www.nassnig.org/nass2/admin/images/hr208.jpg,"",""
169,"",1964-02-12,"","",ENEKOROGHA PENAWEI FRANCIS,"","","","","","","",http://www.shineyoureye.org/media_root/images/enekorogha-penawei-francis,http://www.nassnig.org/nass2/admin/images/hr091.jpg,"Target Achievement(s): Make Laws & Influence Development Projects

Legistlative Interest(s): Law Making

Awards & Honours: 1. Best Committee Chairman Award
2. Peace Ambassador

",""
17,"",1963-06-06,"","",ABDULSALAM ADAMU,"","","","","","","",http://www.shineyoureye.org/media_root/images/abdulsalam-adamu,http://www.nassnig.org/nass2/admin/images/hr190.jpg,"Target Achievement(s): Forward to produce best motions that will uplift Nigerians as a whole

Legistlative Interest(s): Develop my constituency as much as possible

",""
31,Male,1957-08-25,"","",ADAMU GURAI,"","","","","","","",http://www.shineyoureye.org/media_root/images/adamu-gurai,http://www.nassnig.org/nass2/admin/images/hr048.jpg,"Target Achievement(s): To be a credible and hard working member

Legistlative Interest(s): Laws that will have direct inpact on eloctorates and move Nigerian to the promise land

Awards & Honours: Shira LGA Award for Support in Education Sector

",""
18,male,1975-11-27,"","",ABDURAHMAN ABBA TERAB,"","","","","","","",http://www.shineyoureye.org/media_root/images/abdurahman-abba-terab,http://www.nassnig.org/nass2/admin/images/ABDURAHMAN%20ABBA%20TERAB.jpg,"",""
19,"",1965-05-24,"","",ABE MAGNUS NGEI,"","","","","","","",http://www.shineyoureye.org/media_root/images/abe-magnus-ngei,http://www.nassnig.org/nass/admin/images/s096.jpg,"Legistlative Interest(s): NA

",""
20,"",1962-10-10,"","",ABIKE DABIRI-EREWA,"","","","","","","",http://www.shineyoureye.org/media_root/images/abike-dabiri-erewa,http://www.nassnig.org/nass2/admin/images/hr233.jpg,"Target Achievement(s): To make difference and Touch lives

Legistlative Interest(s): women Children youth Development and Education

Awards & Honours: Role Model Award for  unparallelled Achievement 2008 by professional women on Rural Development
City people Award for the best Female Politician of the year 2006

",""
21,male,1967-11-09,"","",ABIMBOLA OLUWAFEMI DARAMOLA,"","","","","","","",http://www.shineyoureye.org/media_root/images/abimbola-oluwafemi-daramola,http://www.nassnig.org/nass2/admin/images/hr114.jpg,"",""
26,male,1959-11-27,"","",ABUBAKAR ESHIOKPEK MOMOH,"","","","","","","",http://www.shineyoureye.org/media_root/images/abubakar-eshiokpek-mom,http://www.nassnig.org/nass2/admin/images/MOMOH%20Abubakar.jpg,"",""
27,"",1962-11-22,"","",ABUBAKAR MAHMUD WAMBAI,"","","","","","","",http://www.shineyoureye.org/media_root/images/abubakar-mahmud-wambai,http://www.nassnig.org/nass2/admin/images/3_5.jpg,"Legistlative Interest(s): Youth & Women Empowerment For Self Reliance.

Awards & Honours: 1. Patron, History Society Of Nigeria (B. U. K Branch.)

",""
170,Male,1956-10-14,"","",ESSIEN EKPEYONG AYI,"","","","","","","",http://www.shineyoureye.org/media_root/images/essien-ekpeyong-ayi,http://www.nassnig.org/nass2/admin/images/Essien%20Ayi.jpg,"Legistlative Interest(s): Better legislation for the general improvement of the lives of Nigerians

",""
28,"",1962-03-10,"","",ABUBAKAR MISAU AHMED,"","","","","","","",http://www.shineyoureye.org/media_root/images/abubakar-misau-ahmed,http://www.nassnig.org/nass2/admin/images/ABUBAKAR%20MISAU%20AHMED.jpg,"Target Achievement(s): - To Ensure There Is Good & Harmonious Relationship B/w The Legislative & Executive
- To Give Good Representation To The Electorate
- To Proper Budget Implementation
- Equity Distribution Of Resource.

Legistlative Interest(s): Ensure Proper Laws Are Made So As To Move The Country Forward

Awards & Honours: N/A

",""
29,Male,1946-07-23,"","",ADAMU ABDULLAHI,"","","","","","","",http://www.shineyoureye.org/media_root/images/adamu-abdulahi,http://www.nassnig.org/nass/admin/images/s075.jpg,"Legistlative Interest(s): NA

",""
344,"",1954-12-05,"","",OBENDE DOMINGO ALABA,"","","","","","","",http://www.shineyoureye.org/media_root/images/obende-domingo-alaba,http://www.nassnig.org/nass/admin/images/s035.jpg,"Target Achievement(s): 1.Women and youth empowerment
2.Human capacity building
3.Constituency development

Legistlative Interest(s): Women and youth empowerment ,Human capacity building, Constituency development

Awards & Honours: 1.Leadership merit award by African entrepreneurship and leadership 2005
2.Award off recognition by university of benin
3.Honorary fellowship award of the institute of corporate affairs and management
4.Merit award by the otaru of auchi
5.Ambassador for peace by global peace festival foundation

",""
32,Male,1965-01-09,"","",ADAMU OCHEPO ENTONU,"","","","","","","",http://www.shineyoureye.org/media_root/images/adamu-ochepo-entonu,http://www.nassnig.org/nass2/admin/images/hr056.jpg,"",""
171,male,1958-02-15,"","",ETOK ALOYSIUS AKPAN,"","","","","","","",http://www.shineyoureye.org/media_root/images/etok-aloysius-akpa,http://www.nassnig.org/nass/admin/images/s008.jpg,"Target Achievement(s): To Contribute to A Vibrant Senate And To Ensure That Quality Legislation

Legistlative Interest(s): Oil And Gas Welfare,Infrastructural Development And Education.

",""
33,"",1967-06-07,"","",ADEKUNLE ADEYEMI,"","","","","","","",http://www.shineyoureye.org/media_root/images/adekunle-adeyemi,http://www.nassnig.org/nass2/admin/images/hr266.jpg,"",""
34,male,1951-05-09,"","",ADENIYI ANTHONY ADEMUYIWA,"","","","","","","",http://www.shineyoureye.org/media_root/images/adeniyi-anthony,http://www.nassnig.org/nass/admin/images/s039.jpg,"Target Achievement(s): To update Nigerian law to meet up with best global standard reflecting the yearnings and needs of my constituency I particular and Nigeria in general

Legistlative Interest(s): law making and constitutional review

Awards & Honours: 1.Bamofin of ugbo kingdom
2.Akin bamofin owogbobaniyi of ibulesoro
3.Omo ayiye of ikere  ikiti

",""
37,male,1958-01-01,"","",ADESEUN AYOADE ADEMOLA,"","","","","","","",http://www.shineyoureye.org/media_root/images/adeseun-ayoade-ademola,http://www.nassnig.org/nass/admin/images/ayoade.jpg,"Legistlative Interest(s): NA

",""
38,male,1955-08-27,"","",ADETUNBI OLUBUNMI,"","","","","","","",http://www.shineyoureye.org/media_root/images/adetunbi-olubunmi,http://www.nassnig.org/nass/admin/images/s037.jpg,"Legistlative Interest(s): NA

",""
172,male,1967-05-28,"","",EWA-HENSHAW BASSEY EKO,"","","","","","","",http://www.shineyoureye.org/media_root/images/ewa-bassey-ek,http://www.nassnig.org/nass2/admin/images/EWA%20BASSEY%20EKO.jpg,"Target Achievement(s): To bring a new touch to the legislature in Nigeria

Legistlative Interest(s): To ensure that development is brought to the people of Yakurr/Abi Federal constituency

",""
39,"",1959-07-29,"","",ADEWUSI TUNDE RAZAQ,"","","","","","","",http://www.shineyoureye.org/media_root/images/adewusi-tunde-razaq,http://www.nassnig.org/nass2/admin/images/Adewusi%20Razak.jpg,"Target Achievement(s): prevent/suppression of smuggling by Nigerian Custom Services

Legistlative Interest(s): Revenue Generation

Awards & Honours: Ambassador of youth by All African Student Union

",""
40,male,1960-08-18,"","",ADEYEMI SMART,"","","","","","","",http://www.shineyoureye.org/media_root/images/adeyemi-smart,http://www.nassnig.org/nass/admin/images/s067.jpg,"Target Achievement(s): Good Governance,Good Legislation,Improved Standard of Living,Protection of Human Rights

Legistlative Interest(s): Rural Development,Youth and women empowerment. democracy

Awards & Honours: Commander of the Order of the Niger
(
CON
)

",""
173,"",1968-04-02,"","",EZENWA FRANCIS ONYEWUCHI,"","","","","","","",http://www.shineyoureye.org/media_root/images/ezenwa-francis-onyewuchi,http://www.nassnig.org/nass2/admin/images/hr140.jpg,"Target Achievement(s): ENSURING HUMAN CAPITAL AND INFRASTRUCTURAL DEVELOPMENT OF NIGERIANS

Legistlative Interest(s): USING NDDC,MDG,POVERTY ALLEVVIATION FOR HUMAN DEVELOPMENT AND WEALTH CREATION

Awards & Honours: TRADITIONAL TITLE (EBUBEDIIKE II)

",""
345,"",1956-06-05,"","",ODUBOTE LANRE MUKAILA,"","","","","","","",http://www.shineyoureye.org/media_root/images/odubote-lanre-mukaila,http://www.nassnig.org/nass2/admin/images/hr228.jpg,"Target Achievement(s): CONSTITUTIONAL REFORM

Legistlative Interest(s): INFRASTRUCTURAL DEVELOPMENT

Awards & Honours: MEDIA AWARD
EDUCATIONAL AWARD

",""
174,"",1964-09-01,"","",EZIUCHE CHINWE UBANI,"","","","","","","",http://www.shineyoureye.org/media_root/images/eziuche-chinwe-ubani,http://www.nassnig.org/nass2/admin/images/hr006.jpg,"Target Achievement(s): To work to create a paliament that is very central to the tranformation of Nigeria

Legistlative Interest(s): Economy, Media,Education

",""
175,male,1959-12-25,"","",JAMES ABIODUN FALEKE,"","","","","","","",http://www.shineyoureye.org/media_root/images/falake-james-abiodu,http://www.nassnig.org/nass2/admin/images/hr232.jpg,"Target Achievement(s): LEGISLATION THAT WILL REDUCE POVERTY LISTIONG OG LAGOS 37 LCDA

Legistlative Interest(s): TRUE FEDERALISM AND TYHE RULE OF LAW

Awards & Honours: NYSC MERIT AWARD 1987
BEST LOCAL GOVT. CHAIRMAN AWARD
BEST STUDENT AWARD (HND) KAD POLY

",""
