id,name,image,given_name,family_name,sort_name,birth_date,gender,identifier__bioguide,identifier__thomas,identifier__lis,identifier__govtrack,identifier__opensecrets,identifier__votesmart,identifier__fec,identifier__cspan,identifier__wikipedia,identifier__house_history,identifier__ballotpedia,identifier__maplight,identifier__washington_post,identifier__icpsr,identifier__wikidata,house,start_date,state,district,party,homepage,address,phone,fax,area_id,term,end_date,identifier__bioguide_previous,identifier__google_entity_id
A000009,James Abdnor,https://theunitedstates.io/images/congress/original/A000009.jpg,James,Abdnor,"Abdnor, James",1923-02-13,male,A000009,00001,,400672,,,,,James Abdnor,8259,,,,14000,Q614868,sen,1981-01-06,SD,,Republican,,,,,ocd-division/country:us/state:sd,97,1983-01-03,,kg:/m/03vwqw
A000009,James Abdnor,https://theunitedstates.io/images/congress/original/A000009.jpg,James,Abdnor,"Abdnor, James",1923-02-13,male,A000009,00001,,400672,,,,,James Abdnor,8259,,,,14000,Q614868,sen,1983-01-03,SD,,Republican,,,,,ocd-division/country:us/state:sd,98,1983-01-06,,kg:/m/03vwqw
A000009,James Abdnor,https://theunitedstates.io/images/congress/original/A000009.jpg,James,Abdnor,"Abdnor, James",1923-02-13,male,A000009,00001,,400672,,,,,James Abdnor,8259,,,,14000,Q614868,sen,1985-01-06,SD,,Republican,,,,,ocd-division/country:us/state:sd,99,1987-01-03,,kg:/m/03vwqw
A000031,Brock Adams,https://theunitedstates.io/images/congress/original/A000031.jpg,Brockman,Adams,"Adams, Brockman",1927-01-13,male,A000031,00005,S180,400692,,,,,Brock Adams,8296,,,,10700,Q357718,sen,1987-01-06,WA,,Democrat,,,,,ocd-division/country:us/state:wa,100,1989-01-03,,kg:/m/03vw3c
A000031,Brock Adams,https://theunitedstates.io/images/congress/original/A000031.jpg,Brockman,Adams,"Adams, Brockman",1927-01-13,male,A000031,00005,S180,400692,,,,,Brock Adams,8296,,,,10700,Q357718,sen,1989-01-06,WA,,Democrat,,,,,ocd-division/country:us/state:wa,101,1991-01-03,,kg:/m/03vw3c
A000031,Brock Adams,https://theunitedstates.io/images/congress/original/A000031.jpg,Brockman,Adams,"Adams, Brockman",1927-01-13,male,A000031,00005,S180,400692,,,,,Brock Adams,8296,,,,10700,Q357718,sen,1991-01-06,WA,,Democrat,,,,,ocd-division/country:us/state:wa,102,1993-01-03,,kg:/m/03vw3c
A000069,Daniel K. Akaka,https://theunitedstates.io/images/congress/original/A000069.jpg,Daniel,Akaka,"Akaka, Daniel",1924-09-11,male,A000069,00007,S213,300001,N00007653,53286,S0HI00084,8704,Daniel Akaka,8354,,,,14400,Q359366,sen,1990-05-16,HI,,Democrat,,,,,ocd-division/country:us/state:hi,101,1991-01-03,,kg:/m/01rbrq
A000069,Daniel K. Akaka,https://theunitedstates.io/images/congress/original/A000069.jpg,Daniel,Akaka,"Akaka, Daniel",1924-09-11,male,A000069,00007,S213,300001,N00007653,53286,S0HI00084,8704,Daniel Akaka,8354,,,,14400,Q359366,sen,1991-01-06,HI,,Democrat,,,,,ocd-division/country:us/state:hi,102,1993-01-03,,kg:/m/01rbrq
A000069,Daniel K. Akaka,https://theunitedstates.io/images/congress/original/A000069.jpg,Daniel,Akaka,"Akaka, Daniel",1924-09-11,male,A000069,00007,S213,300001,N00007653,53286,S0HI00084,8704,Daniel Akaka,8354,,,,14400,Q359366,sen,1993-01-06,HI,,Democrat,,,,,ocd-division/country:us/state:hi,103,1995-01-03,,kg:/m/01rbrq
A000069,Daniel K. Akaka,https://theunitedstates.io/images/congress/original/A000069.jpg,Daniel,Akaka,"Akaka, Daniel",1924-09-11,male,A000069,00007,S213,300001,N00007653,53286,S0HI00084,8704,Daniel Akaka,8354,,,,14400,Q359366,sen,1995-01-06,HI,,Democrat,,,,,ocd-division/country:us/state:hi,104,1997-01-03,,kg:/m/01rbrq
A000069,Daniel K. Akaka,https://theunitedstates.io/images/congress/original/A000069.jpg,Daniel,Akaka,"Akaka, Daniel",1924-09-11,male,A000069,00007,S213,300001,N00007653,53286,S0HI00084,8704,Daniel Akaka,8354,,,,14400,Q359366,sen,1997-01-06,HI,,Democrat,,,,,ocd-division/country:us/state:hi,105,1999-01-03,,kg:/m/01rbrq
A000069,Daniel K. Akaka,https://theunitedstates.io/images/congress/original/A000069.jpg,Daniel,Akaka,"Akaka, Daniel",1924-09-11,male,A000069,00007,S213,300001,N00007653,53286,S0HI00084,8704,Daniel Akaka,8354,,,,14400,Q359366,sen,1999-01-06,HI,,Democrat,,,,,ocd-division/country:us/state:hi,106,2001-01-03,,kg:/m/01rbrq
A000069,Daniel K. Akaka,https://theunitedstates.io/images/congress/original/A000069.jpg,Daniel,Akaka,"Akaka, Daniel",1924-09-11,male,A000069,00007,S213,300001,N00007653,53286,S0HI00084,8704,Daniel Akaka,8354,,,,14400,Q359366,sen,2001-01-06,HI,,Democrat,http://akaka.senate.gov,,,,ocd-division/country:us/state:hi,107,2003-01-03,,kg:/m/01rbrq
A000069,Daniel K. Akaka,https://theunitedstates.io/images/congress/original/A000069.jpg,Daniel,Akaka,"Akaka, Daniel",1924-09-11,male,A000069,00007,S213,300001,N00007653,53286,S0HI00084,8704,Daniel Akaka,8354,,,,14400,Q359366,sen,2003-01-06,HI,,Democrat,http://akaka.senate.gov,,,,ocd-division/country:us/state:hi,108,2005-01-03,,kg:/m/01rbrq
A000069,Daniel K. Akaka,https://theunitedstates.io/images/congress/original/A000069.jpg,Daniel,Akaka,"Akaka, Daniel",1924-09-11,male,A000069,00007,S213,300001,N00007653,53286,S0HI00084,8704,Daniel Akaka,8354,,,,14400,Q359366,sen,2005-01-06,HI,,Democrat,http://akaka.senate.gov,,,,ocd-division/country:us/state:hi,109,2007-01-03,,kg:/m/01rbrq
A000069,Daniel K. Akaka,https://theunitedstates.io/images/congress/original/A000069.jpg,Daniel,Akaka,"Akaka, Daniel",1924-09-11,male,A000069,00007,S213,300001,N00007653,53286,S0HI00084,8704,Daniel Akaka,8354,,,,14400,Q359366,sen,2007-01-06,HI,,Democrat,http://akaka.senate.gov,141 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-6361,202-224-2126,ocd-division/country:us/state:hi,110,2009-01-03,,kg:/m/01rbrq
A000069,Daniel K. Akaka,https://theunitedstates.io/images/congress/original/A000069.jpg,Daniel,Akaka,"Akaka, Daniel",1924-09-11,male,A000069,00007,S213,300001,N00007653,53286,S0HI00084,8704,Daniel Akaka,8354,,,,14400,Q359366,sen,2009-01-06,HI,,Democrat,http://akaka.senate.gov,141 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-6361,202-224-2126,ocd-division/country:us/state:hi,111,2011-01-03,,kg:/m/01rbrq
A000069,Daniel K. Akaka,https://theunitedstates.io/images/congress/original/A000069.jpg,Daniel,Akaka,"Akaka, Daniel",1924-09-11,male,A000069,00007,S213,300001,N00007653,53286,S0HI00084,8704,Daniel Akaka,8354,,,,14400,Q359366,sen,2011-01-06,HI,,Democrat,http://akaka.senate.gov,141 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-6361,202-224-2126,ocd-division/country:us/state:hi,112,2013-01-03,,kg:/m/01rbrq
A000109,Wayne Allard,https://theunitedstates.io/images/congress/original/A000109.jpg,Wayne,Allard,"Allard, Wayne",1943-12-02,male,A000109,00011,S250,300003,N00009082,26783,S6CO00168,,Wayne Allard,8410,,,,29108,Q724250,sen,1997-01-07,CO,,Republican,,,,,ocd-division/country:us/state:co,105,1999-01-03,,kg:/m/01rbt7
A000109,Wayne Allard,https://theunitedstates.io/images/congress/original/A000109.jpg,Wayne,Allard,"Allard, Wayne",1943-12-02,male,A000109,00011,S250,300003,N00009082,26783,S6CO00168,,Wayne Allard,8410,,,,29108,Q724250,sen,1999-01-06,CO,,Republican,,,,,ocd-division/country:us/state:co,106,2001-01-03,,kg:/m/01rbt7
A000109,Wayne Allard,https://theunitedstates.io/images/congress/original/A000109.jpg,Wayne,Allard,"Allard, Wayne",1943-12-02,male,A000109,00011,S250,300003,N00009082,26783,S6CO00168,,Wayne Allard,8410,,,,29108,Q724250,sen,2001-01-06,CO,,Republican,,,,,ocd-division/country:us/state:co,107,2003-01-03,,kg:/m/01rbt7
A000109,Wayne Allard,https://theunitedstates.io/images/congress/original/A000109.jpg,Wayne,Allard,"Allard, Wayne",1943-12-02,male,A000109,00011,S250,300003,N00009082,26783,S6CO00168,,Wayne Allard,8410,,,,29108,Q724250,sen,2003-01-07,CO,,Republican,http://allard.senate.gov,,,,ocd-division/country:us/state:co,108,2005-01-03,,kg:/m/01rbt7
A000109,Wayne Allard,https://theunitedstates.io/images/congress/original/A000109.jpg,Wayne,Allard,"Allard, Wayne",1943-12-02,male,A000109,00011,S250,300003,N00009082,26783,S6CO00168,,Wayne Allard,8410,,,,29108,Q724250,sen,2005-01-06,CO,,Republican,http://allard.senate.gov,,,,ocd-division/country:us/state:co,109,2007-01-03,,kg:/m/01rbt7
A000109,Wayne Allard,https://theunitedstates.io/images/congress/original/A000109.jpg,Wayne,Allard,"Allard, Wayne",1943-12-02,male,A000109,00011,S250,300003,N00009082,26783,S6CO00168,,Wayne Allard,8410,,,,29108,Q724250,sen,2007-01-06,CO,,Republican,http://allard.senate.gov,,,,ocd-division/country:us/state:co,110,2009-01-03,,kg:/m/01rbt7
