id,twitter,facebook,facebook_id,youtube_id,twitter_id,youtube,instagram,instagram_id
A000055,Robert_Aderholt,RobertAderholt,,UC71CAgpg1gbLTew_pfTneGA,76452765,RobertAderholt,,
A000360,SenAlexander,senatorlamaralexander,,UChDLBjn5RWqgMmCSswT05IQ,76649729,lamaralexander,senlamaralexander,1156775647
A000367,,repjustinamash,,UCeg6HhoCXrS8xpON9dxtZgA,,repjustinamash,,
A000368,KellyAyotte,kellyayottenh,123436097729198,UCe_jD6bQuBwAo4CxwUm_ztw,229592356,SenatorAyotte,,
A000369,MarkAmodeiNV2,MarkAmodeiNV2,,UCjOGx2iqSn1r3BQxaVgYhYw,402719755,markamodeinv2,MarkAmodeiNV2,
A000370,RepAdams,CongresswomanAdams,,UCPI9ao1Cr1nxEUD2r-usRjQ,2916086925,,repadams,
A000371,reppeteaguilar,reppeteaguilar,,UCxwbFLOlKDsXrwizV5jah7g,3018670151,,,
A000372,reprickallen,CongressmanRickAllen,,UCZPoYXHFDAV17BGLMzGAmpg,2964287128,,reprickallen,1666787116
A000373,RepBradAshford,RepBradAshford,,,2964351843,,,
A000374,RepAbraham,CongressmanRalphAbraham,,,2962891515,,,
A000375,RepArrington,JodeyArrington,,,816284664658874368,,,
B000213,RepJoeBarton,RepJoeBarton,,UC9zg5RmxfNdBfz4iZuzvWXg,19929362,repjoebarton,,
B000287,RepBecerra,XavierBecerra,90311772229,UCoY0rJzkgkl1TmoKTUKTI6w,133832049,XavierBecerra,repbecerra,1216529275
B000490,SanfordBishop,sanfordbishop,,UCxF9veLBrkr_CqVq5eFYVGg,249410485,RepSanfordBishop,,
B000574,BlumenauerMedia,,,UCuziVoKuGn7feNA5VrpxsBQ,137823987,RepBlumenauer,,
B000575,RoyBlunt,SenatorBlunt,,UCFeLRzjhThTmaWzuh5qjpGA,21269970,SenatorBlunt,royblunt,21185436
B000589,SpeakerBoehner,SpeakerJohnBoehner,175082565865743,UC-cxqz-2fBOekclLlaERLJQ,7713202,johnboehner,speakerboehner,249235106
B000711,SenatorBoxer,senatorboxer,116513005087055,UCWDQBlCBh67UgfNvSXDvbmw,15442036,SenatorBoxer,senatorboxer,554053812
B000755,RepKevinBrady,kevinbrady,,UC6Ng0uMQEBVgXO_HF0NbfXA,19926675,KBrady8,repkevinbrady,337613850
B000911,RepCorrineBrown,congresswomanbrown,179120958813519,UC6-GswVFgN05YYkPGVx2KEQ,292935209,CongresswomanBrown,,
B000944,SenSherrodBrown,SenatorSherrodBrown,,UCgy8jfERh-t_ixkKKoCmglQ,43910797,SherrodBrownOhio,,
B001135,SenatorBurr,SenatorRichardBurr,,UCOLLZpp-1womBSFDV2uLfag,21157904,SenatorRichardBurr,,
B001227,RepBrady,RepRobertBrady,,UCHbTbPH6iCtaA_AKPwDy04A,148453195,BradyPA01,repbrady,1405678385
B001230,SenatorBaldwin,senatortammybaldwin,,UC_XjYCRbbI2_TDDjJidwk0Q,1074518754,witammybaldwin,senatorbaldwin,
B001236,JohnBoozman,JohnBoozman,,UC9vWHKL5OfIYh6kIV0rF2yw,5558312,BoozmanPressOffice,,
B001243,MarshaBlackburn,marshablackburn,,UCvNnmu5mUm7xr8QXBlbtQ9w,278145569,RepMarshaBlackburn,marshablackburn,
B001245,,madeleine.bordallo,,UCmHdfm0Nyslc8LOoq3KIATg,,RepMadeleineBordallo,,
B001248,MichaelCBurgess,michaelcburgess,,UCvvO8lo-Nkc31cEEElqQvQw,15751083,michaelcburgessmd,repmichaelburgess,
B001250,RepRobBishop,RepRobBishop,,UCJC2BXNGQEUom7Tp7FKfxlQ,148006729,CongressmanBishop,,
B001251,GKButterfield,congressmangkbutterfield,,UCbodCVgLfcbaep49L1M-mqA,432676344,GKBNC01,,
B001255,RepBoustany,RepBoustany,197407646951718,UC2S34gtxbiXDloza9EgFAZA,249339682,boustanyla07,,
B001257,RepGusBilirakis,GusBilirakis,,UC2z1uu1n4-60xXs5x1mvLJw,26051676,RepGusBilirakis,gusbilirakis,
B001260,VernBuchanan,CongressmanBuchanan,,UCY4DEy41NxOTdcF8_XAVZvw,20467163,vernbuchanan,repvern,344865327
B001261,SenJohnBarrasso,johnbarrasso,,UC80PfiCAB2Fe1MFayWlR6GQ,202206694,barrassowyo,,
B001267,SenBennetCo,senbennetco,,UCXB3cljpMwTyCUyLr2ZVLow,224285242,SenatorBennet,,
B001269,RepLouBarletta,CongressmanLouBarletta,,UChViw1Iv0nY1b3Qq9Q0vDBQ,239871673,reploubarletta,,
B001270,RepKarenBass,RepKarenBass,,UCQZg7oxkV3Yag2emYPLhT2g,239949176,RepKarenBass,,
B001271,CongressmanDan,CongressmanDan,124163654317596,,242761889,,,
B001273,RepDianeBlack,DianeBlackTN06,,UCREZGYWeFh6-gfodmoWVUFg,110545675,RepDianeBlack,repdianeblack,371192551
B001274,RepMoBrooks,RepMoBrooks,,UCgsPSY0MpuQJq8vEqYUSt-g,237299871,RepMoBrooks,,
B001275,RepLarryBucshon,RepLarryBucshon,,UC0bIliQs0LKZabNwvZ3gnhQ,234812598,RepLarryBucshon,,
B001277,SenBlumenthal,SenBlumenthal,,UCHH-fn3_LVt0Q4od56rOi5g,278124059,SenatorBlumenthal,,
B001278,RepBonamici,congresswomanbonamici,,UC0IkAeEiwgzSRTD1TDSvuBw,558769636,RepSuzanneBonamici,,
B001281,RepBeatty,RepJoyceBeatty,,UCtVl3kb7Xvt3pY7l6x-M6LA,1531521632,,repbeatty,554027718
B001282,RepAndyBarr,RepAndyBarr,,UCVL2s6x7f7H0ZJ-uwU0pQ6Q,1089334250,RepAndyBarr,,
B001283,RepJBridenstine,CongressmanJimBridenstine,,UC4uUpWvIK-fiOfTG_D3rX8g,1092757885,RepJimBridenstine,repjbridenstine,295797332
B001284,SusanWBrooks,congresswomansusanwbrooks,,UCMd7LzaBcbQ06aKHoj9KkSQ,1074101017,SusanWBrooks,susanwbrooks,365798183
B001285,JuliaBrownley26,RepJuliaBrownley,,UCFrC4Ouk5R6xQztS9PZin_A,1243902714,RepJuliaBrownley,,
B001286,RepCheri,RepCheri,,UCrkOYuIsVeb4dvKeeO7jnaA,1092979962,RepCheri,,
B001287,RepBera,RepAmiBera,,UClJCTCo53Zk6b4kUL-bbdzg,950783972,repamibera,,
B001288,senbookeroffice,,,UC6FlymqNS1VettnVZa7goPA,2167097881,SenCoryBooker,,
B001289,RepByrne,RepByrne,,UCRUXmqQbrKo0T6xi_GT7TEA,2253968388,,repbyrne,944262792
B001290,RepDaveBrat,RepDaveBrat,,,2560169238,,,
B001291,RepBrianBabin,RepBrianBabin,,UCPVEZgw-VbDRbLV1MRGVQNQ,2929491549,,,
