id,name__it,name__fr,name__en,name__de,name,wikipedia__it,image,gender,birth_date,given_name,identifier__italian_cod,original_wikiname,wikipedia__itwikiquote,identifier__VIAF,identifier__SBN_it,name__nb,name__da,name__nn,name__sv,name__nl,family_name,name__pl,name__es,name__hu,wikipedia__en,wikipedia__fr,wikipedia__pl,identifier__freebase,identifier__openpolis,wikipedia__commons,name__ro,wikipedia__ro,identifier__EuroparlMEP,name__la,wikipedia__de,wikipedia__la,identifier__ISNI,identifier__LCAuth,identifier__BNF,identifier__SUDOC,name__eo,name__fi,website,twitter,facebook,name__ar,wikipedia__ar,name__scn,wikipedia__scn,name__ca,name__cs,name__et,name__hr,name__lt,name__pt,name__sk,name__sl,wikipedia__nl,name__ru,name__fa,name__el,wikipedia__ca,wikipedia__es,wikipedia__fa,wikipedia__ru,identifier__GND,instagram,name__lmo,wikipedia__lmo,identifier__IMDB,name__uk,wikipedia__eo,wikipedia__uk,identifier__GTAA,wikipedia__pt,name__vec,wikipedia__vec,name__oc,name__tw,name__cy,name__ga,name__eu,name__az,name__id,name__eml,name__pms,name__de_ch,name__en_ca,name__en_gb,name__ext,name__is,name__lb,name__pt_br,name__sq,name__sco,name__co,name__an,name__io,name__ay,name__gl,name__ie,name__nds_nl,name__tr,name__tl,name__lij,name__nap,name__rm,name__pcd,name__mwl,name__wa,name__ast,name__lad,name__fy,name__fo,name__gsw,name__roa_tara,name__cbk_zam,name__sc,name__diq,name__war,name__br,name__lv,name__ja,name__ko,name__zh,wikipedia__als,wikipedia__an,wikipedia__ast,wikipedia__ay,wikipedia__az,wikipedia__br,wikipedia__cbk_zam,wikipedia__co,wikipedia__cy,wikipedia__diq,wikipedia__eml,wikipedia__eu,wikipedia__ext,wikipedia__fi,wikipedia__fo,wikipedia__fy,wikipedia__ga,wikipedia__gl,wikipedia__id,wikipedia__ie,wikipedia__io,wikipedia__is,wikipedia__ja,wikipedia__ko,wikipedia__lad,wikipedia__lb,wikipedia__lij,wikipedia__lv,wikipedia__mwl,wikipedia__nap,wikipedia__nds_nl,wikipedia__no,wikipedia__oc,wikipedia__pcd,wikipedia__pms,wikipedia__roa_tara,wikipedia__sco,wikipedia__sc,wikipedia__sq,wikipedia__sv,wikipedia__tl,wikipedia__tr,wikipedia__tw,wikipedia__war,wikipedia__wa,wikipedia__zh,wikipedia__da,wikipedia__sl,identifier__Munzinger,wikipedia__el,identifier__BNE,identifier__NTA,identifier__BAV,identifier__NUKAT,name__be,name__he,name__ml,name__mr,name__vi,name__bg,name__nds,name__sr,name__lo,name__sh,wikipedia__be,wikipedia__bg,wikipedia__cs,wikipedia__et,wikipedia__he,wikipedia__hu,wikipedia__itwikinews,wikipedia__lo,wikipedia__lt,wikipedia__ml,wikipedia__mr,wikipedia__nds,wikipedia__plwikiquote,wikipedia__ruwikinews,wikipedia__sh,wikipedia__simple,wikipedia__sk,wikipedia__sr,wikipedia__vi,identifier__NLA,identifier__NKC,identifier__CANTIC,identifier__parlement,identifier__FAST,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__hy,wikipedia__hy,name__ckb,name__ka,name__nan,wikipedia__ckb,wikipedia__enwikiquote,wikipedia__ka,wikipedia__zh_min_nan,identifier__Britannica,name__mk,wikipedia__mk,wikipedia__nn,name__be_tarask,wikipedia__be_x_old,wikipedia__cawikiquote,wikipedia__fiwikiquote,wikipedia__frwikiquote,wikipedia__ptwikiquote,wikipedia__slwikiquote,identifier__AlloCine,identifier__allmovie,wikipedia__itwikisource,wikipedia__dewikiquote,wikipedia__hr,identifier__NLAtrove,name__af,name__bs,name__ceb,wikipedia__cswikiquote,identifier__youtube,identifier__PORT,identifier__kinopoisk,identifier__CSFD,identifier__treccani,wikipedia__frwikinews,name__ia,name__nov,name__mt,name__vro,wikipedia__fiu_vro,wikipedia__ia,wikipedia__mt,wikipedia__nov,electoral_district,identifier__dialnet,identifier__NLI,identifier__google_plus,death_date,identifier__PACE,email,linkedin,identifier__britishmuseum,identifier__google_knowledge,name__bar,name__de_at,name__egl,name__frp,name__fur,name__gd,name__kg,name__li,name__mg,name__min,name__ms,name__nrm,name__sr_el,name__sw,name__vls,name__vo,name__wo,name__zu,name__bm,name__frc,name__jam,name__kab,name__pap,name__prg,name__rgn,name__vmf,occupation,identifier__GNC,identifier__flickr,name__ace,name__jv,name__su,wikipedia__bewikiquote,wikipedia__th,name__th,name__hsb,name__dsb,name__pfl,name__frr,name__xmf,wikipedia__xmf,identifier__quora,wikipedia__azb,name__azb,name__or,wikipedia__my,name__my,name__tt,identifier__ioc_athlete,wikipedia__bn,wikipedia__ukwikiquote,name__bn,identifier__PTBNP,identifier__BIBSYS,wikipedia__am,name__am,identifier__NDL,identifier__NLP,name__als,identifier__bigenc_ru,wikipedia__li,wikipedia__uz,wikipedia__jv,name__uz,name__lfn,wikipedia__af,identifier__NSK,noble_title,identifier__CONOR,name__ur
Q10279154,Fabio Porta,Fabio Porta,Fabio Porta,Fabio Porta,Fabio Porta,Fabio Porta,https://upload.wikimedia.org/wikipedia/commons/4/4e/Fabio_Porta_daticamera.jpg,male,1963-11-05,Fabio,302902,Fabio Porta,,,,,,,,Fabio Porta,Porta,,,,,,,,332880,Category:Fabio Porta,,,,,,,,,,,,,http://www.camera.it/leg17/29?shadow_deputato=302902&idLegislatura=17,fabioporta,fabio.porta.963,,,,,,,,,,Fabio Porta,,Fabio Porta,,,,,,,,,,,,,,,,,,Fabio Porta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10359276,Renata Bueno,Renata Bueno,Renata Bueno,Renata Bueno,Renata Bueno,Renata Bueno,https://upload.wikimedia.org/wikipedia/commons/7/75/Renata_Bueno_daticamera.jpg,female,1979-11-10,Renata,306247,Renata Bueno,,,,,Renata Bueno,,Renata Bueno,Renata Bueno,Bueno,Renata Bueno,Renata Eitelwein Bueno,Renata Eitelwein Bueno,,Renata Bueno,,,687586,Category:Renata Bueno,,,,,,,,,,,,,http://www.camera.it/leg17/29?shadow_deputato=306247&idLegislatura=17,RenataBueno23,RenataBuenoPPS,,,,,,,,,,Renata Eitelwein Bueno,,Renata Bueno,,,,,,,,,,,,,,,,,,Renata Bueno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1051169,Catia Polidori,Catia Polidori,Catia Polidori,Catia Polidori,Catia Polidori,Catia Polidori,https://upload.wikimedia.org/wikipedia/commons/5/54/Catia_Polidori_daticamera_2018.jpg,female,1967-07-03,Catia,302968,Catia Polidori,,,,Catia Polidori,Catia Polidori,Catia Polidori,Catia Polidori,Catia Polidori,,Catia Polidori,Catia Polidori,,,,,,332878,Category:Catia Polidori,Catia Polidori,,,,Catia Polidori,,,,,,,Catia Polidori,,CatiaPolidori,catia.polidori,,,,,Catia Polidori,Catia Polidori,,,,Catia Polidori,Catia Polidori,Catia Polidori,,,,,,,,,,,,,,,,,,,,,Catia Polidori,,,,Catia Polidori,,Catia Polidori,,,Catia Polidori,Catia Polidori,Catia Polidori,,,,Catia Polidori,,Catia Polidori,,,,,Catia Polidori,,,,Catia Polidori,,,,,,,,,,,,,,,,Catia Polidori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catia Polidori,,,,,,,,,,,,,,,,,,,,,,,,,,,Catia Polidori,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1055165,Giuseppe Castiglione,Giuseppe Castiglione,Giuseppe Castiglione,Giuseppe Castiglione,Giuseppe Castiglione,Giuseppe Castiglione (politico),https://upload.wikimedia.org/wikipedia/commons/d/d9/Giuseppe_Castiglione_daticamera.jpg,male,1963-10-05,Giuseppe,306158,Giuseppe Castiglione (politico),,,,Giuseppe Castiglione,Giuseppe Castiglione,Giuseppe Castiglione,Giuseppe Castiglione,Giuseppe Castiglione,,Giuseppe Castiglione,Giuseppe Castiglione,Giuseppe Castiglione,Giuseppe Castiglione (politician),,Giuseppe Castiglione (polityk),/m/05ygtg,17,Category:Giuseppe Castiglione (politician),Giuseppe Castiglione,Giuseppe Castiglione (politician),28459,,,,,,,,,,,G_Castiglione,g.castiglione,,,,,,,,,,,,Giuseppe Castiglione,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1055202,Lapo Pistelli,Lapo Pistelli,Lapo Pistelli,Lapo Pistelli,Lapo Pistelli,Lapo Pistelli,https://upload.wikimedia.org/wikipedia/commons/c/cf/Lapo_Pistelli_daticamera.jpg,male,1964-06-20,Lapo,50185,Lapo Pistelli,,36305078,IT\ICCU\UFIV\082513,Lapo Pistelli,Lapo Pistelli,Lapo Pistelli,Lapo Pistelli,Lapo Pistelli,,Lapo Pistelli,Lapo Pistelli,Lapo Pistelli,Lapo Pistelli,Lapo Pistelli,Lapo Pistelli,/m/05v8f8,54,Category:Lapo Pistelli,Lapo Pistelli,Lapo Pistelli,28420,,,,0000 0000 3558 5302,n2004030173,,081178387,,,,,,,,,,,,,,,,,Lapo Pistelli,,"Пистелли, Лапо",,,,,,"Пистелли, Лапо",,,,,,Лапо Пістеллі,,Лапо Пістеллі,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ラポ・ピステッリ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1055449,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,https://upload.wikimedia.org/wikipedia/commons/3/36/Matteo_Salvini_Viminale.jpg,male,1973-03-09,Matteo,302741,Matteo Salvini,Matteo Salvini,315534107,,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,/m/05v8sl,63,Category:Matteo Salvini,Matteo Salvini,Matteo Salvini,28404,Matthaeus Salvini,Matteo Salvini,Matthaeus Salvini,0000 0004 4780 2393,no2015030745,,,Matteo Salvini,Matteo Salvini,http://www.matteosalvini.com/,matteosalvinimi,salviniofficial,ماتيو سالفيني,ماتيو سالفيني,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,"Сальвини, Маттео",ماتئو سالوینی,Ματέο Σαλβίνι,,Matteo Salvini,ماتئو سالوینی,"Сальвини, Маттео",106969066X,matteosalviniofficial,Matteo Salvini,Matteo Salvini,,Маттео Сальвіні,,Маттео Сальвіні,,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,,Matteo Salvini,Matteo Salvini,Matteo Salvini,,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,,Matteo Salvini,Matteo Salvini,Matteo Salvini,,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,,Matteo Salvini,Matteo Salvini,Matteo Salvini,,,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,,Matteo Salvini,Matteo Salvini,,,,Matteo Salvini,,,Matteo Salvini,,,Matteo Salvini,,マッテオ・サルヴェーニ,마테오 살비니,,,Matteo Salvini,,,,Matteo Salvini,,,,,Matteo Salvini,Matteo Salvini,,Matteo Salvini,,,,,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,マッテオ・サルヴィーニ,마테오 살비니,,,,,,,,,,,,,,,,Matteo Salvini,,,,,,,,Matteo Salvini,,Ματέο Σαλβίνι,,,,,Матэа Сальвіні,מתאו סלביני,,,Matteo Salvini,,Matteo Salvini,,,,Матэа Сальвіні,,Matteo Salvini,Matteo Salvini,מתאו סלביני,Matteo Salvini,Categoria:Matteo Salvini,,,,,,Matteo Salvini,Категория:Маттео Сальвини,,Matteo Salvini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matteo Salvini,,Matteo Salvini,,,,UCDjM54fZ-cD7F8uom767OhA,,,,,Catégorie:Matteo Salvini,Matteo Salvini,,,,,,,,,,,+MatteoSalviniOfficial,,,,,,,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,Matteo Salvini,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,Маттео Сальвіні,মাত্তেও সালভিনি,,,,,,,,,,,,,,Matteo Salvini,,,,
Q1060314,Raffaele Fitto,Raffaele Fitto,Raffaele Fitto,Raffaele Fitto,Raffaele Fitto,Raffaele Fitto,https://upload.wikimedia.org/wikipedia/commons/a/a1/Raffaele_Fitto_daticamera.jpg,male,1969-08-28,Raffaele,301551,Raffaele Fitto,,,,Raffaele Fitto,Raffaele Fitto,Raffaele Fitto,Raffaele Fitto,Raffaele Fitto,,Raffaele Fitto,Raffaele Fitto,Raffaele Fitto,Raffaele Fitto,Raffaele Fitto,Raffaele Fitto,/m/047lj5j,,Category:Raffaele Fitto,Raffaele Fitto,,4465,,Raffaele Fitto,,,,,,,Raffaele Fitto,,RaffaeleFitto,fittoraffaele,,,,,Raffaele Fitto,Raffaele Fitto,,,,Raffaele Fitto,Raffaele Fitto,Raffaele Fitto,,"Фитто, Раффаэле",,Ραφφαέλε Φίττο,,,,"Фитто, Раффаэле",,,Raffaele Fitto,Raffaele Fitto,,Раффаеле Фітто,,Раффаеле Фітто,,,,,Raffaele Fitto,,,,Raffaele Fitto,,Raffaele Fitto,,,Raffaele Fitto,Raffaele Fitto,Raffaele Fitto,,,,Raffaele Fitto,,Raffaele Fitto,,,,,Raffaele Fitto,,,,Raffaele Fitto,,,,,,,,,,,,,,,,Raffaele Fitto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Raffaele Fitto,,,,,,,,,,,,,,,,,,,,,,,,,,,Raffaele Fitto,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q106446,Laura Garavini,Laura Garavini,Laura Garavini,Laura Garavini,Laura Garavini,Laura Garavini,https://upload.wikimedia.org/wikipedia/commons/0/0d/Laura_Garavini_-_def1.jpg,female,1966-07-23,Laura,302899,Laura Garavini,,,,Laura Garavini,Laura Garavini,Laura Garavini,Laura Garavini,Laura Garavini,,,,,,,,,332722,Category:Laura Garavini,,,,,Laura Garavini,,,,,,,,http://www.senato.it/leg/18/BGT/Schede/Attsen/00025498.htm,lauragaravini,laura.garavini.5,,,,,,,,,,,,Laura Garavini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laura Garavini,,,,,Laura Garavini,,,,,,,,,,,,,Laura Garavini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laura Garavini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laura Garavini,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laura Garavini,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,Laura Garavini,Laura Garavini,Laura Garavini,Laura Garavini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1071031,Paolo Gentiloni,Paolo Gentiloni,Paolo Gentiloni,Paolo Gentiloni,Paolo Gentiloni,Paolo Gentiloni,https://upload.wikimedia.org/wikipedia/commons/0/0b/Paolo_Gentiloni_-_Festival_Economia_2016.jpg,male,1954-11-22,Paolo,300637,Paolo Gentiloni,Paolo Gentiloni,55600856,IT\ICCU\RAVV\035375,Paolo Gentiloni,Paolo Gentiloni,Paolo Gentiloni,Paolo Gentiloni,Paolo Gentiloni,Gentiloni,Paolo Gentiloni,Paolo Gentiloni,Paolo Gentiloni,Paolo Gentiloni,Paolo Gentiloni,Paolo Gentiloni,/m/0d6l02,449,Category:Paolo Gentiloni,Paolo Gentiloni,Paolo Gentiloni,,Paulus Gentiloni,Paolo Gentiloni,Paulus Gentiloni,0000 0000 2527 2580,n85265403,,,Paolo Gentiloni,Paolo Gentiloni,http://www.paologentiloni.it/,PaoloGentiloni,paologentiloni,باولو جينتيلوني,باولو جينتيلوني,Paolo Gentiloni,Paulu Gentiloni,Paolo Gentiloni,Paolo Gentiloni Silveri,Paolo Gentiloni,Paolo Gentiloni,,Paolo Gentiloni,Paolo Gentiloni,Paolo Gentiloni,Paolo Gentiloni,Паоло Джентилони,پائولو جنتیلونی,Πάολο Τζεντιλόνι,Paolo Gentiloni,Paolo Gentiloni,پائولو جنتیلونی,"Джентилони, Паоло",1121469620,,Paolo Gentiloni,Paolo Gentiloni,,Паоло Джентілоні,,Паоло Джентілоні,,Paolo Gentiloni,Paolo Gentiloni,Paolo Gentiloni,Paolo Gentiloni,Paolo Gentiloni,Paolo Gentiloni,Paolo Gentiloni,Paolo Gentiloni,Paolo Gentiloni,Paolo Gentiloni,,Paolo Gentiloni,Paolo Gentiloni,Paolo Gentiloni,Paolo Gentiloni,,Paolo Gentiloni,Paolo Gentiloni,Paolo Gentiloni,Paolo Gentiloni,Paolo Gentiloni,Paolo Gentiloni,Paolo Gentiloni,Paolo Gentiloni,,Paolo Gentiloni,Paolo Gentiloni,Paolo Gentiloni,Paolo Gentiloni,Paolo Gentiloni,Paolo Gentiloni,Paolo Gentiloni,Paolo Gentiloni,Paolo Gentiloni,,Paolo Gentiloni,Paolo Gentiloni,,,Paolo Gentiloni,Paolo Gentiloni,,,Paolo Gentiloni,,,Paolo Gentiloni,,パオロ・ジェンティローニ,파울로 젠틸로니,真蒂洛尼,,,Paolo Gentiloni,,Paolo Gentiloni,Paolo Gentiloni,,,Paolo Gentiloni,,,Paolo Gentiloni,,Paolo Gentiloni,Paolo Gentiloni,,,Paolo Gentiloni,Paolo Gentiloni,Paolo Gentiloni,Paolo Gentiloni,Paolo Gentiloni,パオロ・ジェンティローニ,파올로 젠틸로니,,Paolo Gentiloni,,,,,,Paolo Gentiloni,Paolo Gentiloni,,,,Paolo Gentiloni,,Paolo Gentiloni,Paolo Gentiloni,Paolo Gentiloni,Paolo Gentiloni,Paolo Gentiloni,,,保羅·真蒂洛尼,,,,Πάολο Τζεντιλόνι,,129564370,,,Паола Джэнцілоні,פאולו ג'נטילוני,,,Paolo Gentiloni,Паоло Джентилони,Paolo Gentiloni,,,Paolo Gentiloni,Паала Джэнцілоні,Паоло Джентилони,Paolo Gentiloni,Paolo Gentiloni,פאולו ג'נטילוני,Paolo Gentiloni,,,,,,,Paolo Gentiloni,Категория:Паоло Джентилони,Paolo Gentiloni,Paolo Gentiloni,,,Paolo Gentiloni,,,,,,,保羅·真蒂洛尼,,保罗·真蒂洛尼,,,Պաոլո Ջենտիլոնի,Պաոլո Ջենտիլոնի,,პაოლო ჯენტილონი,Paolo Gentiloni,,,პაოლო ჯენტილონი,Paolo Gentiloni,,,,,,,,,,,,,,,,Paolo Gentiloni,,Paolo Gentiloni,,,,,,,,,,Paolo Gentiloni,,Paolo Gentiloni,,,,Paolo Gentiloni,,,,,,,,,,,,Paolo Gentiloni,Paolo Gentiloni,,Paolo Gentiloni,Paolo Gentiloni,Paolo Gentiloni,Paolo Gentiloni,Paolo Gentiloni,Paolo Gentiloni,Paolo Gentiloni,Paolo Gentiloni,Paolo Gentiloni,Paolo Gentiloni,Paolo Gentiloni,Paolo Gentiloni,Paolo Gentiloni,Paolo Gentiloni,Paolo Gentiloni,,,,,,,,,politician,,,Paolo Gentiloni,Paolo Gentiloni,Paolo Gentiloni,Паала Джэнцілоні,ปาโอโล เจนตีโลนี,เปาโล เจนติโลนี,,,,,პაოლო ჯენტილონი,პაოლო ჯენტილონი,,,,,ပေါင်လို ဂျင့်ထိလွန်းနီ,ပေါင်လို ဂျင့်ထိလွန်းနီ,Паоло Җентилони,,পাওলো জেন্তিলোনি,,পাওলো জেন্তিলোনি,,,ፓዖሎ ጄንቲሎኒ,ፓዖሎ ጄንቲሎኒ,,,,,Paolo Gentiloni,Paolo Gentiloni,Paolo Gentiloni,Paolo Gentiloni,,,,count,,پاؤلو جینٹی لونی
Q1071053,Cesare Damiano,Cesare Damiano,Cesare Damiano,Cesare Damiano,Cesare Damiano,Cesare Damiano,https://upload.wikimedia.org/wikipedia/commons/6/6a/Primo_piano_di_Cesare_Damiano.jpg,male,1948-06-15,Cesare,301532,Cesare Damiano,,66415941,,Cesare Damiano,Cesare Damiano,Cesare Damiano,Cesare Damiano,Cesare Damiano,Damiano,Cesare Damiano,Cesare Damiano,Cesare Damiano,Cesare Damiano,Cesare Damiano,Cesare Damiano,/m/0d6l1w,335,Category:Cesare Damiano,Cesare Damiano,,,,Cesare Damiano,,0000 0000 4987 6434,nr2004000284,,158428765,,Cesare Damiano,,,,,,,,Cesare Damiano,Cesare Damiano,,,,Cesare Damiano,Cesare Damiano,Cesare Damiano,,"Дамиано, Чезаре",,,,,,"Дамиано, Чезаре",,,,,,,,,,,,,Cesare Damiano,,,,Cesare Damiano,,Cesare Damiano,,,Cesare Damiano,Cesare Damiano,Cesare Damiano,,,,Cesare Damiano,,Cesare Damiano,,,,,Cesare Damiano,,,,Cesare Damiano,,,,,,,,,,,,,,,,Cesare Damiano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38204018X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cesare Damiano,,,,,,,,,,,,,,,,,,,,,,,,,,,Cesare Damiano,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
