end_date,election_list,id,birth_date,start_date,name,source,group,area,gender,term,email,area_id,image
2013-11-18,IL POPOLO DELLA LIBERTA',15080,1940-10-26,"",CICCHITTO Fabrizio,http://www.camera.it/leg17/29?shadow_deputato=15080&idpersona=15080&idlegislatura=17,IL POPOLO DELLA LIBERTA' - BERLUSCONI PRESIDENTE,LAZIO 1,male,17,CICCHITTO_F@CAMERA.IT,XV,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/015/080/original_d15080.jpg
"",IL POPOLO DELLA LIBERTA',15080,1940-10-26,2013-11-18,CICCHITTO Fabrizio,http://www.camera.it/leg17/29?shadow_deputato=15080&idpersona=15080&idlegislatura=17,AREA POPOLARE (NCD-UDC),LAZIO 1,male,17,CICCHITTO_F@CAMERA.IT,XV,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/015/080/original_d15080.jpg
"",PARTITO DEMOCRATICO,300026,1951-09-29,"",BERSANI Pier Luigi,http://www.camera.it/leg17/29?shadow_deputato=300026&idpersona=300026&idlegislatura=17,PARTITO DEMOCRATICO,LOMBARDIA 1,male,17,BERSANI_P@CAMERA.IT,III,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/300/026/original_d300026.jpg
2015-07-23,PARTITO DEMOCRATICO,300127,1966-08-20,"",LETTA Enrico,http://www.camera.it/leg17/29?shadow_deputato=300127&idpersona=300127&idlegislatura=17,PARTITO DEMOCRATICO,MARCHE,male,17,"",XIV,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/300/127/original_d300127.jpg
"",PARTITO DEMOCRATICO,300231,1960-05-08,"",SERENI Marina,http://www.camera.it/leg17/29?shadow_deputato=300231&idpersona=300231&idlegislatura=17,PARTITO DEMOCRATICO,UMBRIA,female,17,SERENI_M@CAMERA.IT,XIII,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/300/231/original_d300231.jpg
"",IL POPOLO DELLA LIBERTA',300237,1963-12-03,"",CATANOSO GENOESE Francesco Detto Basilio Catanoso,http://www.camera.it/leg17/29?shadow_deputato=300237&idpersona=300237&idlegislatura=17,FORZA ITALIA - IL POPOLO DELLA LIBERTA' - BERLUSCONI PRESIDENTE,SICILIA 2,male,17,CATANOSO_F@CAMERA.IT,XXV,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/300/237/original_d300237.jpg
2013-12-10,UNIONE DI CENTRO,300239,1966-09-22,"",D'ALIA Gianpiero,http://www.camera.it/leg17/29?shadow_deputato=300239&idpersona=300239&idlegislatura=17,SCELTA CIVICA PER L'ITALIA,SICILIA 2,male,17,DALIA_G@CAMERA.IT,XXV,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/300/239/original_d300239.jpg
2014-12-16,UNIONE DI CENTRO,300239,1966-09-22,2013-12-10,D'ALIA Gianpiero,http://www.camera.it/leg17/29?shadow_deputato=300239&idpersona=300239&idlegislatura=17,PER L'ITALIA - CENTRO DEMOCRATICO,SICILIA 2,male,17,DALIA_G@CAMERA.IT,XXV,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/300/239/original_d300239.jpg
"",UNIONE DI CENTRO,300239,1966-09-22,2014-12-16,D'ALIA Gianpiero,http://www.camera.it/leg17/29?shadow_deputato=300239&idpersona=300239&idlegislatura=17,AREA POPOLARE (NCD-UDC),SICILIA 2,male,17,DALIA_G@CAMERA.IT,XXV,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/300/239/original_d300239.jpg
"",PARTITO DEMOCRATICO,300246,1958-10-19,"",FRANCESCHINI Dario,http://www.camera.it/leg17/29?shadow_deputato=300246&idpersona=300246&idlegislatura=17,PARTITO DEMOCRATICO,EMILIA-ROMAGNA,male,17,FRANCESCHINI_D@CAMERA.IT,XI,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/300/246/original_d300246.jpg
2013-11-18,IL POPOLO DELLA LIBERTA',300274,1966-06-03,"",BIANCHI Dorina,http://www.camera.it/leg17/29?shadow_deputato=300274&idpersona=300274&idlegislatura=17,IL POPOLO DELLA LIBERTA' - BERLUSCONI PRESIDENTE,CALABRIA,female,17,BIANCHI_D@CAMERA.IT,XXIII,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/300/274/original_d300274.jpg
"",IL POPOLO DELLA LIBERTA',300274,1966-06-03,2013-11-18,BIANCHI Dorina,http://www.camera.it/leg17/29?shadow_deputato=300274&idpersona=300274&idlegislatura=17,AREA POPOLARE (NCD-UDC),CALABRIA,female,17,BIANCHI_D@CAMERA.IT,XXIII,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/300/274/original_d300274.jpg
"",PARTITO DEMOCRATICO,300293,1960-04-22,"",MARIANI Raffaella,http://www.camera.it/leg17/29?shadow_deputato=300293&idpersona=300293&idlegislatura=17,PARTITO DEMOCRATICO,LIGURIA,female,17,MARIANI_R@CAMERA.IT,X,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/300/293/original_d300293.jpg
