id,family_name,given_name,sort_name,email,party,area,website,term,source,name
243,BAMPORIKI,Edouard,"BAMPORIKI, Edouard",edouard.bamporiki@parliament.gov.rw,RPF,Kigali City,http://www.parliament.gov.rw/member-details/?width=650&detailId=243,3,http://www.parliament.gov.rw/chamber-of-deputies/members-profile/chamber-of-deputies-members-profile/,Edouard BAMPORIKI
246,BARIKANA,Eugène,"BARIKANA, Eugène",eugene.barikana@parliament.gov.rw,RPF,Kigali,http://www.parliament.gov.rw/member-details/?width=650&detailId=246,3,http://www.parliament.gov.rw/chamber-of-deputies/members-profile/chamber-of-deputies-members-profile/,Eugène BARIKANA
2,BAZATOHA,Adolphe,"BAZATOHA, Adolphe",adolphe.bazatoha@parliament.gov.rw,PSD,Kigali,http://www.parliament.gov.rw/member-details/?width=650&detailId=2,3,http://www.parliament.gov.rw/chamber-of-deputies/members-profile/chamber-of-deputies-members-profile/,Adolphe BAZATOHA
3,BEGUMISA SAFARI,Theoneste,"BEGUMISA SAFARI, Theoneste",theoneste.safari@parliament.gov.rw,RPF,Eastern Province,http://www.parliament.gov.rw/member-details/?width=650&detailId=3,3,http://www.parliament.gov.rw/chamber-of-deputies/members-profile/chamber-of-deputies-members-profile/,Theoneste BEGUMISA SAFARI
333,BUSHISHI,GIOVANNI,"BUSHISHI, GIOVANNI",giovani.bushishi@parliament@gov.rw,PSD,Southern Province,http://www.parliament.gov.rw/member-details/?width=650&detailId=333,3,http://www.parliament.gov.rw/chamber-of-deputies/members-profile/chamber-of-deputies-members-profile/,GIOVANNI BUSHISHI
5,BWIZA,SEKAMANA  Connie,"BWIZA, SEKAMANA  Connie",connie.bwiza@parliament.gov.rw,RPF,Eastern Province,http://www.parliament.gov.rw/member-details/?width=650&detailId=5,3,http://www.parliament.gov.rw/chamber-of-deputies/members-profile/chamber-of-deputies-members-profile/,SEKAMANA  Connie BWIZA
4,BYABARUMWANZI,François,"BYABARUMWANZI, François",francois.byabarumwanzi@parliament.gov.rw,PL,Southern Province,http://www.parliament.gov.rw/member-details/?width=650&detailId=4,3,http://www.parliament.gov.rw/chamber-of-deputies/members-profile/chamber-of-deputies-members-profile/,François BYABARUMWANZI
6,GAHONDOGO,Athanasie,"GAHONDOGO, Athanasie",athanasie.gahondogo@parliament.gov.rw,RPF,Southern Province,http://www.parliament.gov.rw/member-details/?width=650&detailId=6,3,http://www.parliament.gov.rw/chamber-of-deputies/members-profile/chamber-of-deputies-members-profile/,Athanasie GAHONDOGO
249,GATABAZI,Jean Marie Vianey,"GATABAZI, Jean Marie Vianey",jmvianney.gatabazi@parliament.gov.rw,RPF,Northern  Province,http://www.parliament.gov.rw/member-details/?width=650&detailId=249,3,http://www.parliament.gov.rw/chamber-of-deputies/members-profile/chamber-of-deputies-members-profile/,Jean Marie Vianey GATABAZI
255,IZABIRIZA,Marie Mediatrice,"IZABIRIZA, Marie Mediatrice",mmediatrice.izabiriza@parliament.gov.rw,Women,southern,http://www.parliament.gov.rw/member-details/?width=650&detailId=255,3,http://www.parliament.gov.rw/chamber-of-deputies/members-profile/chamber-of-deputies-members-profile/,Marie Mediatrice IZABIRIZA
