name,email,image,term,group,group_id,start_date,end_date
Agathe Fontain,agathe@inatsisartut.gl,http://www.ina.gl/media/2527783/agathe.jpg,9,Inuit Ataqatigiit,inuit_ataqatigiit,"",""
Agnethe Davidsen,,http://www.ina.gl/media/2528153/agnethe_davidsen.jpg,9,Siumut,siumut,"",""
Aleqa Hammond,,http://www.ina.gl/media/personfiler/760992/Aleqa_Hammond.jpg,9,Siumut,siumut,"",""
Ane Hansen,aneh@inatsisartut.gl,http://www.ina.gl/media/personfiler/234538/2010.09.17%20Start%20EM%202010%2000903.jpg,9,Inuit Ataqatigiit,inuit_ataqatigiit,"",""
Anthon Frederiksen,antuut@inatsisartut.gl,http://www.ina.gl/media/personfiler/234539/2010.09.17%20Start%20EM%202010%2000946.jpg,9,Kattusseqatigiit,kattusseqatigiit,"",""
Asii Chemnitz Narup,,,9,Inuit Ataqatigiit,inuit_ataqatigiit,"",""
Astrid Fleischer Rex,,http://www.ina.gl/media/personfiler/234413/2010.09.17%20Start%20EM%202010%2000912.jpg,9,Demokraatit,demokraatit,"",""
Augusta Salling,,,9,Atassut,atassut,"",""
Doris Jakobsen,doja@nanoq.gl,http://www.ina.gl/media/personfiler/293877/untitled-5.jpg,9,Siumut,siumut,"",""
Ellen Christoffersen,,,9,Atassut,atassut,"",""
Esmar Bergstrøm,,,9,Demokraatit,demokraatit,"",""
Finn Karlsen,,http://www.ina.gl/media/personfiler/234423/2010.09.17%20Start%20EM%202010%2000928.jpg,9,Atassut,atassut,"",""
Godmand Rasmussen,,http://www.ina.gl/media/2528193/godmand-rasmussen.jpg,9,Atassut,atassut,"",""
Hans Enoksen,hans@inatsisartut.gl,http://www.ina.gl/media/personfiler/298458/untitled-6.jpg,9,Siumut,siumut,"",""
Jens B. Frederiksen,,http://www.ina.gl/media/personfiler/234540/2010.09.17%20Start%20EM%202010%2000943.jpg,9,Demokraatit,demokraatit,"",""
Johan Lund Olsen,,http://www.ina.gl/media/2528199/johan-lund-olsen_maleri.jpg,9,Inuit Ataqatigiit,inuit_ataqatigiit,"",""
Jonathan Motzfeldt,,http://www.ina.gl/media/2528170/jonathan-motzfeldt-2.jpg,9,Siumut,siumut,"",""
Josef Motzfeldt,,http://www.ina.gl/media/2528209/20161026-josef-motzfeldt-22853.jpg,9,Inuit Ataqatigiit,inuit_ataqatigiit,"",""
Juliane Henningsen,,http://www.ina.gl/media/personfiler/234488/2010.09.17%20Start%20EM%202010%2000898.jpg,9,Inuit Ataqatigiit,inuit_ataqatigiit,"",""
Jørgen W. Johansen,,,9,Siumut,siumut,"",""
Kim Kielsen,kim@nanoq.gl,http://www.ina.gl/media/personfiler/234524/2010.09.17%20Start%20EM%202010%2000953.jpg,9,Siumut,siumut,"",""
Kuupik Vandersee Kleist,,http://www.ina.gl/media/2529952/kuupik_kleist.jpg,9,Inuit Ataqatigiit,inuit_ataqatigiit,"",""
Lars-Emil Johansen,larsemil@inatsisartut.gl,http://www.ina.gl/media/personfiler/753863/Lars-Emil%20Johansen%20-%2007533.jpg,9,Siumut,siumut,"",""
Lene Knüppel,,http://www.ina.gl/media/2528210/lene-knuppel-andersen.jpg,9,Demokraatit,demokraatit,"",""
Marie Fleischer,,http://www.ina.gl/media/2528195/marie_fleischer.jpg,9,Demokraatit,demokraatit,"",""
Palle Christiansen,,http://www.ina.gl/media/personfiler/234434/2010.09.17%20Start%20EM%202010%2000913.jpg,9,Demokraatit,demokraatit,"",""
Per Berthelsen,,http://www.ina.gl/media/personfiler/234529/2010.09.17%20Start%20EM%202010%2000930.jpg,9,Demokraatit,demokraatit,"",""
Ruth Heilmann,,http://www.ina.gl/media/2528205/ruth.jpg,9,Siumut,siumut,"",""
Siverth Karl Heilmann,,http://www.ina.gl/media/personfiler/234533/2010.09.17%20Start%20EM%202010%2000891.jpg,9,Atassut,atassut,"",""
Thomas Kristensen,,,9,Atassut,atassut,"",""
Vittus Mikaelsen,,,9,Siumut,siumut,"",""
Ane Hansen,aneh@inatsisartut.gl,http://www.ina.gl/media/personfiler/234538/2010.09.17%20Start%20EM%202010%2000903.jpg,8,Inuit Ataqatigiit,inuit_ataqatigiit,"",""
Anthon Frederiksen,antuut@inatsisartut.gl,http://www.ina.gl/media/personfiler/234539/2010.09.17%20Start%20EM%202010%2000946.jpg,8,Kattusseqatigiit,kattusseqatigiit,"",""
Aqqaluk Lynge,,http://www.ina.gl/media/2528158/aqqaluk_lynge.jpg,8,Inuit Ataqatigiit,inuit_ataqatigiit,"",""
Asii Chemnitz Narup,,,8,Inuit Ataqatigiit,inuit_ataqatigiit,"",""
Astrid Fleischer Rex,,http://www.ina.gl/media/personfiler/234413/2010.09.17%20Start%20EM%202010%2000912.jpg,8,Demokraatit,demokraatit,"",""
Augusta Salling,,,8,Atassut,atassut,"",""
Doris Jakobsen,doja@nanoq.gl,http://www.ina.gl/media/personfiler/293877/untitled-5.jpg,8,Siumut,siumut,"",""
Ellen Christoffersen,,,8,Atassut,atassut,"",""
Enos Lyberth,,,8,Siumut,siumut,"",""
Finn Karlsen,,http://www.ina.gl/media/personfiler/234423/2010.09.17%20Start%20EM%202010%2000928.jpg,8,Atassut,atassut,"",""
Henriette Rasmussen,,http://www.ina.gl/media/2528164/henriette_rasmussen.jpg,8,Inuit Ataqatigiit,inuit_ataqatigiit,"",""
