name,email,image,term,group,group_id,start_date,end_date
Agathe Fontain,agathe@inatsisartut.gl,http://www.ina.gl/media/personfiler/234537/2010.09.17%20Start%20EM%202010%2000896.jpg,9,Inuit Ataqatigiit,inuit_ataqatigiit,"",""
Agnethe Davidsen,,,9,Siumut,siumut,"",""
Aleqa Hammond,alha@inatsisartut.gl,http://www.ina.gl/media/personfiler/760992/Aleqa_Hammond.jpg,9,Siumut,siumut,"",""
Ane Hansen,aneh@inatsisartut.gl,http://www.ina.gl/media/personfiler/234538/2010.09.17%20Start%20EM%202010%2000903.jpg,9,Inuit Ataqatigiit,inuit_ataqatigiit,"",""
Anthon Frederiksen,antuut@inatsisartut.gl,http://www.ina.gl/media/personfiler/234539/2010.09.17%20Start%20EM%202010%2000946.jpg,9,Kattusseqatigiit,kattusseqatigiit,"",""
Asii Chemnitz Narup,,,9,Inuit Ataqatigiit,inuit_ataqatigiit,"",""
Astrid Fleischer Rex,asfl@inatsisartut.gl,http://www.ina.gl/media/personfiler/234413/2010.09.17%20Start%20EM%202010%2000912.jpg,9,Demokraatit,demokraatit,"",""
Augusta Salling,aus@gh.gl,,9,Atassut,atassut,"",""
Doris Jakobsen,doja@nanoq.gl,http://www.ina.gl/media/personfiler/293877/untitled-5.jpg,9,Siumut,siumut,"",""
Ellen Christoffersen,ekri@gh.gl,,9,Atassut,atassut,"",""
Esmar Bergstrøm,esbe@gh.gl,,9,Demokraatit,demokraatit,"",""
Finn Karlsen,fika@nanoq.gl,http://www.ina.gl/media/personfiler/234423/2010.09.17%20Start%20EM%202010%2000928.jpg,9,Atassut,atassut,"",""
Godmand Rasmussen,,,9,Atassut,atassut,"",""
Hans Enoksen,hans@inatsisartut.gl,http://www.ina.gl/media/personfiler/298458/untitled-6.jpg,9,Siumut,siumut,"",""
Jens B. Frederiksen,jensbf@inatsisartut.gl,http://www.ina.gl/media/personfiler/234540/2010.09.17%20Start%20EM%202010%2000943.jpg,9,Demokraatit,demokraatit,"",""
Johan Lund Olsen,johan@gh.gl,,9,Inuit Ataqatigiit,inuit_ataqatigiit,"",""
Jonathan Motzfeldt,jomo@gh.gl,,9,Siumut,siumut,"",""
Josef Motzfeldt,tuusi@inatsisartut.gl,http://www.ina.gl/media/personfiler/234511/2010.09.17%20Start%20EM%202010%2000881.jpg,9,Inuit Ataqatigiit,inuit_ataqatigiit,"",""
Juliane Henningsen,jhen@inatsisartut.gl,http://www.ina.gl/media/personfiler/234488/2010.09.17%20Start%20EM%202010%2000898.jpg,9,Inuit Ataqatigiit,inuit_ataqatigiit,"",""
Jørgen W. Johansen,,,9,Siumut,siumut,"",""
Kim Kielsen,kim@nanoq.gl,http://www.ina.gl/media/personfiler/234524/2010.09.17%20Start%20EM%202010%2000953.jpg,9,Siumut,siumut,"",""
Kuupik Vandersee Kleist,kuupik@inatsisartut.gl,http://www.ina.gl/media/personfiler/234472/2010.09.17%20Start%20EM%202010%2000948.jpg,9,Inuit Ataqatigiit,inuit_ataqatigiit,"",""
Lars-Emil Johansen,larsemil@inatsisartut.gl,http://www.ina.gl/media/personfiler/753863/Lars-Emil%20Johansen%20-%2007533.jpg,9,Siumut,siumut,"",""
Lene Knüppel,,,9,Demokraatit,demokraatit,"",""
Marie Fleischer,mafl@gh.gl,,9,Demokraatit,demokraatit,"",""
Olga P. Berthelsen,olpe@inatsisartut.gl,http://www.ina.gl/media/personfiler/302742/untitled.jpg,9,Inuit Ataqatigiit,inuit_ataqatigiit,"",""
Palle Christiansen,palle@inatsisartut.gl,http://www.ina.gl/media/personfiler/234434/2010.09.17%20Start%20EM%202010%2000913.jpg,9,Demokraatit,demokraatit,"",""
Per Berthelsen,pebe@inatsisartut.gl,http://www.ina.gl/media/personfiler/234529/2010.09.17%20Start%20EM%202010%2000930.jpg,9,Demokraatit,demokraatit,"",""
Ruth Heilmann,ruth@inatsisartut.gl,http://www.ina.gl/media/personfiler/234528/2010.09.17%20Start%20EM%202010%2000940.jpg,9,Siumut,siumut,"",""
Siverth Karl Heilmann,skhe@inatsisartut.gl,http://www.ina.gl/media/personfiler/234533/2010.09.17%20Start%20EM%202010%2000891.jpg,9,Atassut,atassut,"",""
Thomas Kristensen,thok@gh.gl,,9,Atassut,atassut,"",""
Vittus Mikaelsen,,,9,Siumut,siumut,"",""
