id,name__en,name__da,name__nl,name__de,name__fr,name,wikipedia__da,wikipedia__en,gender,birth_date,given_name,original_wikiname,name__sv,name__ru,name__uk,name__it,name__pl,name__ka,name__ja,name__fi,name__nb,name__ko,name__ar,name__tr,name__es,name__hu,name__zh,name__fo,name__kl,name__el,name__nn,name__he,wikipedia__ar,wikipedia__de,wikipedia__el,wikipedia__es,wikipedia__fi,wikipedia__fo,wikipedia__fr,wikipedia__he,wikipedia__hu,wikipedia__it,wikipedia__ja,wikipedia__ko,wikipedia__nl,wikipedia__no,wikipedia__pl,wikipedia__ru,wikipedia__simple,wikipedia__sv,wikipedia__tr,wikipedia__uk,wikipedia__zh,image,identifier__freebase,facebook,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__id,name__sh,name__pt,name__ca,name__cs,name__bg,name__sk,wikipedia__bg,wikipedia__ca,wikipedia__cs,wikipedia__id,wikipedia__kl,wikipedia__nn,wikipedia__pt,wikipedia__sh,wikipedia__sk,name__en_ca,name__en_gb,name__gl,wikipedia__commons,wikipedia__gl,name__se,name__oc,name__et,name__cy,wikipedia__cy,wikipedia__et,wikipedia__oc,wikipedia__se,identifier__MusicBrainz,identifier__VIAF,identifier__GND,wikipedia__dawikiquote,last_seen,twitter,name__is,family_name,website,identifier__ISNI,identifier__LCAuth,identifier__SUDOC,identifier__NTA,identifier__IMDB,wikipedia__fa,name__fa,identifier__google_knowledge,occupation,death_date,name__mr,name__qu,wikipedia__mr,wikipedia__qu,identifier__Munzinger,name__hy,name__sq,wikipedia__sq,identifier__ne_se,name__aa,name__af,name__ak,name__aln,name__an,name__ang,name__arn,name__ast,name__ay,name__az,name__bar,name__bcl,name__bi,name__bjn,name__bm,name__br,name__brh,name__bs,name__cbk_zam,name__cdo,name__ceb,name__ch,name__cho,name__chr,name__chy,name__co,name__cr,name__crh_latn,name__csb,name__de_at,name__de_ch,name__diq,name__dsb,name__dtp,name__ee,name__eml,name__eo,name__eu,name__ext,name__ff,name__fit,name__fj,name__frp,name__frr,name__fur,name__fy,name__ga,name__gag,name__gd,name__gn,name__got,name__gsw,name__ha,name__hak,name__haw,name__hif,name__hif_latn,name__ho,name__hr,name__hsb,name__ht,name__hz,name__ia,name__ie,name__ig,name__ik,name__ike_cans,name__ike_latn,name__ilo,name__io,name__iu,name__jam,name__jbo,name__jv,name__kaa,name__kab,name__kg,name__ki,name__kj,name__kk_latn,name__kk_kz,name__kk_tr,name__kr,name__krj,name__ksh,name__ku,name__la,name__lad,name__lb,name__lg,name__li,name__lij,name__lmo,name__ln,name__loz,name__lt,name__ltg,name__lus,name__lv,name__lzz,name__map_bms,name__mi,name__min,name__ms,name__mt,name__mus,name__mwl,name__na,name__nah,name__nap,name__nds,name__nds_nl,name__ng,name__nov,name__nrm,name__nso,name__nv,name__ny,name__om,name__pag,name__pam,name__pcd,name__pdc,name__pdt,name__pfl,name__pih,name__pms,name__pt_br,name__qug,name__rif,name__rm,name__rmy,name__rn,name__ro,name__roa_tara,name__rup,name__ruq,name__ruq_latn,name__rw,name__sat,name__sc,name__scn,name__sco,name__sdc,name__sei,name__sg,name__sgs,name__shi,name__shi_latn,name__sl,name__sli,name__sm,name__sma,name__sn,name__so,name__sr_el,name__srn,name__st,name__stq,name__sw,name__szl,name__tet,name__tg_latn,name__tk,name__tl,name__tn,name__to,name__tokipona,name__tpi,name__tru,name__ts,name__tt_latn,name__tum,name__ty,name__ug_latn,name__uz,name__ve,name__vec,name__vep,name__vi,name__vls,name__vmf,name__vo,name__vot,name__wa,name__war,name__wo,name__xh,name__yo,name__za,name__zea,name__zu,identifier__DNF,wikipedia__ast,identifier__BIBSYS,identifier__Britannica,identifier__GTAA,wikipedia__hi,name__hi,wikipedia__th,name__th
Q10514601,Siverth K. Heilmann,Siverth K. Heilmann,,Siverth K. Heilmann,Siverth K. Heilmann,Siverth K. Heilmann,Siverth K. Heilmann,,male,1953-08-08,,Siverth Heilmann,,,,,,,,,Siverth K. Heilmann,,,,,,,,,,,,,Siverth K. Heilmann,,,,,,,,,,,,Siverth K. Heilmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,police officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Siverth K. Heilmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Siverth K. Heilmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10566620,Kim Kielsen,Kim Kielsen,Kim Kielsen,Kim Kielsen,Kim Kielsen,Kim Kielsen,Kim Kielsen,Kim Kielsen,male,1966-11-30,Kim,Kim Kielsen,Kim Kielsen,Ким Кильсен,Кім Кельсен,Kim Kielsen,Kim Kielsen,,キム・キールセン,Kim Kielsen,Kim Kielsen,김 키엘센,كيم كيلسن,Kim Kielsen,Kim Kielsen,Kim Kielsen,金·基尔森,Kim Kielsen,Kim Kielsen,Κιμ Κίλσεν,Kim Kielsen,קים קילסן,كيم كيلسن,Kim Kielsen,Κιμ Κίλσεν,Kim Kielsen,Kim Kielsen,Kim Kielsen,Kim Kielsen,קים קילסן,Kim Kielsen,Kim Kielsen,キム・キールセン,킴 킬센,Kim Kielsen,Kim Kielsen,Kim Kielsen,"Кильсен, Ким",Kim Kielsen,Kim Kielsen,Kim Kielsen,Кім Кельсен,金·基尔森,https://upload.wikimedia.org/wikipedia/commons/e/ed/Kim_Kielsen._Nordiska_raoedets_session_i_Helsingfors_2012.jpg,,,,金·基爾森,,金·基尔森,,,Kim Kielsen,,Kim Kielsen,,,,,,,,Kim Kielsen,,Kim Kielsen,Kim Kielsen,,,Kim Kielsen,Kim Kielsen,Kim Kielsen,Category:Kim Kielsen,Kim Kielsen,,,,,,,,,,2477151535364702890001,1149936673,,,,,,http://naalakkersuisut.gl/en/Naalakkersuisut/Departments/Formandens-departement,,,,,,کیم کیلسن,کیم کیلسن,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kim Kielsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,किम किल्सन,किम किल्सन,คิม คีลเซน,คิม คีลเซน
Q11257352,Hans-Pavia Rosing,Hans-Pavia Rosing,,Hans Pavia Rosing,Hans-Pavia Rosing,Hans-Pavia Rosing,Hans-Pavia Rosing,Hans-Pavia Rosing,male,1948-06-22,,Hans-Pavia Rosing,Hans-Pavia Rosing,,,,,,,,Hans-Pavia Rosing,,,,,,,,,,,,,Hans Pavia Rosing,,,,,,,,,,,,Hans-Pavia Rosing,,,,Hans-Pavia Rosing,,,,,,,,,,,,,,,Hans-Pavia Rosing,,,,,,,,,,,Hans-Pavia Rosing,,,,,,,,,,,,,,,,,315553820,,,,,,,,,,,,,,,,politician,2018-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hans-Pavia Rosing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11278773,Anthon Frederiksen,Anthon Frederiksen,Anthon Frederiksen,Anthon Frederiksen,Anthon Frederiksen,Anthon Frederiksen,Anthon Frederiksen,Anthon Frederiksen,male,1953,Anthon,Anthon Frederiksen,,,,,,,,,Anthon Frederiksen,,,,,,,,,,,,,Anthon Frederiksen,,,,,,,,,,,,Anthon Frederiksen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anthon Frederiksen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11285650,Arkalo Abelsen,Arkalo Abelsen,,,Arkalo Abelsen,Arkalo Abelsen,Arkalo Abelsen,,male,1946-01-16,,Arkalo Abelsen,,,,,,,,,Arkalo Abelsen,,,,,,,,,,,,,,,,,,,,,,,,,Arkalo Abelsen,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/2/2d/Gronlands_miljominister_Arkalo_Abelsen_vid_Nordiska_Radets_session_i_Oslo._2007-10-31._Foto-_Magnus_Froderberg-norden.org.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Arkalo Abelsen,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arkalo Abelsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11285697,Tommy Marø,Tommy Marø,Tommy Marø,,Tommy Marø,Tommy Marø,Tommy Marø,,male,1964,Tommy,Tommy Marø,,,,,,,,,Tommy Marø,,,,,,,,,,,,,,,,,,,,,,,,,Tommy Marø,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tommy Marø,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12301609,Anda Uldum,Andreas Uldum,Anda Uldum,Andreas Uldum,Anda Uldum,Anda Uldum,Andreas Uldum,Anda Uldum,male,1979,Andreas,Andreas Uldum,Andreas Uldum,,,Anda Uldum,,,,,,,,,,,安達·奧丹姆,,,,,אנדה אולדום,,Andreas Uldum,,,,,,אנדה אולדום,,,,,,,,,,Andreas Uldum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andreas Uldum,,Andreas Uldum,,,,,,,,,,,,,,,,Uldum,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anda Uldum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12308847,Doris Jakobsen,Doris Jakobsen,,Doris J. Jensen,Doris Jakobsen,Doris Jakobsen,Doris Jakobsen,Doris J. Jensen,female,1978-10-30,Doris,Doris Jakobsen,,,,,,,,,,,,,,,,,,,,,,Doris J. Jensen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,teacher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doris Jakobsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12319207,Jens-Erik Kirkegaard,Jens-Erik Kirkegaard,,,Jens-Erik Kirkegaard,Jens-Erik Kirkegaard,Jens-Erik Kirkegaard,,male,1975-04-06,,Jens-Erik Kirkegaard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jens-Erik Kirkegaard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12328916,Niels Thomsen,Niels Thomsen,,Niels Thomsen,Niels Thomsen,Niels Thomsen,Niels Thomsen (grønlandsk politiker),,male,1981-08-18,Niels,Niels Thomsen (grønlandsk politiker),,,,,,,,,,,,,,,,,,,,,,Niels Thomsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,entrepreneur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Niels Thomsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
