id,name__en,name,wikipedia__en,gender,given_name,birth_date,death_date,identifier__freebase,family_name,image,identifier__VIAF,name__de,name__it,name__fr,name__nl,name__es,name__nb,name__da,name__nn,name__sv,wikipedia__de,wikipedia__fr,name__el,wikipedia__el,name__pl,wikipedia__commons,wikipedia__pl,name__af,name__an,name__br,name__bs,name__ca,name__ceb,name__cs,name__cy,name__eo,name__et,name__eu,name__fi,name__ga,name__gl,name__hr,name__hu,name__is,name__la,name__lb,name__lmo,name__lt,name__nds,name__nds_nl,name__pms,name__pt,name__ro,name__sk,name__sl,name__sq,name__tr,name__vec,name__wa,wikipedia__da,wikipedia__it,original_wikiname,identifier__FAST,last_seen,name__zh,name__zh_hant,name__zh_cn,identifier__Britannica,occupation,identifier__LCAuth,wikipedia__es,name__ar,name__ja
Q1148676,Cyril Romney,Cyril Romney,Cyril Romney,male,Cyril,1931-03-01,2007-07-19,/m/0d1kx0,Romney,https://upload.wikimedia.org/wikipedia/commons/f/ff/Conyers_Dill_&_Pearman_BVI.jpg,,Cyril Romney,,Cyril Romney,Cyril Romney,Cyril Romney,Cyril Romney,Cyril Romney,Cyril Romney,Cyril Romney,Cyril Romney,Cyril Romney,,,,,,,,,,,,,Cyril Romney,,,,,,,,Cyril Romney,,,,,,,,,,,,,,,,,,,Cyril Romney,,,,西里爾羅姆尼,西里尔罗姆尼,,teacher,,,,シリル・ロムニー
Q16214258,Myron Walwyn,Myron Walwyn,Myron Walwyn,male,Myron,1972-02-22,,,,,,Myron Walwyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Myron Walwyn,,,,,,,lawyer,,,,
Q16728040,Alvin Christopher,Alvin Christopher,Alvin Christopher,male,Alvin,,,,,,,Alvin Christopher,Alvin Christopher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alvin Christopher,,,,,,,,,,,
Q16844111,Omar Hodge,Omar Hodge,Omar Hodge,male,Omar,,,,,,,Omar Hodge,Omar Hodge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Omar Hodge,,,,,,,politician,,,,
Q16866678,Conrad Maduro,Conrad Maduro,Conrad Maduro,male,Conrad,,,,,,,Conrad Maduro,Conrad Maduro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Conrad Maduro,,,,,,,politician,,,,
Q16873237,Qwominer William Osborne,Qwominer William Osborne,Qwominer William Osborne,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qwominer William Osborne,,,,,,,politician,,,,
Q17198146,Julian Fraser,Julian Fraser,Julian Fraser,male,Julian,1950-07-05,,,,https://upload.wikimedia.org/wikipedia/commons/c/cb/JulianFraser.jpg,,Julian Fraser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Julian Fraser,,,,,,,,,,,
Q518666,Hamilton Lavity Stoutt,Hamilton Lavity Stoutt,Hamilton Lavity Stoutt,male,Hamilton,1929-03-07,1995-05-14,/m/0d1kt6,,,,Lavity Stoutt,,Lavity Stoutt,Lavity Stoutt,Hamilton Lavity Stoutt,Hamilton Lavity Stoutt,Hamilton Lavity Stoutt,Hamilton Lavity Stoutt,Hamilton Lavity Stoutt,Lavity Stoutt,Lavity Stoutt,Λαβίτι Στάουτ,Λαβίτι Στάουτ,,,,,,,,,,,,,,,,,,,Hamilton Lavity Stoutt,,,,,,,,,,,,,,,,,,,Hamilton Lavity Stoutt,,,,漢密爾頓·拉維提·斯托特,汉密尔顿·拉维提·斯托特,biography/Hamilton-Lavity-Stoutt,politician,,,,ハミルトン・ラヴィティ・ストウト
Q5215432,Dancia Penn,Dancia Penn,Dancia Penn,female,,1951,,/m/0d2pt6,,,,Dancia Penn,Dancia Penn,Dancia Penn,Dancia Penn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dancia Penn,,,,,,,judge,,,,ダシア・ペン
Q691131,Willard Wheatley,Willard Wheatley,Willard Wheatley,male,Willard,1915-07-16,1997-01-22,/m/0d549z,,,,Willard Wheatley,,Willard Wheatley,Willard Wheatley,Willard Wheatley,Willard Wheatley,Willard Wheatley,Willard Wheatley,Willard Wheatley,Willard Wheatley,,,,,,,,,,,,,,,,,,,,,,Willard Wheatley,,,,,,,,,,,,,,,,,,,Willard Wheatley,,,威拉德·惠特利,,,,politician,,,,ウィラード・ウィートリー
