id,name__sr,name__fr,name__el,name__en,name__de,name__sh,name__nl,name,wikipedia__commons,wikipedia__el,wikipedia__en,wikipedia__fr,wikipedia__sh,wikipedia__sr,image,gender,birth_date,given_name,original_wikiname,name__ru,name__cs,name__nb,name__da,name__nn,name__sv,wikipedia__cswikiquote,wikipedia__de,wikipedia__ru,identifier__MusicBrainz,family_name,name__ja,name__es,name__it,wikipedia__es,wikipedia__it,wikipedia__ja,identifier__freebase,name__pl,name__ie,name__hr,name__uk,wikipedia__cs,wikipedia__hr,wikipedia__ie,wikipedia__pl,wikipedia__uk,identifier__ISNI,identifier__VIAF,identifier__LCAuth,name__hu,name__ca,name__sr_ec,name__sr_el,name__en_ca,name__en_gb,name__bs,name__de_ch,name__lb,name__tr,name__lmo,name__la,name__sl,name__et,name__he,name__fi,name__vi,name__ka,name__gl,name__zh,wikipedia__bs,wikipedia__bswikiquote,wikipedia__ca,wikipedia__et,wikipedia__fi,wikipedia__gl,wikipedia__he,wikipedia__hu,wikipedia__itwikiquote,wikipedia__ka,wikipedia__la,wikipedia__lb,wikipedia__lmo,wikipedia__nl,wikipedia__no,wikipedia__plwikiquote,wikipedia__slwikiquote,wikipedia__srwikiquote,wikipedia__tr,wikipedia__vi,wikipedia__zh,wikipedia__sv,name__mk,wikipedia__mk,name__ro,death_date,identifier__BNF,name__mg,wikipedia__mg,wikipedia__ro,identifier__GND,identifier__SUDOC,name__sq,wikipedia__sq,name__bg,name__io,name__be,name__oc,wikipedia__bg,wikipedia__da,wikipedia__io,name__cy,wikipedia__sl,website,identifier__NKC,identifier__NTA,identifier__IMDB,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__ko,name__id,name__ar,name__pt,name__sk,name__hy,name__fa,wikipedia__ar,wikipedia__fa,wikipedia__hy,wikipedia__id,wikipedia__ko,wikipedia__pt,wikipedia__simple,wikipedia__sk,identifier__FIFA,wikipedia__be,twitter,identifier__AlloCine,identifier__allmovie,identifier__SFDb,name__rm,identifier__Munzinger,identifier__Britannica,facebook,identifier__moviemeter,identifier__elonet,identifier__PORT,identifier__CSFD,last_seen,identifier__DNF,identifier__SCOPE,identifier__kinopoisk,identifier__filmportal_de,wikipedia__ruwikinews,identifier__PACE,identifier__FAST,name__pt_br,wikipedia__enwikiquote,identifier__NLA,identifier__OLID,identifier__BAV,identifier__NUKAT,name__jv,name__hsb,name__mr,name__lt,name__tl,name__xmf,name__dsb,name__eo,wikipedia__dsb,wikipedia__hsb,wikipedia__jv,wikipedia__lt,wikipedia__mr,wikipedia__tl,wikipedia__xmf,name__za,name__yo,name__ms,name__ml,name__se,name__kk,name__be_tarask,name__lv,name__yue,wikipedia__be_x_old,wikipedia__eo,wikipedia__kk,wikipedia__lv,wikipedia__ml,wikipedia__ms,wikipedia__se,wikipedia__yo,wikipedia__za,wikipedia__zh_yue,name__rmy,wikipedia__rmy,name__eu,name__gd,name__sw,name__bn,name__br,name__pnb,name__sah,name__az,name__an,name__nan,name__pms,name__hi,name__ku,name__ilo,name__bxr,name__ur,name__ga,name__sco,name__kn,name__pa,name__ia,wikipedia__an,wikipedia__az,wikipedia__azwikiquote,wikipedia__bn,wikipedia__br,wikipedia__bxr,wikipedia__eswikisource,wikipedia__eu,wikipedia__ga,wikipedia__gd,wikipedia__hi,wikipedia__hrwikiquote,wikipedia__hrwikisource,wikipedia__ia,wikipedia__ilo,wikipedia__kn,wikipedia__ku,wikipedia__nn,wikipedia__oc,wikipedia__pa,wikipedia__pms,wikipedia__pnb,wikipedia__ptwikiquote,wikipedia__ruwikisource,wikipedia__sah,wikipedia__sco,wikipedia__simplewikiquote,wikipedia__skwikiquote,wikipedia__sw,wikipedia__trwikiquote,wikipedia__ukwikiquote,wikipedia__ur,wikipedia__zh_min_nan,identifier__CiNii,identifier__NDL,identifier__SBN_it,identifier__DBNL,identifier__SELIBR,identifier__NLI,identifier__BNE,identifier__PTBNP,identifier__NNDB,identifier__CANTIC,identifier__KLfG,identifier__EGAXA,identifier__NSK,identifier__N6I,wikipedia__enwikisource,identifier__GNC,identifier__GTAA,wikipedia__srwikisource,identifier__britishmuseum,identifier__bigenc_ru,identifier__goodreads,wikipedia__fawikiquote,occupation,identifier__nobel_prize,identifier__BiblioNet,wikipedia__srwikinews,wikipedia__tt,name__tt,wikipedia__ba,name__ba,wikipedia__bewikiquote,name__ast,name__ext,identifier__rotten_tomatoes,identifier__CONOR,name__fo,name__is,name__kl,name__af,name__bar,name__bm,name__co,name__de_at,name__frc,name__frp,name__fur,name__gsw,name__jam,name__kab,name__kg,name__li,name__lij,name__min,name__nap,name__nds,name__nds_nl,name__nrm,name__pap,name__pcd,name__prg,name__rgn,name__sc,name__scn,name__vec,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu,wikipedia__viwikiquote,wikipedia__azb,name__azb,identifier__whoswho_france,identifier__BIBSYS,name__ace,identifier__ne_se,wikipedia__hrwiktionary,wikipedia__ltwikiquote,identifier__LNB,identifier__NLP,wikipedia__cy,wikipedia__bgwikiquote,wikipedia__myv,name__lfn,name__myv,identifier__discogs,honorific_suffix,identifier__nyt_topic,wikipedia__tg,name__tg
Q10843366,Зорана Михајловић,Zorana Mihajlović,,Zorana Mihajlović,,Zorana Mihajlović,Zorana Mihajlović,Zorana Mihajlović,Category:Zorana Mihajlović,,Zorana Mihajlović,Zorana Mihajlović,Zorana Mihajlović,Зорана Михајловић,https://upload.wikimedia.org/wikipedia/commons/4/41/Zorana_Mihajlović_Crop.JPG,female,1970-05-05,Zorana,Zorana Mihajlović,,,,,,,,,,,Mihajlović,,,Zorana Mihajlović,,Zorana Mihajlović,,/m/0kfwq38,Zorana Mihajlović,Zorana Mihajlović,,Зорана Михайлович,,,Zorana Mihajlović,Zorana Mihajlović,Зорана Михайлович,,,,,,,,Zorana Mihajlović,Zorana Mihajlović,,,,,,,Zorana Mihajlović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zorana.mihajlovic.773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11016614,Гордана Поп Лазић,Gordana Pop-Lazić,,Gordana Pop-Lazić,Gordana Pop-Lazić,Gordana Pop-Lazić,,Gordana Pop-Lazić,,,,,Gordana Pop-Lazić,Гордана Поп Лазић,,female,1956-04-05,Gordana,Гордана Поп Лазић,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gordana Pop-Lazić,,,,,,,,,,,,Gordana Pop-Lazić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gordana Pop-Lazić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11074974,Александар Вулин,Aleksandar Vulin,Αλεξάνταρ Βουλίν,Aleksandar Vulin,Aleksandar Vulin,Aleksandar Vulin,Aleksandar Vulin,Aleksandar Vulin,Category:Aleksandar Vulin,Αλεξάνταρ Βουλίν,Aleksandar Vulin,Aleksandar Vulin,Aleksandar Vulin,Александар Вулин,https://upload.wikimedia.org/wikipedia/commons/c/ce/Aleksandar_Vulin_Crop.jpg,male,1972-10-02,Aleksandar,Aleksandar Vulin,"Вулин, Александр",Aleksandar Vulin,,,,,,,"Вулин, Александр",,,,Aleksandar Vulin,Aleksandar Vulin,,Aleksandar Vulin,,/m/0r8lf11,Aleksandar Vulin,Aleksandar Vulin,Aleksandar Vulin,Александар Вулін,Aleksandar Vulin,Aleksandar Vulin,Aleksandar Vulin,Aleksandar Vulin,Александар Вулін,0000 0000 5370 9313,19409915,no2005043543,Aleksandar Vulin,,,,,,,,,,,,Aleksandar Vulin,Aleksandar Vulin,,,,,,,,,,Aleksandar Vulin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1192059,Славица Ђукић Дејановић,Slavica Đukić Dejanović,,Slavica Đukić Dejanović,Slavica Đukić Dejanović,Slavica Đukić-Dejanović,Slavica Đukić Dejanović,Slavica Đukić Dejanović,Category:Slavica Đukić-Dejanović,,Slavica Đukić Dejanović,Slavica Đukić Dejanović,Slavica Đukić-Dejanović,Славица Ђукић-Дејановић,https://upload.wikimedia.org/wikipedia/commons/c/c0/Slavica_Djukic_Dejanovic_(1).jpg,female,1951-07-04,Slavica,Славица Ђукић-Дејановић,"Джукич-Деянович, Славица",Slavica Djukićová Dejanovićová,Slavica Đukić-Dejanović,Slavica Đukić-Dejanović,Slavica Đukić-Dejanović,Slavica Đukić-Dejanović,,Slavica Đukić Dejanović,"Джукич-Деянович, Славица",,,スラビツァ・ジューキチ・デヤノビッチ,,Slavica Đukić Dejanović,,Slavica Đukić Dejanović,,/m/04cqlxs,Slavica Đukić-Dejanović,,Slavica Đukić-Dejanović,,Slavica Djukićová Dejanovićová,Slavica Đukić-Dejanović,,Slavica Đukić Dejanović,,,305739686,,,,Славица Ђукић Дејановић,Slavica Đukić Dejanović,,,,,,Slavica Đukić Dejanović,,,Slavica Đukić-Dejanović,,,,Slavica Đukić Dejanović,სლავიცა ჯუკიჩ-დეიანოვიჩი,,,,,,,,,,,,სლავიცა ჯუკიჩ-დეიანოვიჩი,,,,Slavica Đukić Dejanović,,,,,Slavica Đukić Dejanović,Slavica Đukić Dejanović,,,,,,,,,,,,,,,,,Славіца Джукіч-Дэянавіч,,,,,,,,,,,,斯拉維察·久基奇·德亞諾維奇,,斯拉维察·久基奇·德亚诺维奇,,,슬라비차 주키치 데야노비치,,سلافيتسا جوكيتش ديانوفيتش,,,,,سلافيتسا جوكيتش ديانوفيتش,,,,슬라비차 주키치 데야노비치,,,,,Славіца Джукіч-Дэянавіч,predsednicaNSRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,258193251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12068119,,Zoran Šami,,Zoran Šami,Zoran Šami,,,Zoran Šami,Category:Zoran Šami,,Zoran Šami,,,,https://upload.wikimedia.org/wikipedia/commons/a/a0/Zoran_Šami.jpg,male,1948,Zoran,Zoran Šami,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000 0004 2067 1290,305472275,,,,,,,,,,,,,,Zoran Šami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-09-04,,,,,,,Zoran Shami,Zoran Shami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000013636,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1242559,Балинт Пастор,Bálint Pásztor,,Bálint Pásztor,,,Balint Pastor,Bálint Pásztor,,,Bálint Pásztor,Bálint Pásztor,,Балинт Пастор,https://upload.wikimedia.org/wikipedia/commons/8/80/Balint_Pastor.jpg,male,1979-01-03,Bálint,Balint Pastor,,,,,,,,,,,,,,,,,,,Bálint Pásztor,,,,,,,Bálint Pásztor,,,,,Pásztor Bálint,,,,,,,,,,,,Bálint Pásztor,,,,,,,,,,,,,,,Pásztor Bálint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.pasztorbalint.rs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1252125,Драган Николић,Dragan Nikolić,,Dragan Nikolić,Dragan Nikolić,Dragan Nikolić,Dragan Nikolić,Dragan Nikolić,Category:Dragan Nikolić,,Dragan Nikolić,Dragan Nikolić,Dragan Nikolić,Драган Николић,https://upload.wikimedia.org/wikipedia/commons/b/b4/Dragan_Nikolić.jpg,male,1943-07-20,Dragan,Dragan Nikolić,"Николич, Драган",,Dragan Nikolić,Dragan Nikolić,Dragan Nikolić,Dragan Nikolić,,Dragan Nikolić,"Николич, Драган",,Nikolić,ドラガン・ニコリッチ,Dragan Nikolić,,,,,,,,Dragan Nikolić,Драган Ніколич,,Dragan Nikolić,,,Драган Николич,0000 0000 7825 3869,87283498,no2006116431,Dragan Nikolić,,Драган Николић,Dragan Nikolić,Dragan Nikolić,Dragan Nikolić,Dragan Nikolić,,,,,,Dragan Nikolić,Dragan Nikolić,,,,,,,Dragan Nikolić,,,Dragan Nikolić,,,,,,,,,,,,,,,,,,,Драган Николиќ,Драган Николиќ,Dragan Nikolić,2016-03-11,16901740z,,,,1031462686,17094865X,,,,,,,,,,,Dragan Nikolić,,xx0185790,,,,,,,,,,,دراغان نيكوليتش,,,Դրագան Նիկոլիչ,دراگان نیکولیچ,دراغان نيكوليتش,دراگان نیکولیچ,Դրագան Նիկոլիչ,,,,Dragan Nikolić,,,,,31436,p122108,89262,,,,,,,13684,35233,,30308,,,,,,,,,40008738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XX1556135,,,a12243176,,,,,,,,,,,,,stage actor,,,,,,Драган Николич,Драган Николич,,,,,9112419,Dragan Nikolić,,Dragan Nikolić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Николич, Драган",,"Николич, Драган",,,,,
Q1252153,Драган Марковић Палма,Dragan Marković,,Dragan Marković,Dragan Marković,Dragan Marković,Dragan Marković,Dragan Marković,Category:Dragan Marković,,Dragan Marković,Dragan Marković,Dragan Marković,Драган Марковић Палма,https://upload.wikimedia.org/wikipedia/commons/5/55/Dragan_Marković_Palma_&_Boris_Tadić.jpg,male,1960-05-02,Dragan,Dragan Marković (politician),Драган Маркович,,Dragan Marković,Dragan Marković,Dragan Marković,Dragan Marković,,,,,Marković,,,,,,,,Dragan Marković,,Dragan Marković,,,Dragan Marković (političar),,Dragan Marković,,,,,,,Драган Марковић Палма,Dragan Marković Palma,,,,,,,,,Dragan Marković,,,,,,,,,,,,,,,,,,,,,,,,,Драган Марковић,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Դրագան Մարկովիչ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1252375,Маријан Ристичевић,Marijan Rističević,,Marijan Rističević,,Marijan Rističević,Marijan Rističević,Marijan Rističević,,,Marijan Rističević,Marijan Rističević,Marijan Rističević,Маријан Ристичевић,https://upload.wikimedia.org/wikipedia/commons/3/36/Marijan_Rističević.jpg,male,1958-03-01,Marijan,Маријан Ристичевић,,,,,,,,,,,,,,,,,,/m/035m3w,Marijan Rističević,,,,,,,Marijan Rističević,,,,,,,Маријан Ристичевић,Marijan Rističević,,,,,,,,,Marijan Rističević,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1253326,Весна Пешић,Vesna Pešić,,Vesna Pešić,Vesna Pešić,Vesna Pešić,Vesna Pešić,Vesna Pešić,Category:Vesna Pešić,,Vesna Pešić,Vesna Pešić,Vesna Pešić,Весна Пешић,https://upload.wikimedia.org/wikipedia/commons/a/a7/Flickr_-_boellstiftung_-_Vesna_Pesic.jpg,female,1940-05-06,Vesna,Vesna Pešić,,Vesna Pešić,Vesna Pešić,Vesna Pešić,Vesna Pešić,Vesna Pešić,,,,,Pešić,,Vesna Pešić,Vesna Pešić,,,,/m/09yt1k,Vesna Pešić,Vesna Pešić,Vesna Pešić,,,Vesna Pešić,,Vesna Pešić,,0000 0004 4646 1953,79206671,n91003253,Vesna Pešić,Vesna Pešić,Весна Пешић,Vesna Pešić,Vesna Pešić,Vesna Pešić,,Vesna Pešić,Vesna Pešić,Vesna Pešić,,,Vesna Pešić,Vesna Pešić,,Vesna Pešić,Vesna Pešić,,Vesna Pešić,,,,,,,,,,,,,,,,,,,,,,,,,,Vesna Pešić,,150631541,Vesna Pešić,,,120030179,112605737,,,,Vesna Pešić,,Vesna Pešić,,,,Vesna Pešić,,,,30794607X,,,,,,,,,Vesna Pešić,,Vesna Pešić,Vesna Pešić,,,,,,,,,,,,,,,,,Vesna Pešić,,,,,,,,,,,,,,,280269,Vesna Pešić,,,,,n2008038566,,,,Vesna Pešić,,,,Vesna Pešić,,,,,,,,,,Vesna Pešić,,,,,Vesna Pešić,,,,,,,,,,,,,,Vesna Pešić,Vesna Pešić,Vesna Pešić,,Vesna Pešić,,,,Vesna Pešić,,Vesna Pešić,,,,,,Vesna Pešić,Vesna Pešić,,,Vesna Pešić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141333,,,,,,politician,,,,,,,,,Vesna Pešić,,,23754595,,,,Vesna Pešić,Vesna Pešić,Vesna Pešić,Vesna Pešić,Vesna Pešić,Vesna Pešić,Vesna Pešić,Vesna Pešić,Vesna Pešić,Vesna Pešić,Vesna Pešić,Vesna Pešić,Vesna Pešić,Vesna Pešić,Vesna Pešić,Vesna Pešić,Vesna Pešić,Vesna Pešić,Vesna Pešić,Vesna Pešić,Vesna Pešić,Vesna Pešić,Vesna Pešić,Vesna Pešić,Vesna Pešić,Vesna Pešić,Vesna Pešić,Vesna Pešić,Vesna Pešić,Vesna Pešić,Vesna Pešić,Vesna Pešić,,,,,,,,,,,,,,,,,,,,,
Q1254594,Драган Јочић,Dragan Jočić,Ντράγκαν Γιόσιτς,Dragan Jočić,Dragan Jočić,Dragan Jočić,Dragan Jočić,Dragan Jočić,Category:Dragan Jočić,Ντράγκαν Γιόσιτς,Dragan Jočić,Dragan Jočić,Dragan Jočić,Драган Јочић,https://upload.wikimedia.org/wikipedia/commons/0/04/DraganJocicCrop.jpg,male,1960-09-07,Dragan,Dragan Jočić,,,Dragan Jočić,Dragan Jočić,Dragan Jočić,Dragan Jočić,,Dragan Jočić,,,Jočić,ドラガン・ヨチッチ,Dragan Jočić,,,,,/m/02x4j6,,,Dragan Jočić,,,Dragan Jočić,,,,,,,Dragan Jočić,,,,Dragan Jočić,Dragan Jočić,,Dragan Jočić,,,,,Dragan Jočić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1254638,Драган Тодоровић,Dragan Todorović,,Dragan Todorović,Dragan Todorović,,Dragan Todorović,Dragan Todorović,,,Dragan Todorović (politician),"Dragan Todorović (homme politique, 1953)",,Драган Тодоровић,https://upload.wikimedia.org/wikipedia/commons/b/b8/Dragan_Todorović.jpg,male,1953-01-25,Dragan,Dragan Todorović (politician),"Тодорович, Драган",,Dragan Todorović,Dragan Todorović,Dragan Todorović,Dragan Todorović,,Dragan Todorović,"Тодорович, Драган",,Todorović,,Dragan Todorović,Dragan Todorović,,,,/m/04ld7xg,Dragan Todorović,,Dragan Todorović,,,Dragan Todorović,,Dragan Todorović,,,2486148209305600460001,no2016152044,Dragan Todorović,,,,,,,,,,,,Dragan Todorović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Драган Тодорович,,,,Драган Тодорович (политик),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1254664,Драган Шутановац,Dragan Šutanovac,Ντράγκαν Σουτάνοβατς,Dragan Šutanovac,Dragan Šutanovac,,Dragan Šutanovac,Dragan Šutanovac,Category:Dragan Šutanovac,Ντράγκαν Σουτάνοβατς,Dragan Šutanovac,Dragan Šutanovac,,Драган Шутановац,https://upload.wikimedia.org/wikipedia/commons/c/c5/Dragan_Šutanovac_091201-D-9880W-025.jpg,male,1968-07-24,Dragan,Dragan Šutanovac,,,Dragan Šutanovac,Dragan Šutanovac,Dragan Šutanovac,Dragan Šutanovac,,Dragan Šutanovac,,,Šutanovac,,,,,,,/m/02r5g78,Dragan Šutanovac,,Dragan Šutanovac,,,Dragan Šutanovac,,Dragan Šutanovac,,,,,,,,,Dragan Šutanovac,Dragan Šutanovac,Dragan Šutanovac,Dragan Šutanovac,,,,,Dragan Šutanovac,,,,,,,,Dragan Šutanovac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SutanovacDragan,,,,,,,dragan.sutanovac.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1254775,Драгољуб Мићуновић,Dragoljub Mićunović,,Dragoljub Mićunović,Dragoljub Mićunović,Dragoljub Mićunović,Dragoljub Mićunović,Dragoljub Mićunović,Category:Dragoljub Mićunović,,Dragoljub Mićunović,Dragoljub Mićunović,Dragoljub Mićunović,Драгољуб Мићуновић,https://upload.wikimedia.org/wikipedia/commons/1/1b/Dragoljub_Mićunović_profile_photo.jpg,male,1930-06-14,Dragoljub,Dragoljub Mićunović,,,,,,,,Dragoljub Mićunović,,,,,Dragoljub Mićunović,,,,,/m/0gbx1b,Dragoljub Mićunović,,Dragoljub Mićunović,,,Dragoljub Mićunović,,Dragoljub Mićunović,,0000 0003 7394 6334,79135853,n91033473,Dragoljub Mićunović,,Драгољуб Мићуновић,Dragoljub Mićunović,,,,,,,,,Dragoljub Mićunović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12968831n,,,,127195629,118440241,,,,,,,,,,,,,,236255088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1499265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,philosopher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
