id,name__is,name__en,name__fr,name,wikipedia__commons,wikipedia__is,image,gender,birth_date,given_name,original_wikiname,name__eo,name__de,name__nl,name__nb,name__es,name__ja,name__hu,wikipedia__de,wikipedia__en,wikipedia__eo,wikipedia__ja,wikipedia__no,identifier__VIAF,identifier__GND,identifier__freebase,name__en_gb,wikipedia__iswikiquote,name__ru,name__pt,name__la,name__sv,name__it,name__pl,name__be,name__zh,name__da,name__nn,name__he,wikipedia__be,wikipedia__da,wikipedia__es,wikipedia__fr,wikipedia__he,wikipedia__it,wikipedia__la,wikipedia__nl,wikipedia__pl,wikipedia__pt,wikipedia__ru,wikipedia__sv,wikipedia__zh,identifier__LCAuth,wikipedia__iswikisource,identifier__ISNI,identifier__BNF,identifier__SUDOC,death_date,identifier__OLID,identifier__SELIBR,identifier__CERL,identifier__FAST,identifier__IMDB,identifier__allmovie,identifier__SFDb,identifier__DNF,identifier__britishmuseum,name__ca,name__de_ch,name__el,name__en_ca,name__cs,name__et,name__lb,name__pt_br,name__uk,name__fi,name__oc,name__sr,name__tr,name__mk,name__ie,name__ko,wikipedia__ca,wikipedia__cs,wikipedia__el,wikipedia__et,wikipedia__fi,wikipedia__hu,wikipedia__ie,wikipedia__ko,wikipedia__lb,wikipedia__oc,wikipedia__simple,wikipedia__sr,wikipedia__tr,wikipedia__uk,website,identifier__NTA,family_name,identifier__moviemeter,name__lt,wikipedia__lt,identifier__Gutenberg,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__gl,name__id,name__ga,name__ar,name__ro,name__io,name__tl,name__sk,name__fo,name__vo,name__br,name__cy,wikipedia__ar,wikipedia__br,wikipedia__fo,wikipedia__ga,wikipedia__gl,wikipedia__id,wikipedia__io,wikipedia__nn,wikipedia__ro,wikipedia__tl,wikipedia__vo,identifier__NUKAT,name__mr,wikipedia__mr,name__bg,name__fa,wikipedia__bg,wikipedia__cy,wikipedia__fa,identifier__Munzinger,name__ka,name__gv,name__kk,wikipedia__gv,wikipedia__ka,wikipedia__kk,identifier__NPG,name__fy,wikipedia__fy,identifier__GTAA,name__bs,name__uz,name__ms,name__hr,name__nan,name__nah,name__yo,name__lv,name__vi,name__sh,name__sco,wikipedia__bs,wikipedia__hr,wikipedia__lv,wikipedia__mk,wikipedia__ms,wikipedia__nah,wikipedia__sco,wikipedia__sh,wikipedia__sk,wikipedia__uz,wikipedia__vi,wikipedia__yo,wikipedia__zh_min_nan,name__sl,wikipedia__cswikiquote,wikipedia__sl,twitter,name__be_tarask,wikipedia__be_x_old,name__eu,wikipedia__eu,identifier__MGP,name__gd,name__ce,name__hi,name__nds,name__lmo,name__yue,wikipedia__ce,wikipedia__gd,wikipedia__hi,wikipedia__lmo,wikipedia__nds,wikipedia__plwikiquote,wikipedia__zh_yue,name__vmf,wikipedia__ruwikinews,name__af,name__an,name__ast,name__bar,name__bm,name__co,name__de_at,name__frc,name__frp,name__fur,name__gsw,name__ia,name__jam,name__kab,name__kg,name__li,name__lij,name__mg,name__min,name__nap,name__nds_nl,name__nrm,name__pap,name__pcd,name__pms,name__prg,name__rgn,name__rm,name__sc,name__scn,name__sr_el,name__sw,name__vec,name__vls,name__wa,name__wo,name__zu,facebook,identifier__NNDB,wikipedia__af,name__se,identifier__kinopoisk,identifier__PACE,wikipedia__bar,identifier__Britannica,name__ceb,name__dsb,name__eml,name__frr,name__hsb,name__mt,name__sq,occupation,identifier__parlement,name__kl,identifier__bigenc_ru,identifier__ne_se,identifier__google_knowledge,wikipedia__trwikinews,identifier__CONOR,identifier__quora,name__hy,wikipedia__ast,identifier__BIBSYS,name__ace,identifier__BAV,name__tt,wikipedia__tt,identifier__NLP,identifier__LNB,identifier__NDL,name__no,email,identifier__BNE,name__ml,wikipedia__ml,name__lfn,identifier__NLAtrove,name__aa,name__ak,name__aln,name__ang,name__arn,name__ay,name__az,name__bcl,name__bi,name__bjn,name__brh,name__cbk_zam,name__cdo,name__ch,name__cho,name__chr,name__chy,name__cr,name__crh_latn,name__csb,name__diq,name__dtp,name__ee,name__ext,name__ff,name__fit,name__fj,name__gag,name__gn,name__got,name__ha,name__hak,name__haw,name__hif_latn,name__ho,name__ht,name__hz,name__ig,name__ik,name__ike_latn,name__ilo,name__iu,name__jbo,name__jv,name__kaa,name__ki,name__kj,name__kk_latn,name__kk_tr,name__kr,name__krj,name__ksh,name__ku,name__lad,name__lg,name__ln,name__loz,name__ltg,name__lus,name__lzz,name__map_bms,name__mi,name__mus,name__mwl,name__na,name__ng,name__nov,name__nso,name__nv,name__ny,name__om,name__pag,name__pam,name__pdc,name__pdt,name__pfl,name__pih,name__qu,name__qug,name__rif,name__rmy,name__rn,name__roa_tara,name__rup,name__ruq_latn,name__rw,name__sat,name__sdc,name__sei,name__sg,name__sgs,name__shi_latn,name__sli,name__sm,name__sma,name__sn,name__so,name__srn,name__st,name__stq,name__szl,name__tet,name__tg_latn,name__tk,name__tn,name__to,name__tpi,name__tru,name__ts,name__tt_latn,name__tum,name__ty,name__ug_latn,name__ve,name__vep,name__vot,name__war,name__xh,name__za,name__zea,wikipedia__qu,name__hif,name__ike_cans,name__kk_kz,name__ruq,name__shi,name__tokipona,wikipedia__dawikisource,identifier__nlg,identifier__NKC
Q1019571,Bólu-Hjálmar,Bólu-Hjálmar,Bólu-Hjálmar,Bólu-Hjálmar,Category:Bólu-Hjálmar,Bólu-Hjálmar,,male,1796-09-29,,Hjálmar Jónsson,,Bólu-Hjálmar,Bólu-Hjálmar,,Bólu-Hjálmar,,,Bólu-Hjálmar,Bólu-Hjálmar,,,,31080889,135815517,,,,,,,Bólu-Hjálmar,,,,,,,,,,,,,,,,,,,Bólu-Hjálmar,,n88064896,Höfundur:Bólu-Hjálmar,0000 0000 8705 0414,,171157702,1875-07-25,OL5010012A,189442,cnp01145734,236736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bólu-Hjálmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biography/Hjalmar-Jonsson,,,,,,,,poet,,,,hjalmar-jonsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q10313820,Pawel Bartoszek,Pawel Bartoszek,Pawel Bartoszek,Pawel Bartoszek,,Pawel Bartoszek,https://upload.wikimedia.org/wikipedia/commons/7/75/Pawel_Bartoszek_(2011)_(cropped).jpg,male,1980-09-25,Pawel,Pawel Bartoszek,,Pawel Bartoszek,Pawel Bartoszek,,,,,,Pawel Bartoszek,,,,,,,,Pawel Bartoszek,,,,,,Paweł Bartoszek,,,,,,,,,,,,,,Paweł Bartoszek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pawel Bartoszek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1036680,Guðni Ágústsson,Guðni Ágústsson,Guðni Ágústsson,Guðni Ágústsson,,Guðni Ágústsson,,male,1949-04-09,Guðni,Guðni Ágústsson,Guðni Ágústsson,Guðni Ágústsson,Guðni Ágústsson,,,,,,Guðni Ágústsson,Guðni Ágústsson,,,102922784,,,,Guðni Ágústsson,,,,,,Guðni Ágústsson,,,Guðni Ágústsson,,,,Guðni Ágústsson,,,,,,,Guðni Ágústsson,,,,,,,0000 0000 7275 5702,,,,,,,,,,,,,,,,,,,,,,,,,,,,귀드니 아우구스트손,,,,,,,,귀드니 아우구스트손,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guðni Ágústsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11004581,Guðmundur Árni Stefánsson,Guðmundur Árni Stefánsson,Guðmundur Árni Stefánsson,Guðmundur Árni Stefánsson,,Guðmundur Árni Stefánsson,,male,1955-10-31,Guðmundur,Guðmundur Árni Stefánsson,Guðmundur Árni Stefánsson,Guðmundur Árni Stefánsson,Guðmundur Árni Stefánsson,Guðmundur Árni Stefánsson,Guðmundur Árni Stefánsson,,Guðmundur Árni Stefánsson,,Guðmundur Árni Stefánsson,Guðmundur Árni Stefánsson,,,4049893,,,,,,,,Guðmundur Árni Stefánsson,,,,,Guðmundur Árni Stefánsson,Guðmundur Árni Stefánsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guðmundur Árni Stefánsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guðmundur Árni Stefánsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q121693,Svava Jakobsdóttir,Svava Jakobsdóttir,Svava Jakobsdóttir,Svava Jakobsdóttir,,Svava Jakobsdóttir,,female,1930-10-04,Svava,Svava Jakobsdóttir,Svava Jakobsdóttir,Svava Jakobsdóttir,Svava Jakobsdóttir,Svava Jakobsdóttir,Svava Jakobsdóttir,,Svava Jakobsdóttir,Svava Jakobsdóttir,Svava Jakobsdóttir,Svava Jakobsdóttir,,,70090690,132448025,/m/091ydd,,,,,,Svava Jakobsdóttir,,Svava Jakobsdóttir,,,Svava Jakobsdóttir,Svava Jakobsdóttir,,,Svava Jakobsdóttir,,Svava Jakobsdóttir,,,,,Svava Jakobsdóttir,,,Svava Jakobsdóttir,,n88065716,,0000 0000 7829 568X,11988989h,027959376,2004-02-21,,199495,,225881,,,,,,Svava Jakobsdóttir,,,,,,,,,Svava Jakobsdóttir,Svava Jakobsdóttir,,,,,,,,,,,,,,,,,,,,,073991600,,,,,,,,,,,,Svava Jakobsdóttir,,,,,,,,,,,Svava Jakobsdóttir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Svava Jakobsdóttir,,,,,,Svava Jakobsdóttir,Svava Jakobsdóttir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,svava-jakobsdottir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12347563,Eysteinn Jónsson,Eysteinn Jónsson,Eysteinn Jónsson,Eysteinn Jónsson,,Eysteinn Jónsson,,male,1906-11-13,Eysteinn,Eysteinn Jónsson,Eysteinn Jónsson,Eysteinn Jónsson,Eysteinn Jónsson,,,,,,Eysteinn Jónsson,Eysteinn Jónsson,,,309561608,1051924138,,,,,,,,,,,,Eysteinn Jónsson,,,,Eysteinn Jónsson,,,,,,,,,,,,,,,,,1993-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eysteinn Jónsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12348409,Guðmundur J. Guðmundsson,Guðmundur J. Guðmundsson,Guðmundur J. Guðmundsson,Guðmundur J. Guðmundsson,,Guðmundur J. Guðmundsson,,male,1927-01-22,Guðmundur,Guðmundur J. Guðmundsson,,Guðmundur J. Guðmundsson,Guðmundur J. Guðmundsson,,,,,,,,,,26950632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nr95004229,,,,,1997-06-12,,,,1520586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guðmundur J. Guðmundsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12352175,Magnús Kristjánsson,Magnús Kristjánsson,Magnús Kristjánsson,Magnús Kristjánsson,,Magnús Kristjánsson,,male,1862-04-18,Magnús,Magnús Kristjánsson,Magnús Kristjánsson,,Magnús Kristjánsson,,,,,,,Magnús Kristjánsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1928-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magnús Kristjánsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12357244,Ólafur Garðar Einarsson,Ólafur Garðar Einarsson,Ólafur Garðar Einarsson,Ólafur Garðar Einarsson,,,,male,1932-07-07,Ólafur,Ólafur Einarsson,Ólafur G. Einarsson,Ólafur Garðar Einarsson,Ólafur Garðar Einarsson,,,,,,Ólafur Garðar Einarsson,Ólafur G. Einarsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ólafur Garðar Einarsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12357271,Þorsteinn Briem,Þorsteinn Briem,Þorsteinn Briem,Þorsteinn Briem,,Þorsteinn Briem (f. 1885),,male,1885-07-03,Þorsteinn,Þorsteinn Briem (f. 1885),Þorsteinn Briem,,Þorsteinn Briem,,,,,,,Þorsteinn Briem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1949-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Briem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Þorsteinn Briem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
