id,name,name__ru,name__kk,name__pl,name__en,name__nl,name__de,wikipedia__de,wikipedia__kk,wikipedia__pl,wikipedia__ru,gender,birth_date,occupation,original_wikiname,death_date,name__fr,name__uz,name__uk,wikipedia__uk,wikipedia__uz,identifier__VIAF,identifier__GND,identifier__LCAuth,identifier__NUKAT,identifier__ISNI,identifier__NTA,image,family_name,name__sv,name__nb,name__nn,wikipedia__sv,name__ja,name__kk_arab,name__kk_cyrl,name__kk_latn,name__es,wikipedia__en,wikipedia__ja,identifier__freebase,name__ky,name__tr,name__az,wikipedia__az,wikipedia__fr,wikipedia__ky,wikipedia__tr,identifier__FAST,given_name,identifier__LNB,name__ar,wikipedia__ar,name__fi,wikipedia__fi,website,twitter,name__pt,name__sk,name__tg_latn,name__it,name__cs,name__bg,name__kk_cn,name__kk_tr,name__kk_kz,name__tg,name__fa,name__ms,name__hu,name__mg,name__ps,name__cv,wikipedia__bg,wikipedia__commons,wikipedia__cs,wikipedia__cv,wikipedia__fa,wikipedia__hu,wikipedia__it,wikipedia__mg,wikipedia__ms,wikipedia__nl,wikipedia__ps,wikipedia__pt,wikipedia__sk,wikipedia__tg,name__cy,name__et,wikipedia__es,wikipedia__et,name__el,name__en_ca,name__en_gb,wikipedia__el,identifier__google_knowledge,identifier__BIBSYS,name__ro,name__hy,name__be,name__eu,name__zh,name__sq,name__zh_hant,name__zh_cn,name__ml,name__hr,wikipedia__be,wikipedia__hr,wikipedia__hy,wikipedia__ml,wikipedia__ro,wikipedia__ruwikiquote,wikipedia__sq,wikipedia__zh,name__zh_hans
Q1087691,Заманбек Қалабайұлы Нұрқаділов,"Нуркадилов, Заманбек Калабаевич",Заманбек Қалабайұлы Нұрқаділов,,Zamanbek Nurkadilov,Zamanbek Nurkadilov,Samanbek Nurqadilow,Samanbek Nurqadilow,Заманбек Қалабайұлы Нұрқаділов,,"Нуркадилов, Заманбек Калабаевич",male,1944-01-15,politician,"Нуркадилов, Заманбек Калабаевич",2005-11-12,Zamanbek Nurkadilov,,,,,,,,,,,,,,,,,ザマンベック・ヌルカディロフ,زامانبەك قالابايۇلى نۇرقادىلوۆ,Заманбек Қалабайұлы Нұрқаділов,Zamanbek Qalabaýulı Nurqadilov,Zamanbek Nurkadilov,Zamanbek Nurkadilov,ザマンベック・ヌルカディロフ,/m/0ksg2v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zamanbek Nurkadilov,,,,,,,,,,,,,,,,,,Zamanbek Nurkadilov,,,,Ζαμανμπέκ Νουρκαντίλοφ,Zamanbek Nurkadilov,Zamanbek Nurkadilov,Ζαμανμπέκ Νουρκαντίλοφ,,,,,,,,,,,,,,,,,,,,,
Q12527179,Азамат Рахатұлы Әбілдаев,,Азамат Рахатұлы Әбілдаев,,,,,,Азамат Рахатұлы Әбілдаев,,,male,1972,,Азамат Рахатұлы Әбілдаев,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12527641,"Айталы, Амангелді Әбдірахманұлы","Айталы, Амангельды Абдрахманович","Айталы, Амангелді Әбдірахманұлы",,,,,,Амангелді Әбдірахманұлы Айталы,,"Айталы, Амангельды Абдрахманович",male,1939-09-10,scientist,"Айталы, Амангельды Абдрахманович",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12528144,Алдан Смайыл Зейноллаұлы,,Алдан Смайыл Зейноллаұлы,,,,,,Алдан Зейноллаұлы Смайыл,,,,1946-10-03,writer,Алдан Зейноллаұлы Смайыл,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12529256,Андрей Анатольевич Бегенеев,,Андрей Анатольевич Бегенеев,,,,,,Андрей Анатольевич Бегенеев,,,male,1961,,Андрей Анатольевич Бегенеев,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12534167,Бауыржан Амангелдіұлы Смайылов,Бауыржан Амангельдинович Смаилов,Бауыржан Амангелдіұлы Смайылов,,,,,,Бауыржан Амангелдіұлы Смайылов,,"Смаилов, Бауыржан Амангельдинович",male,1967-03-23,entrepreneur,"Смаилов, Бауыржан Амангельдинович",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12534345,Бағила Бірмағамбетқызы Баймағамбетова,,Бағила Бірмағамбетқызы Баймағамбетова,,,,,,Бағила Бірмағамбетқызы Баймағамбетова,,,female,1951-02-10,,Бағила Бірмағамбетқызы Баймағамбетова,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12534778,Бекболат Қанайұлы Тілеухан,"Тлеухан, Бекболат Канаевич",Бекболат Қанайұлы Тілеухан,,,,,,Бекболат Қанайұлы Тілеухан,,"Тлеухан, Бекболат Канаевич",male,1966-08-07,singer,"Тлеухан, Бекболат Канаевич",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12535885,Болат Кайроллаұлы Қонарбай,,Болат Кайроллаұлы Қонарбай,,,,,,Болат Кайроллаұлы Қонарбай,,,male,1966-07-02,,Болат Кайроллаұлы Қонарбай,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12538587,Галина Александровна Баймаханова,,Галина Александровна Баймаханова,,,,,,Галина Александровна Баймаханова,,,female,1954,geologist,Галина Александровна Баймаханова,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Galina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
