id,name__en,name__de,name,wikipedia__en,gender,original_wikiname,name__nl,name__it,name__fr,name__es,name__hu,wikipedia__de,image,birth_date,name__ja,name__ca,name__oc,name__vi,name__th,name__zh,name__pl,wikipedia__fr,wikipedia__ja,wikipedia__pl,wikipedia__th,wikipedia__vi,wikipedia__zh,identifier__VIAF,identifier__GND,identifier__LCAuth,identifier__freebase,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__is,name__ko,name__ru,name__yo,name__et,name__id,name__el,name__my,name__fi,wikipedia__el,wikipedia__es,wikipedia__et,wikipedia__fi,wikipedia__hu,wikipedia__id,wikipedia__is,wikipedia__it,wikipedia__ko,wikipedia__my,wikipedia__ru,wikipedia__yo,name__eo,name__tr,name__lo,name__de_ch,name__en_ca,name__en_gb,name__sr,name__io,name__sv,name__da,name__nb,name__nn,wikipedia__eo,wikipedia__io,wikipedia__lo,wikipedia__sr,wikipedia__sv,wikipedia__tr,wikipedia__fa,name__fa,occupation,name__la,wikipedia__la,wikipedia__ms,name__ms,name__fo,name__kl,given_name,name__mn,wikipedia__mn,name__bar,wikipedia__commons,identifier__ISNI,death_date,identifier__GTAA,wikipedia__ur,name__hi,name__ur,name__ast,identifier__FAST
Q16139501,Pany Yathotou,Pany Yathotou,Pany Yathotou,Pany Yathotou,female,Pany Yathotou,Pany Yathotou,,Pany Yathotou,Pany Yathotou,,,,1951-02-18,パニー・ヤートートゥー,,,Pany Yathotou,ปานี ยาท่อตู้,巴妮·雅陶都,,,パニー・ヤートートゥー,,ปานี ยาท่อตู้,Pany Yathotou,巴妮·雅陶都,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ປານີ​ ຢ່າ​ທໍ່​ຕູ້,,,,,,,,,,,,,,,,,,politician,,,,,,,,Пани Ятодү,Пани Ятодү,,,,,,,,,Pany Yathotou,
Q16190590,Bounphak Inthapanya,Bounphak Inthapanya,Bounphak Inthapanya,Bounphak Inthapanya,male,Bounphak Inthapanya,,,,Bounphak Inthapanya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,Bounphak Inthapanya,
Q16191362,Mysone Thongsaysy,Mysone Thongsaysy,Mysone Thongsaysy,Mysone Thongsaysy,female,Mysone Thongsaysy,,,,Mysone Thongsaysy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,Mysone Thongsaysy,
Q16191413,Vixaykone Vannachomchanh,Vixaykone Vannachomchanh,Vixaykone Vannachomchanh,Vixaykone Vannachomchanh,male,Vixaykone Vannachomchanh,,,,Vixaykone Vannachomchanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,Vixaykone Vannachomchanh,
Q16734503,Ounheuan Phothilath,Ounheuan Phothilath,Ounheuan Phothilath,Ounheuan Phothilath,male,Ounheuan Phothilath,,Ounheuan Phothilath,,Ounheuan Phothilath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,
Q354684,Bouasone Bouphavanh,Bouasone Bouphavanh,Bouasone Bouphavanh,Bouasone Bouphavanh,male,Bouasone Bouphavanh,Bouasone Bouphavanh,Bouasone Bouphavanh,Bouasone Bouphavanh,Bouasone Bouphavanh,Buaszon Buphavany,Bouasone Bouphavanh,https://upload.wikimedia.org/wikipedia/commons/b/b2/Bouasone.jpg,1954-06-03,ブアソーン・ブッパーヴァン,,,Bouasone Bouphavanh,บัวสอน บุบผาวัน,布阿索內·布帕萬,Bouasone Bouphavanh,Bouasone Bouphavanh,ブアソーン・ブッパーヴァン,Bouasone Bouphavanh,บัวสอน บุบผาวัน,Bouasone Bouphavanh,波松·布帕萬,,,,/m/0dp1f4,布阿索内·布帕万,布阿索內·布帕萬,布阿索內·布帕萬,布阿索内·布帕万,布阿索内·布帕万,布阿索內·布帕萬,Bouasone Bouphavanh,부아손 부파반,Буасон Буппхаван,Bouasone Bouphavanh,Bouasone Bouphavanh,Bouasone Bouphavanh,Μπουασόνε Μπουφαβάνχ,ဘိုဝါဆွန် ဘုဖာဝမ်,Bouasone Bouphavanh,Μπουασόνε Μπουφαβάνχ,Bouasone Bouphavanh,Bouasone Bouphavanh,Bouasone Bouphavanh,Buaszon Buphavany,Bouasone Bouphavanh,Bouasone Bouphavanh,Bouasone Bouphavanh,부아손 부파반,ဘိုဝါဆွန် ဘုဖာဝမ်,"Буппхаван, Буасон",Bouasone Bouphavanh,,,ບົວສອນ ບຸບຜາວັນ,,,,,,,,,,,,,,,,بواسون بوفاوان,بواسون بوفاوان,politician,,,,,,,,,,,Category:Bouasone Bouphavanh,,,,,,,Bouasone Bouphavanh,
Q44073354,Khampheng Boupha,,Khampheng Boupha,Khampheng Boupha,female,Khampheng Boupha,Khampheng Boupha,,,Khampheng Boupha,,,,1923,,,,,,,,,,,,,,63145326,,n89271571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,382164
Q4493297,Phoui Sananikone,Phoui Sananikone,Phoui Sananikone,Phoui Sananikone,male,Phoui Sananikone,Phoui Sananikone,,Phoui Sananikone,Phoui Sananikone,Phoui Sananikone,,,1903-09-06,サナニコン,,,,ผุย ซะนะนิกอน,培·萨纳尼空,,Phoui Sananikone,,,ผุย ชนะนิกร,,培·萨纳尼空,,,,,,培·薩納尼空,,培·萨纳尼空,,,,,Фуи Сананикон,,,,,,,,,,,,,,,,,Фуи Сананикон,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,1983-12-04,150235,,,,Phoui Sananikone,
Q4742067,Ame Xongyieleng,Ame Xongyieleng,Ame Xongyieleng,Ame Xongyieleng,male,Ame Xongyieleng,Ame Xongyieleng,,,Ame Xongyieleng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,Ame,,,,,,,,,,,Ame Xongyieleng,
Q4855525,Bangon Xayalath,Bangon Xayalath,Bangon Xayalath,Bangon Xayalath,female,Bangon Xayalath,Bangon Xayalath,,,Bangon Xayalath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,Bangon Xayalath,
