name,honorific_prefix,area_id,area,term
Amphaivone Lombounphaeng,Ms,8,Houaphanh Province,2011
Bandit Pathoumvanh,Ms,3,Luangnamtha Province,2011
Bouaphanh Leekaiya,Ms,11,Bolikhamxay Province,2011
Bouasy Nathavong,Ms,9,Xiengkhouang Province,2011
Bouathong Phaengsavanh,Mr,6,Luangprabang Province,2011
Bouavanh Thammavong,Ms,10,Vientiane Province,2011
Bounchanh Sinthavong,Mr,13,Savannakhet Province,2011
Bounkham Ngaophasiri,Ms,16,Xekong Province,2011
Bounlort Onphachanh,Mr,4,Oudomxay Province,2011
Bounma Bouchaleun,Mr,11,Bolikhamxay Province,2011
Bounnheuane Thidphoutthavong,Ms,13,Savannakhet Province,2011
Bounnhong Khinsamone,Dr,12,Khammouane Province,2011
Bounnhong Norkeo,Lieutenant Colonel,4,Oudomxay Province,2011
Bounnhong Xaypanya,Mr,13,Savannakhet Province,2011
Bounpan Douanglaty,Mr,12,Khammouane Province,2011
Bounpheng Mounphoxay,Ms,9,Xiengkhouang Province,2011
Bounpheng Sainorlady,Mr,10,Vientiane Province,2011
Bounpheng Sitthisak,Lieutenant Colonel,1,Vientiane Capital,2011
Bounpone Sisoulath,Mr,13,Savannakhet Province,2011
Bounpong Keorodom,Assoc. Prof. Dr,13,Savannakhet Province,2011
Bounseng Pathammavong,Mr,11,Bolikhamxay Province,2011
Bountem Xouangsayavong,Mr,13,Savannakhet Province,2011
Bountham Senphansiri,Mr,6,Luangprabang Province,2011
Bounthavy Sisouphanthong,Dr,6,Luangprabang Province,2011
Bounthiem Phommasathith,Mr,14,Saravan Province,2011
Bounthien Thongkeo,Mr,15,Champasak Province,2011
Bounthone Sitsouvong,Lt. Col.,6,Luangprabang Province,2011
Bounton Chanthaphone,Mr,9,Xiengkhouang Province,2011
Bounxay Khammanivong,Mr,17,Attapue Province,2011
Bounyong Boupha,Prof. Dr,1,Vientiane Capital,2011
Brigadier General Vilay Duangmany,Police,6,Luangprabang Province,2011
Bua-Ngeun Xaphouvong,Mr,1,Vientiane Capital,2011
Buakham Thipphavong,Dr,1,Vientiane Capital,2011
Bualin Vongphachanh,Mr,15,Champasak Province,2011
Chanmany Namvong,Ms,2,Phongsaly Province,2011
Channuan Ouankhanachak,Police Lt. Col.,5,Bokeo Province,2011
Chansy Saengsomphou,Dr,2,Phongsaly Province,2011
Chanthaboun Phosalath,Ms,10,Vientiane Province,2011
Chanthanom Vongsomchith,Mr,7,Xayabouly province,2011
Chouangchanh Latsavong,Col.,11,Bolikhamxay Province,2011
Davone Vangvichit,Prof.,14,Saravan Province,2011
Duangdy Outthachak,Mr,10,Vientiane Province,2011
Duangsavat Souphanouvong,Dr,1,Vientiane Capital,2011
Haymany Vongnorkeo,Ms,16,Xekong Province,2011
Houmphaeng Sitthivong,Mr,4,Oudomxay Province,2011
Houmphanh Thammoungkhoun,Mr,6,Luangprabang Province,2011
Idmany Chanthakhoun,Ms,7,Xayabouly province,2011
Inthava Moundala,Mr,12,Khammouane Province,2011
Ketkeo Sihalath,Dr,1,Vientiane Capital,2011
Ketsana Latxachack,Dr,12,Khammouane Province,2011
Khamchan Khamvongchay,Mr,2,Phongsaly Province,2011
Khamchomphou Silitham,Dr,5,Bokeo Province,2011
Khamdaeng Kommadam,Mr,16,Xekong Province,2011
Khamdaeng Silavong,Mr,10,Vientiane Province,2011
Khamfong Phoumvongxay,Ms,1,Vientiane Capital,2011
Khamkhen Oudtama,Lt. Col.,10,Vientiane Province,2011
Khamla Chandala,Lieutenant Colonel,9,Xiengkhouang Province,2011
Khamlek Saydara,Assoc. Prof. Dr,3,Luangnamtha Province,2011
Khammany Inthirath,Mr,13,Savannakhet Province,2011
Khamphan Khounsacksy,Mr,13,Savannakhet Province,2011
Khampheuy Panmalaythong,Dr,1,Vientiane Capital,2011
Khamphone Phimmachanh,Mrs,4,Oudomxay Province,2011
Khamphoui Vannachit,Lt. Col.,6,Luangprabang Province,2011
Khamping Saengtannalath,Mr,2,Phongsaly Province,2011
Khamsouk Thor,Mr,7,Xayabouly province,2011
Khamsouk Vi-inthavong,Colonel,7,Xayabouly province,2011
Khamvone Bounthavong,Mr,8,Houaphanh Province,2011
Khamxao Kayxong,Mr,4,Oudomxay Province,2011
Khanxay Latthahao,Mr,14,Saravan Province,2011
Kikeo Khaykhamphithoune,Prof. Dr,1,Vientiane Capital,2011
