name,honorific_prefix,area_id,area,term
Khampheuy Panmalaythong,Dr,1,Vientiane Capital,2011
Kikeo Khaykhamphithoune,Prof. Dr,1,Vientiane Capital,2011
Duangsavat Souphanouvong,Dr,1,Vientiane Capital,2011
Souvanpheng Bouphanouvong,Dr,1,Vientiane Capital,2011
Bua-Ngeun Xaphouvong,Mr,1,Vientiane Capital,2011
Vanpheng Keonakhone,Ms,1,Vientiane Capital,2011
Koukeo Akkhamonti,Dr,1,Vientiane Capital,2011
Bounyong Boupha,Prof. Dr,1,Vientiane Capital,2011
Somvang Thammasith,Colonel Dr,1,Vientiane Capital,2011
Buakham Thipphavong,Dr,1,Vientiane Capital,2011
Khamfong Phoumvongxay,Ms,1,Vientiane Capital,2011
Lasanivong Amarathithada,Mr,1,Vientiane Capital,2011
Bounpheng Sitthisak,Lieutenant Colonel,1,Vientiane Capital,2011
Sisaliew Savengsuksa,Dr,1,Vientiane Capital,2011
Ketkeo Sihalath,Dr,1,Vientiane Capital,2011
Khamchan Khamvongchay,Mr,2,Phongsaly Province,2011
Khamping Saengtannalath,Mr,2,Phongsaly Province,2011
Chansy Saengsomphou,Dr,2,Phongsaly Province,2011
Sikeo Sipachack,Mr,2,Phongsaly Province,2011
Chanmany Namvong,Ms,2,Phongsaly Province,2011
Vonkham Phetthavong,Mr,3,Luangnamtha Province,2011
Bandit Pathoumvanh,Ms,3,Luangnamtha Province,2011
Khamlek Saydara,Assoc. Prof. Dr,3,Luangnamtha Province,2011
Latsamy Mingboupha,Ms,3,Luangnamtha Province,2011
Kongphet Keobouapha,Mr,3,Luangnamtha Province,2011
Bounlort Onphachanh,Mr,4,Oudomxay Province,2011
Khamxao Kayxong,Mr,4,Oudomxay Province,2011
Houmphaeng Sitthivong,Mr,4,Oudomxay Province,2011
Somchanh Chitvongdeuan,Ms,4,Oudomxay Province,2011
Khamphone Phimmachanh,Mrs,4,Oudomxay Province,2011
Bounnhong Norkeo,Lieutenant Colonel,4,Oudomxay Province,2011
Vixaykone Vannachomchanh,Mr,5,Bokeo Province,2011
Ounkeo Vouthirath,Dr,5,Bokeo Province,2011
Oulavanh Bounthachak,Mr,5,Bokeo Province,2011
Khamchomphou Silitham,Dr,5,Bokeo Province,2011
Channuan Ouankhanachak,Police Lt. Col.,5,Bokeo Province,2011
Bouathong Phaengsavanh,Mr,6,Luangprabang Province,2011
Bounthavy Sisouphanthong,Dr,6,Luangprabang Province,2011
Singtan Xayleuxong,Mr,6,Luangprabang Province,2011
Brigadier General Vilay Duangmany,Police,6,Luangprabang Province,2011
Houmphanh Thammoungkhoun,Mr,6,Luangprabang Province,2011
Bounthone Sitsouvong,Lt. Col.,6,Luangprabang Province,2011
amphone Sivilaysak,Mrs,6,Luangprabang Province,2011
Bountham Senphansiri,Mr,6,Luangprabang Province,2011
Khamphoui Vannachit,Lt. Col.,6,Luangprabang Province,2011
Pany Yathortou,Ms,7,Xayabouly province,2011
Khamsouk Thor,Mr,7,Xayabouly province,2011
Vongchanh Phomsavath,Mr,7,Xayabouly province,2011
Thongdy Phabboua-on,Mr,7,Xayabouly province,2011
Khamsouk Vi-inthavong,Colonel,7,Xayabouly province,2011
Idmany Chanthakhoun,Ms,7,Xayabouly province,2011
Chanthanom Vongsomchith,Mr,7,Xayabouly province,2011
Somphanh Phaengkhammy,Mr,8,Houaphanh Province,2011
Khamvone Bounthavong,Mr,8,Houaphanh Province,2011
Phonsouk Thongsombath,Mr,8,Houaphanh Province,2011
Amphaivone Lombounphaeng,Ms,8,Houaphanh Province,2011
Vongsack Xaoxuayang,Major,8,Houaphanh Province,2011
Misone Thongxaysy,Ms,8,Houaphanh Province,2011
Bounpheng Mounphoxay,Ms,9,Xiengkhouang Province,2011
Bounton Chanthaphone,Mr,9,Xiengkhouang Province,2011
Bouasy Nathavong,Ms,9,Xiengkhouang Province,2011
Somvandy Sisouphanh,Mr,9,Xiengkhouang Province,2011
Khamla Chandala,Lieutenant Colonel,9,Xiengkhouang Province,2011
Vilaysouk Phimmasone,Mr,9,Xiengkhouang Province,2011
Duangdy Outthachak,Mr,10,Vientiane Province,2011
