id,name__nl,name__it,name__fr,name,wikipedia__nl,gender,birth_date,death_date,original_wikiname,name__en,name__de,wikipedia__de,wikipedia__en,image,identifier__VIAF,given_name,identifier__FAST,identifier__GTAA,name__af,name__an,name__ast,name__bar,name__br,name__ca,name__co,name__cs,name__cy,name__da,name__de_at,name__de_ch,name__en_ca,name__en_gb,name__eo,name__es,name__et,name__eu,name__fi,name__frp,name__fur,name__ga,name__gd,name__gl,name__gsw,name__hr,name__hu,name__ia,name__id,name__ie,name__io,name__is,name__kg,name__lb,name__li,name__lij,name__mg,name__min,name__ms,name__nap,name__nb,name__nds,name__nds_nl,name__nn,name__nrm,name__oc,name__pcd,name__pl,name__pms,name__pt,name__pt_br,name__rm,name__ro,name__sc,name__scn,name__sco,name__sk,name__sl,name__sr_el,name__sv,name__sw,name__tr,name__vec,name__vi,name__vls,name__vo,name__wa,name__wo,name__zu,name__srn,wikipedia__srn,name__hi,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__ko,name__ru,name__ja,name__el,name__ar,name__zh,wikipedia__ar,wikipedia__ca,wikipedia__el,wikipedia__eo,wikipedia__es,wikipedia__fi,wikipedia__fr,wikipedia__hi,wikipedia__io,wikipedia__it,wikipedia__ja,wikipedia__ko,wikipedia__pl,wikipedia__pt,wikipedia__ru,wikipedia__zh,identifier__GND,identifier__freebase,identifier__LCAuth,identifier__BNF,identifier__NTA,identifier__Britannica,identifier__DBNL,wikipedia__commons,wikipedia__id,name__fy,wikipedia__fy,identifier__ISNI,identifier__SUDOC,identifier__OLID,identifier__BPN,wikipedia__no,wikipedia__sv,family_name,wikipedia__af,wikipedia__da,wikipedia__eu,wikipedia__ro,wikipedia__tr,wikipedia__vi,name__he,name__yo,name__sr_ec,name__lt,name__sr,name__fa,wikipedia__et,wikipedia__fa,wikipedia__gl,wikipedia__he,wikipedia__lt,wikipedia__sr,wikipedia__yo,wikipedia__ast,occupation,identifier__bigenc_ru,name__bg,wikipedia__bg,name__la,wikipedia__la,wikipedia__nlwikinews,name__ace,identifier__BIBSYS,identifier__SELIBR,wikipedia__simple,identifier__BNE,identifier__CONOR,twitter,facebook,identifier__NLA
Q13576621,Emile Wijntuin,,Emile Wijntuin,Emile Wijntuin,Emile Wijntuin,male,1924-09-22,,Emile Wijntuin,Emile Wijntuin,Emile Wijntuin,Emile Wijntuin,Emile Wijntuin,"https://upload.wikimedia.org/wikipedia/commons/3/32/Surinaamse_statenvoorzitter_Emile_Wijntuin_tijdens_persconferentie_op_Schiphol,_Bestanddeelnr_928-2113.jpg",1327409,Emile,69069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emile Wijntuin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1056569328,,n81025326,,074722719,,,Category:Emile Wijntuin,,,,0000 0000 3005 0421,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,
Q13657643,Harvey Naarendorp,,,Harvey Naarendorp,Harvey Naarendorp,male,1940-03-31,,Harvey Naarendorp,Harvey Naarendorp,,,,"https://upload.wikimedia.org/wikipedia/commons/1/1f/Portret_van_IHarvey_Naarendorp,_voorzitter_van_de_Nationale_Militaire_Raad_van_S,_Bestanddeelnr_931-6586.jpg",,Harvey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Harvey Naarendorp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,
Q14250071,R.W.A. Thurkow,,R.W.A. Thurkow,R.W.A. Thurkow,R.W.A. Thurkow,male,1916-08-07,1968-04,R.W.A. Thurkow,R.W.A. Thurkow,R.W.A. Thurkow,,,,,R.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R.W.A. Thurkow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,
Q14251065,Radjkoemar Randjietsingh,,Radjkoemar Randjietsingh,Radjkoemar Randjietsingh,Radjkoemar Randjietsingh,male,1947-08-13,,Radjkoemar Randjietsingh,Radjkoemar Randjietsingh,Radjkoemar Randjietsingh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Radjkoemar Randjietsingh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,
Q1444020,Pretaap Radhakishun,,Pretaap Radhakishun,Pretaap Radhakishun,Pretaap Radhakishun,male,1934,2001-01-06,Pretaap Radhakishun,Pretaap Radhakishun,Pretaap Radhakishun,Pretaap Radhakishun,Pretaap Radhakishun,,,,,222731,,,,,,,,,Pretaap Radhakishun,,,,,,,Pretaapnarian Radhakishun,,,,,,,,,,,Pretaapnarian Radhakishun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pretaapnarian Radhakishun,,,,,,,,,,,,,,प्रताप राधाकिशन,,,,,,,,"Радакишун, Претап",,Πρεταπναριάν Ραντακισούν,بريتابناخان شاو رادهيشران رادهاكيشون,,بريتابناخان شاو رادهيشران رادهاكيشون,,Πρεταπναριάν Ραντακισούν,,Pretaapnarian Radhakishun,,,प्रताप राधाकिशन,,,,,,,"Радакишун, Претап",,,/m/09rt__9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,
Q14514709,Victor Max de Miranda,,Victor Max de Miranda,Victor Max de Miranda,Victor Max de Miranda,male,1914-06-19,2003-09-09,Victor Max de Miranda,Victor Max de Miranda,,,,,,Victor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,維克托·米蘭達,,维克托·米兰达,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,
Q14632928,Joan Dogojo,,Joan Dogojo,Joan Dogojo,Joan Dogojo,female,,,Joan Dogojo,Joan Dogojo,,,,https://upload.wikimedia.org/wikipedia/commons/e/ea/Joan_Dogojo_(cropped).jpg,,Joan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joan Dogojo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Joan Dogojo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,Categorie:Joan Dogojo,,,,,,,,,
Q14733510,Soeshiel Girjasing,,Soeshiel Girjasing,Soeshiel Girjasing,Soeshiel Girjasing,male,1953-03-07,1999-07-18,Soeshiel Girjasing,Soeshiel Girjasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,
Q14744033,Steven Relyveld,,Steven Relyveld,Steven Relyveld,Steven Relyveld,male,1964-07-12,,Steven Relyveld,Steven Relyveld,,,,,,Steven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,
Q15869330,Adelien Wijnerman,,Adelien Wijnerman,Adelien Wijnerman,Adelien Wijnerman,female,1965-06-03,,Adelien Wijnerman,Adelien Wijnerman,,,,https://upload.wikimedia.org/wikipedia/commons/c/c7/Adelien_Wijnerman.jpg,,,,,,,,,,,,,,Adelien Wijnerman,,,,,,,,,Adelien Wijnerman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adelien Wijnerman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adelien Wijnerman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,
