id,identifier__psp,identifier__parldata,name,sort_name,family_name,given_name,honorific_prefix,birth_date,death_date,gender,term,party,party_id,start_date,end_date
1,1,1,Petr Bachna,"Bachna, Petr",Bachna,Petr,Ing.,1948-01-08,"",male,1,Poslanecký klub Občanské demokratické strany,15,1992-06-06,1996-06-06
10,10,10,Petr Brodský,"Brodský, Petr",Brodský,Petr,Ing.,1944-09-29,"",male,1,Poslanecký klub Občanské demokratické strany,15,1992-06-06,1996-06-06
100,100,100,Hana Marvanová,"Marvanová, Hana",Marvanová,Hana,JUDr.,1962-11-26,"",female,4,Poslanecký klub Unie svobody-Demokratické unie,598,2002-06-18,2003-09-23
100,100,100,Hana Marvanová,"Marvanová, Hana",Marvanová,Hana,JUDr.,1962-11-26,"",female,2,Poslanecký klub Občanské demokratické strany,15,1996-06-01,1996-06-06
100,100,100,Hana Marvanová,"Marvanová, Hana",Marvanová,Hana,JUDr.,1962-11-26,"",female,2,Poslanecký klub Občanské demokratické strany,45,1996-06-11,1998-01-19
100,100,100,Hana Marvanová,"Marvanová, Hana",Marvanová,Hana,JUDr.,1962-11-26,"",female,2,Poslanecký klub Unie svobody,47,1998-01-20,1998-06-19
100,100,100,Hana Marvanová,"Marvanová, Hana",Marvanová,Hana,JUDr.,1962-11-26,"",female,1,Poslanecký klub Občanské demokratické strany,15,1992-06-06,1996-06-06
101,101,101,Jiří Maryt,"Maryt, Jiří",Maryt,Jiří,Ing.,1964-02-13,"",male,1,Poslanecký klub Levého bloku,10,1992-06-06,1996-06-06
1016,1016,1016,Jiří Dienstbier,"Dienstbier, Jiří",Dienstbier,Jiří,Mgr.,1969-05-27,"",male,6,Poslanecký klub České strany sociálně demokratické,863,2011-03-25,2011-03-26
102,102,102,Ivan Mašek,"Mašek, Ivan",Mašek,Ivan,Ing.,1948-07-28,"",male,2,Poslanecký klub Občanské demokratické aliance,14,1996-06-01,1996-06-06
102,102,102,Ivan Mašek,"Mašek, Ivan",Mašek,Ivan,Ing.,1948-07-28,"",male,2,Poslanecký klub Občanské demokratické aliance,44,1996-06-07,1998-06-19
102,102,102,Ivan Mašek,"Mašek, Ivan",Mašek,Ivan,Ing.,1948-07-28,"",male,1,Poslanecký klub Občanské demokratické aliance,14,1992-06-06,1996-06-06
103,103,103,Jaroslav Matějka,"Matějka, Jaroslav",Matějka,Jaroslav,"",1940-12-17,"",male,1,Poslanecký klub Levého bloku,10,1992-06-06,1996-06-06
104,104,104,Eva Matoušková,"Matoušková, Eva",Matoušková,Eva,"",1951-11-15,"",female,1,Poslanecký klub Liberální strany národně sociální,11,1992-11-20,1994-07-22
104,104,104,Eva Matoušková,"Matoušková, Eva",Matoušková,Eva,"",1951-11-15,"",female,1,Poslanecký klub Občanské demokratické aliance,14,1994-09-01,1996-06-06
104,104,104,Eva Matoušková,"Matoušková, Eva",Matoušková,Eva,"",1951-11-15,"",female,1,Sdružení pro republiku - Republikánská strana Československa,17,1992-06-06,1992-11-19
105,105,105,Dalibor Matulka,"Matulka, Dalibor",Matulka,Dalibor,JUDr.,1953-07-12,"",male,3,Poslanecký klub Komunistické strany Čech a Moravy,50,1998-06-23,2002-06-20
105,105,105,Dalibor Matulka,"Matulka, Dalibor",Matulka,Dalibor,JUDr.,1953-07-12,"",male,2,Poslanecký klub Komunistické strany Čech a Moravy,9,1996-06-01,1996-06-06
105,105,105,Dalibor Matulka,"Matulka, Dalibor",Matulka,Dalibor,JUDr.,1953-07-12,"",male,2,Poslanecký klub Komunistické strany Čech a Moravy,42,1996-06-03,1998-06-19
105,105,105,Dalibor Matulka,"Matulka, Dalibor",Matulka,Dalibor,JUDr.,1953-07-12,"",male,1,Poslanecký klub Komunistické strany Čech a Moravy,9,1994-01-19,1996-06-06
105,105,105,Dalibor Matulka,"Matulka, Dalibor",Matulka,Dalibor,JUDr.,1953-07-12,"",male,1,Poslanecký klub Levého bloku,10,1992-06-06,1994-01-18
105,105,105,Dalibor Matulka,"Matulka, Dalibor",Matulka,Dalibor,JUDr.,1953-07-12,"",male,1,Poslanecký klub Komunistické strany Čech a Moravy,42,1996-06-03,1996-06-06
106,106,106,Gerta Mazalová,"Mazalová, Gerta",Mazalová,Gerta,"",1945-02-10,"",female,1,Poslanecký klub České strany sociálně demokratické,3,1995-07-03,1996-02-20
106,106,106,Gerta Mazalová,"Mazalová, Gerta",Mazalová,Gerta,"",1945-02-10,"",female,1,Poslanecký klub Hnutí za samosprávnou demokracii - strany Moravy a Slezska,5,1992-06-06,1993-01-18
106,106,106,Gerta Mazalová,"Mazalová, Gerta",Mazalová,Gerta,"",1945-02-10,"",female,1,Poslanecký klub Hnutí za samosprávnou demokracii - strany Moravy a Slezska,5,1993-06-10,1994-04-05
106,106,106,Gerta Mazalová,"Mazalová, Gerta",Mazalová,Gerta,"",1945-02-10,"",female,1,Nezařazení,13,1993-01-19,1993-06-09
106,106,106,Gerta Mazalová,"Mazalová, Gerta",Mazalová,Gerta,"",1945-02-10,"",female,1,Nezařazení,13,1994-04-06,1995-07-02
106,106,106,Gerta Mazalová,"Mazalová, Gerta",Mazalová,Gerta,"",1945-02-10,"",female,1,Nezařazení,13,1996-02-21,1996-06-06
107,107,107,Jaroslav Melichar,"Melichar, Jaroslav",Melichar,Jaroslav,"",1938-02-12,"",male,3,Poslanecký klub Občanské demokratické strany,51,1998-06-30,2002-06-20
107,107,107,Jaroslav Melichar,"Melichar, Jaroslav",Melichar,Jaroslav,"",1938-02-12,"",male,2,Poslanecký klub Občanské demokratické strany,15,1996-06-01,1996-06-06
107,107,107,Jaroslav Melichar,"Melichar, Jaroslav",Melichar,Jaroslav,"",1938-02-12,"",male,2,Poslanecký klub Občanské demokratické strany,45,1996-06-11,1998-06-19
107,107,107,Jaroslav Melichar,"Melichar, Jaroslav",Melichar,Jaroslav,"",1938-02-12,"",male,1,Poslanecký klub Občanské demokratické strany,15,1992-06-06,1996-06-06
108,108,108,Ludvík Motyčka,"Motyčka, Ludvík",Motyčka,Ludvík,Ing.,1932-07-07,"",male,1,Poslanecký klub Křesťanské a demokratické unie - Československé strany lidové,8,1992-06-06,1996-06-06
