id,name__en,name__de,name,wikipedia__en,gender,given_name,original_wikiname,name__fr,birth_date,wikipedia__fr,name__nl,name__it,name__el,name__es,name__pl,name__tr,name__ru,name__fi,name__zh,wikipedia__de,wikipedia__el,wikipedia__es,wikipedia__fi,wikipedia__it,wikipedia__nl,wikipedia__pl,wikipedia__ru,wikipedia__tr,wikipedia__zh,image,identifier__freebase,name__be,wikipedia__be,family_name,name__hu,wikipedia__ja,name__ja,name__zh_hant,name__zh_cn,name__af,name__an,name__ast,name__bar,name__bm,name__br,name__ca,name__co,name__cs,name__cy,name__da,name__de_at,name__de_ch,name__en_ca,name__en_gb,name__eo,name__et,name__eu,name__frc,name__frp,name__fur,name__ga,name__gd,name__gl,name__gsw,name__hr,name__ia,name__id,name__ie,name__io,name__jam,name__kab,name__kg,name__lb,name__li,name__lij,name__lt,name__lv,name__mg,name__min,name__ms,name__nap,name__nb,name__nds,name__nds_nl,name__nn,name__nrm,name__oc,name__pap,name__pcd,name__pms,name__prg,name__pt,name__pt_br,name__rgn,name__rm,name__ro,name__sc,name__scn,name__sco,name__sk,name__sv,name__sw,name__vec,name__vi,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu,occupation,name__fo,name__kl
Q16730306,Joan Viliamu,Joan Viliamu,Joan Viliamu,Joan Viliamu,female,Joan,Joan Viliamu,Joan Viliamu,1966-03-22,,Joan Viliamu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,
Q16886221,Va'aiga Tukuitonga,Va'aiga Tukuitonga,Va'aiga Tukuitonga,Va'aiga Tukuitonga,female,,Va'aiga Tukuitonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,
Q19876617,Dalton Tagelagi,,Dalton Tagelagi,Dalton Tagelagi,male,,Dalton Tagelagi,,,,Dalton Tagelagi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q251952,Pokotoa Sipeli,Pokotoa Sipeli,Pokotoa Sipeli,Pokotoa Sipeli,male,,Pokotoa Sipeli,Pokotoa Sipeli,,Pokotoa Sipeli,Pokotoa Sipeli,,,,,,,,,,,,,,,,,,,,/m/09v4fj_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,
Q3308266,Michael Jackson,Michael Jackson,Michael Jackson,Michael Jackson (journalist),male,Michael,Michael Jackson (journalist),Michael Jackson,,Michael Jackson (journaliste),Michael Jackson,,,Michael Jackson,,,Майкл Джексон,,,,,,,,,,,,,,/m/04my66g,,,,Michael Jackson,,,,,,,,,,,Michael Jackson,,,,,,,,,,,,,,,,,Michael Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Michael Jackson,,,,,,,,,,,,,,,,,,,politician,,
Q4911209,Bill Vakaafi Motufoou,Bill Vakaafi Motufoou,Bill Vakaafi Motufoou,Bill Vakaafi Motufoou,male,Bill,Bill Vakaafi Motufoou,,,,Bill Vakaafi Motufoou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,
Q508830,Young Vivian,Young Vivian,Young Vivian,Young Vivian,male,Young,Young Vivian,Young Vivian,1935-11-12,Young Vivian,Young Vivian,Young Vivian,Γιανγκ Βίβιαν,Young Vivian,Young Vivian,Young Vivian,Янг Вивиан,Young Vivian,,Young Vivian,Γιανγκ Βίβιαν,Young Vivian,Young Vivian,Young Vivian,,Young Vivian,"Вивиан, Янг",,,https://upload.wikimedia.org/wikipedia/commons/a/a7/Young-Vivian-2006.jpg,/m/027bp3,Янг Вівіан,Янг Вівіян,Vivian,Young Vivian,,ヤング・ヴィヴィアン,揚·維維安,扬·维维安,Young Vivian,Young Vivian,Young Vivian,Young Vivian,Young Vivian,Young Vivian,Young Vivian,Young Vivian,Young Vivian,Young Vivian,Young Vivian,Young Vivian,Young Vivian,Young Vivian,Young Vivian,Young Vivian,Young Vivian,Young Vivian,Young Vivian,Young Vivian,Young Vivian,Young Vivian,Young Vivian,Young Vivian,Young Vivian,Young Vivian,Young Vivian,Young Vivian,Young Vivian,Young Vivian,Young Vivian,Young Vivian,Young Vivian,Young Vivian,Young Vivian,Young Vivian,Young Vivian,Young Vivian,Young Vivian,Young Vivian,Young Vivian,Young Vivian,Young Vivian,Young Vivian,Young Vivian,Young Vivian,Young Vivian,Young Vivian,Young Vivian,Young Vivian,Young Vivian,Young Vivian,Young Vivian,Young Vivian,Young Vivian,Young Vivian,Young Vivian,Young Vivian,Young Vivian,Young Vivian,Young Vivian,Young Vivian,Young Vivian,Young Vivian,Young Vivian,Young Vivian,Young Vivian,Young Vivian,Young Vivian,Young Vivian,Young Vivian,politician,,
Q5377251,Enetama Lipitoa,Enetama Lipitoa,Enetama Lipitoa,Enetama Lipitoa,male,,Jack Willie Lipitoa,,,,Enetama Lipitoa,Enetama Lipitoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,
Q7071866,O'Love Jacobsen,,O'Love Jacobsen,O'Love Jacobsen,female,,O'Love Jacobsen,O'love Jacobsen,,O'love Jacobsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diplomat,,
Q7704226,Terry Coe,Terry Coe,Terry Coe,Terry Coe,male,Terry,Terry Coe,Terry Coe,,Terry Coe,Terry Coe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,
Q7813183,Togia Sioneholo,Togia Sioneholo,Togia Sioneholo,Togia Sioneholo,male,,Togia Sioneholo,Togia Sioneholo,,Togia Sioneholo,,Togia Sioneholo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,
Q785548,Toke Talagi,Toke Talagi,Toke Talagi,Toke Talagi,male,Toke,Toke Talagi,Toke Tufukia Talagi,1960-12-06,Toke Talagi,Toke Talagi,Toke Talagi,Τόκε Ταλάγκι,Toke Talagi,Toke Talagi,Toke Talagi,"Талаги, Токе",Toke Talagi,托克基·塔拉尼,Toke Talagi,Τόκε Ταλάγκι,Toke Talagi,Toke Talagi,Toke Talagi,Toke Talagi,Toke Talagi,"Талаги, Токе",Toke Talagi,托克基·塔拉尼,https://upload.wikimedia.org/wikipedia/commons/d/d3/Toke_Talagi.jpg,/m/047mqxm,,,,,トケ・タランギ,トケ・タランギ,,,,,,,,,,,,,Toke Talagi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diplomat,Toke Talagi,Toke Talagi
