id,name,image,email,party,party_id,region,term,source
104,Beck Alois,http://landtaglive.gmgnet.li/files/attachments/alois_beck.jpg,alois.beck@landtag.li,FBP,FBP,Oberland,2013,http://www.landtag.li/personen.aspx?nid=4158&auswahl=4158&lang=de
104,Beck Alois,http://landtaglive.gmgnet.li/files/attachments/alois_beck.jpg,"",FBP,FBP,Oberland,2005,http://www.landtag.li/personen.aspx?nid=4158&auswahl=4158&lang=de&jahr=2005&sitzordnung=0
105,Beck Christoph,http://landtaglive.gmgnet.li/files/attachments/christoph_beck.jpg,christoph.beck@landtag.li,VU,VU,Oberland,2013,http://www.landtag.li/personen.aspx?nid=4158&auswahl=4158&lang=de
107,Büchel Peter,http://landtaglive.gmgnet.li/files/attachments/peter_buechel.jpg,peter.buechel@landtag.li,VU,VU,Unterland,2013,http://www.landtag.li/personen.aspx?nid=4158&auswahl=4158&lang=de
107,Büchel Peter,http://landtaglive.gmgnet.li/files/attachments/peter_buechel.jpg,"",VU,VU,Unterland,2009,http://www.landtag.li/personen.aspx?nid=4158&auswahl=4158&lang=de&jahr=2009&sitzordnung=0
108,Elkuch Herbert,http://landtaglive.gmgnet.li/files/attachments/herbert_elkuch.jpg,herbert.elkuch@landtag.li,DU,DU,Unterland,2013,http://www.landtag.li/personen.aspx?nid=4158&auswahl=4158&lang=de
110,Hasler Elfried,http://landtaglive.gmgnet.li/files/attachments/elfried_hasler.jpg,elfried.hasler@landtag.li,FBP,FBP,Unterland,2013,http://www.landtag.li/personen.aspx?nid=4158&auswahl=4158&lang=de
111,Hasler Erich,http://landtaglive.gmgnet.li/files/attachments/erich_hasler.jpg,erich.hasler@landtag.li,DU,DU,Unterland,2013,http://www.landtag.li/personen.aspx?nid=4158&auswahl=4158&lang=de
113,Konrad Frank,http://landtaglive.gmgnet.li/files/attachments/frank_konrad_634995612576476250.jpg,frank.konrad@landtag.li,VU,VU,Oberland,2013,http://www.landtag.li/personen.aspx?nid=4158&auswahl=4158&lang=de
114,Konzett Bargetze Helen,http://landtaglive.gmgnet.li/files/attachments/helen_konzett_bargetze.jpg,helen.konzettbargetze@landtag.li,FL,FL,Oberland,2013,http://www.landtag.li/personen.aspx?nid=4158&auswahl=4158&lang=de
115,Lageder Thomas,http://landtaglive.gmgnet.li/files/attachments/thomas_lageder.jpg,thomas.lageder@landtag.li,FL,FL,Oberland,2013,http://www.landtag.li/personen.aspx?nid=4158&auswahl=4158&lang=de
117,Lanter-Koller Violanda,http://landtaglive.gmgnet.li/files/attachments/violanda_lanter_keller.jpg,violanda.lanter-koller@landtag.li,VU,VU,Unterland,2013,http://www.landtag.li/personen.aspx?nid=4158&auswahl=4158&lang=de
118,Marxer Wolfgang,http://landtaglive.gmgnet.li/files/attachments/wolfgang_marxer_634995651773507500.jpg,wolfgang.marxer@landtag.li,FL,FL,Unterland,2013,http://www.landtag.li/personen.aspx?nid=4158&auswahl=4158&lang=de
119,Nägele Eugen,http://landtaglive.gmgnet.li/files/attachments/eugen_naegele.jpg,eugen.naegele@landtag.li,FBP,FBP,Oberland,2013,http://www.landtag.li/personen.aspx?nid=4158&auswahl=4158&lang=de
120,Oehri Judith,http://landtaglive.gmgnet.li/files/attachments/judith_oehri.jpg,judith.oehri@landtag.li,VU,VU,Unterland,2013,http://www.landtag.li/personen.aspx?nid=4158&auswahl=4158&lang=de
122,Rüdisser-Quaderer Karin,http://landtaglive.gmgnet.li/files/attachments/karin_ruedisser_quaderer.jpg,karin.ruedisser-quaderer@landtag.li,VU,VU,Oberland,2013,http://www.landtag.li/personen.aspx?nid=4158&auswahl=4158&lang=de
123,Schurti Pio,http://landtaglive.gmgnet.li/files/attachments/pius_schurti.jpg,pio.schurti@landtag.li,DU,DU,Oberland,2013,http://www.landtag.li/personen.aspx?nid=4158&auswahl=4158&lang=de
124,Vogt Thomas,http://landtaglive.gmgnet.li/files/attachments/thomas_vogt.jpg,thomas.vogt@landtag.li,VU,VU,Oberland,2013,http://www.landtag.li/personen.aspx?nid=4158&auswahl=4158&lang=de
124,Vogt Thomas,http://landtaglive.gmgnet.li/files/attachments/thomas_vogt.jpg,"",VU,VU,Oberland,2009,http://www.landtag.li/personen.aspx?nid=4158&auswahl=4158&lang=de&jahr=2009&sitzordnung=0
125,Wenaweser Christoph,http://landtaglive.gmgnet.li/files/attachments/christoph_wenaweser.jpg,christoph.wenaweser@landtag.li,VU,VU,Oberland,2013,http://www.landtag.li/personen.aspx?nid=4158&auswahl=4158&lang=de
126,Wohlwend Christine,http://landtaglive.gmgnet.li/files/attachments/christine_wohlwend.jpg,christine.wohlwend@landtag.li,FBP,FBP,Oberland,2013,http://www.landtag.li/personen.aspx?nid=4158&auswahl=4158&lang=de
152,Amann-Marxer Marlies,http://landtaglive.gmgnet.li/files/attachments/marlies_amann_marxer.jpg,"",VU,VU,Unterland,2009,http://www.landtag.li/personen.aspx?nid=4158&auswahl=4158&lang=de&jahr=2009&sitzordnung=0
152,Amann-Marxer Marlies,http://landtaglive.gmgnet.li/files/attachments/marlies_amann_marxer.jpg,"",VU,VU,Unterland,2005,http://www.landtag.li/personen.aspx?nid=4158&auswahl=4158&lang=de&jahr=2005&sitzordnung=0
153,Batliner Christian,http://landtaglive.gmgnet.li/files/attachments/christian_batliner.jpg,christian.batliner@landtag.li,FBP,FBP,Oberland,2013,http://www.landtag.li/personen.aspx?nid=4158&auswahl=4158&lang=de
153,Batliner Christian,http://landtaglive.gmgnet.li/files/attachments/christian_batliner.jpg,"",FBP,FBP,Oberland,2009,http://www.landtag.li/personen.aspx?nid=4158&auswahl=4158&lang=de&jahr=2009&sitzordnung=0
154,Batliner Manfred,http://landtaglive.gmgnet.li/files/attachments/manfred_batliner.jpg,manfred.batliner@landtag.li,FBP,FBP,Unterland,2013,http://www.landtag.li/personen.aspx?nid=4158&auswahl=4158&lang=de
