id,position,label,description,start_date,replaces,end_date,constituency,term,replaced_by
Q10444907,Q14335901,member of the House of Representatives of Belarus,"",2008-10-27,,,,,
Q10444907,Q17142576,,"","",,,,,
Q10444907,Q17142583,,"","",,,,,
Q10444907,Q17142585,,"","",,,,,
Q11712387,Q14335901,member of the House of Representatives of Belarus,"","",,,,,
Q11753400,Q14335901,member of the House of Representatives of Belarus,"",2012-10-18,,,,,
Q11753400,Q15635169,,"","",,,,,
Q11780622,Q14335901,member of the House of Representatives of Belarus,"","",,,,,
Q14393799,Q14335901,member of the House of Representatives of Belarus,"",2012,,,,,
Q14394031,Q14335901,member of the House of Representatives of Belarus,"",2012,,,,,
Q14394031,Q14394238,Deputy of Brest Oblast Council of Deputies,"","",,,,,
Q14421992,Q14335901,member of the House of Representatives of Belarus,"",2012-10-18,,,,,
Q14422105,Q14335901,member of the House of Representatives of Belarus,"",2012-10-18,,,,,
Q14866893,Q14335901,member of the House of Representatives of Belarus,"",2012-10-18,,,,,
Q14866893,Q14394238,Deputy of Brest Oblast Council of Deputies,"","",,,,,
Q14917844,Q14335901,member of the House of Representatives of Belarus,"",2012-11-18,,,,,
Q14917844,Q17334463,,"","",,,,,
Q14918190,Q14335901,member of the House of Representatives of Belarus,"",2012-09-23,,,96,,
Q14918481,Q14335901,member of the House of Representatives of Belarus,"","",,,,,
Q14918514,Q14335901,member of the House of Representatives of Belarus,"","",,,,,
Q14918527,Q14335901,member of the House of Representatives of Belarus,"","",,,,,
Q14918565,Q14335901,member of the House of Representatives of Belarus,"",2012-10-18,,,,,
Q14918570,Q14335901,member of the House of Representatives of Belarus,"","",,,,,
Q14918588,Q14335901,member of the House of Representatives of Belarus,"","",,,,,
Q14918628,Q14335901,member of the House of Representatives of Belarus,"",2012-10-18,,,,,
Q17044743,Q14335901,member of the House of Representatives of Belarus,"","",,,,,
Q2029677,Q14324101,member of the Supreme Soviet of Belarus,"",1991-09-19,,1996-01-09,,,
Q2029677,Q14335901,member of the House of Representatives of Belarus,"",2008-10-27,,,,,
Q2029677,Q15623433,Member of the Council of the Republic of Belarus,"","",,,,,
Q2029677,Q15623433,Member of the Council of the Republic of Belarus,"",1997-01-13,,2008-10-31,,,
Q2029677,Q15627495,member of the Supreme Soviet of the Byelorussian SSR,"",1990-05-16,,1991-09-19,,,
Q2029677,Q17317789,,"",2008-10-27,,,,,
Q2029677,Q17317869,,"",1994-11-28,,2008-10,,,
Q2029677,Q17317903,,"",1985,,1987,,,
Q256650,Q14335901,member of the House of Representatives of Belarus,"","",,,,Sixth Convocation of the House of Representatives,
Q26897630,Q14335901,member of the House of Representatives of Belarus,"","",,,,,
Q26897632,Q14335901,member of the House of Representatives of Belarus,"","",,,,,
Q26897718,Q14335901,member of the House of Representatives of Belarus,"","",,,,,
Q26897752,Q14335901,member of the House of Representatives of Belarus,"","",,,,,
Q31031181,Q14335901,member of the House of Representatives of Belarus,"","",,,,Sixth Convocation of the House of Representatives,
Q3919972,Q14335901,member of the House of Representatives of Belarus,"","",,,,,
Q4123324,Q14335901,member of the House of Representatives of Belarus,"","",,,,,
Q434537,Q14335901,member of the House of Representatives of Belarus,"","",,,,,
Q6656652,Q14335901,member of the House of Representatives of Belarus,"",2012-10-18,,,,,
Q6656652,Q15623433,Member of the Council of the Republic of Belarus,"",1997-01-13,"",2000-12-19,,,
Q6656652,Q15623461,,"",2004-08-06,,2006-05-05,,,Alyaksandr Azyarets
Q6656652,Q15623465,,"",2006-05-16,,,,,
Q6656652,Q15623466,,"",1999-07,,2004-08-06,,,
Q6656652,Q15623468,,"",1992,,,,,
Q6656652,Q15623471,,"",1991,,1994,,,
Q6656652,Q15623472,,"",1992,,1994,,,
Q6656652,Q15623473,,"",1999,,,,,
Q669664,Q14335901,member of the House of Representatives of Belarus,"","",,,,Sixth Convocation of the House of Representatives,
Q9144071,Q14335901,member of the House of Representatives of Belarus,"","",,,,,
Q9144087,Q14335901,member of the House of Representatives of Belarus,"","",,,,,
Q9336209,Q14335901,member of the House of Representatives of Belarus,"",2012-10-18,,,,,
Q9336219,Q14335901,member of the House of Representatives of Belarus,"",2008-10-27,,2016-10-11,,,
Q9348622,Q14335901,member of the House of Representatives of Belarus,"","",,,,,
Q9367697,Q14335901,member of the House of Representatives of Belarus,"","",,,,,
Q9370087,Q14335901,member of the House of Representatives of Belarus,"",2008-10-27,,2016-10-11,,,
Q9371375,Q14335901,member of the House of Representatives of Belarus,"",2012-10-18,,,,,
Q9373951,Q14335901,member of the House of Representatives of Belarus,"","",,,,,
Q9375489,Q14335901,member of the House of Representatives of Belarus,"","",,,,,
Q9391301,Q14335901,member of the House of Representatives of Belarus,"","",,,,,
Q9394017,Q14335901,member of the House of Representatives of Belarus,"",2008-10-27,,,,,
Q9394017,Q17330842,,"","",,,,,
