id,name,name__ru,area,area_id,image,email,source,term
1,ANDREYCHENKO VLADIMIR RU,Андрейченко Владимир Павлович,Докшицкий,22,http://house.gov.by/images/storage/person/000683_512344.jpg,,http://house.gov.by/ru/deputies-ru/view/andreychenko-vladimir-ru-1/,6
133,GAJDUKEVICH VALERIJ,Гайдукевич Валерий Владимирович,Пуховичский,65,http://house.gov.by/images/storage/person/000683_208853.jpg,,http://house.gov.by/ru/deputies-ru/view/gajdukevich-valerij-133/,6
135,DOBRYNINA LJUDMILA,Добрынина Людмила Анатольевна,Оршанский городской,25,http://house.gov.by/images/storage/person/000683_7608.jpg,dobrynina@house.gov.by,http://house.gov.by/ru/deputies-ru/view/dobrynina-ljudmila-135/,6
138,NAUMOVICH ANDREJ,Наумович Андрей Николаевич,Лидский,55,http://house.gov.by/images/storage/person/000683_399916.jpg,,http://house.gov.by/ru/deputies-ru/view/naumovich-andrej-138/,6
139,SEGODNIK ALEKSANDR,Сегодник Александр Иванович,Волковысский,48,http://house.gov.by/images/storage/person/000683_862043.jpg,,http://house.gov.by/ru/deputies-ru/view/segodnik-aleksandr-139/,6
141,TSETSOXO ALEKSANDR,Цецохо Александр Владимирович,Витебский-Октябрьский,20,http://house.gov.by/images/storage/person/000683_380672.jpg,,http://house.gov.by/ru/deputies-ru/view/tsetsoxo-aleksandr-141/,6
148,BAZANOV VLADIMIR,Базанов Владимир Александрович,Брестский-Пограничный,4,http://house.gov.by/images/storage/person/000683_82252.jpg,bazanov@house.gov.by,http://house.gov.by/ru/deputies-ru/view/bazanov-vladimir-148/,6
152,BORODENJA VALERIJ,Бороденя Валерий Анатольевич,Васнецовский,93,http://house.gov.by/images/storage/person/000683_576672.jpg,borodenya@house.gov.by,http://house.gov.by/ru/deputies-ru/view/borodenja-valerij-152/,6
160,GUJVIK NATALJJA,Гуйвик Наталья Васильевна,Полоцкий городской,27,http://house.gov.by/images/storage/person/000683_582000.jpg,,http://house.gov.by/ru/deputies-ru/view/gujvik-nataljja-160/,6
163,DEVJATOVSKIJ VADIM,Девятовский Вадим Анатольевич,Новополоцкий,24,http://house.gov.by/images/storage/person/000683_208057.jpg,,http://house.gov.by/ru/deputies-ru/view/devjatovskij-vadim-163/,6
165,DOROGOKUPETS JURIJ,Дорогокупец Юрий Иванович,Днепро-Бугский,10,http://house.gov.by/images/storage/person/000683_256670.jpg,dorogokupets@house.gov.by,http://house.gov.by/ru/deputies-ru/view/dorogokupets-jurij-165/,6
174,KLIMOVICH NATALJJA,Климович Наталья Анатольевна,Чкаловский,96,http://house.gov.by/images/storage/person/000683_364423.jpg,,http://house.gov.by/ru/deputies-ru/view/klimovich-nataljja-174/,6
178,KONONCHUK TATJJANA,Конончук Татьяна Петровна,Быховский,81,http://house.gov.by/images/storage/person/000683_18008.jpg,,http://house.gov.by/ru/deputies-ru/view/kononchuk-tatjjana-178/,6
181,KRASOVSKAJA TAMARA,Красовская Тамара Петровна,Борисовский сельский,63,http://house.gov.by/images/storage/person/000683_17008.jpg,krasovskaya@house.gov.by,http://house.gov.by/ru/deputies-ru/view/krasovskaja-tamara-181/,6
182,KUBRAKOVA LJUDMILA,Кубракова Людмила Петровна,Каменногорский,102,http://house.gov.by/images/storage/person/000683_871178.jpg,kubrakova@house.gov.by,http://house.gov.by/ru/deputies-ru/view/kubrakova-ljudmila-182/,6
188,LEVSHUNOV OLEG,Левшунов Олег Федорович,Гомельский-Центральный,33,http://house.gov.by/images/storage/person/000683_239192.jpg,levshunov@house.gov.by,http://house.gov.by/ru/deputies-ru/view/levshunov-oleg-188/,6
194,MILOSHEVSKIJ VALENTIN,Милошевский Валентин Станиславович,Брестский-Центральный,2,http://house.gov.by/images/storage/person/000683_248605.jpg,,http://house.gov.by/ru/deputies-ru/view/miloshevskij-valentin-194/,6
201,NAUMCHIK ALLA,Наумчик Алла Александровна,Гомельский сельский,37,http://house.gov.by/images/storage/person/000683_604698.jpg,,http://house.gov.by/ru/deputies-ru/view/naumchik-alla-201/,6
202,NEXAJCHIK OKSANA,Нехайчик Оксана Владимировна,Шабановский,91,http://house.gov.by/images/storage/person/000683_680604.jpg,,http://house.gov.by/ru/deputies-ru/view/nexajchik-oksana-202/,6
203,OSTAPJUK ELENA,Остапюк Елена Ивановна,Гомельский-Новобелицкий,36,http://house.gov.by/images/storage/person/000683_694309.jpg,,http://house.gov.by/ru/deputies-ru/view/ostapjuk-elena-203/,6
208,POLITIKO OLGA,Политико Ольга Сергеевна,Барановичский-Западный,5,http://house.gov.by/images/storage/person/000683_773546.jpg,politiko@house.gov.by,http://house.gov.by/ru/deputies-ru/view/politiko-olga-208/,6
213,SOPIKOVA ALLA,Сопикова Алла Николаевна,Слонимский,58,http://house.gov.by/images/storage/person/000683_699575.jpg,sopikova@house.gov.by,http://house.gov.by/ru/deputies-ru/view/sopikova-alla-213/,6
