id,name__en,name__nl,name__de,name__it,name__fr,name,wikipedia__en,gender,birth_date,given_name,name__pl,wikipedia__pl,image,name__et,name__ja,name__el,name__es,name__tr,name__yo,name__ar,name__nb,wikipedia__ar,wikipedia__de,wikipedia__el,wikipedia__es,wikipedia__et,wikipedia__fr,wikipedia__ja,wikipedia__no,wikipedia__tr,wikipedia__yo,identifier__freebase,name__bi,name__ko,name__ru,name__id,name__tpi,name__sv,name__da,name__nn,wikipedia__bi,wikipedia__da,wikipedia__id,wikipedia__it,wikipedia__ko,wikipedia__nl,wikipedia__ru,wikipedia__sv,wikipedia__tpi,name__he,wikipedia__he,identifier__IIAF,name__zh_hans,name__zh_hant,name__zh_hk,name__hu,name__fi,name__zh,wikipedia__fi,wikipedia__hu,wikipedia__zh,death_date,name__mr,wikipedia__mr,wikipedia__commons,name__cy,identifier__Britannica,original_wikiname,last_seen,occupation,name__pt,wikipedia__pt,name__uk,wikipedia__uk,name__fo,name__kl,name__la,wikipedia__la,identifier__VIAF,name__bar,identifier__ISNI,family_name,name__ca,name__gl
Q11728470,Joseph Onika,Joseph Onika,Joseph Onika,,Joseph Onika,Joseph Onika,Joseph Onika,male,1967-05-02,Joseph,Joseph Onika,Joseph Onika,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6769,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,
Q1370998,Snyder Rini,Snyder Rini,Snyder Rini,,Snyder Rini,Snyder Rini,Snyder Rini,male,1948-07-27,,Snyder Rini,Snyder Rini,,Snyder Rini,,,Snyder Rini,,,,Snyder Rini,,Snyder Rini,,,Snyder Rini,Snyder Rini,,Snyder Rini,,,/m/0cp1th,,,"Рини, Снайдер",,,,,,,,,,,,"Рини, Снайдер",,,,,,,,,Snyder Rini,Snyder Rini,,Snyder Rini,,,,स्नायडर रिनी,स्नायडर रिनी,Category:Snyder Rini,,biography/Snyder-Rini,,,politician,,,,,,,,,,,,,,
Q16751224,Connelly Sadakabatu,,Connelly Sadakabatu,,,Connelly Sadakabatu,Connelly Sadakabatu,male,1956-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,civil servant,,,,,,,,,,,,,,
Q22005720,Dr. Tautai Agikimu'a Kaitu'u,Dr. Tautai Agikimu'a Kaitu'u,,,,Dr. Tautai Agikimu'a Kaitu'u,Tautai Agikimu'a Kaitu'u,male,1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2791876,Dickson Mua,Dickson Mua,Dickson Mua,,,Dickson Mua,Dickson Mua,male,1972-11-04,Dickson,Dickson Mua Panakitasi,Dickson Mua Panakitasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,civil servant,,,,,,,,,,,,,,
Q3314404,Milner Tozaka,Milner Tozaka,Milner Tozaka,,Milner Tozaka,Milner Tozaka,Milner Tozaka,male,1951-10-21,,,,https://upload.wikimedia.org/wikipedia/commons/c/ca/Milner_Tozaka_2015.jpg,,ミルナー・トザカ,,,,,ميلنر توزاكا,,,George Milner Tozaka,,,,Milner Tozaka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Milner Tozaka,,,,,diplomat,,,,,,,Milner Tozaka,Milner Tozaka,46164427,,0000 0000 4119 8528,,,
Q379730,Derek Sikua,Derek Sikua,Derek Sikua,Derek Sikua,Derek Sikua,Derek Sikua,Derek Sikua,male,1959-10-10,Derek,Derek Sikua,Derek Sikua,https://upload.wikimedia.org/wikipedia/commons/8/8a/Derek_Sikua.jpg,,デリック・シクア,Ντέρεκ Σικούα,Derek Sikua,,Derek Sikua,,Derek Sikua,,Derek Sikua,Ντέρεκ Σικούα,Derek Sikua,,Derek Sikua,デリック・シクア,Derek Sikua,,Derek Sikua,/m/03gy98f,Derek Sikua,데릭 시쿠아,"Сикуа, Дерек",Derek Sikua,Derek Sikua,Derek Sikua,Derek Sikua,Derek Sikua,Derek Sikua,Derek Sikua,Derek Sikua,Derek Sikua,데릭 시쿠아,Derek Sikua,"Сикуа, Дерек",Derek Sikua,Derek Sikua,,,,,,,Derek Sikua,,,,,,,,,Category:Derek Sikua,,biography/Derek-Sikua,,,politician,,,Дерек Сікуа,Дерек Сікуа,,,,,,,,,,
Q42543823,Bartholomew Parapolo,,,,,Bartholomew Parapolo,Bartholomew Parapolo,male,,,,,"https://upload.wikimedia.org/wikipedia/commons/4/4d/Bartholomew_Parapolo_poses_for_an_official_photo_as_part_of_the_delegation_led_by_Solomon_Islands_Prime_Minister_Manasseh_Sogavare_(26_September_2017)_in_Taipei,_Taiwan.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Bartholomew Parapolo,,,,,politician,,,,,,,,,,,,,,
Q42544918,Andrew Manepora,,,,,Andrew Manepora,Andrew Manepora,male,1967-12-01,Andrew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Andrew Manepora,,,,,politician,,,,,,,,,,,,,,
Q42547286,Nestor Ghiro,,,,,Nestor Ghiro,Nestor Ghiro,male,1972-09-04,,,,"https://upload.wikimedia.org/wikipedia/commons/3/3a/Nestor_Ghiro_poses_for_an_official_photo_as_part_of_the_delegation_led_by_Solomon_Islands_Prime_Minister_Manasseh_Sogavare_(26_September_2017)_in_Taipei,_Taiwan.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Nestor Ghiro,,,,,politician,,,,,,,,,,,,,,
