id,name,family_name,given_name,sort_name,parish,email,party,photo,term,source,area
150,William James Bailhache,Bailhache,William James,"Bailhache, William James","",bailiffofjersey@gov.je,Independent,http://www.statesassembly.gov.je/SiteCollectionImages/States%20Members/William%20Bailhache.jpg,2011,http://www.statesassembly.gov.je/Pages/Members.aspx?MemberId=150,""
165,Sir Philip Martin   Bailhache,Bailhache,Sir Philip Martin,"Bailhache, Sir Philip Martin  ",Island-wide,p.bailhache@gov.je,Independent,http://www.statesassembly.gov.je/SiteCollectionImages/States%20Members/Philip%20Martin%20Bailhache.jpg,2011,http://www.statesassembly.gov.je/Pages/Members.aspx?MemberId=165,Island-wide
210,Simon Muir Bree,Bree,Simon Muir,"Bree, Simon Muir",St. Clement,s.bree@gov.je,Independent,http://www.statesassembly.gov.je/SiteCollectionImages/States%20Members/Simon%20Bree.jpg,2011,http://www.statesassembly.gov.je/Pages/Members.aspx?MemberId=210,St. Clement
180,Roderick Gordon Bryans,Bryans,Roderick Gordon,"Bryans, Roderick Gordon",St. Helier,r.bryans@gov.je,Independent,http://www.statesassembly.gov.je/SiteCollectionImages/States%20Members/Rod%20Bryans.jpg,2011,http://www.statesassembly.gov.je/Pages/Members.aspx?MemberId=180,St. Helier
214,Zoe Ann Cameron,Cameron,Zoe Ann,"Cameron, Zoe Ann",Island-wide,z.cameron@gov.je,Independent,http://www.statesassembly.gov.je/SiteCollectionImages/States%20Members/Zoe%20Cameron.jpg,2011,http://www.statesassembly.gov.je/Pages/Members.aspx?MemberId=214,Island-wide
28,Alan Simon Crowcroft,Crowcroft,Alan Simon,"Crowcroft, Alan Simon",St. Helier,s.crowcroft@gov.je,Independent,http://www.statesassembly.gov.je/SiteCollectionImages/States%20Members/Simon%20Crowcroft.jpg,2011,http://www.statesassembly.gov.je/Pages/Members.aspx?MemberId=28,St. Helier
57,Michael Nelson de la Haye,de la Haye,Michael Nelson,"de la Haye, Michael Nelson","",m.delahaye@gov.je,Independent,http://www.statesassembly.gov.je/SiteCollectionImages/States%20Members/Michael%20De%20La%20Haye.jpg,2011,http://www.statesassembly.gov.je/Pages/Members.aspx?MemberId=57,""
215,Louise Mary Catherine  Doublet,Doublet,Louise Mary Catherine,"Doublet, Louise Mary Catherine ",St. Saviour,l.doublet@gov.je,Independent,http://www.statesassembly.gov.je/SiteCollectionImages/States%20Members/Deputy%20L%20Doublet.jpg,2011,http://www.statesassembly.gov.je/Pages/Members.aspx?MemberId=215,St. Saviour
181,Lyndon John Farnham,Farnham,Lyndon John,"Farnham, Lyndon John",Island-wide,l.farnham@gov.je,Independent,http://www.statesassembly.gov.je/SiteCollectionImages/States%20Members/Lyndon%20John%20Farnham.jpg,2011,http://www.statesassembly.gov.je/Pages/Members.aspx?MemberId=181,Island-wide
99,Juliette Gallichan,Gallichan,Juliette,"Gallichan, Juliette",St. Mary,jg.gallichan@gov.je,Independent,http://www.statesassembly.gov.je/SiteCollectionImages/States%20Members/Juliette%20Gallichan.jpg,2011,http://www.statesassembly.gov.je/Pages/Members.aspx?MemberId=99,St. Mary
