id,name__fr,name__en,name,wikipedia__fr,gender,birth_date,given_name,original_wikiname,name__it,image,name__de,name__nl,wikipedia__en,identifier__VIAF,identifier__SUDOC,death_date,identifier__FAST,wikipedia__commons,identifier__ISNI,identifier__LCAuth,identifier__BNF,name__ru,name__es,name__hu,wikipedia__ru,wikipedia__eo,name__eo,occupation,name__pt,name__sv,name__pl,name__nb,name__ar,wikipedia__ar,wikipedia__pl,name__sl,identifier__OLID,identifier__snac,identifier__NTA,wikipedia__hy,wikipedia__it,name__hy
Q13468200,Marcel Niat Njifenji,Marcel Niat Njifenji,Marcel Niat Njifenji,Marcel Niat Njifenji,male,1934-10-26,Marcel,Marcel Niat Njifenji,,https://upload.wikimedia.org/wikipedia/commons/5/51/Marcel_Niat_Njifenji_Senateur.jpg,Marcel Niat Njifenji,Marcel Niat Njifenji,Marcel Niat Njifenji,,,,,Category:Marcel Niat Njifenji,,,,,,,,,,engineer,,,,,,,,Marcel Niat Njifenji,,,,,,
Q15713967,Laure-Pauline Fotso,Laure-Pauline Fotso,Laure-Pauline Fotso,Laure-Pauline Fotso,female,,,Laure-Pauline Fotso,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,
Q15713968,Isaac Ngahane,Isaac Ngahane,Isaac Ngahane,Isaac Ngahane,male,,Isaac,Isaac Ngahane,Isaac Ngahane,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,
Q15713969,Jean-Michel Nintcheu,Jean-Michel Nintcheu,Jean-Michel Nintcheu,Jean-Michel Nintcheu,male,,Jean-Michel,Jean-Michel Nintcheu,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,
Q16269686,Claude Juimo Siewe Monthé,Claude Juimo Siewe Monthé,Claude Juimo Siewe Monthé,Claude Juimo Siewe Monthé,male,1961,Claude,Claude Juimo Siewe Monthé,,,,Claude Juimo Siewe Monthé,,,,,,,,,,,,,,,,businessperson,,,,,,,,Claude Juimo Siewe Monthé,,,,,,
Q18414272,Hamadou Sali,Hamadou Sali,Hamadou Sali,Hamadou Sali,male,1965-01-25,,Hamadou Sali,Hamadou Sali,https://upload.wikimedia.org/wikipedia/commons/4/42/Hamadou_Sali.jpg,,,,,,,,,,,,,,,,,,politician,,,,,,,,Hamadou Sali,,,,,,
Q21866844,Roger Nkodo Dang,Roger Nkodo Dang,Roger Nkodo Dang,Roger Nkodo Dang,male,1963-11-06,Roger,Roger Nkodo Dang,,,,Roger Nkodo Dang,Roger Nkodo Dang,,,,,,,,,,,,,Roger Nkodo Dang,Roger Nkodo Dang,politician,,,,,,,,Roger Nkodo Dang,,,,,,
Q23889241,Charly Gabriel Mbock,Charly Gabriel Mbock,Charly Gabriel Mbock,Charly Gabriel Mbock,male,1950-01-05,Charly,Charly Gabriel Mbock,,,,Charly Gabriel Mbock,,61549463,027020878,,,,0000 0000 8140 3119,n79125501,11915403d,,,,,,,writer,,,,,,,,Charly Gabriel Mbock,,,08476306X,,,
Q24175623,Laurent Serge Etoundi Ngoa,Laurent Serge Etoundi Ngoa,Laurent Serge Etoundi Ngoa,Laurent Serge Etoundi Ngoa,male,1955-03-01,Laurent,Laurent Serge Etoundi Ngoa,,,,Laurent Serge Etoundi Ngoa,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,
Q24175624,Julienne Keutcha,Julienne Keutcha,Julienne Keutcha,Julienne Keutcha,female,1924-10-21,,Julienne Keutcha,,,,Julienne Keutcha,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,
