id,name__az,name,name__en,gender,birth_date,given_name,identifier__PACE,identifier__VIAF,image,identifier__freebase,website,identifier__LCAuth,death_date,wikipedia__az,wikipedia__en,name__ru,name__hy,name__pl,wikipedia__commons,wikipedia__ru,name__fr,name__it,name__de,name__tr,name__es,name__nl,wikipedia__azwikiquote,wikipedia__tr,name__cs,name__fa,name__id,name__ka,name__ms,name__sv,name__zh,name__be,wikipedia__be,wikipedia__cs,wikipedia__fa,wikipedia__fr,wikipedia__hy,wikipedia__id,wikipedia__it,wikipedia__ka,wikipedia__ms,wikipedia__pl,wikipedia__sv,wikipedia__zh,name__ro,wikipedia__de,wikipedia__ro,name__ca,name__oc,name__en_gb,wikipedia__azwikibooks,wikipedia__es,name__uk,wikipedia__uk,wikipedia__gag,name__gag,original_wikiname,identifier__BNF,identifier__SUDOC,identifier__ISNI,identifier__NUKAT,identifier__LNB,identifier__FAST,name__hu,last_seen,name__da,name__fo,name__is,name__kl,name__nb,name__nn,name__ja,name__eu,name__tg,identifier__google_knowledge,name__ko,wikipedia__ko,occupation,facebook,name__el,name__he,wikipedia__ruwikinews,wikipedia__tg,wikipedia__pt,wikipedia__vi,name__pt,wikipedia__he,name__sk,name__vi,wikipedia__sk,wikipedia__uz,name__en_ca,wikipedia__el,name__uz,name__ar,wikipedia__ar,wikipedia__bg,name__bg,family_name,identifier__GND,identifier__SELIBR,name__ba,name__lb,wikipedia__ba,wikipedia__mk,wikipedia__myv,identifier__NTA,name__mk,name__myv
Q12835357,Abel Məhərrəmov,Abel Məhərrəmov,Abel Maharramov,male,1950-01-05,Abel,,,,,,,,Abel Məhərrəmov,,"Магеррамов, Абель Мамедали оглы",Աբել Մահարրամով,Abel Maharramov,Category:Abel Məhərrəmov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abel Məhərrəmov,,,,,,,,,,,,,,,,,,,,,scientist,,,,,,,,,,,,,,,,,,,,,,,,Магеррамов Абель Мамедали оглы,,,,,,,
Q12835439,Adil Əliyev,Adil Əliyev,Adil Aliyev,male,1969,,,,,,,,,Adil Əliyev (siyasətçi),Adil Aliyev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adil Əliyev (siyasətçi),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12836122,Asəf Hacıyev,Asəf Hacıyev,Asef Hadjiyev,male,1951-05-29,,,,,,,,,Asəf Hacıyev,Asef Hadjiyev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asəf Hacıyev,,,,,,,,,,,,,,,,,,,,,scientist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12836332,Azər Kərimli,Azər Kərimli,,male,,,,,,,,,,Azər Kərimli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Azər Kərimli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12836518,Azərbaycan Respublikası Milli Məclisinin deputatlarının siyahısı,Azərbaycan Respublikası Milli Məclisinin deputatlarının siyahısı,,,,,,,,,,,,Azərbaycan Respublikası Milli Məclisinin IV çağırış deputatlarının siyahısı,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Azərbaycan Respublikası Milli Məclisinin IV çağırış deputatlarının siyahısı,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12836966,Ağacan Abiyev,Ağacan Abiyev,,male,1937-11-24,,,,https://upload.wikimedia.org/wikipedia/commons/2/2c/Ağacan_Abiyev_Polşa_Senatında.JPG,,,,,Ağacan Abıyev,,,,,Category:Ağacan Abiyev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ağacan Əbiyev,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12838167,Ceyhun Osmanlı,Ceyhun Osmanlı,,male,1982-01-30,,,,,,,,,Ceyhun Osmanlı,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ceyhun Osmanlı,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12839020,Eldar İbrahimov,Eldar İbrahimov,,male,1945-03-12,,,,,,,,,Eldar İbrahimov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eldar İbrahimov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12839099,Elmira Axundova,Elmira Axundova,,female,1953-05-26,,,,,,,,,Elmira Axundova (siyasətçi),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elmira Axundova (siyasətçi),,,,,,,,,,,,,,,,,,,,,writer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12839143,Elton Məmmədov,Elton Məmmədov,,male,,,,,,,,,,Elton Məmmədov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elton Məmmədov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12839470,Fazil Mustafa,Fazil Mustafa,,female,1965,,,,,,,,,Fazil Mustafa,,,,,,,,Fazil Mustafa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fazil Mustafa,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12839554,Flora Qasımova,Flora Qasımova,,female,1947,Flora,,,,,,,,Flora Qasımova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flora Qasımova,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12839739,Fərəc Quliyev,Fərəc Quliyev,,male,1962-12-22,,,,,,,,,Fərəc Quliyev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fərəc Quliyev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12839767,Fəzail İbrahimli,Fəzail İbrahimli,,male,1951,,,,,,,,,Fəzail İbrahimli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fəzail İbrahimli,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12839846,Gövhər Baxşəliyeva,Gövhər Baxşəliyeva,Govhar Bakhshaliyeva,female,1954-11-26,,,,,,,,,Gövhər Baxşəliyeva,Govhar Bakhshaliyeva,"Бахшалиева, Говхар Бахшали кызы",,,,"Бахшалиева, Говхар Бахшали кызы",Govhar Bakhshaliyeva,,,,,Govhar Bakhshaliyeva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gövhər Baxşəliyeva,,,,,,,,,,,,,,,,,,,,,academic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12839980,Gülər Əhmədova,Gülər Əhmədova,Gular Ahmadova,female,1965-08-20,,,,https://upload.wikimedia.org/wikipedia/commons/c/c0/Gular-Ahmedova.jpg,,,,,Gülər Əhmədova,Gular Ahmadova,,,,,,Gular Ahmadova,,,,,Gular Ahmadova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gülər Əhmədova,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12840198,Hadı Rəcəbli,Hadı Rəcəbli,,male,1947-10-25,,,,https://upload.wikimedia.org/wikipedia/commons/b/bd/Hadi_Recebli.jpg,,,,,Hadi Rəcəbli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hadı Rəcəbli,,,,,,,,,,,,,,,,,,,,,scientist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12840465,Hüseynbala Mirələmov,Hüseynbala Mirələmov,,male,1945-06-25,,,58485152,,,,n2005037221,,Hüseynbala Mirələmov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hüseynbala Mirələmov,16714307m,117604437,0000 0000 5178 1987,,,,,,,,,,,,,,,,,,writer,,,,,,,,,,,,,,,,,,,,,,,283909,,,,,,,,
Q12840703,Jalə Əliyeva,Jalə Əliyeva,,female,1966,,,,,,,,,Jalə Əliyeva,,,,,Category:Jalə Əliyeva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jalə Əliyeva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12841562,Madər Musayev,Madər Musayev,hadji mader,male,1947-11-26,,,,,,,,,Madər Musayev,,,,,,,,,hadji mader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Madər Musayev,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12842011,Mirkazım Kazımov,Mirkazım Kazımov,,male,,,,,,,,,,Mirkazım Kazımov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mirkazım Kazımov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12842330,Musa Qasımlı,Musa Qasımlı,Musa Qasımlı,male,1957-10-28,,,,https://upload.wikimedia.org/wikipedia/commons/a/ae/Musa_Qasımlı_Sumqayıtın_Tarixi_Muzeyində.JPG,,,,,Musa Qasımlı,Musa Gasimli,"Гасымлы, Муса Джафарович",,,Category:Musa Qasımlı,"Гасымлы, Муса Джафарович",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Musa Qasımlı/Biblioqrafiya,,,,,,Musa Qasımlı,,,0000 0000 8224 2732,,,,,,,,,,,,,,,,,,scientist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12842413,Mübariz Qurbanlı,Mübariz Qurbanlı,Mubariz Gurbanli,male,1954-01-07,,,,"https://upload.wikimedia.org/wikipedia/commons/4/4c/DQİDK_sədri_Mübariz_Qurbanlının_""Amerikanın_Səsi""nə_müsahibəsi_-_2.jpg",,,,,Mübariz Qurbanlı,Mubariz Gurbanli,Мубариз Гурбанлы,,,Category:Mübariz Qurbanlı,"Гурбанлы, Мубариз",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mübariz Qurbanlı,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12843404,Novruzəli Aslanov,Novruzəli Aslanov,,male,1963-03-22,,,,https://upload.wikimedia.org/wikipedia/commons/0/0e/N.Aslan.jpg,,,,,Novruzəli Aslanov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Novruzəli Aslanov,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12844605,Qüdrət Həsənquliyev,Qüdrət Həsənquliyev,,male,1965-12-09,,,,,,,,,Qüdrət Həsənquliyev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qüdrət Həsənquliyev,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12844831,Rafael Cəbrayılov,Rafael Cəbrayılov,,male,1958-12-28,Rafael,,,,,,,,Rafael Cəbrayılov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rafael Cəbrayılov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12845204,Rüstəm Xəlilov,Rüstəm Xəlilov,Rüstam Xalilov,male,,Rüstam,,,,,,,,Rüstəm Xəlilov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rüstəm Xəlilov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12845219,Rəfael Hüseynov,Rəfael Hüseynov,Rafael Hüseynov,male,1955-08-12,Rafael,,,,,,,,Rafael Hüseynov,,Рафаэль Баба оглу Гусейнов,,Rafael Hüseynov,,"Гусейнов, Рафаэль Баба оглу",,,,,,,,,,,,,,,,,,,,,,,,,,Rafael Hüseynov,,,,,,,,,Rafael Hüseynov/Biblioqrafiya,,,,,,Rafael Hüseynov,,,0000 0003 5686 3748,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,Hüseynov,,,,,,,,,,
Q12845295,Rəşad Mahmudov,Rəşad Mahmudov,,male,1974-01-18,,,,https://upload.wikimedia.org/wikipedia/commons/a/ae/R.mahmudov.jpg,,,,,Rəşad Mahmudov,,,,,Category:Rəşad Mahmudov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rəşad Mahmudov,,,,,,,,,,,,,,,,,,,,,scientist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12845656,Sevinc Fətəliyeva,Sevinc Fətəliyeva,,female,,,,,,,,,,Sevinc Fətəliyeva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sevinc Fətəliyeva,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12846308,Səttar Mehbalıyev,Səttar Mehbalıyev,,male,1955,,,,,,,,,Səttar Mehbalıyev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Səttar Möhbalıyev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12846349,Tahir Süleymanov,Tahir Süleymanov,,male,1948-09-24,,,,,,,,,Tahir Süleymanov (siyasətçi),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tahir Süleymanov (siyasətçi),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12847105,Valeh Ələsgərov,Valeh Ələsgərov,,male,1946-10-19,,,,,,,,,Valeh Ələsgərov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valeh Ələsgərov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12847503,Xanhüseyn Kazımlı,Xanhüseyn Kazımlı,,,,,,,,,,,,Xanhüseyn Kazımlı,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xanhüseyn Kazımlı,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12847511,Xanlar Fətiyev,Xanlar Fətiyev,,male,1972-01-15,,,,,,,,,Xanlar Fətiyev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xanlar Fətiyev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12848740,Ülvi Quliyev,Ülvi Quliyev,,male,1966-09-17,,,,,,,,,Ülvi Quliyev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ülvi Quliyev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12848996,İmamverdi İsmayılov,İmamverdi İsmayılov,,male,1958-06-10,,,,,,,,,İmamverdi İsmayılov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,İmamverdi İsmayılov,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12849104,İqbal Ağazadə,İqbal Ağazadə,,male,1968-09-18,,,,,,,,,İqbal Ağazadə,,Игбал Фехруз оглы Агазаде,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,İqbal Ağazadə,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12849106,İqbal Məmmədov,İqbal Məmmədov,,male,1965,,,,,,,,,İqbal Məmmədov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,İqbal Məmmədov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12849768,Şəmsəddin Hacıyev,Şəmsəddin Hacıyev,,male,1950-11-08,,,,,,,,,Şəmsəddin Hacıyev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Şəmsəddin Hacıyev,,,,,,,,,,,,,,,,,,,,,scientist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12849884,Əflatun Amaşov,Əflatun Amaşov,,male,1957-04-26,,,,https://upload.wikimedia.org/wikipedia/commons/0/0a/Aflatun_Amashov_(30-09-2015-c).jpg,,,,,Əflatun Amaşov,,,,,Category:Əflatun Amaşov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Əflatun Amaşov,,,,,,,,,,,,,,,,,,,,,journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12850308,Ərəstun Cavadov,Ərəstun Cavadov,,male,,,,,,,,,,Ərəstun Cavadov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ərəstun Cavadov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13553633,Nizami Cəfərov,Nizami Cəfərov,,male,1959-09-21,,,18411288,,,,n2003106975,,Nizami Cəfərov (akademik),,"Джафаров, Низами Гулу оглы",,,,"Джафаров, Низами Гулу оглы",,,,,,,Nizami Cəfərov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nizami Cəfərov (akademik),,147593573,0000 0000 8097 856X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133366537,,,,,,,,,
Q14946401,Gülçöhrə Məmmədova,Gülçöhrə Məmmədova,Gülçöhrə Məmmədova,female,1953-04-24,,,,,,,,,Gülçöhrə Məmmədova,,,,,,,,,,Gülçöhre Memmedova,Gülçöhre Memmedova,,,Gülçöhre Memmedova,,,,,,,,,,,,,,,,,,,,,,,,,,Gülçöhrə Məmmədova,,,,,,,Gülçöhrə Məmmədova,,,,,,,Gülçöhrə Məmmədova,,,,,,,,,,,,,,architect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16364594,Arif Alışanov,Arif Alışanov,,male,1960-07-30,,,,https://upload.wikimedia.org/wikipedia/commons/e/e4/Arif_Alishanov_comm.jpg,,,,,Arif Alışanov,,,,,Category:Arif Alishanov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arif Alışanov,,,,,,,,,,,,,,,,,,,,,economist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16364619,Arif Rəhimzadə,Arif Rəhimzadə,,male,1941-02-03,,,,,,,,,Arif Rəhimzadə,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arif Rəhimzadə,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16364732,Astan Şahverdiyev,Astan Şahverdiyev,,male,1947,,,,,,,,2018-04-15,Astan Şahverdiyev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Astan Şahverdiyev,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16364940,Aytən Mustafayeva,Aytən Mustafayeva,,female,1968,,,161497330,,,,,,Aytən Mustafazadə,,,,,Category:Ayten Mustafayeva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aytən Mustafayeva,,,0000 0001 1782 6384,,000207550,,,,,,,,,,,,,,,,scientist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16365430,Bahar Muradova,Bahar Muradova,Bahar Muradova,female,1962-03-20,Bahar,,,https://upload.wikimedia.org/wikipedia/commons/6/61/Bahar_Muradova_-_2016.jpg,,,,,Bahar Muradova,Bahar Muradova,,,,Category:Bahar Muradova,,Bahar Muradova,Bahar Muradova,Bahar Muradova,,,Bahar Muradova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bahar Muradova,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
