id,position,label,description,start_date,constituency,term,replaces,end_date,replaced_by,of,election
Q597909,Q6866108,Minister of Education,minister in the government of New Zealand,1989-08-14,,,Geoffrey Palmer,1990-11-02,Lockwood Smith,,
Q597909,Q6866148,Minister of Foreign Affairs,Minister of Foreign Affairs for New Zealand,1999-12-05,,,Don McKinnon,2005-10-19,Winston Peters,,
Q597909,Q6866227,Minister of Justice,Minister of Justice in New Zealand,1999-12-05,,,Tony Ryall,2005-10-19,Mark Burton,,
Q6116240,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q6121023,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",Waitaki,52nd New Zealand Parliament,,,,,
Q6121618,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q6128819,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,52nd New Zealand Parliament,,,,,
Q6146339,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",Botany,52nd New Zealand Parliament,,,,,
Q6149394,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,52nd New Zealand Parliament,,,,,
Q6151033,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q6191470,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,52nd New Zealand Parliament,,,,,
Q6193011,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q6198412,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q6198412,Q6866033,Minister of Agriculture,in New Zealand,1990-02-09,,,,1990-11-02,,,
Q6204252,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q6220548,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q6220548,Q6797658,Mayor of Auckland City,"",2007,,,Dick Hubbard,2010-10-31,,,
Q6222506,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q6272804,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",Northcote,51st New Zealand Parliament,,,,,
Q6274873,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",New Plymouth,52nd New Zealand Parliament,,,,,
Q6275863,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,51st New Zealand Parliament,,,,,
Q6303349,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",Papakura,51st New Zealand Parliament,,,,,
Q6303349,Q6866081,Minister of Corrections,New Zealand minister,2008-11-19,,,,2011-12-12,,,
Q6303349,Q6866081,Minister of Corrections,New Zealand minister,2015-12-14,,,,2016-12-20,,,
Q6303349,Q6866227,Minister of Justice,Minister of Justice in New Zealand,2011-12-12,,,,2014-08-30,,,
Q6303701,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q6304632,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q6308013,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,52nd New Zealand Parliament,,,,,
Q6336063,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",Tauranga,52nd New Zealand Parliament,,,,,
Q6376524,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"","",48th New Zealand Parliament,,,,,
Q6377977,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q6384659,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q6386648,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",Te Tai Tokerau,52nd New Zealand Parliament,,,,,
Q6389622,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q6395132,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",North Shore,52nd New Zealand Parliament,,,,,
Q6415023,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,52nd New Zealand Parliament,,,,,
Q6416051,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",Upper Harbour,52nd New Zealand Parliament,,,,,
Q6416051,Q25998902,Minister of Social Development,minister in New Zealand,"",,,,,,,
Q6437165,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",Mana,52nd New Zealand Parliament,,,,,
Q6540092,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,1990-10-27,Christchurch Central,,Geoffrey Palmer,1996-10-12,Tim Barnett,,
Q6540092,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,1999-11-27,Christchurch East,,Larry Sutherland,2013-10-11,Poto Williams,,
Q6540092,Q6797690,Mayor of Christchurch,head of the municipal government of Christchurch,2013-10-24,,,Bob Parker,,,,
Q6552827,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q6688567,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",Manurewa,52nd New Zealand Parliament,,,,,
Q6688567,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,2008-03-04,Manurewa,,,2008-11-08,,,
Q6688567,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,2011-04-12,Manurewa,,,,,,
Q6688985,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",Taupō,52nd New Zealand Parliament,,,,,
Q6694974,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q6709407,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q6733187,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q6761913,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q6766765,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q6766942,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q6766942,Q6866227,Minister of Justice,Minister of Justice in New Zealand,"",,,,,,,
Q6767782,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q6768911,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",Rodney,52nd New Zealand Parliament,,,,,
Q6775496,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q6781110,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q6808764,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",Wigram,52nd New Zealand Parliament,,,,,
Q6812766,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,52nd New Zealand Parliament,,,,,
Q6835440,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,52nd New Zealand Parliament,,,,,
Q6848669,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,2011-11-26,,,,2015-01-30,,,
Q6880701,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q6886402,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q6895114,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q6969095,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",Ōtaki,52nd New Zealand Parliament,,,,,
Q7028713,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,52nd New Zealand Parliament,,,,,
Q7035240,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",Auckland Central,52nd New Zealand Parliament,,,,,
Q7150935,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,52nd New Zealand Parliament,,,,,
Q7151444,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q7153042,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q7153883,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q7153883,Q6866081,Minister of Corrections,New Zealand minister,"",,,,,,,
Q7172024,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q7172996,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,1996,,,,2008,,,
Q7181989,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q7182502,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",Te Atatū,52nd New Zealand Parliament,,,,,
Q7198588,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q727542,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,1999-11-27,,,,2008-06-26,,,
Q7283574,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q7285965,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q7298875,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,52nd New Zealand Parliament,,,,,
Q7298875,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,2017-03-16,"",51st New Zealand Parliament,,,,,
Q7330098,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q7331218,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q7356954,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,2005,Epsom,,Richard Worth,2011,John Banks,,
Q7364115,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,52nd New Zealand Parliament,,,,,
Q7369613,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q7381499,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q7382960,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",Port Hills,52nd New Zealand Parliament,,,,,
Q7407811,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q7407811,Q6866081,Minister of Corrections,New Zealand minister,"",,,,,,,
Q7416624,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q7437262,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",Coromandel,52nd New Zealand Parliament,,,,,
Q7488117,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,52nd New Zealand Parliament,,,,,
Q7519453,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",Tāmaki,52nd New Zealand Parliament,,,,,
Q7519563,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q7519563,Q6866227,Minister of Justice,Minister of Justice in New Zealand,2008-11-19,,,Annette King,2011-12-12,Judith Collins,,
Q7606591,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q7612185,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q7613243,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,1990,Palmerston North,,Trevor de Cleene,2008,Iain Lees-Galloway,,
Q7613243,Q6866108,Minister of Education,minister in the government of New Zealand,2005-10,,,Trevor Mallard,2007-10-31,Chris Carter,,
Q7614885,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,51st New Zealand Parliament,,,,,
Q7614885,Q6866129,New Zealand finance minister,in New Zealand,2016-12-20,,,,2017-10-20,,,
Q7614885,Q6866214,Minister of Infrastructure,Cabinet position in New Zealand,2016-12-20,,,,2017-10-26,,,
Q7626890,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",Napier,52nd New Zealand Parliament,,,,,
Q7634025,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q7634166,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q7634206,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q7676492,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q7680951,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",Waiariki,52nd New Zealand Parliament,,,,,
Q7688619,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q7803867,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",Hamilton West,52nd New Zealand Parliament,,,,,
Q7823330,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,,,,,,
Q7823330,Q6866227,Minister of Justice,Minister of Justice in New Zealand,"",,,,,,,
Q7831246,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,52nd New Zealand Parliament,,,,,
Q7839303,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,52nd New Zealand Parliament,,,,,
Q7839303,Q6866108,Minister of Education,minister in the government of New Zealand,1999,,,Nick Smith,2005,Steve Maharey,,
Q8021596,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",,52nd New Zealand Parliament,,,,,
Q976339,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",Nelson,52nd New Zealand Parliament,,,,,
Q976339,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,1990,Tasman,,,1996,,,
Q976339,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,1996,Nelson,,John Blincoe,,,,
Q976339,Q6866068,Minister of Conservation,"",2013-01-22,,,Kate Wilkinson,2014-10-08,Maggie Barry,,
Q976339,Q6866081,Minister of Corrections,New Zealand minister,"",,,,,,,
Q976339,Q6866108,Minister of Education,minister in the government of New Zealand,1999-01-31,,,Wyatt Creech,1999-12-10,Trevor Mallard,,
Q982000,Q18145518,Member of the New Zealand House of Representatives,representative elected by the voters in New Zealand,"",Christchurch Central,,Lianne Dalziel,,Brendon Burns,,
