id,name,sort_name,party,area,photo,email,facebook,twitter,term,source,honorific_prefix,start_date,end_date,wikidata
51MP141,Gerry Brownlee,"Brownlee, Gerry",National Party,Ilam,https://www.parliament.nz/media/1271/brownlee-gerry3.C1fwxA.jpg,gerry.brownlee@parliament.govt.nz,https://www.facebook.com/gerrybrownleemp,"",51,https://www.parliament.nz/en/mps-and-electorates/members-of-parliament/document/51MP141/brownlee-gerry,,2014-10-20,,
51MP171,David Carter,"Carter, David",National Party,List,https://www.parliament.nz/media/1273/carter-david3.C1fwxA.jpg,david.carter@parliament.govt.nz,https://www.facebook.com/DavidCarterMP,https://twitter.com/DavidCarterMP,51,https://www.parliament.nz/en/mps-and-electorates/members-of-parliament/document/51MP171/carter-david,,2014-10-20,,
51MP2331,David Bennett,"Bennett, David",National Party,Hamilton East,https://www.parliament.nz/media/1262/bennett-david3.C1fwww.jpg,david.bennett@parliament.govt.nz,https://www.facebook.com/david.bennettmp,https://twitter.com/davidbennettmp,51,https://www.parliament.nz/en/mps-and-electorates/members-of-parliament/document/51MP2331/bennett-david,,2014-10-20,,
51MP2421,Chester Borrows,"Borrows, Chester",National Party,Whanganui,https://www.parliament.nz/media/1269/borrows-chester3.C1fwww.jpg,chester.borrows@parliament.govt.nz,https://www.facebook.com/chesterborrows,https://twitter.com/ChesterBorrows,51,https://www.parliament.nz/en/mps-and-electorates/members-of-parliament/document/51MP2421/borrows-chester,,2014-10-20,,
51MP2511,Paula Bennett,"Bennett, Paula",National Party,Upper Harbour,https://www.parliament.nz/media/1263/bennett-paula3.C1fwww.jpg,paula.bennett@parliament.govt.nz,https://www.facebook.com/paulabennettmp,https://twitter.com/paulabennettmp,51,https://www.parliament.nz/en/mps-and-electorates/members-of-parliament/document/51MP2511/bennett-paula,,2014-10-20,,
51MP2691,Amy Adams,"Adams, Amy",National Party,Selwyn,https://www.parliament.nz/media/2061/adams-amy.C2zLkg.jpg,amy.adams@parliament.govt.nz,https://www.facebook.com/MPAmyAdams,https://twitter.com/amyadamsMP,51,https://www.parliament.nz/en/mps-and-electorates/members-of-parliament/document/51MP2691/adams-amy,,2014-10-20,,
51MP2701,Simon Bridges,"Bridges, Simon",National Party,Tauranga,https://www.parliament.nz/media/2058/bridgess.DJq5zQ.jpg,simon.bridges@parliament.govt.nz,https://www.facebook.com/Simon.Bridges.MP,https://twitter.com/simonjbridges,51,https://www.parliament.nz/en/mps-and-electorates/members-of-parliament/document/51MP2701/bridges-simon,,2014-10-20,,
51MP2831,Kanwaljit Singh Bakshi,"Bakshi, Kanwaljit Singh",National Party,List,https://www.parliament.nz/media/1259/bakshi-kanwaljitsingh3.C1fwwg.jpg,KanwaljitSingh.Bakshi@parliament.govt.nz,https://www.facebook.com/Bakshiks,https://twitter.com/Bakshiks,51,https://www.parliament.nz/en/mps-and-electorates/members-of-parliament/document/51MP2831/bakshi-kanwaljit-singh,,2014-10-20,,
51MP3011,Jacinda Ardern,"Ardern, Jacinda",Labour Party,List,https://www.parliament.nz/media/1234/ardern-jacinda.C1arZA.jpg,jacinda.ardern@parliament.govt.nz,https://www.facebook.com/jacindaardern,https://twitter.com/jacindaardern,51,https://www.parliament.nz/en/mps-and-electorates/members-of-parliament/document/51MP3011/ardern-jacinda,,2014-10-20,,
51MP3061,David Clendon,"Clendon, David",Green Party,List,https://www.parliament.nz/media/2059/clendon-david.C24Xiw.jpg,david.clendon@parliament.govt.nz,https://www.facebook.com/david.clendon,https://twitter.com/davidclendon,51,https://www.parliament.nz/en/mps-and-electorates/members-of-parliament/document/51MP3061/clendon-david,,2014-10-20,,
