id,name,sort_name,photo,email,facebook,twitter,source,honorific_prefix,start_date,end_date,area,party,term
adams-amy,Amy Adams,"Adams, Amy",https://www.parliament.nz/media/2061/adams-amy.DmxLlw.jpg,amy.adams@parliament.govt.nz,https://www.facebook.com/MPAmyAdams,https://twitter.com/amyadamsMP,https://www.parliament.nz/en/mps-and-electorates/members-of-parliament/adams-amy/,,2017-10-12,,Selwyn,National Party,52
bayly-andrew,Andrew Bayly,"Bayly, Andrew",https://www.parliament.nz/media/1260/bayly-andrew.DmxK4w.jpg,Andrew.bayly@parliament.govt.nz,"","",https://www.parliament.nz/en/mps-and-electorates/members-of-parliament/bayly-andrew/,,2017-10-12,,Hunua,National Party,52
bishop-chris,Chris Bishop,"Bishop, Chris",https://www.parliament.nz/media/4710/bishop-chris.D4ZjcA.jpg,Chris.bishop@parliament.govt.nz,https://www.facebook.com/chrisbishopmp,https://twitter.com/cjsbishop,https://www.parliament.nz/en/mps-and-electorates/members-of-parliament/bishop-chris/,,2017-10-12,,Hutt South,National Party,52
curran-clare,Clare Curran,"Curran, Clare",https://www.parliament.nz/media/1279/curran-clare.DmxK5w.jpg,clare.curran@parliament.govt.nz,https://www.facebook.com/ClareCurranForDunedinSouth,https://twitter.com/ClareCurranMP,https://www.parliament.nz/en/mps-and-electorates/members-of-parliament/curran-clare/,,2017-10-12,,Dunedin South,Labour Party,52
bidois-dan,Dan Bidois,"Bidois, Dan",https://www.parliament.nz/media/4843/bidois-dan.D-0dEQ.jpg,Daniel.Bidois@parliament.govt.nz,"","",https://www.parliament.nz/en/mps-and-electorates/members-of-parliament/bidois-dan/,,2018-06-09,,Northcote,National Party,52
ball-darroch,Darroch Ball,"Ball, Darroch",https://www.parliament.nz/media/2047/ball-darroch.DmxLkw.jpg,Darroch.Ball@parliament.govt.nz,https://www.facebook.com/darroch.ball,https://twitter.com/darrochball,https://www.parliament.nz/en/mps-and-electorates/members-of-parliament/ball-darroch/,,2017-10-12,,List,NZ First,52
bennett-david,David Bennett,"Bennett, David",https://www.parliament.nz/media/1262/bennett-david3.DmxK4w.jpg,david.bennett@parliament.govt.nz,https://www.facebook.com/david.bennettmp,https://twitter.com/davidbennettmp,https://www.parliament.nz/en/mps-and-electorates/members-of-parliament/bennett-david/,,2017-10-12,,Hamilton East,National Party,52
carter-david,David Carter,"Carter, David",https://www.parliament.nz/media/1273/carter-david3.DmxK5g.jpg,david.carter@parliament.govt.nz,https://www.facebook.com/DavidCarterMP,https://twitter.com/DavidCarterMP,https://www.parliament.nz/en/mps-and-electorates/members-of-parliament/carter-david/,,2017-10-12,,List,National Party,52
clark-david,David Clark,"Clark, David",https://www.parliament.nz/media/1272/clark-david3.DmxK5Q.jpg,david.clark@parliament.govt.nz,https://www.facebook.com/DavidClarkMP/,https://twitter.com/DavidClarkNZ,https://www.parliament.nz/en/mps-and-electorates/members-of-parliament/clark-david/,Dr,2017-10-12,,Dunedin North,Labour Party,52
brownlee-gerry,Gerry Brownlee,"Brownlee, Gerry",https://www.parliament.nz/media/1271/brownlee-gerry3.DmxK5Q.jpg,gerry.brownlee@parliament.govt.nz,https://www.facebook.com/gerrybrownleemp,"",https://www.parliament.nz/en/mps-and-electorates/members-of-parliament/brownlee-gerry/,,2017-10-12,,Ilam,National Party,52
