id,name__en,name__ca,name__es,name__fr,name__nl,name__sco,name__de,name__tr,name__hu,name,wikipedia__ca,wikipedia__en,wikipedia__fr,wikipedia__tr,image,gender,birth_date,original_wikiname,name__oc,name__it,name__nb,name__da,name__nn,name__sv,name__mg,wikipedia__mg,wikipedia__oc,wikipedia__sco,given_name,name__ru,family_name,wikipedia__ru,identifier__VIAF,website,twitter,wikipedia__commons,death_date,name__zh,wikipedia__enwikiquote,wikipedia__zh,wikipedia__de,name__ja,wikipedia__enwikisource,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__pl,name__ang,name__he,name__ko,name__mi,name__ms,name__gl,name__et,name__id,name__bn,name__el,name__ar,name__pt,name__eo,name__sr_el,name__sr_ec,name__fi,name__cy,name__cs,name__sgs,name__mr,name__fa,name__io,name__rm,name__az,name__hr,name__lt,name__tpi,name__eu,name__sr,name__vi,name__be,name__uk,name__ast,name__ne,name__ml,wikipedia__ang,wikipedia__ar,wikipedia__ast,wikipedia__az,wikipedia__bat_smg,wikipedia__be,wikipedia__bn,wikipedia__cs,wikipedia__cy,wikipedia__da,wikipedia__el,wikipedia__eo,wikipedia__es,wikipedia__et,wikipedia__eu,wikipedia__fa,wikipedia__fi,wikipedia__gl,wikipedia__he,wikipedia__hr,wikipedia__id,wikipedia__io,wikipedia__it,wikipedia__ja,wikipedia__ko,wikipedia__lt,wikipedia__mi,wikipedia__ml,wikipedia__mr,wikipedia__ms,wikipedia__nl,wikipedia__nn,wikipedia__no,wikipedia__pl,wikipedia__pt,wikipedia__simple,wikipedia__sr,wikipedia__sv,wikipedia__tpi,wikipedia__uk,wikipedia__vi,identifier__ISNI,identifier__GND,identifier__LCAuth,identifier__SUDOC,identifier__IMDB,honorific_prefix,identifier__freebase,identifier__NKC,identifier__NNDB,identifier__Munzinger,identifier__FAST,facebook,identifier__NLAtrove,identifier__BNF,identifier__NDL,identifier__NTA,name__yue,wikipedia__zh_yue,name__af,name__an,name__bar,name__bm,name__br,name__co,name__de_at,name__de_ch,name__en_ca,name__en_gb,name__frc,name__frp,name__fur,name__ga,name__gd,name__gsw,name__ia,name__ie,name__jam,name__kab,name__kg,name__lb,name__li,name__lij,name__lv,name__min,name__nap,name__nds,name__nds_nl,name__nrm,name__pap,name__pcd,name__pms,name__prg,name__pt_br,name__rgn,name__ro,name__sc,name__scn,name__sk,name__sw,name__vec,name__vls,name__vmf,name__vo,name__wa,name__wo,name__zu,identifier__ULAN,name__qu,name__sm,name__uz,name__ta,name__mk,name__yo,name__sh,name__wuu,name__la,name__hi,name__th,name__hif,wikipedia__enwikinews,wikipedia__ga,wikipedia__hif,wikipedia__hi,wikipedia__hu,wikipedia__la,wikipedia__lb,wikipedia__lv,wikipedia__mk,wikipedia__qu,wikipedia__ro,wikipedia__ruwikinews,wikipedia__sh,wikipedia__sm,wikipedia__ta,wikipedia__th,wikipedia__uz,wikipedia__wuu,wikipedia__yo,identifier__OpenPlaques,name__tl,wikipedia__tl,identifier__CANTIC,name__sl,wikipedia__sl,name__bg,wikipedia__bgwikiquote,identifier__MusicBrainz,identifier__senate_nl,wikipedia__plwikiquote,identifier__discogs,identifier__Britannica,identifier__wikitree,occupation,wikipedia__fawikiquote,wikipedia__ptwikiquote,identifier__nlg,identifier__NLA,wikipedia__sq,name__hy,wikipedia__hy,name__sq,wikipedia__azb,name__azb,name__as,name__bs,name__ceb,name__de_formal,name__dsb,name__eml,name__fo,name__frr,name__fy,name__hsb,name__is,name__mt,name__nl_informal,name__se,name__ht,name__jv,name__su,name__ay,wikipedia__br,wikipedia__kk,identifier__snac,name__kk,wikipedia__eowikinews,identifier__quora,wikipedia__sk,name__or,name__ext,wikipedia__ie,identifier__BIBSYS,identifier__NUKAT,instagram,wikipedia__kn,name__ace,name__kn,identifier__SELIBR,identifier__LNB,identifier__GNC,wikipedia__zh_min_nan,wikipedia__is,wikipedia__te,name__te,wikipedia__ka,name__nan,name__ka,identifier__GTAA,name__aa,name__bcl,name__bi,name__cdo,name__ch,name__cho,name__chy,name__cr,name__crh_latn,name__csb,name__cu,name__diq,name__ff,name__fj,name__gn,name__got,name__gv,name__hak,name__haw,name__hif_latn,name__ho,name__hz,name__ig,name__ik,name__ike_latn,name__ilo,name__jbo,name__kaa,name__ki,name__kj,name__kk_latn,name__kl,name__kr,name__ksh,name__ku_latn,name__kw,name__lad,name__lg,name__lmo,name__ln,name__lo,name__ltg,name__map_bms,name__mh,name__mo,name__mus,name__mwl,name__my,name__na,name__nah,name__nov,name__nso,name__nv,name__om,name__pag,name__pam,name__pdc,name__pih,name__rmy,name__rn,name__ruq_latn,name__rw,name__sg,name__shi_latn,name__sn,name__so,name__srn,name__ss,name__st,name__stq,name__szl,name__tet,name__tg_latn,name__tk,name__tn,name__to,name__ts,name__tt,name__tt_latn,name__tum,name__tw,name__ty,name__ug_latn,name__ve,name__vep,name__war,name__xh,name__za,name__zea,wikipedia__bg,identifier__OLID
Q1266756,Peter Dunne,Peter Dunne,Peter Dunne,Peter Dunne,Peter Dunne,Peter Dunne,Peter Dunne,,Peter Dunne,Peter Dunne,Peter Dunne,Peter Dunne,,,https://upload.wikimedia.org/wikipedia/commons/6/67/Peter_Dunne.jpg,male,1954-03-17,Peter Dunne,,,,,,,,,,,Peter,,,,26794239,,honpeterdunne,Category:Peter Dunne,,,,,Peter Dunne,,,,,,,,,Peter Dunne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000 0000 6398 5506,,no2005035442,,,,/m/0237q8,,,,1610142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peter Dunne,,Питър Дън,Питър Дън,,,Peter Dunne,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q13566358,Meka Whaitiri,Meka Whaitiri,,Meka Whaitiri,Meka Whaitiri,,Meka Whaitiri,,,Meka Whaitiri,Meka Whaitiri,Meka Whaitiri,,,https://upload.wikimedia.org/wikipedia/commons/9/95/Meka_Whaitiri_crop.jpg,female,1965-01-11,Meka Whaitiri,,,,,,,,,,,,,,,,,mekawhaitiri,Category:Meka Whaitiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Meka Whaitiri,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1396178,Winston Peters,Winston Peters,Winston Peters,Winston Peters,Winston Peters,Winston Peters,Winston Peters,Winston Peters,Winston Peters,Winston Peters,Winston Peters,Winston Peters,Winston Peters,Winston Peters,https://upload.wikimedia.org/wikipedia/commons/a/a9/WinstonPetersEuropa.jpg,male,1945-04-11,Winston Peters,,,Winston Peters,Winston Peters,Winston Peters,Winston Peters,,,,Winston Peters,Winston,Уинстон Питерс,Peters,"Питерс, Уинстон",54959202,,,Category:Winston Peters,,温斯顿·彼特斯,Winston Peters,温斯顿·彼特斯,Winston Peters,ウインストン・ピータース,,温斯顿·彼特斯,溫斯頓·彼特斯,溫斯頓·彼特斯,,,,,,,,Winitana Pita,Winston Peters,,,,,,ونستون بيترز,,,,,Winston Peters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Winston Peters,,,,,,,ウインストン・ピータース,,,Winitana Pita,,,Winston Peters,,,,,,Winston Peters,,,,,,0000 0000 7862 9846,119484897,n96025474,,,,/m/01xd2v,,,,372179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Winston Peters,,,,,,,,,Winston Peters,,,,,,,,,,,,,,,,,,Winston Peters,,,,,,,,,,rugby union player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Winston-Peters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15196319,David Parker,David Parker,,David Parker,David Parker,,,,,David Parker,David Parker,David Parker (New Zealand politician),,,https://upload.wikimedia.org/wikipedia/commons/2/27/David_Parker_NZ.jpg,male,1960,David Parker (New Zealand politician),,,,,,,,,,,David,Дэвид Паркер,Parker,,66284750,http://davidparker.co.nz/,DavidParkerMP,Category:David Parker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000 0000 4727 8027,,,,,,/m/043st2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David Parker,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1543207,Grant Robertson,Grant Robertson,Grant Robertson,Grant Robertson,Grant Robertson,,Grant Robertson,,Grant Robertson,Grant Robertson,Grant Robertson,Grant Robertson,,,https://upload.wikimedia.org/wikipedia/commons/0/08/Grant_Robertson.jpg,male,1971-10-30,Grant Robertson,,,,,,,,,,,Grant,,Robertson,,312881969,http://www.grantrobertson.co.nz/,grantrobertson1,Category:Grant Robertson,,,,,Grant Robertson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no2014156437,,,,/m/04yg7vl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grant Robertson,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16182,Maurice Williamson,Maurice Williamson,Maurice Williamson,Maurice Williamson,Maurice Williamson,Maurice Williamson,Maurice Williamson,,Maurice Williamson,Maurice Williamson,,Maurice Williamson,,,"https://upload.wikimedia.org/wikipedia/commons/d/d8/Maurice_Williamson_at_the_NZ_Open_Source_Awards,_2007.jpg",male,1951-03-06,Maurice Williamson,Maurice Williamson,Maurice Williamson,Maurice Williamson,Maurice Williamson,Maurice Williamson,Maurice Williamson,Maurice Williamson,Maurice Williamson,,Maurice Williamson,Maurice,,Williamson,,,,williamson_nz,,,,,,,モーリス・ウィリアムソン,,,,,,,,,,,,,,Maurice Williamson,,,,,موريس وليامسون,,,,,,,,,,,,,,,,,,,,,,Maurice Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,モーリス・ウィリアムソン,,,,,,,,,,,,,,,,,,,,,,,,/m/043tj9,,,,,,,,,,,,,Maurice Williamson,,,,,,Maurice Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maurice Williamson,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maurice Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16192869,Hekia Parata,,,Hekia Parata,Hekia Parata,,Hekia Parata,,,Hekia Parata,,Hekia Parata,,,https://upload.wikimedia.org/wikipedia/commons/2/22/New_Zealand_Minister_of_Education_Hekia_Parata.jpg,female,1958-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hekia Parata,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16200287,Todd McClay,,,Todd McClay,Todd McClay,,Todd McClay,,,Todd McClay,,Todd McClay,,,https://upload.wikimedia.org/wikipedia/commons/3/39/Todd_McClay.jpg,male,1968-11-22,Todd McClay,,,,,,,,,,,Todd,,McClay,,,,toddmcclaymp,Category:Todd McClay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Todd McClay,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16208070,Su'a William Sio,,,Su'a William Sio,William Sio,,Su'a William Sio,,,Su'a William Sio,,William Sio,,,https://upload.wikimedia.org/wikipedia/commons/9/93/Su'a_William_Sio.jpg,male,,William Sio,,,,,,,,,,,William,,,,,,AupitoWSio_MP,Category:William Sio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Su'a William Sio,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16729720,Joanne Hayes,,,Joanne Hayes,Jo Hayes,,Joanne Hayes,,,Joanne Hayes,,Jo Hayes,,,,female,,Jo Hayes,,,,,,,,,,,Joanne,,Hayes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joanne Hayes,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
