id,name,name__en,name__de,name__fr,wikipedia__en,gender,birth_date,given_name,original_wikiname,name__es,name__nl,name__ja,wikipedia__de,occupation,name__lb,name__zh,name__tum,name__pl,name__ko,name__he,name__oc,name__yo,name__ms,name__et,name__id,name__ny,name__ml,name__br,name__vi,name__el,name__ar,name__sv,name__pt,name__eo,name__ru,name__sr,name__tr,name__ca,name__fi,name__la,name__os,name__io,name__mr,name__ka,name__nb,name__uk,name__fa,name__nn,name__da,name__be,name__it,name__sco,name__cs,name__kk,name__hu,wikipedia__ar,wikipedia__ast,wikipedia__be,wikipedia__br,wikipedia__ca,wikipedia__cs,wikipedia__da,wikipedia__el,wikipedia__eo,wikipedia__es,wikipedia__et,wikipedia__fa,wikipedia__fi,wikipedia__fr,wikipedia__he,wikipedia__id,wikipedia__io,wikipedia__it,wikipedia__ja,wikipedia__ka,wikipedia__kk,wikipedia__ko,wikipedia__la,wikipedia__lb,wikipedia__ml,wikipedia__mr,wikipedia__ms,wikipedia__nl,wikipedia__nn,wikipedia__no,wikipedia__ny,wikipedia__oc,wikipedia__os,wikipedia__pl,wikipedia__pt,wikipedia__ru,wikipedia__sco,wikipedia__sr,wikipedia__sv,wikipedia__tr,wikipedia__tum,wikipedia__uk,wikipedia__vi,wikipedia__yo,wikipedia__zh,image,identifier__freebase,family_name,identifier__VIAF,identifier__ISNI,identifier__LCAuth,identifier__Britannica,name__ast,twitter,death_date,wikipedia__zh_yue,name__yue,instagram,facebook,identifier__IMDB,wikipedia__commons,name__bar,name__sl,name__zh_hant,name__zh_hans,name__pt_br
Q16216577,Sosten Gwengwe,Sosten Gwengwe,Sosten Gwengwe,Sosten Gwengwe,Sosten Gwengwe,male,1977-05-20,,,Sosten Gwengwe,Sosten Gwengwe,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sosten Gwengwe,,,,,,,,,,Sosten Gwengwe,,,
Q16733055,Henry Mussa,Henry Mussa,Henry Mussa,Henry Mussa,Henry Mussa,male,,Henry,,Henry Mussa,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mussa,,,,,Henry Mussa,,,,,,,,,,Henry Mussa,,,
Q18390332,Richard Msowoya,Richard Msowoya,Richard Msowoya,Richard Msowoya,Richard Msowoya,male,,Richard,,Richard Msowoya,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Richard Msowoya,,,,,,,,,,Richard Msowoya,,,
Q29982289,Grace Chiumia,Grace Chiumia,,,Grace Chiumia,female,1977,Grace,,Grace Chiumia,Grace Chiumia,,,politician,,,,,,,,,,,,,,,Grace Chiumia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grace Chiumia,,,,,,,,,,Grace Chiumia,,,,,,,,,,Grace Chiumia,,,
Q40039690,Francis Kasaila,Francis Kasaila,Francis Kasaila,,,male,1968-10-28,Francis,,Francis Kasaila,,,Francis Kasaila,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Francis Kasaila,,,,,,,,,,Francis Kasaila,,,
Q4477067,Khumbo Kachali,Khumbo Kachali,Khumbo Kachali,Khumbo Kachali,Khumbo Kachali,male,1966,,,Khumbo Kachali,Khumbo Kachali,クンボ・カチャリ,,politician,,,,,,,,,,,,,,,,,,Khumbo Kachali,,,,,,,,,,,,,Khumbo Kachali,,,Khumbo Kachali,Khumbo Kachali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/f/f2/Khumbo-kachali1.jpg,,,,,,,Khumbo Kachali,,,,,,,,,,Khumbo Kachali,,,
Q45779063,Aboo Naliwa,Aboo Naliwa,,,,male,,,,Aboo Naliwa,Aboo Naliwa,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aboo Naliwa,,,,,,,,,,Aboo Naliwa,,,
Q45779418,Abubakar M'baya,Abubakar M'baya,,,,male,,Abubakar,,Abubakar M'baya,Abubakar M'baya,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abubakar M'baya,,,,,,,,,,Abubakar M'baya,,,
Q45779442,Adbul Gaffar,Adbul Gaffar,,,,male,,,,Adbul Gaffar,Adbul Gaffar,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adbul Gaffar,,,,,,,,,,Adbul Gaffar,,,
Q45779467,Aggrey Masi,Aggrey Masi,,,,male,,Aggrey,,Aggrey Masi,Aggrey Masi,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aggrey Masi,,,,,,,,,,Aggrey Masi,,,
Q45779486,Agness Nyalonje,Agness Nyalonje,,,,female,,,,Agness Nyalonje,Agness Nyalonje,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agness Nyalonje,,,,,,,,,,Agness Nyalonje,,,
Q45779512,Aisha Adams,Aisha Adams,,,,female,,,,Aisha Adams,Aisha Adams,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adams,,,,,Aisha Adams,,,,,,,,,,Aisha Adams,,,
Q45779534,Akajuwe Banda,Akajuwe Banda,,,,male,,,,Akajuwe Banda,Akajuwe Banda,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akajuwe Banda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akajuwe Banda,,,,,,,,,,Akajuwe Banda,,,
Q45779554,Alekeni Menyani,Alekeni Menyani,,,,male,,,,Alekeni Menyani,Alekeni Menyani,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alekeni Menyani,,,,,,,,,,Alekeni Menyani,,,
Q45779582,Alex Chitete,Alex Chitete,,,,male,,Alex,,Alex Chitete,Alex Chitete,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alex Chitete,,,,,,,,,,Alex Chitete,,,
