id,name,party,area,image,phone,fax,contact_form,term,source
10,Jorge Navarro Suárez,PNP,Distrito 5,http://www.tucamarapr.org/dnncamara/images/Representantes/c94718f-0ebe-4d3a-ae29-6eb02247ec75.jpg,(787) 724-4465 / (787) 724-5960,(787) 723-4711,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=10,30,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=10
100,Pedro J. Santiago Guzman,PNP,Distrito 10,http://www.tucamarapr.org/dnncamara/images/Representantes/c745d63-2dd1-4f18-823e-eac588b24b34.jpg,(787) 725-3350 / (787) 725-3350,(787) 721-6608,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=100,30,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=100
102,Ramón L. Cruz Burgos,PPD,Distrito 34,http://www.tucamarapr.org/dnncamara/images/Representantes/e2e28c1-ba62-431f-ba25-e4412a13dfe0.jpg,(787) 622-3802 / (787) 622-3802,(787) 725-0437,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=102,30,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=102
109,Urayoán Hernández Alvarado,PNP,Distrito 26,http://www.tucamarapr.org/dnncamara/images/Representantes/75822c5-d658-4baf-b4b5-0259ee0763e8.jpg,(787) 725-4431 / (787) 725-4431,(787) 723-2746,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=109,30,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=109
12,Luis Pérez Ortiz,PNP,Distrito 7,http://www.tucamarapr.org/dnncamara/images/Representantes/dd4a649-0081-4798-8248-ca4d8199d8ad.jpg,(787) 724-6262 / (787) 723-9754,(787) 723-9551,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=12,30,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=12
144,Manuel A. Natal Albelo,PPD,Acumulación,http://www.tucamarapr.org/dnncamara/images/Representantes/fa6a7c76-a9a1-49c1-9862-8ec9f6a40b55.jpg,(787) 721-8011 / (787) 723-5758,(787) 977-2496,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=144,30,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=144
17,Gabriel Rodríguez Aguiló,PNP,Distrito 13,http://www.tucamarapr.org/dnncamara/images/Representantes/8b7e107-5b5d-4ae9-a20c-b33f19a50fbb.jpg,787723-0109 / 787724-2001,787622-4387,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=17,30,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=17
185,Yashira Lebrón Rodríguez,PNP,Distrito 8,http://www.tucamarapr.org/dnncamara/images/Representantes/34aa945b-7dfb-4326-b5d5-ef7bdfa58af9.jpg,(787) 721-6040,(787) 622-4710,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=185,30,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=185
187,José Anibal Díaz Collazo,PPD,Distrito 29,http://www.tucamarapr.org/dnncamara/images/Representantes/1f4e13ce-a123-4926-bbdb-070671adc10b.jpg,(787) 622-4885 / (787) 721-6040,"",http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=187,30,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=187
190,José E. Torres Zamora,PNP,Acumulación,http://www.tucamarapr.org/dnncamara/images/Representantes/27c9a2a0-3336-4052-b811-1db0494ef83f.jpg,"","",http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=190,30,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=190
191,Eddie Charbonier Chinea,PNP,Distrito 1,http://www.tucamarapr.org/dnncamara/images/Representantes/b5ff7253-68f8-4097-81d9-ea88b59b445a.jpg,"","",http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=191,30,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=191
192,Juan O. Morales Rodríguez,PNP,Distrito 3,http://www.tucamarapr.org/dnncamara/images/Representantes/129e955a-bfd2-4cc4-8031-df156014c0ae.jpg,"","",http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=192,30,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=192
