id,name,party,area,image,phone,fax,contact_form,term,source
10,Jorge Navarro Suárez,PNP,Distrito 5,http://www.tucamarapr.org/dnncamara/images/Representantes/c94718f-0ebe-4d3a-ae29-6eb02247ec75.jpg,(787) 724-4465 / (787) 724-5960,(787) 723-4711,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=10,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=10
100,Pedro J. Santiago Guzman,PNP,Distrito 10,http://www.tucamarapr.org/dnncamara/images/Representantes/c745d63-2dd1-4f18-823e-eac588b24b34.jpg,(787) 725-3350 / (787) 725-3350,(787) 721-6608,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=100,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=100
102,Ramón L. Cruz Burgos,PPD,Distrito 34,http://www.tucamarapr.org/dnncamara/images/Representantes/e2e28c1-ba62-431f-ba25-e4412a13dfe0.jpg,(787) 622-3802 / (787) 622-3802,(787) 725-0437,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=102,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=102
105,Ricardo J. Llerandi Cruz,PNP,Distrito 14,http://www.tucamarapr.org/dnncamara/images/Representantes/b5cf9eee-d28c-4527-bf4b-f857badcffb8.jpg,(199) 1 / (787) 680-7835,(787) 725-9150,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=105,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=105
107,Sonia I. Pacheco Irigoyen,PPD,Distrito 3,http://www.tucamarapr.org/dnncamara/images/Representantes/6260384-ac66-4311-b683-179287fd4907.jpg,(787) 622-4975 / (787) 622-4975,(787) 622-4880,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=107,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=107
109,Urayoán Hernández Alvarado,PNP,Distrito 26,http://www.tucamarapr.org/dnncamara/images/Representantes/75822c5-d658-4baf-b4b5-0259ee0763e8.jpg,(787) 725-4431 / (787) 725-4431,(787) 723-2746,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=109,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=109
110,Waldemar Quiles Rodríguez,PNP,Distrito 22,http://www.tucamarapr.org/dnncamara/images/Representantes/844871b-91e6-4373-b272-c208b36c8d5a.jpg,(787) 725-9925 / (787) 721-8740,(787) 721-8116,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=110,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=110
12,Luis Pérez Ortiz,PNP,Distrito 7,http://www.tucamarapr.org/dnncamara/images/Representantes/dd4a649-0081-4798-8248-ca4d8199d8ad.jpg,(787) 724-6262 / (787) 723-9754,(787) 723-9551,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=12,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=12
141,Luisa Gándara Menéndez,PPD,Acumulación,http://www.tucamarapr.org/dnncamara/images/Representantes/bea54cf-d25e-4e56-95a7-96623f2305e0.jpg,(787) 622-4979 / (787) 622-4979,(787) 725-0951,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=141,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=141
144,Manuel A. Natal Albelo,PPD,Acumulación,http://www.tucamarapr.org/dnncamara/images/Representantes/fa6a7c76-a9a1-49c1-9862-8ec9f6a40b55.jpg,(787) 721-8011 / (787) 723-5758,(787) 977-2496,http://www.tucamarapr.org/dnncamara/web/contacto.aspx?rep=144,29,http://www.tucamarapr.org/dnncamara/web/ComposiciondelaCamara/biografia.aspx?rep=144
