id,name__en,name__nl,name__it,name__de,name__nb,name__da,name__nn,name__sv,name__fr,name,wikipedia__en,gender,given_name,original_wikiname,name__es,birth_date,death_date,name__ca,wikipedia__ca,image,name__gl,name__pt,name__fa,wikipedia__es,name__hr,name__cy,name__hu,occupation,wikipedia__de,name__lb,identifier__UScongress,identifier__FEC,identifier__freebase,identifier__opensecrets,website,twitter,facebook,name__fi,identifier__youtube,name__zh,name__zh_hant,name__zh_cn,name__sl,wikipedia__commons,wikipedia__it
Q16195773,Jesús Santa Rodríguez,Jesús Santa Rodríguez,Jesús Santa Rodríguez,Jesús Santa Rodríguez,,,,,Jesús Santa Rodríguez,Jesús Santa Rodríguez,Jesús Santa Rodríguez,male,Jesús,Jesús Santa Rodríguez,Jesús Santa Rodríguez,1964-10-20,,,,,,,,,,,,politician,,,,,,,,,,,,,,,Jesús Santa Rodríguez,,
Q16204393,José Luis Báez,José Luis Báez,José Luis Báez,José Luis Báez,,,,,José Luis Báez,José Luis Báez,José Luis Báez,male,José,José Luis Báez,José Luis Báez,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,José Luis Báez,,
Q16213812,José Torres Zamora,José Torres Zamora,José Torres Zamora,José Torres Zamora,,,,,José Torres Zamora,José Torres Zamora,José Pichy Torres Zamora,male,José,José Pichy Torres Zamora,José Torres Zamora,1971-06-07,,José Torres Zamora,,,,,,,,,,politician,,,,,,,,,,,,,,,José Torres Zamora,,
Q16215793,Jenniffer González,Jenniffer González,Jenniffer González,Jenniffer González,,,,,Jenniffer González,Jenniffer González,Jenniffer González,female,,Jenniffer González,Jenniffer González,1976-08-05,,Jennifer González Colón,Jennifer González Colón,https://upload.wikimedia.org/wikipedia/commons/e/ee/Hon._Jennifer_Gonzales.jpg,,,,Jenniffer González,,,,politician,Jenniffer González,Jenniffer González,G000582,H6PR00082,/m/027s3vf,N00037615,https://gonzalez-colon.house.gov,repjenniffer,RepJennifferGonzalezColon,Jenniffer González,UCZj99h3-GNKjGGeyp7AJeXw,珍妮弗·岡薩雷斯,詹妮弗·岡薩雷斯,詹妮弗·冈萨雷斯,Jenniffer González,Category:Jenniffer González,Jenniffer González
Q16729168,Piti Gándara,,,Piti Gándara,,,,,Piti Gándara,Piti Gándara,Luisa Gándara,female,,Piti Gándara,,,,Luisa Gándara,,,,,,,,,,politician,,,,,,,,,,,,,,,Piti Gándara,,
Q16732474,Lydia Méndez Silva,,,Lydia Méndez Silva,,,,,Lydia Méndez Silva,Lydia Méndez Silva,Lydia Méndez Silva,female,Lydia,Lydia Méndez Silva,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,Lydia Méndez Silva,,
Q16974415,Manuel Natal Albelo,,Manuel Natal Albelo,Manuel Natal Albelo,,,,,Manuel Natal Albelo,Manuel Natal Albelo,Manuel Natal Albelo,male,Manuel,Manuel Natal Albelo,Manuel Natal Albelo,1986-03-25,,,,https://upload.wikimedia.org/wikipedia/commons/a/ad/Manuel_Natal.jpg,,,,Manuel Natal Albelo,,,,,,,,,,,,,,,,,,,Manuel Natal Albelo,,
Q17099082,Héctor Torres Calderón,,,Héctor Torres Calderón,,,,,,Héctor Torres Calderón,Héctor Torres Calderón,male,Héctor,Héctor Torres Calderón,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,
Q18395961,Yashira Lebrón Rodríguez,,,,,,,,,Yashira Lebrón Rodríguez,Yashira Lebrón Rodríguez,female,,Yashira Lebrón Rodríguez,,1981-07-24,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,
Q21933985,José Aníbal Díaz,José Aníbal Díaz,José Aníbal Díaz,José Aníbal Díaz,,,,José Aníbal Díaz,José Aníbal Díaz,José Aníbal Díaz,José Aníbal Díaz,male,José,José Aníbal Díaz,José Aníbal Díaz,,,,,,,José Aníbal Díaz,,,José Aníbal Díaz,,,,,,,,,,,,,,,,,,,,
Q46211853,Samuel Pagán,,,,,,,,,Samuel Pagán,Samuel Pagán,male,,Samuel Pagán,,1978-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4762218,Angel Matos García,Angel Matos García,Angel Matos García,Angel Matos García,Angel Matos García,Angel Matos García,Angel Matos García,Angel Matos García,Angel Matos García,Angel Matos García,Angel Matos García,male,Angel,Angel Matos García,Angel Matos García,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,Angel Matos García,,
Q4762231,Angel Muñoz,Angel Muñoz,Angel Muñoz,Angel Muñoz,Angel Muñoz,Angel Muñoz,Angel Muñoz,Angel Muñoz,Angel Muñoz,Angel Muñoz,Angel Muñoz,male,Angel,Angel Muñoz (politician),Angel Muñoz,1960-03-25,,,,,,,,,,,,politician,,,,,,,,,,,,,,,Angel Muñoz,,
Q4762247,Angel Peña Ramírez,Angel Peña Ramírez,Angel Peña Ramírez,Angel Peña Ramírez,Angel Peña Ramírez,Angel Peña Ramírez,Angel Peña Ramírez,Angel Peña Ramírez,Angel Peña Ramírez,Angel Peña Ramírez,Angel Peña Ramírez,male,Angel,Angel Peña Ramírez,Angel Peña Ramírez,1978-04-13,,,,,,,,,,,,politician,,,,,,,,,,,,,,,Angel Peña Ramírez,,
Q4762265,Ángel Rodríguez Miranda,Gary Rodríguez,Gary Rodríguez,Ángel Rodríguez Miranda,Ángel Rodríguez Miranda,Angel Rodríguez Miranda,Ángel Rodríguez Miranda,Ángel Rodríguez Miranda,Ángel Rodríguez Miranda,Ángel Rodríguez Miranda,Gary Rodríguez,male,Angel,Angel Rodríguez Miranda,Ángel Rodríguez Miranda,1977-01-09,,,,,,Ángel Rodríguez Miranda,,,,,Ángel Rodríguez Miranda,politician,,,,,,,,,,,,,,,Ángel Rodríguez Miranda,,
Q4776986,Antonio Soto,,Antonio Soto,Antonio Soto,Antonio Soto,Antonio Soto,Antonio Soto,Antonio Soto,Antonio Soto,Antonio Soto,Tony Soto (politician),male,Antonio,Tony Soto (politician),,1973-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4792767,Armando Franco,Armando Franco,Armando Franco,Armando Franco,Armando Franco,Armando Franco,Armando Franco,Armando Franco,Armando Franco,Armando Franco,Armando Franco,male,Armando,Armando Franco,Armando Franco,1964-10-30,,,,,,,,,,,,politician,,,,,,,,,,,,,,,Armando Franco,,
Q4960730,Brenda López de Arrarás,,Brenda López de Arrarás,Brenda López de Arrarás,,,,,Brenda López de Arrarás,Brenda López de Arrarás,Brenda López de Arrarás,female,Brenda,Brenda López de Arrarás,Brenda López de Arrarás,1971-04-25,,,,,,,,,,,,politician,,,,,,,,,,,,,,,Brenda López de Arrarás,,
Q5041841,Carlos Bianchi Angleró,Carlos Bianchi Angleró,Carlos Bianchi Angleró,Carlos Bianchi Angleró,Carlos Bianchi Angleró,Carlos Bianchi Angleró,Carlos Bianchi Angleró,Carlos Bianchi Angleró,Carlos Bianchi Angleró,Carlos Bianchi Angleró,Carlos Bianchi Angleró,male,Carlos,Carlos Bianchi Angleró,Carlos Bianchi Angleró,1974-02-10,,,,,,,,,,,Carlos Bianchi Angleró,politician,,,,,,,,,,,,,,,Carlos Bianchi Angleró,,
