id,name__fr,name__en,name__es,name__de,name__ru,name__tr,name__pl,name__zh,name__ar,name__it,name__nl,name__id,name__da,name__hu,name__ja,name,wikipedia__ar,wikipedia__commons,wikipedia__da,wikipedia__de,wikipedia__en,wikipedia__es,wikipedia__fr,wikipedia__id,wikipedia__pl,wikipedia__ru,wikipedia__simple,wikipedia__tr,wikipedia__zh,image,gender,identifier__VIAF,identifier__GND,identifier__SUDOC,birth_date,given_name,original_wikiname,identifier__ISNI,identifier__LCAuth,name__vi,name__ca,name__sv,name__cs,wikipedia__ca,wikipedia__cs,wikipedia__nl,wikipedia__plwikiquote,wikipedia__sv,wikipedia__vi,identifier__freebase,name__yo,name__uk,wikipedia__uk,wikipedia__yo,death_date,wikipedia__it,name__fa,wikipedia__fa,identifier__BNF,identifier__MusicBrainz,name__br,wikipedia__br,identifier__FAST,identifier__SFDb,name__nb,name__nn,identifier__sycomore,name__kab,wikipedia__kab,name__pt,name__fi,wikipedia__fi,wikipedia__eo,name__oc,name__eo,identifier__elonet,identifier__kinopoisk,identifier__NLI,name__zh_hant,name__zh_cn,identifier__IMDB,identifier__AlloCine,identifier__allmovie,identifier__CSFD,wikipedia__no,occupation,wikipedia__pt,name__cy,name__he,wikipedia__he,identifier__NTA,identifier__EGAXA,identifier__NLP,name__nds,name__lt,name__li,name__lb,name__gsw,name__el,wikipedia__el,wikipedia__frwikiquote,identifier__NDL,identifier__BIBSYS,wikipedia__lad,name__lad,wikipedia__eu,name__eu,name__sl,wikipedia__ast,name__bar,identifier__GTAA,name__ast,identifier__CONOR,twitter,wikipedia__so,name__so,name__arq,family_name
Q12214716,Z'hour Ounissi,Zuhur Wanasi,Zuhur Wanasi,,,,,,زهور ونيسي,,Zuhur Wanasi,,,,,Zuhur Wanasi,زهور ونيسي,,,,Zuhur Wanasi,,Z'hour Ounissi,,,,,,,,female,14964130,,,1937-12,,زهور ونيسي,0000 0003 5411 5156,,Zuhur Wanasi,,,,,,,,,Zuhur Wanasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,148171508,,,,,,,,,,,,,,,,,Zuhur Wanasi,,,,,,,,,,
Q12243325,Mustapha Stambouli,Mustapha Stambouli,Mustapha Stambouli,Mustapha Stambouli,,,,,مصطفى اسطمبولي,,,,,,ムスタファ・スタンブリ,Mustapha Stambouli,مصطفى اسطمبولي,,,,Mustapha Stambouli,,,,,,,,,,male,,,,1920-03-10,Mustapha,Mustapha Stambouli,,,,,,,,,,,,,,,,,,1984-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,Mustapha Stambouli,,,,,,
Q12248733,Naima Salhi,,,,,,,,نعيمة صالحي,,,,,,,Naima Salhi,نعيمة صالحي,,,,,,Naima Salhi,,,,,,,,female,,,,1942-11-14,Naima,نعيمة صالحي,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,academic,,,,,,,,,,,,,,,,,,,,,,,,,,Naima Salhi,,,,,,Salhi
Q12249188,,,,,,,,,نورية حفصي,,,,,,,نورية حفصي,نورية حفصي,,,,,,,,,,,,,,female,,,,,,نورية حفصي,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1370888,Mokdad Sifi,Mokdad Sifi,Mokdad Sifi,Mokdad Sifi,Мокдад Сифи,,,穆克达德·西菲,مقداد سيفي,Mokdad Sifi,Mokdad Sifi,Mokdad Sifi,,Mokdad Sifi,,Mokdad Sifi,مقداد سيفي,,,Mokdad Sifi,Mokdad Sifi,,Mokdad Sifi,,,"Сифи, Мокдад",,,穆克达德·西菲,,male,,,,1940-04-21,,Mokdad Sifi,,,,,,,,,,,,,/m/027v20d,Mokdad Sifi,Мокдад Сіфі,Мокдад Сіфі,Mokdad Sifi,,,مقداد سیفی,مقداد سیفی,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,Mokdad Sifi,,,154129,Mokdad Sifi,,,,,,
Q16009030,Eveline Safir Lavalette,Eveline Safir Lavalette,Eveline Safir Lavalette,,,,,,,Eveline Safir Lavalette,,,,,,Eveline Safir Lavalette,,,,,,,Évelyne Safir Lavalette,,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/06/Évelyne_Safir_Lavalette.jpg,female,310508102,1052421148,,1927,Eveline,Évelyne Safir Lavalette,0000 0004 3656 1870,no2014088018,,,,,,,,,,,,,,,,2014-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,Eveline Safir Lavalette,,,,,,,,,,,,,,,,,,,,Eveline Safir Lavalette,,,,Eveline Safir Lavalette,,,,,,
Q16011496,Ali Mendjeli,Ali Mendjeli,Ali Mendjeli,,,,,,علي منجلي,Ali Mendjeli,Ali Mendjeli,,,,,Ali Mendjeli,علي منجلي,,,,,,Ali Mendjeli,,,,,,,,male,,,,1922-12-07,Ali,Ali Mendjeli,,,,,,,,,,,,,,,,,,1998-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,Ali Mendjeli,,,,Ali Mendjeli,,,,,,
Q16136442,Fatima Zohra Karadja,Fatima Zohra Karadja,Fatima Zohra Karadja,Fatima Zohra Karadja,,,,,فاطمة الزهراء قراجة,,,,,,,Fatima Zohra Karadja,فاطمة الزهراء قراجة,,,,Fatima Zohra Karadja,,Fatima Zohra Karadja,,,,,,,,female,,,,1949-04-20,Fatima,فاطمة الزهراء قراجة,,,,,,,,,,,,Fatima Zohra Karadja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diplomat,,,,,,,,,,,,,,,,,,,,,,Fatima Zohra Karadja,,,,Fatima Zohra Karadja,,,,,,
Q168663,Yacef Saâdi,Saadi Yacef,Saadi Yacef,Yacef Saadi,,,,,ياسف سعدي,Yacef Saâdi,Saadi Yacef,,,Saadi Yacef,,Saadi Yacef,ياسف سعدي,Category:Yacef Saadi,,Yacef Saadi,Saadi Yacef,,Yacef Saâdi,,,,,,,https://upload.wikimedia.org/wikipedia/commons/c/cb/Yacef_Saadi_396.jpg,male,54153788,136767567,,1928-01-20,,Yacef Saadi,0000 0001 0814 6512,n84169273,,,,,,,,,,,/m/0bgxs5,,,,,,,,,,,Yacef Saadi,Yacef Saadi,140435,157337,,,,,,,,,,,,1205045,,,,,,,p109458,8524,,actor,,,,,,,,,,,,,,,,,,,,Yacef Saâdi,Yacef Saâdi,Saadi Yacef,,,149245,,,,,,,
Q18202607,Ramdane-Youssef Tazibt,Ramdane-Youssef Tazibt,Ramdane-Youssef Tazibt,,,,,,,,Ramdane-Youssef Tazibt,,,,,Ramdane-Youssef Tazibt,,,,,,,Ramdane-Youssef Tazibt,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/91/Ramdane-Youssef_TAZIBT.jpg,male,,,,1969-01-02,,Ramdane-Youssef Tazibt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,Ramdane-Youssef Tazibt,,,,Ramdane-Youssef Tazibt,,,,,,
