first_name,last_name,name,party,birth_date,residence,title,nationality,region,email,website,image,source,id,term
Peter,Osuský,Peter Osuský,Sloboda a Solidarita,1953-10-11,Bratislava,"MUDr., CSc.",slovenská,Bratislavský,peter_osusky@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=100&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=100&CisObdobia=7,100,7
Jaroslav,Paška,Jaroslav Paška,Slovenská národná strana,1954-06-20,Marianka,akad. arch. Ing. arch.,slovenská,"",jaroslav_paska@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=103&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=103&CisObdobia=7,103,7
František,Šebej,František Šebej,MOST-HÍD,1947-05-11,Bratislava,"PhDr., CSc.",slovenská,Bratislavský,frantisek_sebej@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=127&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=127&CisObdobia=7,127,7
Štefan,Zelník,Štefan Zelník,Slovenská národná strana,1954-12-22,Žilina,MUDr.,slovenská,Žilinský,stefan_zelnik@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=149&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=149&CisObdobia=7,149,7
Peter,Chudík,Peter Chudík,SMER – sociálna demokracia,1961-02-18,Záborské,MUDr.,slovenská,Prešovský,peter_chudik@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=219&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=219&CisObdobia=7,219,7
Ján,Budaj,Ján Budaj,OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO-NOVA),1952-02-10,Bratislava,"",slovenská,Bratislavský,jan_budaj@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=22&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=22&CisObdobia=7,22,7
Eva,Antošová,Eva Antošová,Slovenská národná strana,1964-12-19,Nitra,Ing.,slovenská,Nitriansky,eva_antosova@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=229&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=229&CisObdobia=7,229,7
Béla,Bugár,Béla Bugár,MOST-HÍD,1958-07-07,Šamorín,Ing.,maďarská,Trnavský,bela_bugar@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=23&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=23&CisObdobia=7,23,7
Tibor,Bastrnák,Tibor Bastrnák,MOST-HÍD,1964-11-17,Komárno,MUDr.,maďarská,Nitriansky,tibor_bastrnak@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=232&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=232&CisObdobia=7,232,7
Jaroslav,Baška,Jaroslav Baška,SMER – sociálna demokracia,1975-04-05,Dohňany,Ing.,slovenská,Trenčiansky,jaroslav_baska@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=233&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=233&CisObdobia=7,233,7
Juraj,Blanár,Juraj Blanár,SMER – sociálna demokracia,1966-05-19,Žilina,Ing.,slovenská,Žilinský,juraj_blanar@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=238&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=238&CisObdobia=7,238,7
Jozef,Buček,Jozef Buček,SMER – sociálna demokracia,1960-05-06,Košice,Mgr.,slovenská,Košický,jozef_bucek@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=242&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=242&CisObdobia=7,242,7
Jozef,Burian,Jozef Burian,SMER – sociálna demokracia,1961-09-21,Košice,Ing.,slovenská,Košický,jozef_burian@nrsr.sk,"",http://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=243&ImageWidth=140,http://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=243&CisObdobia=7,243,7
